Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Metabolic pathways Homo sapiens hsa01100	134/1239	1.3790216279259113e-18	3.778519260516997e-16	0	0	2.5711467509170256	105.73881480792532	DMGDH;ACSM3;GLDC;MPI;NDUFA10;CPOX;SAT2;ABAT;ENO1;ENO2;HYKK;PPAT;FPGS;ACAA1;XYLB;GPT2;MCCC1;ALG2;PIPOX;TALDO1;ACSL5;OCRL;HOGA1;DCTD;ACLY;MTAP;MTHFD2;ACOT2;SUCLG2;CMPK2;IDNK;SUCLG1;HPD;IDO1;GCDH;FECH;AK4;SDSL;PLA2G7;ADH6;LDHB;EBP;INPP5A;RDH12;AFMID;PGK1;COX11;LTA4H;PCK2;GGT5;CYP2J2;CYP4F2;CYP4F3;GFPT1;MCAT;ACADSB;COQ6;GLUD1;ALDH6A1;POLA2;DAO;QARS;P4HA1;TBXAS1;DEGS1;ALDH18A1;GPI;ACY1;DPYS;TREH;HEXA;COX4I2;LPCAT1;PYGL;TCIRG1;ALAD;DBT;PGM3;ACADM;NANS;AASS;HIBCH;ACAD8;PCYT1A;TPI1;SPHK2;PGAM1;DCXR;CYP4A11;AMT;NDUFC1;MUT;PRODH2;DCK;PLCB4;PKM;PCCA;ACOX2;TST;NME6;CHDH;NDUFS4;NDUFS2;NDUFS1;ALDOC;ALDOB;AGXT;UGT2B7;ECHS1;ACSS2;PRIM1;NDUFA4L2;HSD17B4;NT5C2;HMGCL;NFS1;POLD2;MGAT1;BPNT1;GCH1;GALNT3;CKM;TPK1;GLYCTK;CYP8B1;ASS1;AGMAT;GALNS;GATM;PC;PSAT1;NT5C1A;SARDH;PFKP
KEGG_2016	Carbon metabolism Homo sapiens hsa01200	29/113	9.877302045287748e-14	1.3531903802044215e-11	0	0	6.8818671679198005	206.08406319125112	GPI;ACSS2;ECHS1;GLDC;ENO1;ENO2;SDSL;PGK1;ACADM;HIBCH;TPI1;GPT2;PGAM1;AMT;TALDO1;MUT;GLUD1;ALDH6A1;PKM;PC;PCCA;PSAT1;SUCLG2;IDNK;SUCLG1;ALDOC;ALDOB;AGXT;PFKP
KEGG_2016	Propanoate metabolism Homo sapiens hsa00640	12/32	1.6100111951007013e-08	1.4704768915253075e-06	0	0	11.789658738366079	211.5588192708208	LDHB;ALDH6A1;ECHS1;ACSS2;PCCA;DBT;SUCLG2;ABAT;SUCLG1;ACADM;MUT;HIBCH
KEGG_2016	Glycine, serine and threonine metabolism Homo sapiens hsa00260	13/40	2.999842160973e-08	2.0548918802665047e-06	0	0	9.467142090330496	163.99098147254333	DMGDH;GLDC;PGAM1;GLYCTK;AMT;PIPOX;SDSL;GATM;DAO;PSAT1;CHDH;SARDH;AGXT
KEGG_2016	Biosynthesis of amino acids Homo sapiens hsa01230	17/74	7.596629170423713e-08	4.162952785392194e-06	0	0	5.879344931976512	96.3799611020364	TPI1;ACY1;GPT2;PGAM1;TALDO1;ENO1;ENO2;SDSL;ASS1;PKM;PC;PSAT1;PGK1;ALDOC;ALDOB;ALDH18A1;PFKP
KEGG_2016	Valine, leucine and isoleucine degradation Homo sapiens hsa00280	13/48	3.3394154896198865e-07	1.5249997402597479e-05	0	0	7.300147885241053	108.86199430452405	ACAD8;ECHS1;MCCC1;ABAT;ACADSB;MUT;HMGCL;ALDH6A1;PCCA;DBT;ACADM;ACAA1;HIBCH
KEGG_2016	Glycolysis / Gluconeogenesis Homo sapiens hsa00010	14/67	3.5676147102393547e-06	0.00013934473126592966	0	0	5.192139994134324	65.12819646177249	GPI;TPI1;ACSS2;PGAM1;ENO1;ENO2;ADH6;LDHB;PKM;PGK1;ALDOC;ALDOB;PFKP;PCK2
KEGG_2016	Antigen processing and presentation Homo sapiens hsa04612	15/77	4.068459307034443e-06	0.00013934473126592966	0	0	4.758148172935349	59.05930647776464	PDIA3;HSPA4;HLA-B;TAP1;HSPA2;IFI30;HLA-F;HLA-G;TAPBP;HLA-E;CANX;PSME1;HLA-DRA;B2M;HLA-DPA1
KEGG_2016	Rap1 signaling pathway Homo sapiens hsa04015	26/211	1.4351978034146647e-05	0.0003949617113454716	0	0	2.7777771475567907	30.97672292522768	DOCK4;FLT1;FLT4;GNAI3;CALML3;FGF1;PRKCZ;EGFR;CRKL;PARD6B;RRAS;PDGFD;MAPK1;MAPK3;VASP;ANGPT2;EGF;MAGI2;ARAP3;PRKCA;EFNA1;PLCB4;RAPGEF2;TLN2;MET;RAPGEF4
KEGG_2016	Tight junction Homo sapiens hsa04530	20/139	1.4414660998009916e-05	0.0003949617113454716	0	0	3.3126243198009133	36.926700291751274	PRKCH;EPB41;PRKCE;MAGI2;GNAI3;CASK;SHROOM3;PRKCA;CGN;MPP5;PRKCZ;YBX3;CLDN10;OCLN;PARD6B;RRAS;EPB41L1;MYH10;LLGL2;JAM3
