,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.15784821848775363,-0.15287145096081672,0.2204161912957885,0.30614848102318076,0.3107196694485703,0.20914719119061598,ccrcc,False,False,False
1,A1CF,0.8575028578401137,0.9228981211925814,3.1881686022989546e-28,1.0677190998154711e-13,-0.0653952633524677,0.01604222793680751,ccrcc,True,True,False
2,A2M,0.029317202903797145,0.007072185388389975,0.955056915227015,0.850163039613729,0.02224501751540717,0.9096398183326645,ccrcc,False,False,False
3,AAAS,0.14784183170682746,0.11152537791840512,0.37265525387507603,0.3382057334824678,0.03631645378842234,0.8435364074741258,ccrcc,False,False,False
4,AACS,0.41009532515285474,0.5945941068788392,1.4089775701392577e-07,0.005697244837358554,-0.18449878172598444,0.10878763402160345,ccrcc,False,True,False
5,AADAT,0.2896084656650962,0.4059105800561622,0.0490611700941463,0.2765975081989301,-0.11630211439106602,0.7909799303208012,ccrcc,False,False,False
6,AAED1,0.11637140579294239,-0.016042454806270187,0.9305564877464964,0.5881543000337687,0.13241386059921256,0.6802236037533925,ccrcc,False,False,False
7,AAGAB,0.5614054346556006,0.727039198057385,4.7729509713689234e-12,7.349279767708168e-05,-0.16563376340178448,0.07015001171670196,ccrcc,False,True,False
8,AAK1,0.5310622764303403,0.679225247510405,3.627880700786947e-10,0.00020821140935876778,-0.1481629710800647,0.17935063496116865,ccrcc,False,True,False
9,AAMP,0.7157863435096328,0.6672816202162959,9.456595748082112e-10,4.7235019275560373e-08,0.04850472329333688,0.65037222169566,ccrcc,True,True,False
10,AAR2,0.6508861243551103,0.17769603974581932,0.15346036340475755,1.722008853126126e-06,0.47319008460929096,0.03423910798126061,ccrcc,True,False,False
11,AARS,0.7863500078381199,0.7692413370236982,4.538404889866059e-14,2.5192514311733513e-10,0.01710867081442169,0.9740787687539378,ccrcc,True,True,False
12,AARS2,0.5932525673790626,0.46448847635259477,8.538558210754405e-05,2.1960719089558403e-05,0.12876409102646785,0.35310960077822207,ccrcc,False,False,False
13,AARSD1,0.49468227678038906,0.6702431056412151,7.487582636528762e-10,0.0006415860186846725,-0.17556082886082608,0.09244403393410731,ccrcc,False,True,False
14,AASDH,-0.044205491539670204,-0.32845934550723516,0.10892186506928467,0.8973146506163728,0.284253853967565,0.20774649359379183,ccrcc,False,False,False
15,AASDHPPT,0.6032703818257162,0.613407427925655,4.355250356052599e-08,1.461797163677766e-05,-0.010137046099938707,0.9443730631713729,ccrcc,False,True,False
16,AASS,0.49101487392559323,0.24577289272611483,0.04668538683571352,0.0007137882352502747,0.2452419811994784,0.17676277452128708,ccrcc,False,False,False
17,AATF,0.21127198590048435,0.4237654833852183,0.00039179530685237794,0.16861359172313295,-0.21249349748473395,0.24872116792162824,ccrcc,False,False,False
18,ABAT,0.48235945716881035,0.3582759631645003,0.003139224444054502,0.0009138060540030387,0.12408349400431007,0.5289505126382994,ccrcc,False,False,False
19,ABCA1,0.4426457696413742,0.2100466207326471,0.10421370079618623,0.003755112332581946,0.2325991489087271,0.26961279319218534,ccrcc,False,False,False
20,ABCA12,-0.46105776907840573,0.027533051549391,0.9056966277750683,0.21162152407977108,-0.48859082062779674,0.11370462933532348,ccrcc,False,False,False
21,ABCA2,0.31325294236043644,0.25397747452885566,0.04825595494031545,0.03840580135653547,0.059275467831580775,0.789669966329936,ccrcc,False,False,False
22,ABCA3,0.18067770918244053,0.5384384437808581,0.021150067451404492,0.6174189066172916,-0.3577607345984176,0.6498659198677836,ccrcc,False,False,False
23,ABCA5,0.6671353142759516,-0.9184522742563653,0.027610020305834582,0.10161030903576387,1.585587588532317,0.14046277276390734,ccrcc,False,False,False
24,ABCA6,0.39464941201528086,0.9070785208445997,1.8769337550420476e-05,0.5108833205521374,-0.5124291088293189,0.10460741771240616,ccrcc,False,False,False
25,ABCA8,0.47152361867859605,0.46475436605972303,0.0037550128865051022,0.011309269668802283,0.006769252618873012,0.96345890088838,ccrcc,False,False,False
26,ABCB1,0.8394328757958847,0.7457003876050255,6.816703168116586e-13,1.0885518575489423e-12,0.09373248819085911,0.1999611342302603,ccrcc,True,True,False
27,ABCB10,0.25933110578242863,0.41622766152894664,0.0005089472891823391,0.08914874322000774,-0.156896555746518,0.35761274258694564,ccrcc,False,False,False
28,ABCB6,0.7169310898902465,0.7313981722143469,3.073549147897486e-12,4.3944114866380096e-08,-0.014467082324100433,0.893520165037945,ccrcc,True,True,False
29,ABCB7,0.3480537934802963,0.43171680478832253,0.015304117408811381,0.122075061937305,-0.08366301130802622,0.8026101929965906,ccrcc,False,False,False
30,ABCB8,0.527686205828642,0.6472780863359656,4.282917196764596e-09,0.00023238486778246313,-0.11959188050732361,0.27760349785584393,ccrcc,False,True,False
31,ABCC1,0.7272321004556603,0.38673277345476,0.0013384960844991314,2.2577487947653904e-08,0.34049932700090035,0.03909125983335911,ccrcc,True,False,False
32,ABCC10,-0.0297751260789722,0.15364679624686792,0.3503726083106877,0.8851935229417603,-0.18342192232584012,0.6178765044689731,ccrcc,False,False,False
33,ABCC2,0.7087926592798779,0.8084548036935048,2.252170289828803e-16,7.288455495571142e-08,-0.09966214441362686,0.16475620236176747,ccrcc,True,True,False
34,ABCC3,0.6496303532949617,0.7561871470457773,2.117394711375263e-13,1.8306342703652352e-06,-0.10655679375081561,0.302141365843146,ccrcc,True,True,False
35,ABCC4,0.5726395208401494,0.6256109437781616,1.9499150717508715e-08,4.8683468624830064e-05,-0.05297142293801227,0.6647828905646296,ccrcc,False,True,False
36,ABCC5,0.10764834220482387,-0.1599353847395288,0.6385379479754774,0.7527311554215897,0.2675837269443527,0.3075510287173988,ccrcc,False,False,False
37,ABCC6,0.686479679522303,0.5747155580009441,4.502371130875808e-07,2.6841964269930716e-07,0.11176412152135895,0.34247225483449195,ccrcc,True,True,False
38,ABCC9,0.7929925711653615,-0.17895918748984868,0.5585567321866519,0.018876229687100475,0.9719517586552102,0.052120024811268484,ccrcc,False,False,False
39,ABCD1,0.3365005015439008,0.5456126505748634,2.161541079860524e-06,0.025521863086464452,-0.2091121490309626,0.17689847171709516,ccrcc,False,True,False
40,ABCD3,0.5396165862986296,0.4294281430888912,0.00032059221372378544,0.0001568037845169051,0.11018844320973842,0.4004162869756577,ccrcc,False,False,False
41,ABCE1,0.44783363069105586,0.35590335200677414,0.003359083318267784,0.0023015479306403067,0.09193027868428172,0.6000587280758289,ccrcc,False,False,False
42,ABCF1,0.3330801756467811,0.4667259994029097,7.808367472229432e-05,0.02715309464716515,-0.1336458237561286,0.45079506726841123,ccrcc,False,False,False
43,ABCF2,0.37784131844110763,0.6277174136289508,1.6913777648404264e-08,0.01144939012249504,-0.2498760951878432,0.12906744048695587,ccrcc,False,True,False
