,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.453226442212644,0.3318414021616209,0.021212540637612243,0.0013780632307984419,0.12138504005102313,0.5084907658130764,en,False,False,False
1,A2M,0.02570921359399801,0.022878709086909043,0.8773335972399795,0.863802593270332,0.0028305045070889656,0.9995355324133064,en,False,False,False
2,A2ML1,0.8876819705398901,0.779056206932706,1.984395845627957e-09,4.728935404047041e-15,0.10862576360718401,0.19452772526705586,en,True,True,False
3,A4GALT,0.6143844735759951,0.40664467549904876,0.013848807645770879,0.0001834752468776579,0.20773979807694637,0.3962568557612828,en,False,False,False
4,AAAS,0.3784382598744126,0.40233331754850205,0.004584704387192462,0.008717806728542,-0.023895057674089448,0.8770442143459911,en,False,False,False
5,AACS,0.8132164300414197,0.8504361207392614,2.0113114783361008e-14,3.7873637220220915e-12,-0.0372196906978417,0.6895581279628618,en,True,True,False
6,AADAT,0.5485889281519978,0.5147790256791406,0.000251937710670467,0.00011550019247863275,0.0338099024728572,0.8585482832107452,en,False,False,False
7,AAED1,0.329488566612653,0.30478711164628236,0.041774514634759195,0.030960124358380907,0.024701454966370662,0.912406143617156,en,False,False,False
8,AAGAB,0.6879993026684993,0.6614676481153983,3.08207542639962e-07,9.119122059517995e-08,0.026531654553101025,0.8049273505717658,en,True,True,False
9,AAK1,0.831678790397927,0.568195724950948,2.5246230172774546e-05,4.478882008286963e-13,0.2634830654469791,0.006337755922560493,en,True,False,False
10,AAMDC,0.5651230805251555,0.5796925938111791,1.5769879167428143e-05,3.495030896654661e-05,-0.014569513286023628,0.9158647466597998,en,False,False,False
11,AAMP,0.501645272694273,0.7176390176406603,9.464163157397608e-09,0.0003278717761490735,-0.21599374494638734,0.2818730055003975,en,False,True,False
12,AAR2,0.19661394476323926,0.48415070425736484,0.0004891293234239738,0.18530624715658423,-0.2875367594941256,0.22011877029236981,en,False,False,False
13,AARS,0.8542741430881226,0.8524727431681607,1.501527987792808e-14,2.246219138037003e-14,0.0018013999199618658,0.9669276609670011,en,True,True,False
14,AARS2,0.28300923036904974,0.6421225291850313,8.683870845157115e-07,0.05390740475310547,-0.3591132988159816,0.028920345259533055,en,False,True,False
15,AARSD1,0.48276732975083764,0.051844516718781375,0.7263711841220434,0.0005885481883341087,0.43092281303205626,0.2834616165149666,en,False,False,False
16,AASDHPPT,0.6007975871566745,0.5927499752760386,9.03941048093275e-06,8.007774223386775e-06,0.008047611880635963,0.9698608871088187,en,False,False,False
17,AASS,0.8499684329740391,0.8773587648660537,2.8352004196379415e-16,4.124218912667819e-14,-0.027390331892014563,0.5757161380537483,en,True,True,False
18,AATF,0.5335747140638822,0.5457378069768115,6.0273633474982895e-05,0.00011242922928100207,-0.012163092912929274,0.9475606485925696,en,False,False,False
19,ABAT,0.7833333782570934,0.6332939276442578,1.3607003225203222e-06,7.60997835335144e-11,0.15003945061283552,0.34468012989116903,en,True,True,False
20,ABCA8,0.5724556078685094,0.5005553133264703,0.0005395114434665069,3.9761996427857984e-05,0.07190029454203906,0.6343978187808639,en,False,False,False
21,ABCB1,0.5663215965844779,0.7201755774996571,7.929849516786672e-09,3.335378358065692e-05,-0.1538539809151792,0.2924171274072549,en,False,True,False
22,ABCB10,0.2053523073842572,0.5277199170135412,0.0001159870699877529,0.16613699458060874,-0.32236760962928396,0.0608131611072089,en,False,False,False
23,ABCB6,0.5300383859757495,0.7170080363722519,9.886951486734613e-09,0.00012725171675684408,-0.18696965039650237,0.2662065394505867,en,False,True,False
24,ABCB7,0.2755014429042451,0.11571503924792677,0.43350905245933324,0.06088401671691968,0.15978640365631835,0.462574475415522,en,False,False,False
25,ABCB8,0.35960529551047254,0.30927795646415396,0.03243498078579383,0.013042210279550836,0.05032733904631859,0.8118855673951997,en,False,False,False
26,ABCC1,0.1050095360940271,0.4986767661974574,0.0003092332082788832,0.48238640764906837,-0.3936672301034303,0.053465687466233966,en,False,False,False
27,ABCC10,-0.06096268712328436,-0.003006514858773423,0.9843618246439365,0.6977637812867584,-0.05795617226451094,0.7385082752878679,en,False,False,False
28,ABCC3,0.7336290338468823,0.7849272350884868,4.0237899933309556e-11,4.4648200901361735e-09,-0.05129820124160456,0.5998105410683052,en,True,True,False
