,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,-0.03654736107093678,-0.0789197622686579,0.5038916123089977,0.832406791602587,0.04237240119772113,0.823981338455807,luad,False,False,False
1,A2M,0.24918196038270135,0.43155903490140374,0.00012354235068705075,0.14276856830825144,-0.1823770745187024,0.33550213884617464,luad,False,False,False
2,AAAS,0.1997898841177128,0.2909259390683383,0.011913998539103958,0.24270273098161135,-0.09113605495062549,0.6374207658371018,luad,False,False,False
3,AACS,0.9226561786360189,0.7201799597028434,4.756986115554588e-13,1.2457969891113391e-15,0.20247621893317547,0.025132437739672275,luad,True,True,False
4,AADAC,0.4895933627154078,0.713221580668445,1.4429949929366805e-12,0.0028351700426161182,-0.22362821795303717,0.10311686627199404,luad,False,True,False
5,AADAT,0.5464803271959305,0.5874045678575718,0.0025443523909108707,0.03504589693043465,-0.04092424066164124,0.9490520009080583,luad,False,False,False
6,AAED1,0.27092187585440386,0.07934916980839889,0.572218147790404,0.2619079676758586,0.19157270604600496,0.6085268687770486,luad,False,False,False
7,AAGAB,0.6868035143817068,0.6071611737382816,9.744939295829815e-09,3.736956851499885e-06,0.07964234064342524,0.4734266581527029,luad,True,True,False
8,AAMDC,0.41881707245300825,0.7194345113660991,5.159152115302335e-13,0.011012576045242174,-0.3006174389130909,0.036215783781212145,luad,False,True,False
9,AAMP,0.29589413716990154,0.5368799579254159,8.173798967273646e-07,0.0797420845245414,-0.24098582075551434,0.26869124588883575,luad,False,True,False
10,AAR2,0.7765362311833001,0.4576718822472902,4.1351552561468204e-05,2.5971651149496664e-08,0.31886434893600984,0.04465601954586884,luad,True,False,False
11,AARS,0.8701994298517505,0.9178171705389331,1.3215901971892685e-30,5.4625588526508774e-12,-0.04761774068718261,0.11835425200647537,luad,True,True,False
12,AARS2,0.6540025006155812,0.59219206245162,2.7369687146796903e-08,1.5200536888606667e-05,0.061810438163961146,0.6568182089708108,luad,False,True,False
13,AARSD1,0.6785724032646909,0.7815342341610994,2.0967444897347022e-16,5.4028051572990985e-06,-0.10296183089640842,0.2253339990829536,luad,False,True,False
14,AASDHPPT,0.732484825051833,0.7649667896392511,2.1243355456911823e-15,3.80735623827017e-07,-0.032481964587418144,0.8192477601684147,luad,True,True,False
15,AASS,0.6861130616617193,0.7462947350231909,2.3248540973967902e-14,3.856072518726187e-06,-0.06018167336147162,0.5879093284065753,luad,True,True,False
16,AATF,0.4861368069390813,0.35325213766697544,0.0020202225167278314,0.0026467947841349866,0.13288466927210585,0.39294212745738777,luad,False,False,False
17,AATK,0.8618291276125831,0.7733475481435524,7.589049745950303e-10,1.775035822676547e-05,0.08848157946903068,0.4786837683493045,luad,False,True,False
18,ABAT,0.8409122500201274,0.8785683482515698,8.317501294080418e-25,1.3701750273890367e-10,-0.03765609823144245,0.4963761217373164,luad,True,True,False
19,ABCA1,0.40525319881190425,0.743944517639675,3.096078506405289e-14,0.01420910608135043,-0.3386913188277707,0.024901468305837376,luad,False,True,False
20,ABCA12,0.1263698093937284,0.1190282381663022,0.34886438101511985,0.5136179486340696,0.007341571227426208,0.9673969709176514,luad,False,False,False
21,ABCA13,0.218736030566769,0.3148171849093965,0.011287130524234235,0.25429161209560447,-0.09608115434262748,0.6616909119790209,luad,False,False,False
22,ABCA2,0.1981895442272087,0.4782743191963286,0.0001110845311222738,0.31202563052316484,-0.28008477496911993,0.2340866017381491,luad,False,False,False
23,ABCA3,0.6890059634525547,0.7073782748348033,1.850726021730106e-12,3.37911381473001e-06,-0.018372311382248596,0.8526830126826783,luad,True,True,False
24,ABCA6,0.30360781902284134,0.32241215460721584,0.006488354271536421,0.07621946730965849,-0.0188043355843745,0.9052762865487407,luad,False,False,False
25,ABCA7,0.12005435360000073,0.2779366640443653,0.05578413660199898,0.5853186985989219,-0.15788231044436457,0.5194304695349219,luad,False,False,False
26,ABCA8,0.5137146216339881,0.5860406997637617,4.121344759378046e-08,0.001352685240509495,-0.07232607812977365,0.6213787700199238,luad,False,True,False
27,ABCB1,0.4818543882474277,0.654262773318488,2.588881789162802e-10,0.002923275896293017,-0.17240838507106032,0.6134090038304196,luad,False,True,False
