Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,0.19694633511770598,0.1398836424984196,0.18454794631071839,LSCC
A2M,-0.06263035295897273,0.09598196132137458,0.13181150853014947,LSCC
A2ML1,0.6491227158287736,4.374925907187303e-22,4.7655129796626426e-21,LSCC
A4GALT,0.24683131406051995,0.1473688418430513,0.1932505041828481,LSCC
AAAS,0.304417815729752,0.006767771612761406,0.012092775345550501,LSCC
AACS,0.15066535442745332,0.06802666493187505,0.09708266215481128,LSCC
AADAC,-0.06825807178828025,0.4486155190537524,0.5130877756584263,LSCC
AAGAB,0.5011657691607756,8.268413728676069e-16,6.4296084151958184e-15,LSCC
AAK1,0.602200332384667,2.311210845870192e-12,1.4155027101664709e-11,LSCC
AAMDC,0.270512885884521,5.0848946192568874e-08,2.0687832861505098e-07,LSCC
AAMP,0.4386420702304977,2.9692238181838176e-08,1.2390952832044637e-07,LSCC
AAR2,0.5360522005180831,9.998196005836407e-07,3.4581733623750424e-06,LSCC
AARS,0.3960378763581053,4.931242346694979e-46,1.2855524112930726e-44,LSCC
AARS2,0.4569154144637025,1.9551390660865746e-06,6.460278658792447e-06,LSCC
AARSD1,0.5709320183828869,5.213132334888925e-07,1.879667051826783e-06,LSCC
AASDHPPT,0.5386780510573903,9.101814949227049e-12,5.305406451101729e-11,LSCC
AASS,0.4614097001989474,5.988169330382543e-10,2.987489159733301e-09,LSCC
AATF,0.48283323998775096,3.7835071296135383e-13,2.4237186803788317e-12,LSCC
ABAT,0.20013530745634223,4.283439906429022e-06,1.3505010215426306e-05,LSCC
ABCA1,0.27225861900275217,0.0006353193699187389,0.0013913289424630562,LSCC
ABCA12,0.6299581683333444,0.0001343480583820557,0.00033436303632585336,LSCC
ABCA13,0.230235749174097,0.18159893236046076,0.23285704101091875,LSCC
ABCA2,-0.20482058121275148,0.14076683199598988,0.1855330056532985,LSCC
ABCA3,0.18799199049244764,3.3988867110142597e-16,2.716860105546766e-15,LSCC
ABCA6,0.3674528790510117,1.4512386620385494e-17,1.2611043561167923e-16,LSCC
ABCA8,-0.2603484731596828,5.189774497353485e-16,4.088263663820995e-15,LSCC
ABCB1,-0.46173110826902736,5.464522272427054e-28,7.675041553430815e-27,LSCC
ABCB10,0.5200822809116276,5.383172933471087e-06,1.67488474412605e-05,LSCC
ABCB5,-0.08253907628825885,0.5509667381561496,0.6131585162126905,LSCC
ABCB6,0.7224827181990586,8.019100597738695e-10,3.9321444563832814e-09,LSCC
ABCB7,0.3788481196187254,0.004058230621458581,0.007551698919184566,LSCC
ABCB8,0.16550953259565154,0.263867637064794,0.3232118402852254,LSCC
ABCC1,0.7776197011464927,6.798892884935563e-168,1.2966800798620088e-165,LSCC
ABCC10,0.5755740161014427,0.00011265525332062835,0.0002843453120149874,LSCC
ABCC2,0.35898183850125465,0.1075249786585661,0.1460582335370826,LSCC
ABCC3,0.1301218531099626,0.2222562514747044,0.27842218365769894,LSCC
