Gene,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval,interaction_FDR,condition_FDR,intercept_FDR,Cancer
A1BG,-0.16902586135862543,0.03874741677137563,0.3925066811837977,-1.6641814708501799,0.6010229996374785,0.9859863648031804,0.21901988264864986,0.4466715484920234,0.8847786135177238,0.9950608599095963,0.999907087318879,Endometrial
A2M,-0.08123494496061102,0.673246499616786,0.10426143044301908,-1.2714442796179197,0.8936195292378798,0.9440217083228862,0.8618733965786662,0.8933611392032539,0.9764081743689658,0.9861952074539417,0.999907087318879,Endometrial
A2ML1,0.20530950057573283,-1.6002117294161051,0.23456242585396503,-1.0751123116520482,0.35401041631005237,0.18856482895130358,0.2851296846809189,0.3661142033585245,0.7563520220167832,0.5817140666869349,0.9981115241616025,Endometrial
A4GALT,0.2655479256135946,-2.827830868778418,0.165880259636742,-1.2964011330638825,0.646091185136056,0.5998819254193006,0.7709056594426947,0.806702231092921,0.9032143270559622,0.8768786484997085,0.999907087318879,Endometrial
AAAS,0.5461008484831001,-5.497266869749738,-0.23577031886829586,2.3679731609403847,0.2676427906818699,0.2658917312567914,0.6273981487663438,0.6267872191656081,0.6941463192296764,0.6639390834875024,0.999907087318879,Endometrial
AACS,0.6039566415055171,-5.492681535686811,0.16717351228188176,-2.2060728259984352,0.026978218332078526,0.03137859976753072,0.5279202250471862,0.3711361756291246,0.2347792196836842,0.23968536811843572,0.9994977410344582,Endometrial
AADAT,0.12363166183323875,-0.664754784322947,0.26356786669612203,-2.527807305700815,0.8525846733456153,0.9115599092709481,0.6906556900583427,0.6714003752543423,0.966937100012514,0.9809351630747737,0.999907087318879,Endometrial
AAED1,0.7573526067153225,-6.702267480242043,-0.4722220963368195,4.276113184306934,0.008114240906635373,0.006981453449313341,0.07752396244720011,0.06822346198915884,0.11735530460329335,0.0926302923204279,0.6405626648290613,Endometrial
AAGAB,0.7478112586830781,-7.537266838293278,-0.019712206116973087,-0.3322626844486312,0.0059799009651554024,0.0077105518266459925,0.9377301642750069,0.8985046936063142,0.09709091558727408,0.09768236171771257,0.999907087318879,Endometrial
AAK1,0.513400173220523,-6.421549561145126,-0.033578519855631817,0.7262343153691789,0.026578426701436227,0.01975611538702766,0.8806850124738186,0.7849001677868814,0.23329788637706386,0.18289949131469402,0.999907087318879,Endometrial
AAMDC,0.23336454516733537,-2.474786965394062,0.5100123708048949,-3.7678410750627997,0.5348228994206101,0.46595728528573943,0.1589634866696767,0.2520494127298731,0.859270225692306,0.8079715528837816,0.9525577100320591,Endometrial
AAMP,0.670546283082131,-7.8830123315585015,0.13863325355473924,-1.5098374368967666,0.28787058590872633,0.27888594308159453,0.8231188190844921,0.8328594754358319,0.7073868620323249,0.6748186025079205,0.999907087318879,Endometrial
AAR2,0.3204017148477886,-3.5091906918288926,0.1054674614556221,-0.8992434833263603,0.48683250249641075,0.45775472465336375,0.8142168137324605,0.8450980798296504,0.8361367397268312,0.8044774028572029,0.999907087318879,Endometrial
AARS,0.7996202958950431,-9.75911377268597,-0.19231529179311654,2.3340379013480494,0.0015956394912885021,0.0014319928995942116,0.4320518471261169,0.4296808702498077,0.03995134244027548,0.03033247359920459,0.999907087318879,Endometrial
AARS2,0.6842671982989139,-7.183748195087557,-0.24465894052968404,2.513172193923929,0.2895815586622966,0.29256866081738503,0.7019679469978917,0.7098226568782395,0.7092697770445392,0.6859039910885804,0.999907087318879,Endometrial
AARSD1,1.1447597998402903,-11.04107069546584,-0.8509731851048956,8.247410265365646,0.17123628779765734,0.16954194369015615,0.3003023383089184,0.29651873393750466,0.576833181954513,0.5513959712612794,0.972099812637246,Endometrial
AASDHPPT,0.2736484551445583,-3.186547390818996,0.19393834505124544,-1.7967467495929377,0.4521351798985379,0.4145381036314132,0.5879575109352395,0.6400280884948999,0.8173460746914005,0.7784517290374801,0.999907087318879,Endometrial
AASS,0.40574604693480426,-4.797166625424102,0.4057065665052589,-4.241884287173855,0.08503787131630389,0.09721129637827901,0.07818098507476591,0.13520884147929982,0.4311326448592506,0.4312476556622509,0.8150238133792056,Endometrial
AATF,0.5623964798028747,-5.776227999319637,-0.12464203297854506,1.2147497923104482,0.24779271373658443,0.2568707347490546,0.7950768673574236,0.8089281493575975,0.6742992372004537,0.6561751932092533,0.999907087318879,Endometrial
ABAT,-0.3930023585720612,3.040742433234812,0.911811030115919,-7.734292537150253,0.23031180514480024,0.289220092863201,0.00547473087244332,0.007099469640932595,0.6549195415805286,0.6835817905633033,0.19329172999258898,Endometrial
ABCA8,-0.09386466814046217,0.8085584996954978,0.2835884581224334,-2.7065465859112727,0.6982165872123702,0.7817777920066582,0.23850274082431694,0.3522820479319527,0.9228815544677531,0.9443456277004716,0.9900897464257783,Endometrial
ABCB1,-0.12902969629473138,1.5441637101902543,0.5256159925616242,-5.251821013482383,0.7397038656602425,0.7231243207464244,0.1747980884452042,0.22779461374606588,0.9345275430737515,0.925985439006046,0.9312546765711481,Endometrial
ABCB10,-0.1742637033623087,1.7729829930140857,0.6441450253634852,-6.361991277462113,0.8166173129196018,0.8073993102759693,0.38663031358888,0.3767702432940915,0.9553323390923794,0.9533072569824739,0.999907087318879,Endometrial
ABCB6,-0.38035789261440567,3.366608260586233,0.8654479501905359,-7.949062130929194,0.41162350496106714,0.42943238330720546,0.0613360983776337,0.06151691182230161,0.7950122215641253,0.7891588919910397,0.6117611390704192,Endometrial
ABCB7,0.44882681562785537,-4.043838378622856,0.12058664503962269,-1.8979952689962272,0.7246573767475291,0.7707252743115998,0.9229249877099587,0.8889151648161124,0.9295943697165642,0.9413844800574274,0.999907087318879,Endometrial
ABCB8,0.46092624929041115,-4.017598340752899,-0.009702141503616804,-0.3222525114642016,0.2626560464070338,0.3098342758634831,0.9801010481412552,0.9312801664593666,0.6908126117863606,0.7004412242241774,0.999907087318879,Endometrial
ABCC1,0.5325231209755824,-5.3039883534282035,-0.18688784132344008,1.3327503424347589,0.21573549337102432,0.2548768142334384,0.6509883439607782,0.7638140564026799,0.6411351842163782,0.6557956571422652,0.999907087318879,Endometrial
ABCC10,0.1931489098254978,-1.7022314920449793,-0.2788937084228357,2.543165470356439,0.7022936085566824,0.7194961223993996,0.5593376015571423,0.567342893768036,0.9234245894764918,0.9240874695741078,0.999907087318879,Endometrial
ABCC3,0.38400158676022217,-4.022257191956294,0.07331595165577572,-0.7080510666748374,0.0002812882136322157,2.35040368233361e-05,0.4367830062271062,0.37988956485262926,0.011107434806586571,0.0010729795430860028,0.999907087318879,Endometrial
ABCC4,0.5267577086144519,-5.1324484111659405,0.02692763299592288,-0.6678744884774306,0.1529999221735952,0.1827956141525133,0.940749663532207,0.8599294831779838,0.5530586734056717,0.5736261776264499,0.999907087318879,Endometrial
ABCD1,0.329768121502739,-2.346886972680009,0.3045295300494119,-2.9368545696669996,0.30362247692217803,0.38611620391826595,0.32949446109338854,0.26610979716323707,0.7168846028378825,0.7607831109516999,0.9685403510462428,Endometrial
ABCD3,0.6896082785644781,-6.45048156433283,-0.049533060060557285,-0.838010105151018,0.46658645847202584,0.5436146593822799,0.957445483953544,0.935707947740233,0.8249578004435769,0.8465553385557605,0.999907087318879,Endometrial
ABCD4,0.6106055635944369,-5.618073120979188,-0.0891498049651232,0.5046555385949322,0.410601903524908,0.4435796672615424,0.9019896348170974,0.9437228764415297,0.7950122215641253,0.7976384075433043,0.999907087318879,Endometrial
ABCE1,0.4221627909437136,-4.644493788484744,-0.09225503797822328,0.8870479992813853,0.05398639853417996,0.06633092610052203,0.6636872949243683,0.7173261489475218,0.34927913675962124,0.35763629718890233,0.999907087318879,Endometrial
ABCF1,0.4357216477781526,-4.736034249777683,0.0814146613706361,-1.0415032828199724,0.04798075533667546,0.05418600864699177,0.6997119398583926,0.6583907133815705,0.3274085928283788,0.3197125446129749,0.999907087318879,Endometrial
ABCF2,0.7172632186753672,-7.706137461485213,-0.08724564331759598,0.854036873754287,3.545720503083674e-09,6.386602700955296e-09,0.38581540694575656,0.437211465164582,1.0664332497634874e-06,9.018734560775672e-07,0.999907087318879,Endometrial
ABCF3,0.5187858010817594,-5.245387446937888,0.04364927076489801,-0.610845034624908,0.26514473111693543,0.2825236872777265,0.9243321096547648,0.8991043655784454,0.69322687949145,0.6788131515332125,0.999907087318879,Endometrial
