Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.08434022296098848,0.6767250816959614,0.9529260784855291,Endometrial,CTCF
A2M,-0.3774434836671039,0.18122415440590567,0.7990709443592529,Endometrial,CTCF
A2ML1,-0.15833806896534508,0.10197922000954344,0.7503305411997356,Endometrial,CTCF
A4GALT,0.11497770092971149,0.6354024030082713,0.9461318012486771,Endometrial,CTCF
AAAS,0.07759782316879305,0.6562987405621574,0.948780208896576,Endometrial,CTCF
AACS,0.0011134039556152109,0.9404840003532647,0.9944881682797186,Endometrial,CTCF
AADAT,0.3165720582910506,0.14060519005252717,0.7775201136819446,Endometrial,CTCF
AAED1,0.09271761124817401,0.6755930626170552,0.9528872419529909,Endometrial,CTCF
AAGAB,-0.023211792282893273,0.8857782353500918,0.9902676358816644,Endometrial,CTCF
AAK1,0.0636822175275642,0.5388200660186975,0.9317583513315711,Endometrial,CTCF
AAMDC,-0.28538933412727974,0.024428503570579768,0.56566108577968,Endometrial,CTCF
AAMP,-0.2927482388236008,0.24463120004800154,0.832933294834602,Endometrial,CTCF
AAR2,-0.3886606359662662,0.15769535554354008,0.7892189261495035,Endometrial,CTCF
AARS,-0.1595146394159237,0.10254706665596944,0.7520622498930996,Endometrial,CTCF
AARS2,-0.003266027332341881,0.9968554472184361,0.9996477668165288,Endometrial,CTCF
AARSD1,0.052800441596132563,0.9875535622913846,0.997510624219234,Endometrial,CTCF
AASDHPPT,-0.4580102564000343,0.0038558822790813246,0.3166035777218792,Endometrial,CTCF
AASS,0.0007129064293132092,0.9960387909106778,0.9996477668165288,Endometrial,CTCF
AATF,-0.22748298180850995,0.3806067644642983,0.8921381934814783,Endometrial,CTCF
ABAT,-0.117625827393814,0.5430329948882935,0.9320342905899919,Endometrial,CTCF
ABCA8,0.04857891507856049,0.7548101530012458,0.9666528215795931,Endometrial,CTCF
ABCB1,-0.221760629626226,0.1900829947429481,0.8086821774631808,Endometrial,CTCF
ABCB10,-0.26410433482920825,0.18885125613618003,0.8086467882852851,Endometrial,CTCF
ABCB6,-0.06541067712417525,0.777348065422504,0.9710391136848999,Endometrial,CTCF
ABCB7,-0.397469595025129,0.11121259076573842,0.7569212805363673,Endometrial,CTCF
ABCB8,-0.040911847871713314,0.9057180787277227,0.9930103679111921,Endometrial,CTCF
ABCC1,-0.06200315641430684,0.78824721250215,0.9736815303860764,Endometrial,CTCF
ABCC10,-0.11175073119100822,0.6129198921180289,0.9437721811648325,Endometrial,CTCF
ABCC3,-0.05825445009233288,0.5997223684289981,0.9434292354430851,Endometrial,CTCF
ABCC4,0.008116689998481252,0.9544449261499098,0.9958228909141238,Endometrial,CTCF
ABCD1,-0.9568364604229671,8.999854106461263e-05,0.05862504964948867,Endometrial,CTCF
ABCD3,-0.16491789196806325,0.5288278157045305,0.9317583513315711,Endometrial,CTCF
ABCD4,-0.1126148158998696,0.6202327215045289,0.9440973062539713,Endometrial,CTCF
ABCE1,-0.25058226860924926,0.2463697939181505,0.832933294834602,Endometrial,CTCF
ABCF1,0.0008670061154159026,0.9693832985546532,0.9972564817001033,Endometrial,CTCF
