Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.12138504005102307,0.5022814085912581,0.9868048824467297,Endometrial,PIK3CA
A2M,0.002830504507089028,0.9917541844005776,0.9987898231798022,Endometrial,PIK3CA
A2ML1,0.10862576360718368,0.1940516710362885,0.9868048824467297,Endometrial,PIK3CA
A4GALT,0.20773979807694676,0.38927764212916216,0.9868048824467297,Endometrial,PIK3CA
AAAS,-0.023895057674089448,0.8656545268585328,0.9918034607254501,Endometrial,PIK3CA
AACS,-0.037219690697842034,0.6878345781701289,0.9913659831492233,Endometrial,PIK3CA
AADAT,0.033809902472857756,0.8588524075724736,0.9917728944984265,Endometrial,PIK3CA
AAED1,0.02470145496637083,0.9095549455944582,0.9953823199847799,Endometrial,PIK3CA
AAGAB,0.02653165455310158,0.821399146834096,0.9913659831492233,Endometrial,PIK3CA
AAK1,0.26348306544697875,0.007175328760838473,0.9868048824467297,Endometrial,PIK3CA
AAMDC,-0.014569513286023739,0.8919279170762264,0.9935699941883241,Endometrial,PIK3CA
AAMP,-0.215993744946387,0.2831039590842831,0.9868048824467297,Endometrial,PIK3CA
AAR2,-0.28753675949412527,0.22344727693466848,0.9868048824467297,Endometrial,PIK3CA
AARS,0.0018013999199620878,0.9733869450124344,0.997649362592121,Endometrial,PIK3CA
AARS2,-0.3591132988159815,0.031383292754876314,0.9868048824467297,Endometrial,PIK3CA
AARSD1,0.43092281303205643,0.2942818434501555,0.9868048824467297,Endometrial,PIK3CA
AASDHPPT,0.00804761188063563,0.9540371369166372,0.996477139461177,Endometrial,PIK3CA
AASS,-0.02739033189201423,0.5872733348491079,0.9868048824467297,Endometrial,PIK3CA
AATF,-0.012163092912929163,0.949457868119257,0.996477139461177,Endometrial,PIK3CA
ABAT,0.15003945061283586,0.35481902393011855,0.9868048824467297,Endometrial,PIK3CA
ABCA8,0.07190029454203928,0.6250526244987386,0.9896570691947781,Endometrial,PIK3CA
ABCB1,-0.153853980915179,0.2872792638842073,0.9868048824467297,Endometrial,PIK3CA
ABCB10,-0.3223676096292841,0.05804840087779217,0.9868048824467297,Endometrial,PIK3CA
ABCB6,-0.18696965039650226,0.2614786191202112,0.9868048824467297,Endometrial,PIK3CA
ABCB7,0.1597864036563184,0.47858818956206217,0.9868048824467297,Endometrial,PIK3CA
ABCB8,0.05032733904631859,0.821693563852197,0.9913659831492233,Endometrial,PIK3CA
