Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.35201240150293966,0.1507748667368364,0.9825484778938879,HNSCC,MUC16
A2M,-0.10181905834796033,0.6747456142033981,0.9882415787654415,HNSCC,MUC16
A2ML1,0.01186134798860794,0.9268596807826108,0.9978352311784434,HNSCC,MUC16
AAAS,-0.15431322062524644,0.5227661233502389,0.9842683173835031,HNSCC,MUC16
AACS,0.06794368243488025,0.5213426679767914,0.9842683173835031,HNSCC,MUC16
AADAC,-0.5551924609978088,0.05459759582997183,0.9825484778938879,HNSCC,MUC16
AAGAB,0.010484964203689828,0.9571381523580564,0.9978352311784434,HNSCC,MUC16
AAK1,0.038940772541315116,0.6909481368577082,0.9882415787654415,HNSCC,MUC16
AAMDC,-0.6475439886906079,0.0048189530046767615,0.5310906691906752,HNSCC,MUC16
AAMP,0.06410996362388555,0.6459288414627564,0.9882415787654415,HNSCC,MUC16
AAR2,-0.264058574039299,0.31433904417161673,0.9825484778938879,HNSCC,MUC16
AARS,0.09697189319331267,0.4248929886825811,0.9833826693495221,HNSCC,MUC16
AARS2,0.013117293577002975,0.9146843096654366,0.9978352311784434,HNSCC,MUC16
AARSD1,-0.12068925766321836,0.5465921034651282,0.9863902358682196,HNSCC,MUC16
AASDH,0.32753951201173875,0.531521723065691,0.9842683173835031,HNSCC,MUC16
AASDHPPT,-0.15642983891115536,0.13487096461330317,0.9825484778938879,HNSCC,MUC16
AASS,0.0010425626410716093,0.9987609913955344,0.9994348434081706,HNSCC,MUC16
AATF,-0.1435383248149808,0.616779158579471,0.9882415787654415,HNSCC,MUC16
ABAT,0.026031483626502205,0.6886287397649111,0.9882415787654415,HNSCC,MUC16
ABCA1,0.19982476319169104,0.5274317344604356,0.9842683173835031,HNSCC,MUC16
ABCA12,0.02924933846321154,0.7239192808509647,0.9882415787654415,HNSCC,MUC16
ABCA8,0.010043419003882836,0.9425854793906482,0.9978352311784434,HNSCC,MUC16
ABCB10,-0.20632624412926437,0.48466187952907214,0.9836316783032822,HNSCC,MUC16
ABCB6,0.07917682538599402,0.48973860294188565,0.9836316783032822,HNSCC,MUC16
ABCB7,-0.24969554084217915,0.2705481913814891,0.9825484778938879,HNSCC,MUC16
ABCB8,0.26057867016481007,0.2875417801915062,0.9825484778938879,HNSCC,MUC16
ABCC10,-0.23041442190178316,0.3448316741684402,0.9825484778938879,HNSCC,MUC16
ABCC3,-0.06787411426344137,0.7480581469128875,0.9892827816611656,HNSCC,MUC16
ABCC5,-0.11032419609023913,0.23016601200174225,0.9825484778938879,HNSCC,MUC16
ABCD1,0.2377792222928653,0.09861928024435304,0.9825484778938879,HNSCC,MUC16
ABCD3,-0.004410214375749177,0.9605779231696244,0.9978352311784434,HNSCC,MUC16
ABCE1,-0.0874596174662885,0.6874347155211211,0.9882415787654415,HNSCC,MUC16
ABCF1,0.17259176057220682,0.20694363138855343,0.9825484778938879,HNSCC,MUC16
ABCF2,0.1578525533422107,0.17974716337358676,0.9825484778938879,HNSCC,MUC16
ABCF3,0.10628701616766045,0.3861175955004952,0.9825484778938879,HNSCC,MUC16
ABCG1,-0.41624389164896947,0.08849675535127023,0.9825484778938879,HNSCC,MUC16
ABHD10,-0.348045247931284,0.07011617750112546,0.9825484778938879,HNSCC,MUC16
ABHD11,-0.1506560525260952,0.3357977676411562,0.9825484778938879,HNSCC,MUC16
ABHD12,0.09481867888076789,0.6051262930934926,0.9882415787654415,HNSCC,MUC16
ABHD13,0.36899705475049815,0.2983254906622248,0.9825484778938879,HNSCC,MUC16
ABHD14B,-0.1908831042334928,0.39001490773999714,0.9825484778938879,HNSCC,MUC16
ABHD16A,0.006434627488777878,0.9288444665292305,0.9978352311784434,HNSCC,MUC16
ABHD17B,-0.038914111705343424,0.8695087581647536,0.9946564853800927,HNSCC,MUC16
ABHD17C,0.10803126576676134,0.6835614589376546,0.9882415787654415,HNSCC,MUC16
ABHD3,0.11219534104664797,0.7176949415925651,0.9882415787654415,HNSCC,MUC16
ABHD4,-0.12598580441541196,0.40452168166584324,0.9825484778938879,HNSCC,MUC16
ABHD5,-0.39323945461035636,0.1492570357499639,0.9825484778938879,HNSCC,MUC16
ABHD6,-0.01608419041976772,0.9543509726952888,0.9978352311784434,HNSCC,MUC16
ABI1,-0.0494199117768212,0.8131679418505444,0.9946564853800927,HNSCC,MUC16
ABI2,0.12679516509690347,0.36837277131946145,0.9825484778938879,HNSCC,MUC16
ABI3,-0.13749998972109967,0.30464140856881683,0.9825484778938879,HNSCC,MUC16
ABI3BP,-0.017056256872589826,0.8537277346370215,0.9946564853800927,HNSCC,MUC16
ABL1,0.05350771198939783,0.8335596999391051,0.9946564853800927,HNSCC,MUC16
ABL2,-0.2651935135576011,0.31091578062597236,0.9825484778938879,HNSCC,MUC16
ABLIM1,0.33165373678919585,0.062068577494202234,0.9825484778938879,HNSCC,MUC16
ABLIM2,-0.016830069683249516,0.9113458466335832,0.9978352311784434,HNSCC,MUC16
ABLIM3,0.20490482047745384,0.2290141656155985,0.9825484778938879,HNSCC,MUC16
ABO,-0.6909613074547184,0.024053796814287622,0.8779484225826263,HNSCC,MUC16
ABR,-0.19134188429821486,0.08920222224502457,0.9825484778938879,HNSCC,MUC16
ABRACL,-0.2428603065675241,0.251905211820751,0.9825484778938879,HNSCC,MUC16
ABRAXAS1,0.12771462010719567,0.6634707311071129,0.9882415787654415,HNSCC,MUC16
ABRAXAS2,0.08219595050255829,0.7234918646103686,0.9882415787654415,HNSCC,MUC16
ABT1,0.2126626898706222,0.4008358957483641,0.9825484778938879,HNSCC,MUC16
ABTB1,-0.4517034838885649,0.14222815094882663,0.9825484778938879,HNSCC,MUC16
ABTB2,0.058037657026786815,0.6968018761393282,0.9882415787654415,HNSCC,MUC16
ACAA1,-0.07366708370070907,0.7616381413220247,0.992573438303273,HNSCC,MUC16
ACAA2,-0.13512978025955635,0.4839495578167753,0.9836316783032822,HNSCC,MUC16
ACACA,0.09703415283271866,0.3384918509693666,0.9825484778938879,HNSCC,MUC16
ACACB,-0.022671973797617997,0.9183582511870636,0.9978352311784434,HNSCC,MUC16
ACAD10,0.10085194086412541,0.740649735901097,0.9883701425040391,HNSCC,MUC16
ACAD8,-0.1372332877944809,0.3902242965733763,0.9825484778938879,HNSCC,MUC16
