Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.4721653831327083,0.04932566092659092,0.728346586837411,LSCC,XIRP2
A2M,-0.5319985629047874,0.017238470601780007,0.5688135607983449,LSCC,XIRP2
A2ML1,-0.0386836720862439,0.4464756180536351,0.9132720648808025,LSCC,XIRP2
A4GALT,-0.28039880145526314,0.1681492470212027,0.821982105568294,LSCC,XIRP2
AAAS,0.30762101288742577,0.1385868282808977,0.7985190663425296,LSCC,XIRP2
AACS,0.05659175119164084,0.7621597414552683,0.9727275464535844,LSCC,XIRP2
AADAC,-0.0964405338518417,0.5412847081324602,0.9284412801531192,LSCC,XIRP2
AAGAB,-0.17810255715249385,0.35790885132810935,0.8909082612598077,LSCC,XIRP2
AAK1,-0.0712400508829869,0.5431633754120834,0.9286960606179346,LSCC,XIRP2
AAMDC,-0.042045204982856244,0.7544618418924987,0.9714679653256043,LSCC,XIRP2
AAMP,0.14467634140085472,0.28662119076552994,0.8803617039060293,LSCC,XIRP2
AAR2,-0.022501932890727105,0.8683418581912716,0.984418651013841,LSCC,XIRP2
AARS,0.0316456186879267,0.6507362641484542,0.9542900415064507,LSCC,XIRP2
AARS2,0.07826862126758438,0.5162622856412453,0.9257234636345233,LSCC,XIRP2
AARSD1,-0.17130897987898325,0.3823660503248675,0.8974610126877439,LSCC,XIRP2
AASDHPPT,0.09939294351331418,0.39260637305288104,0.8995396999439553,LSCC,XIRP2
AASS,-0.19316620657278993,0.010923144796964181,0.4764460110366823,LSCC,XIRP2
AATF,-0.062276369248908225,0.6594335880015356,0.9558552972557531,LSCC,XIRP2
ABAT,0.027693115466215668,0.6763146588379165,0.9583715511157653,LSCC,XIRP2
ABCA1,-0.016986483375662664,0.8286391086828695,0.9824223260603885,LSCC,XIRP2
ABCA12,-0.5123221467498278,0.026704372602913057,0.6481375416480317,LSCC,XIRP2
ABCA13,-0.307320822590185,0.26017805401337324,0.8803617039060293,LSCC,XIRP2
ABCA2,0.10371408145305222,0.7026873123644299,0.962665128263438,LSCC,XIRP2
ABCA3,-0.33770536308076843,0.002010224725717355,0.2516484704639968,LSCC,XIRP2
ABCA6,-0.3459348628403218,0.07567578568041619,0.7619441789205602,LSCC,XIRP2
ABCA8,-0.623887151840762,0.0052142357813834885,0.35754403700399956,LSCC,XIRP2
ABCB1,-0.18122201931177395,0.41949525869167936,0.9057344411890067,LSCC,XIRP2
ABCB10,0.18528495905561881,0.18121219445420145,0.8295073394636546,LSCC,XIRP2
ABCB5,0.18432002904714373,0.4888230902980377,0.9219607234812988,LSCC,XIRP2
ABCB6,-0.014614165813362723,0.8641450555346912,0.9840706105895903,LSCC,XIRP2
ABCB7,0.26513331405197027,0.16460445178764194,0.8215231825935772,LSCC,XIRP2
ABCB8,0.20824968509554564,0.3156666471740701,0.8803617039060293,LSCC,XIRP2
ABCC1,0.02368507329393965,0.5287105467217232,0.9284412801531192,LSCC,XIRP2
ABCC10,0.411460431472578,0.013778494517389194,0.5314888514428885,LSCC,XIRP2
ABCC2,0.4156942100708935,0.11691277168940571,0.7867584811365944,LSCC,XIRP2
ABCC3,0.21737266372864228,0.15323761085580712,0.8114027784751107,LSCC,XIRP2
ABCC4,0.10112986731877083,0.5516614255723515,0.9316037165998641,LSCC,XIRP2
ABCC5,-0.015468940491422556,0.6409216072828545,0.9537120479078979,LSCC,XIRP2
ABCC6,-0.06782120847164548,0.7877472729924835,0.9757563827467088,LSCC,XIRP2
ABCD1,-0.0585040667743405,0.7322667599622836,0.9678095230442507,LSCC,XIRP2
ABCD2,-0.1272067134873584,0.5828696009893044,0.9408639642816715,LSCC,XIRP2
ABCD3,-0.13786722111777516,0.29124775472822895,0.8803617039060293,LSCC,XIRP2
ABCD4,0.14303370561266632,0.4415176326254443,0.9115843961782057,LSCC,XIRP2
ABCE1,0.009168147029745777,0.8953460590419967,0.9881325904981639,LSCC,XIRP2
ABCF1,-0.019663222434344485,0.9170042867766037,0.9916722843357705,LSCC,XIRP2
ABCF2,0.04869414939290928,0.5650953787198966,0.9356572717384016,LSCC,XIRP2
ABCF3,0.06164654860861252,0.2809105534930221,0.8803617039060293,LSCC,XIRP2
ABCG1,-0.09261399192995168,0.36581779218480504,0.8920167671107141,LSCC,XIRP2
ABHD10,0.1367260480815209,0.3486933520621802,0.8866075899444427,LSCC,XIRP2
ABHD11,-0.08768248877191165,0.3939356421286728,0.8995396999439553,LSCC,XIRP2
ABHD12,-0.0011042465470025853,0.9598728631746977,0.9954031951832462,LSCC,XIRP2
ABHD13,-0.013988058937508263,0.9555177828951598,0.9952022081871447,LSCC,XIRP2
ABHD14A-ACY1,0.07955015754307926,0.6869675784463114,0.961162036699879,LSCC,XIRP2
ABHD14B,-0.06591882741885258,0.5810929131317879,0.940539461085899,LSCC,XIRP2
ABHD15,0.2541146879290884,0.26360398146209807,0.8803617039060293,LSCC,XIRP2
ABHD16A,0.24534460647574846,0.16667500795078372,0.821982105568294,LSCC,XIRP2
ABHD17A,0.1128891803094185,0.5894361370197388,0.9436056093565888,LSCC,XIRP2
ABHD17B,0.1094870234359413,0.3565677039178853,0.8906510687304225,LSCC,XIRP2
ABHD17C,0.08128060865212283,0.6238474375361762,0.952337560286282,LSCC,XIRP2
ABHD3,0.17252429292111804,0.23789621974936082,0.86949061783281,LSCC,XIRP2
ABHD4,-0.05121424735781177,0.4826883724137687,0.9219607234812988,LSCC,XIRP2
ABHD5,0.014944276329173056,0.8904231904302362,0.9876603484322041,LSCC,XIRP2
ABHD6,-0.24331789649171826,0.08141999196179557,0.7619441789205602,LSCC,XIRP2
ABI1,0.04443323573234359,0.7575400584031498,0.97184274392849,LSCC,XIRP2
ABI2,0.19582932399656694,0.1602519170536637,0.8183476585999316,LSCC,XIRP2
ABI3,-0.21137207322724283,0.04109667344966021,0.7051216758048874,LSCC,XIRP2
ABI3BP,-0.0799860444412111,0.6392161154633685,0.9537120479078979,LSCC,XIRP2
ABL1,-0.26636979682860673,0.1840350786690922,0.8295073394636546,LSCC,XIRP2
ABL2,0.08524079328791584,0.673739890866506,0.9580796445542876,LSCC,XIRP2
ABLIM1,-0.18724044985269095,0.04077172170801713,0.7051216758048874,LSCC,XIRP2
ABLIM2,-0.0959575305441489,0.49498486764906446,0.9219607234812988,LSCC,XIRP2
ABLIM3,-0.38566337836018666,0.0073321923501406564,0.42339434891660915,LSCC,XIRP2
ABR,0.19404271288177144,0.21483959218829296,0.8506390692178963,LSCC,XIRP2
ABRACL,0.12101818778333451,0.3705289934427972,0.8955258407512837,LSCC,XIRP2
ABRAXAS1,-0.023040322194275736,0.9990233638278077,0.9996941762353402,LSCC,XIRP2
ABRAXAS2,0.13278074471629253,0.495547379299774,0.9219607234812988,LSCC,XIRP2
ABT1,0.022846441929628036,0.9067156433783367,0.9906419139597974,LSCC,XIRP2
ABTB1,-0.5065992460321552,0.020592648525716073,0.603221909633182,LSCC,XIRP2
ABTB2,0.3722130626427236,0.37518793278688156,0.8974610126877439,LSCC,XIRP2
ACAA1,-0.17427879450441242,0.3207752654481525,0.8803617039060293,LSCC,XIRP2
ACAA2,-0.03679777618600977,0.6517603123682516,0.9543408417328405,LSCC,XIRP2
ACACA,-0.14389051710839018,0.16221557898453765,0.820608980852473,LSCC,XIRP2
ACACB,-0.2456883242783947,0.4963451135929615,0.9219607234812988,LSCC,XIRP2
ACAD10,0.06745966154183725,0.610390453772756,0.9477079244192631,LSCC,XIRP2
ACAD11,0.15291207186458955,0.4946283974637703,0.9219607234812988,LSCC,XIRP2
ACAD8,0.056383670922420914,0.6578043788526858,0.9556950389040979,LSCC,XIRP2
ACAD9,-0.35962093314552596,0.0025205138097708674,0.27843458531197096,LSCC,XIRP2
ACADL,-0.19975351469136177,0.2506204531329197,0.8788207637527753,LSCC,XIRP2
ACADM,-0.05851948018891273,0.7218702917528492,0.967475639599658,LSCC,XIRP2
ACADS,0.009568688359839816,0.953727270233496,0.9952022081871447,LSCC,XIRP2
ACADSB,0.02759991752088209,0.713694326557904,0.9650545156883286,LSCC,XIRP2
ACADVL,-0.06601010906512195,0.7409970250959086,0.9689295352216626,LSCC,XIRP2
ACAN,-0.16292537520452965,0.403213556487378,0.8996565748131734,LSCC,XIRP2
ACAP1,-0.04435761189257503,0.37357237415485856,0.8974610126877439,LSCC,XIRP2
ACAP2,0.0016393020798125546,0.9266822696084552,0.9932179814386957,LSCC,XIRP2
ACAP3,0.2569285016788186,0.19635033004286184,0.8401383456574192,LSCC,XIRP2
ACAT1,0.05768945022548655,0.6717354093527279,0.9580403353493419,LSCC,XIRP2
ACAT2,0.08844553609554828,0.17609580517181378,0.8271877663412229,LSCC,XIRP2
ACBD3,0.2595936093121678,0.16600014533478336,0.821982105568294,LSCC,XIRP2
ACBD5,0.022258216518912577,0.768741600941637,0.9740071590422258,LSCC,XIRP2
ACD,-0.021530962847407686,0.97940788278245,0.9968017657089329,LSCC,XIRP2
ACE,-0.2471114795446575,0.09712514957075984,0.7778431009358804,LSCC,XIRP2
ACHE,-0.2827773450263362,0.22740014094417915,0.8588079570602762,LSCC,XIRP2
ACIN1,0.06899924127801349,0.670147879926287,0.9576673938807425,LSCC,XIRP2
ACKR3,0.128635110851392,0.10732730873554545,0.7805432036425852,LSCC,XIRP2
ACLY,0.0342193829902509,0.7934547230847073,0.9772031447782211,LSCC,XIRP2
ACO1,-0.008716958726356805,0.9606870836411294,0.9954681174728135,LSCC,XIRP2
ACO2,-0.014671728723804067,0.9774951427383545,0.9968017657089329,LSCC,XIRP2
ACOT1,0.031028927104123527,0.7946013252791915,0.9774307999046747,LSCC,XIRP2
ACOT11,-0.019802195292474623,0.8861195982944805,0.9867309353056246,LSCC,XIRP2
ACOT13,0.1308340739822741,0.3200528462711767,0.8803617039060293,LSCC,XIRP2
ACOT2,0.26520344818480346,0.23497930910926124,0.8664910601933797,LSCC,XIRP2
ACOT4,-0.06274602651976297,0.6968475999811945,0.962665128263438,LSCC,XIRP2
ACOT7,-0.04420219764185129,0.5140553737338863,0.9252505701796341,LSCC,XIRP2
ACOT8,-0.008024699593922213,0.9879111591853765,0.9993200674468978,LSCC,XIRP2
ACOT9,0.19457359477763103,0.37013840262079956,0.8952205106699632,LSCC,XIRP2
ACOX1,-0.41751764110006373,0.03327330549464484,0.665889091280486,LSCC,XIRP2
ACOX2,-0.3821087006161368,0.008989112787285777,0.44592902092943687,LSCC,XIRP2
ACOX3,-0.015424447968614086,0.9519421269449247,0.9952022081871447,LSCC,XIRP2
ACP1,0.09057085674475096,0.5724147526771731,0.93921713318285,LSCC,XIRP2
ACP2,0.11766498542162507,0.25818706904690925,0.8792836962059187,LSCC,XIRP2
ACP5,-0.03806690193847834,0.8588521154309674,0.9840706105895903,LSCC,XIRP2
ACP6,0.03001315321577691,0.7869436668629253,0.9756872619650983,LSCC,XIRP2
ACPP,-0.06105702673275826,0.3871299636108615,0.8974610126877439,LSCC,XIRP2
ACSF2,0.0947959425383531,0.324535974138619,0.8803617039060293,LSCC,XIRP2
ACSF3,0.07468308197252771,0.631400586486214,0.9536552035277497,LSCC,XIRP2
ACSL1,-0.03400806495933484,0.7810037482376615,0.9740263950594372,LSCC,XIRP2
ACSL3,0.13539769452780925,0.1982406907911809,0.8411975081929924,LSCC,XIRP2
ACSL4,-0.034076268885079086,0.848095715571334,0.9840706105895903,LSCC,XIRP2
ACSL5,-0.08905136928660584,0.2986364484223091,0.8803617039060293,LSCC,XIRP2
ACSL6,-0.28620963053608006,0.5654009477981538,0.9357561122838716,LSCC,XIRP2
ACSM3,-0.22963385447210066,0.2521863169675286,0.8792836962059187,LSCC,XIRP2
ACSS1,-0.06272718622493989,0.3046976042274995,0.8803617039060293,LSCC,XIRP2
ACSS2,0.09292440607544272,0.44018781042538635,0.9115843961782057,LSCC,XIRP2
ACSS3,-0.3183409503399235,0.0014650988577773745,0.20680277349432577,LSCC,XIRP2
