Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.03998859869927454,0.8323731641500853,0.972374389846271,LUAD,KRAS
A2M,-0.12057965156499784,0.5569484278717026,0.92560221397881,LUAD,KRAS
AAAS,0.10407464182445819,0.5874226226530094,0.9327762789369194,LUAD,KRAS
AACS,0.06662165100139417,0.4538701693420564,0.9110619112078364,LUAD,KRAS
AADAC,-0.06776802085591527,0.64221658169594,0.9452991677829461,LUAD,KRAS
AAED1,-0.003291238878695313,0.9344997283979682,0.9901283442901968,LUAD,KRAS
AAGAB,0.15597791680175555,0.17812333761117227,0.8149740781484324,LUAD,KRAS
AAMDC,-0.12276065922706891,0.40143232499591686,0.9001255449470857,LUAD,KRAS
AAMP,0.10322300815762808,0.5930412726177301,0.9353979942818752,LUAD,KRAS
AAR2,0.18089992645446884,0.253885781940719,0.8590447199375786,LUAD,KRAS
AARS,0.03982788627616185,0.23237910171811416,0.8508082319812658,LUAD,KRAS
AARS2,0.143850613839123,0.325652536538642,0.8763949435478783,LUAD,KRAS
AARSD1,-0.0704164752950196,0.43093432868679404,0.9086345645052363,LUAD,KRAS
AASDHPPT,-0.16463160528286913,0.17002216581906682,0.8061716346567903,LUAD,KRAS
AASS,-0.012090626613281197,0.9517285684081422,0.9929546601736409,LUAD,KRAS
AATF,0.10285527466834743,0.5205397367179636,0.9194624826343429,LUAD,KRAS
AATK,0.06029666391523103,0.6256225435063129,0.9409146977196774,LUAD,KRAS
ABAT,0.008652439933348854,0.9100167426902631,0.9850396129753043,LUAD,KRAS
ABCA1,-0.04439913909116244,0.8253922839884011,0.972374389846271,LUAD,KRAS
ABCA12,0.2773096967943792,0.31764703935447036,0.8738509956500772,LUAD,KRAS
ABCA13,0.03516776356086837,0.8510394071702558,0.9760547442815308,LUAD,KRAS
ABCA2,0.14094482122827096,0.5302013279213799,0.920390206025467,LUAD,KRAS
ABCA3,0.1810234135937301,0.12930240742771731,0.787787717218573,LUAD,KRAS
ABCA6,-0.055361237275931785,0.7635744363296009,0.9676982592346537,LUAD,KRAS
ABCA7,0.3060145960320336,0.18750670651420587,0.8219564586322865,LUAD,KRAS
ABCA8,-0.07593226344994469,0.6100769116934406,0.9372494748694656,LUAD,KRAS
ABCB1,0.1883541175877843,0.3822784369913924,0.8966248707114197,LUAD,KRAS
ABCB10,-0.05458762298902453,0.7197727491722195,0.9590930840580583,LUAD,KRAS
ABCB5,-0.15042318595670523,0.5507766008898276,0.9242639251214985,LUAD,KRAS
ABCB6,0.13803089167515803,0.25146937266889635,0.8578956706363453,LUAD,KRAS
ABCB7,-0.13879602324416307,0.26359433542727373,0.8662425292443315,LUAD,KRAS
ABCB8,-0.012223287907915936,0.9395044625932767,0.9905162404633122,LUAD,KRAS
ABCC1,0.10736996790543346,0.6667071970194068,0.9490817704735498,LUAD,KRAS
ABCC10,-0.45084002550742475,0.07855456320122403,0.7592376878522071,LUAD,KRAS
ABCC2,0.3502557034620195,0.1525496755935347,0.7960168604628087,LUAD,KRAS
ABCC3,-0.01419249152603086,0.8106246309647416,0.9716268833071419,LUAD,KRAS
ABCC4,0.02026222699610336,0.6980134798123047,0.9566153258723215,LUAD,KRAS
ABCC5,-0.3399108280635117,0.06293678475975284,0.7525965383864305,LUAD,KRAS
ABCC6,-0.2142621333364531,0.08412957412513883,0.7592376878522071,LUAD,KRAS
ABCC8,-0.12105778655113934,0.6369460735354211,0.943882339717026,LUAD,KRAS
ABCD1,0.017239914467006345,0.8992589962834386,0.9838664419159997,LUAD,KRAS
ABCD3,0.15104936277176317,0.2979158864103508,0.8738509956500772,LUAD,KRAS
ABCD4,-0.10697203628645,0.6072740855577178,0.9372494748694656,LUAD,KRAS
ABCE1,-0.1024514692962667,0.4095435638222621,0.90237486956834,LUAD,KRAS
ABCF1,-0.05360356207736017,0.48770204827080144,0.9148713300207322,LUAD,KRAS
ABCF2,0.010915536343586885,0.8940311536846178,0.9828718993594956,LUAD,KRAS
ABCF3,0.037327830103672244,0.750367502395297,0.963949953446665,LUAD,KRAS
ABCG1,0.14411423450575955,0.44601959181336814,0.9096200271015787,LUAD,KRAS
ABHD10,-0.12323485263622025,0.3595654015998284,0.8903659629789367,LUAD,KRAS
ABHD11,-0.004329895675821649,0.9787480862425859,0.9962242751777837,LUAD,KRAS
ABHD12,0.23020167662542856,0.2051212904767734,0.837346122460029,LUAD,KRAS
ABHD13,-0.086814340089276,0.6840437356487509,0.954543472878922,LUAD,KRAS
ABHD14B,0.04540143761679416,0.6138785642474481,0.9377125711521936,LUAD,KRAS
ABHD16A,-0.2716219522524995,0.18484123429046873,0.821848119074696,LUAD,KRAS
ABHD17A,0.05028991383763712,0.8402667853782522,0.9739443803854071,LUAD,KRAS
ABHD17B,-0.13835667009244718,0.45099711299348766,0.9110619112078364,LUAD,KRAS
ABHD17C,0.04140487642621138,0.5221812565023889,0.920390206025467,LUAD,KRAS
ABHD3,0.023436008933749475,0.953765995156749,0.9937318189622448,LUAD,KRAS
ABHD4,0.03773921933340829,0.6952512854464843,0.9563015122504984,LUAD,KRAS
ABHD5,-0.046931039869032576,0.7641803363067515,0.9676982592346537,LUAD,KRAS
ABHD6,0.16623095709011948,0.23898244286722603,0.8519710962121246,LUAD,KRAS
ABI1,0.28301688246218726,0.2465226331919912,0.8537947365659664,LUAD,KRAS
ABI2,-0.17936255009824864,0.27534524180314346,0.8738509956500772,LUAD,KRAS
ABI3,0.1733557204945272,0.03506785100229825,0.6776100149230498,LUAD,KRAS
ABI3BP,0.1998115719076819,0.1834159392565573,0.8212638107267821,LUAD,KRAS
ABL2,0.3609398420394883,0.012873126317086333,0.5567590374951499,LUAD,KRAS
ABLIM1,0.12227712586015937,0.11268434811013266,0.7731464504582464,LUAD,KRAS
ABLIM2,-0.02436032801500343,0.8665555404356942,0.9778174299667646,LUAD,KRAS
ABLIM3,0.20067867382168492,0.12594148250505957,0.7848061106254463,LUAD,KRAS
ABO,0.19132551106421636,0.29985564741959725,0.8738509956500772,LUAD,KRAS
ABR,0.016274193925870317,0.9377338807907869,0.9905162404633122,LUAD,KRAS
ABRACL,-0.24146831860364903,0.034104795267701396,0.6724773015442843,LUAD,KRAS
ABT1,-0.03107380831478823,0.8642238708576571,0.9776499824355567,LUAD,KRAS
ABTB1,-0.2963362153112473,0.13127411806052205,0.7892464569796885,LUAD,KRAS
ABTB2,-0.15401341538453642,0.5329676383870372,0.920390206025467,LUAD,KRAS
ACAA1,-0.4071086806671546,0.02270428617451827,0.6210296082711502,LUAD,KRAS
ACAA2,-0.0494475057867757,0.6572109739440999,0.9478311870640446,LUAD,KRAS
ACACA,0.17939451214177304,0.09160716053613278,0.7592376878522071,LUAD,KRAS
ACAD10,0.09427767085462957,0.3597502539209546,0.8903659629789367,LUAD,KRAS
ACAD11,0.2497586708587076,0.20230228412967888,0.8366519358628939,LUAD,KRAS
ACAD8,0.037403072334717846,0.6051940182823354,0.9372494748694656,LUAD,KRAS
ACAD9,0.16533174139810175,0.32232567440335513,0.8738509956500772,LUAD,KRAS
ACADL,0.265138062065235,0.13403063195939469,0.7918337501944858,LUAD,KRAS
ACADM,0.2143426229768034,0.19593957479778612,0.8248750939917945,LUAD,KRAS
ACADS,0.07303058462426038,0.5899371570313944,0.935343316597128,LUAD,KRAS
ACADSB,-0.0955106852014298,0.1466344741757247,0.7958752787175681,LUAD,KRAS
ACADVL,0.09082348225389869,0.38976518811905825,0.8978211348101443,LUAD,KRAS
ACAN,0.03398671770584383,0.8200557118735146,0.972374389846271,LUAD,KRAS
ACAP1,0.14212341514200388,0.15083243614376202,0.7960168604628087,LUAD,KRAS
ACAP2,0.1961160424211893,0.09335341704541122,0.7624906613709092,LUAD,KRAS
ACAP3,0.35067748512877467,0.10153988532989905,0.7731464504582464,LUAD,KRAS
ACAT1,0.07800226267621213,0.3077887415691183,0.8738509956500772,LUAD,KRAS
ACAT2,0.0846420988397204,0.3584677398906212,0.8903659629789367,LUAD,KRAS
ACBD3,0.1324788787424458,0.3398787169104893,0.8830160967964992,LUAD,KRAS
ACBD5,0.08750248429070884,0.4526448781303706,0.9110619112078364,LUAD,KRAS
ACBD6,0.08831375759034038,0.5780299456558755,0.9299357740444587,LUAD,KRAS
ACBD7,-0.19207510233854885,0.08687333007343875,0.7592376878522071,LUAD,KRAS
ACD,-0.12448342828798727,0.619847085267917,0.9394195551320735,LUAD,KRAS
ACE,-0.03561606315304111,0.7852507769547279,0.9698762169921847,LUAD,KRAS
ACHE,-0.08269046399109409,0.6050524551074266,0.9372494748694656,LUAD,KRAS
ACIN1,-0.005501862166704119,0.9791362047222897,0.9962242751777837,LUAD,KRAS
ACLY,-0.044305422422116825,0.7380877935799701,0.9617044278221074,LUAD,KRAS
ACO1,-0.037239319748283095,0.5865654719053225,0.9323793647918645,LUAD,KRAS
ACO2,0.3482771020720305,0.04739245737569782,0.7282335753876217,LUAD,KRAS
ACOT1,-0.05601656395099197,0.6555507036179289,0.9478311870640446,LUAD,KRAS
ACOT11,0.1837717799735089,0.14419440193560626,0.7951731995677817,LUAD,KRAS
ACOT13,0.016525930358148644,0.8762801463738691,0.9797860285001654,LUAD,KRAS
ACOT2,0.003909628032536916,0.9668040746543453,0.9960501461729968,LUAD,KRAS
ACOT4,-0.43114432865833235,0.012077666895011325,0.5393952517882121,LUAD,KRAS
ACOT7,0.043528449950214876,0.4818208737695474,0.9148713300207322,LUAD,KRAS
ACOT8,-0.20363677157659033,0.31721882105276034,0.8738509956500772,LUAD,KRAS
