Tissue	Gene	m	b
Normal	AADAC	0.11671755685409312	-0.934417628220535
Normal	AASDHPPT	0.015595323772231088	-0.14574387798077432
Normal	AASS	0.0743116034322505	-0.27494852119317903
Normal	ABAT	0.3087253973420342	-0.6126166551016676
Normal	ABCA12	0.08912459683125827	-0.8089750781822123
Normal	ABCC4	0.07576158115718748	-0.3035153091594822
Normal	ABCC5	0.01737278610582867	-0.6341929657163878
Normal	ABCD1	0.24210059871425435	-0.611351605911214
Normal	ABCE1	0.01135322603180837	-0.2618707009357188
Normal	ABCF1	0.005561645263239361	-0.1993156159495571
Normal	ABCF3	0.04312281030063828	-0.4831125584102383
Normal	ABHD11	0.04772854685450729	0.06743534495001144
Normal	ABHD16A	0.3136758938451646	-0.3089557434892575
Normal	ABHD17B	0.03374867091480902	-0.03375599739612296
Normal	ABHD17C	-0.057322088134662434	1.047992204576529
Normal	ABI2	1.2347901150136893	-2.0142086910252313
Normal	ABI3BP	0.037293343961995615	0.8779152955409488
Normal	ABLIM1	0.011017852819355396	-0.22397569008701473
Normal	ABTB1	1.317752646313065	-3.1815407102915447
Normal	ACACB	0.07029640581447977	0.28116468291239616
Normal	ACAD8	0.07234107546065309	0.3854810937525681
Normal	ACAD9	-0.018033005165486782	0.24017997231860572
Normal	ACADL	0.6639465858341624	-0.15110009401487803
Normal	ACADM	0.08295309377850728	-0.647087155133183
Normal	ACADS	0.18944657882507557	-0.8564392994355847
Normal	ACADSB	0.2270287226255383	-0.7740693223430626
Normal	ACAN	0.4675949981110366	-1.2303976875620741
Normal	ACAP2	0.04600466262380334	-0.8639350290544145
Normal	ACAT1	0.17969606328744117	-0.9164578898673784
Normal	ACHE	0.14982547437257737	0.040968335502336445
Normal	ACLY	0.040007327190988075	-0.9633687663811611
Normal	ACOT7	0.14450403536203732	-0.8848562279839608
Normal	ACP5	0.03491614888066197	-0.8170863991412246
Normal	ACSF3	0.09143324280893893	-0.06542932713005971
Normal	ACSL1	0.021847245517346764	-0.3088727733701813
