,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.04873420354111005,-0.11935281282911554,0.3250562165727982,0.7652254896573777,0.1680870163702256,0.38519092275957345,luad,False,False,False
1,A2M,0.2254205993525952,0.4488304306658103,9.736821343613149e-05,0.1619472742320858,-0.2234098313132151,0.22893748949548598,luad,False,False,False
2,AAAS,0.26197627779265775,0.2386309508267936,0.04665455848967195,0.1024676213013208,0.023345326965864166,0.9109070894044196,luad,False,False,False
3,AACS,0.8524725628087946,0.7549039741984479,4.402285876615696e-14,2.953805388372586e-12,0.09756858861034667,0.2701471386113654,luad,True,True,False
4,AADAC,0.32026146765712976,0.7480686699409339,1.5037637504251914e-13,0.04684941409382099,-0.42780720228380414,0.0011551036279374258,luad,False,True,False
5,AADAT,0.4978564405780188,0.6230410591315081,0.0008785949728110816,0.07004188011551019,-0.12518461855348928,0.7319909081049846,luad,False,False,False
6,AAED1,0.23820402374265864,0.05481873256662729,0.7206005883195549,0.23150412092054573,0.18338529117603136,0.581890195889017,luad,False,False,False
7,AAGAB,0.7257338899121263,0.5549271502919441,6.189517642037749e-07,1.1665458460905374e-07,0.17080673962018222,0.11572765355263116,luad,True,True,False
8,AAMDC,0.4971141068719648,0.699251720559433,1.6628752255583508e-11,0.0011014395387602027,-0.2021376136874682,0.143312836500395,luad,False,True,False
9,AAMP,0.27340056119573275,0.5352303783584856,1.8081245760066794e-06,0.08782211741967634,-0.2618298171627529,0.210362867924775,luad,False,True,False
10,AAR2,0.5850260392066519,0.5981040219686412,4.562772871461625e-08,7.348655478266445e-05,-0.013077982761989349,0.9861663327283001,luad,False,True,False
11,AARS,0.9032189228952361,0.9049028647614827,6.302226083328556e-27,1.553400852206764e-15,-0.001683941866246652,0.9358710693822676,luad,True,True,False
12,AARS2,0.7703089935542922,0.5500480265040978,8.123912075521184e-07,6.166435337417139e-09,0.22026096705019438,0.11390599552550976,luad,True,True,False
13,AARSD1,0.7674782299714097,0.7386357790992351,2.911344181136561e-13,7.57487869044056e-09,0.02884245087217463,0.7129566147591198,luad,True,True,False
14,AASDHPPT,0.6123116320327203,0.8054323191500855,4.235709448266462e-17,2.6812361653752745e-05,-0.1931206871173652,0.08287152774512885,luad,False,True,False
15,AASS,0.6905983775299963,0.736222448874102,3.8076016648345245e-13,8.155388960577093e-07,-0.04562407134410573,0.6757403666095481,luad,True,True,False
16,AATF,0.49067381488568085,0.3542270451918022,0.0026252852973532507,0.0013067163818419,0.13644676969387864,0.37454521911672056,luad,False,False,False
17,AATK,0.702423244602215,0.8290555952652822,1.2841094725838215e-10,0.00026766929245500585,-0.12663235066306722,0.225224743585287,luad,False,True,False
18,ABAT,0.8976999342881602,0.8560555022204305,3.631432203859257e-21,4.240786974306824e-15,0.04164443206772972,0.4867121111345938,luad,True,True,False
19,ABCA1,0.6088003008342013,0.6495563666937336,1.1771797154491276e-09,3.068733270272022e-05,-0.04075606585953229,0.8042808991286814,luad,False,True,False
20,ABCA12,0.0952314536422494,0.11800377587671852,0.3692024972962595,0.5980756205010762,-0.022772322234469122,0.8720551502092866,luad,False,False,False
21,ABCA13,0.30548147724895125,0.1789729429528176,0.1788745361849364,0.0743341294910438,0.12650853429613365,0.5056530066674993,luad,False,False,False
22,ABCA2,0.20251568339256665,0.45574740002969144,0.0003243228299038846,0.28315380995104994,-0.2532317166371248,0.27383659498601753,luad,False,False,False
23,ABCA3,0.7731735409206653,0.6488512661605272,1.2435172116661424e-09,4.992678890713446e-09,0.12432227476013802,0.2757197414318121,luad,True,True,False
24,ABCA6,0.2586587124333369,0.3151551141278689,0.009953005162241159,0.11184387406124442,-0.05649640169453202,0.7457814340354774,luad,False,False,False
25,ABCA7,0.17632028080463027,0.20754905245695954,0.16155334044757447,0.40984663952799993,-0.031228771652329262,0.9007091634625997,luad,False,False,False
26,ABCA8,0.44325324504715097,0.6093264360460434,2.172026004649446e-08,0.004175992937366792,-0.16607319099889245,0.25400345381618095,luad,False,True,False
27,ABCB1,0.5400833994184951,0.6483315118225138,1.2946807325837676e-09,0.00032183205998256403,-0.10824811240401866,0.7676356182810875,luad,False,True,False
28,ABCB10,0.6815451369222585,0.553832505528741,6.581398000885993e-07,1.2891675888849123e-06,0.12771263139351752,0.30943184046338923,luad,True,True,False
29,ABCB5,0.044823393922724566,0.10350525643744955,0.5306282484258339,0.839073156217824,-0.058681862514724986,0.8042703712212012,luad,False,False,False
