Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,-0.03914931146810467,0.23555818488005387,0.2677983478422764,LUAD
A2M,0.09723299263179419,2.7285881322460155e-09,5.373310106159489e-09,LUAD
AAAS,0.20609369008281953,0.039129119403437294,0.04928005660187501,LUAD
AACS,0.6830921286823505,8.829316653211386e-46,3.29918633784002e-45,LUAD
AADAC,-0.11974559966819531,7.114352567845105e-44,2.6004096104634417e-43,LUAD
AADAT,0.630154790104426,8.113382223346571e-72,3.679554183257131e-71,LUAD
AAED1,0.03633978520052435,0.6259405910041045,0.6602701766894177,LUAD
AAGAB,0.5760502169266544,3.8459682028838754e-42,1.3728386853374345e-41,LUAD
AAMDC,0.17030214121190795,0.1923541437114925,0.22161153723444085,LUAD
AAMP,0.49873616468585746,1.4062320507774405e-163,9.355349337811028e-163,LUAD
AAR2,0.5286243178023095,5.20280548190799e-66,2.2774160288299595e-65,LUAD
AARS,0.5205610142323762,0.0,0.0,LUAD
AARS2,0.6586186106943874,1.0699188425902958e-107,5.80178632755568e-107,LUAD
AARSD1,0.5933092176769419,8.655055666751563e-102,4.560566000620952e-101,LUAD
AASDHPPT,0.546795168255577,0.0,0.0,LUAD
AASS,0.5146569208308333,3.691000364174407e-45,1.3700285115583156e-44,LUAD
AATF,0.4603365363956064,2.054282962392279e-17,5.089663132685698e-17,LUAD
AATK,0.6339883467353133,0.0,0.0,LUAD
ABAT,0.19984847939957584,1.990567600680408e-14,4.5914055251649215e-14,LUAD
ABCA1,0.33530988514018545,9.13050228321184e-18,2.2818316140826804e-17,LUAD
ABCA12,0.18778293477952843,0.3847472545194859,0.42186316036750693,LUAD
ABCA13,0.1314311413407211,0.16836827263858378,0.195612896104356,LUAD
ABCA2,0.3333133670837356,0.5647140091825068,0.6011066897742683,LUAD
ABCA3,0.22196411100455538,0.0,0.0,LUAD
ABCA6,-0.004903202083726521,0.12596045060651787,0.1490280137204144,LUAD
ABCA7,0.01643538745142406,0.5074091472697269,0.5446621078205296,LUAD
ABCA8,-0.03981335763075322,0.16112407471535595,0.18762989899997284,LUAD
ABCB1,-0.002257728484261312,0.20804133112721912,0.23829284329408984,LUAD
ABCB10,0.7687405759873007,1.7254365527403548e-38,5.937792091691833e-38,LUAD
ABCB5,-0.06487728649253843,0.7675602806056636,0.7916424548971979,LUAD
ABCB6,0.6265506946969197,4.890767511463772e-06,8.268274016439341e-06,LUAD
ABCB7,0.5869208607626697,6.267353676392002e-24,1.774368438807406e-23,LUAD
ABCB8,0.43356751346462635,4.325821896408284e-133,2.6055953566449655e-132,LUAD
ABCC1,0.037875757989942305,0.3238983622033259,0.36016953630369836,LUAD
ABCC10,0.2340438108505827,6.356776906200819e-247,5.123623309252727e-246,LUAD
ABCC2,0.7604596842588902,0.11807866666413064,0.14039637210100356,LUAD
ABCC3,0.876426637802142,2.3785744893053355e-61,1.0057200835612597e-60,LUAD
ABCC4,0.6771884903728911,0.0,0.0,LUAD
ABCC5,0.4900566459048934,8.751353253063449e-05,0.00013733207858434513,LUAD
ABCC6,0.5994393687095179,0.0,0.0,LUAD
ABCC8,-0.26046528315476297,4.9456815827246866e-05,7.886590209357581e-05,LUAD
ABCD1,0.2659969530468771,0.010082560322802862,0.013537169552465828,LUAD
ABCD3,0.32959292502370185,0.0153519083231336,0.020212676154764513,LUAD
ABCD4,0.2690002025278566,2.7278851199055357e-17,6.735345218735833e-17,LUAD
ABCE1,0.6568736807311567,0.0,0.0,LUAD
ABCF1,0.8824044363881401,0.0,0.0,LUAD
ABCF2,0.8373808100837898,0.0,0.0,LUAD
ABCF3,0.6428952461819516,8.586952275459684e-60,3.5930180091035344e-59,LUAD
ABCG1,0.22339654434947875,1.3209623079354115e-62,5.632708713659306e-62,LUAD
