Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
ABLIM1,-0.03904901941254352,0.8580945873502867,0.9818974390089423,CCRCC,TTN
ABLIM3,-0.15699517362033294,0.3296760906637912,0.9163251961560418,CCRCC,TTN
ABR,0.4340029723946582,0.5666487302032102,0.9760275129162334,CCRCC,TTN
ACAN,0.18093832597396797,0.2688314180798377,0.9163251961560418,CCRCC,TTN
ACLY,0.15236459402396663,0.40648692693199484,0.9356207714727812,CCRCC,TTN
ACOT9,0.05776138747827603,0.7794831814042924,0.9771340887612522,CCRCC,TTN
ACOX1,0.3488279427409593,0.06166725035393427,0.6748002316465396,CCRCC,TTN
ACP1,-0.18151397443718564,0.4235189597054758,0.9510889708836021,CCRCC,TTN
ACSL1,0.1139210538101102,0.5824064284211048,0.9760275129162334,CCRCC,TTN
ACTN1,-0.1679957265010122,0.45948780240472364,0.9510889708836021,CCRCC,TTN
ACTN4,0.09623017500342665,0.6010407257363857,0.9760275129162334,CCRCC,TTN
ACY1,0.2210234530435617,0.20265803703594198,0.9163251961560418,CCRCC,TTN
ADAR,-0.0042068303869560175,0.9602796458988321,0.9937777730813494,CCRCC,TTN
ADD1,-0.30687740535541747,0.19179197534761494,0.9163251961560418,CCRCC,TTN
ADD3,0.145590972198343,0.45801446444387806,0.9510889708836021,CCRCC,TTN
AFDN,0.2667474019292406,0.352258221334086,0.9163251961560418,CCRCC,TTN
AHCYL2,-0.007587832621395563,0.8972239182265865,0.9818974390089423,CCRCC,TTN
AHSG,0.6125514196490912,0.005499720453841947,0.31792182042641975,CCRCC,TTN
ALDH18A1,0.1316604971873001,0.3609850073595475,0.9163251961560418,CCRCC,TTN
AMDHD2,0.02539413888253328,0.8713425318817296,0.9818974390089423,CCRCC,TTN
ANK2,0.032513399851268554,0.47804702630010165,0.9510889708836021,CCRCC,TTN
ANK3,0.2810696094802372,0.29599814807668945,0.9163251961560418,CCRCC,TTN
ANXA6,0.043314116245630974,0.6927739844375975,0.9771340887612522,CCRCC,TTN
AP1B1,0.2636495315930871,0.18594820134720802,0.9163251961560418,CCRCC,TTN
AP2A2,-0.2133824950752714,0.31716566729389584,0.9163251961560418,CCRCC,TTN
ARFIP1,-0.00025622194922458874,0.9965718644524955,0.9986337942398724,CCRCC,TTN
ARHGAP12,0.045736983289187294,0.6824985711106961,0.9771340887612522,CCRCC,TTN
ARHGAP24,-0.1079988889304679,0.6113985176598243,0.9760275129162334,CCRCC,TTN
ARHGDIA,-0.1818801889311671,0.5118401824953583,0.9518530745512711,CCRCC,TTN
ARL6IP4,0.06634126788627681,0.7670431061740803,0.9771340887612522,CCRCC,TTN
ATE1,0.24031934912673364,0.22913562980075952,0.9163251961560418,CCRCC,TTN
ATP6V0A1,0.156015763305284,0.42856447345966076,0.9510889708836021,CCRCC,TTN
BCAS3,-0.7450674679692109,0.00205576333946699,0.2160529265726183,CCRCC,TTN
BCCIP,-0.48368703306760574,0.07968696636961042,0.7422789306995679,CCRCC,TTN
BCLAF1,-0.04596596579897236,0.8062536385095938,0.9771340887612522,CCRCC,TTN
CA1,0.07792155324817684,0.7455015839448834,0.9771340887612522,CCRCC,TTN
CALD1,0.08863086515464019,0.5013459106920706,0.9510889708836021,CCRCC,TTN
CALU,-0.39861316654580947,0.00012646002657857935,0.03376482709648069,CCRCC,TTN
CAPZB,0.012000027591646312,0.9837350692826337,0.9986337942398724,CCRCC,TTN
CARMIL1,-0.025379194456233933,0.9441008139181757,0.9924209343155627,CCRCC,TTN
CAST,0.016320644384464178,0.9126015800610595,0.9851350485408537,CCRCC,TTN
CBFB,0.2949814757879897,0.264974517107338,0.9163251961560418,CCRCC,TTN
CD46,0.008818634394792899,0.958617021419435,0.9937777730813494,CCRCC,TTN
CD99,0.13708994677811953,0.38820948362366703,0.9297743600242794,CCRCC,TTN
CDC42,0.4510399040581391,0.06278754999973925,0.6748002316465396,CCRCC,TTN
CDK13,0.3465521205627796,0.1720379343951297,0.9163251961560418,CCRCC,TTN
CLASP1,-0.06526877091237596,0.7571585815995714,0.9771340887612522,CCRCC,TTN
CLASP2,0.03821413713080668,0.7496637901559118,0.9771340887612522,CCRCC,TTN
CLINT1,0.09244886427594251,0.6993631694370324,0.9771340887612522,CCRCC,TTN
CNBP,0.029383526053486597,0.8828976992629597,0.9818974390089423,CCRCC,TTN
COBLL1,-0.0021224600050598896,0.9885724209918683,0.9986337942398724,CCRCC,TTN
COL6A2,-0.20446668088917008,0.4018879055019824,0.9355403893055699,CCRCC,TTN
COL6A3,0.025608629518584003,0.5907000900536366,0.9760275129162334,CCRCC,TTN
CRK,0.07464367993438548,0.6602795301106956,0.9760275129162334,CCRCC,TTN
CSNK1A1,0.10345703264354275,0.6468047972965478,0.9760275129162334,CCRCC,TTN
CTNND1,0.30867021239043263,0.14525550184609654,0.9019353254164598,CCRCC,TTN
DAZAP2,0.26264321443805283,0.3109176599547917,0.9163251961560418,CCRCC,TTN
DCTN2,-0.16179481866674458,0.42089238532449613,0.9510889708836021,CCRCC,TTN
DDX46,-0.29106509550940113,0.15322633983996573,0.9163251961560418,CCRCC,TTN
DDX54,0.23760328155473276,0.20628092526672515,0.9163251961560418,CCRCC,TTN
DFFA,0.1276359199460226,0.5006703310733414,0.9510889708836021,CCRCC,TTN
DLG1,-0.019003104287397488,0.8868639582007353,0.9818974390089423,CCRCC,TTN
DMD,0.16496977630505544,0.6196906025562968,0.9760275129162334,CCRCC,TTN
DMTN,0.22643209632731337,0.3287697186309938,0.9163251961560418,CCRCC,TTN
DNAJA3,-0.13280631063720744,0.5992194639689002,0.9760275129162334,CCRCC,TTN
DOCK1,0.08293818751271068,0.7202788880943805,0.9771340887612522,CCRCC,TTN
DOCK9,0.12180699617562951,0.598486265130453,0.9760275129162334,CCRCC,TTN
DTNB,-0.3795610146637943,0.04303336362150126,0.6748002316465396,CCRCC,TTN
DUT,-0.35477383558736886,0.21844090415027417,0.9163251961560418,CCRCC,TTN
DYNC1I2,0.2673014486668947,0.1837008845537378,0.9163251961560418,CCRCC,TTN
EEF1D,-0.05176933069038962,0.8368780444063904,0.9818974390089423,CCRCC,TTN
EIF2B4,0.2200303185441306,0.3550874194881216,0.9163251961560418,CCRCC,TTN
EIF4E,-0.16221781739928254,0.5133589615557417,0.9518530745512711,CCRCC,TTN
EIF4G2,0.31704638472119345,0.21360034036342235,0.9163251961560418,CCRCC,TTN
EML2,0.32789576708995183,0.2563449517046973,0.9163251961560418,CCRCC,TTN
