Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.06869653962841499,0.7472510513883346,0.91406290680789,Endometrial,TP53
A2M,0.0687786348872655,0.8109819787838807,0.9389471807866877,Endometrial,TP53
A2ML1,0.007506369768609189,0.908837902205024,0.9719452003119733,Endometrial,TP53
AAAS,-0.12232134170474918,0.4979162471771411,0.8113387247752409,Endometrial,TP53
AACS,-0.009441789983876014,0.9758884970937817,0.9920529371760876,Endometrial,TP53
AADAT,0.14728119682372492,0.5169322419331634,0.818892153464025,Endometrial,TP53
AAED1,0.15642050012391884,0.5314852527488826,0.8238490016405867,Endometrial,TP53
AAGAB,0.007594337721765765,0.9105393815797741,0.972474448122412,Endometrial,TP53
AAK1,0.047252531670852305,0.6692101197176386,0.8854601838811728,Endometrial,TP53
AAMDC,0.008813555937829398,0.9712186801765178,0.9901206943484107,Endometrial,TP53
AAMP,0.5002637138429675,0.020931683055734406,0.5708956598929217,Endometrial,TP53
AAR2,0.46280834178154856,0.0837395053524939,0.6118097161337895,Endometrial,TP53
AARS,0.10381240813929171,0.24199324628141983,0.6838200813299337,Endometrial,TP53
AARS2,-0.2671037111772516,0.18347199482818888,0.6450246671409433,Endometrial,TP53
AARSD1,-0.3618154967882977,0.2985924798817158,0.7129081617990676,Endometrial,TP53
AASDHPPT,0.11408828886389688,0.47483363690006786,0.796508589449169,Endometrial,TP53
AASS,-0.11803894691496875,0.05983068217468703,0.5931371688619695,Endometrial,TP53
AATF,0.40040801830091544,0.09438264293075253,0.6148973942444714,Endometrial,TP53
ABAT,-0.07853037498192217,0.7433645546210801,0.9132821959779088,Endometrial,TP53
ABCA8,0.07902432404466248,0.6436965844752545,0.8744059861133314,Endometrial,TP53
ABCB1,0.1322919258387536,0.45335382150884984,0.7893372180042332,Endometrial,TP53
ABCB10,0.2391485242335588,0.2496412086526819,0.6873820198546514,Endometrial,TP53
ABCB6,0.28068793658810587,0.15460782667043776,0.6402338812628336,Endometrial,TP53
ABCB7,0.10216382962483442,0.7115786945174287,0.9018712738808389,Endometrial,TP53
ABCB8,0.17056424677895887,0.470514998516692,0.7958938685403609,Endometrial,TP53
ABCC1,-0.023096685196740407,0.9330104526823069,0.9781427955871527,Endometrial,TP53
ABCC10,0.03142840823403949,0.8803662389632542,0.9623086531604887,Endometrial,TP53
ABCC3,-0.015665847442131287,0.9108556515638301,0.9726614839865986,Endometrial,TP53
ABCC4,-0.4105202405331065,0.008266284927405242,0.5292577640815468,Endometrial,TP53
ABCD1,0.3443336616394156,0.13626179788066106,0.6349159012087685,Endometrial,TP53
ABCD3,0.13917198620217486,0.6436713865327282,0.8744059861133314,Endometrial,TP53
ABCD4,0.2619808677266079,0.32682120163159745,0.7284673398405883,Endometrial,TP53
ABCE1,0.289288635060977,0.2239833077538178,0.6760723154287016,Endometrial,TP53
ABCF1,-0.09668500284744874,0.595089282295407,0.852159100934048,Endometrial,TP53
