Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.13526804097180017,0.4851953434216344,0.9213285747948016,HNSCC,CDKN2A
A2M,-0.03263943887808357,0.8709022873542802,0.9906445610281969,HNSCC,CDKN2A
A2ML1,0.027722031217072063,0.59590806602913,0.9565050989805134,HNSCC,CDKN2A
AAAS,0.2944287355799579,0.15498222154974017,0.7929135302189072,HNSCC,CDKN2A
AACS,0.06532116555314393,0.4823661936315198,0.9200761454514655,HNSCC,CDKN2A
AADAC,-0.31270430694080653,0.2003074140186638,0.8276659183447003,HNSCC,CDKN2A
AAED1,-0.52379338368056,0.08807087287145865,0.7123699500555529,HNSCC,CDKN2A
AAGAB,-0.11056769518278498,0.41085702186153283,0.9107461481559155,HNSCC,CDKN2A
AAK1,-0.11385737268488483,0.469919699675601,0.9147668276259406,HNSCC,CDKN2A
AAMDC,0.2688201024451908,0.13426194246108886,0.7645383317335823,HNSCC,CDKN2A
AAMP,-0.22480410383640548,0.08650521747797578,0.7123699500555529,HNSCC,CDKN2A
AAR2,-0.1860412702803424,0.4068416383002321,0.909509104599465,HNSCC,CDKN2A
AARS,0.03864956673044895,0.69247073740645,0.9698571817581025,HNSCC,CDKN2A
AARS2,0.17066978458839155,0.26396615781267163,0.8538520344705957,HNSCC,CDKN2A
AARSD1,-0.24739066593987635,0.12892604658029524,0.7562200791443873,HNSCC,CDKN2A
AASDH,0.5225578933517119,0.23513024396242121,0.8447551710657724,HNSCC,CDKN2A
AASDHPPT,-0.12395967086546988,0.15276788491505489,0.7927119956172255,HNSCC,CDKN2A
AASS,-0.0015474509674200387,0.9864844792986837,0.9992424815478671,HNSCC,CDKN2A
AATF,-0.41291290374531725,0.12902595713204126,0.7562200791443873,HNSCC,CDKN2A
ABAT,-0.09915289489737633,0.3049363431214205,0.8717877304084833,HNSCC,CDKN2A
ABCA1,0.18320498640384225,0.4927422375491115,0.9226458661585104,HNSCC,CDKN2A
ABCA12,-0.08326542577368778,0.20885260994743915,0.8325256514700641,HNSCC,CDKN2A
ABCA2,-0.10465613129794366,0.7218408548406987,0.9717286653590805,HNSCC,CDKN2A
ABCA6,0.1696945069020302,0.4785443988775284,0.9176652407705963,HNSCC,CDKN2A
ABCA8,-0.10800089838049531,0.28109104885577374,0.8573557828284373,HNSCC,CDKN2A
ABCB1,-0.12327987616000764,0.6929691307664332,0.9698571817581025,HNSCC,CDKN2A
ABCB10,-0.3187859310114446,0.2060783715430795,0.832021242755363,HNSCC,CDKN2A
ABCB6,-0.11918570003912998,0.26763857362572396,0.8569319698511613,HNSCC,CDKN2A
ABCB7,0.047944024021648324,0.7914428396449383,0.9806419707455439,HNSCC,CDKN2A
ABCB8,-0.15647755871701302,0.5225517918576673,0.9322470709831916,HNSCC,CDKN2A
ABCC10,-0.19794964780830954,0.3092783195496054,0.8747303287863618,HNSCC,CDKN2A
ABCC2,0.1804987052468417,0.6174166139944388,0.9606898478071321,HNSCC,CDKN2A
ABCC3,-0.08077857144667433,0.5812028561951565,0.9537766878995542,HNSCC,CDKN2A
ABCC5,0.038892508666544146,0.5366177456447474,0.9350407566003576,HNSCC,CDKN2A
ABCD1,-0.07594145709222067,0.5567358279753055,0.9429390671605985,HNSCC,CDKN2A
ABCD3,-0.6037999698330274,0.006781944740622361,0.3581243597756419,HNSCC,CDKN2A
ABCD4,-0.11229405649451636,0.6791214364533978,0.9669899534314595,HNSCC,CDKN2A
ABCE1,0.032914861132096185,0.784449335903953,0.9797525604265716,HNSCC,CDKN2A
ABCF1,0.0036413771519645532,0.930610938089388,0.9958016088931771,HNSCC,CDKN2A
ABCF2,-0.07397840706695624,0.5101977292728775,0.9303354136456637,HNSCC,CDKN2A
ABCF3,0.0529864697500424,0.6129020591347552,0.9606898478071321,HNSCC,CDKN2A
ABCG1,0.395897808777411,0.05135318242320219,0.640566927732988,HNSCC,CDKN2A
ABHD10,0.17225071314630047,0.2570912091062324,0.8538520344705957,HNSCC,CDKN2A
ABHD11,-0.18250176302061044,0.15806810980085384,0.7929208054717894,HNSCC,CDKN2A
ABHD12,-0.3012015708051989,0.07071092377901719,0.6809598080238688,HNSCC,CDKN2A
ABHD13,-0.17655053410887261,0.5583410620145743,0.9431711370040446,HNSCC,CDKN2A
ABHD14B,-0.07281856283129917,0.7119284430030977,0.9717286653590805,HNSCC,CDKN2A
ABHD16A,0.04787745823535261,0.7139415399909104,0.9717286653590805,HNSCC,CDKN2A
ABHD17B,-0.047287867602010314,0.790727589491866,0.9806419707455439,HNSCC,CDKN2A
ABHD17C,-0.3011356119433552,0.1510831346435872,0.788169700761414,HNSCC,CDKN2A
ABHD3,-0.04627805168373994,0.8376453101760108,0.9873315146624074,HNSCC,CDKN2A
ABHD4,-0.00786168314623581,0.9240191107045738,0.9958016088931771,HNSCC,CDKN2A
ABHD5,-0.42098613662677553,0.08117114269693067,0.7028716597883586,HNSCC,CDKN2A
ABHD6,-0.02582143501253764,0.8748002518214112,0.9908677938187402,HNSCC,CDKN2A
ABI1,-0.058093940802088295,0.7226739562771307,0.971826871151197,HNSCC,CDKN2A
ABI2,0.053366505058365155,0.6330777694316011,0.9606898478071321,HNSCC,CDKN2A
ABI3,-0.025458543290607594,0.8415081969501776,0.9873315146624074,HNSCC,CDKN2A
ABI3BP,-0.042897661739851545,0.5664514212240016,0.9468236838736219,HNSCC,CDKN2A
ABL1,0.11164151171019909,0.6243724525036858,0.9606898478071321,HNSCC,CDKN2A
ABL2,-0.20444569427317377,0.39151448291223967,0.9075671662614221,HNSCC,CDKN2A
ABLIM1,-0.2740553995286849,0.09022494013336052,0.7152527572707188,HNSCC,CDKN2A
ABLIM2,0.021790964101662924,0.8084686602506516,0.9835784953910728,HNSCC,CDKN2A
ABLIM3,-0.0762518957313223,0.57973223850832,0.9537766878995542,HNSCC,CDKN2A
ABO,-0.23292133282327915,0.40685310161665145,0.909509104599465,HNSCC,CDKN2A
ABR,-0.2749989140788983,0.0023588123358543787,0.2709480668422593,HNSCC,CDKN2A
ABRACL,0.23553945502007018,0.23272364490453945,0.8447551710657724,HNSCC,CDKN2A
ABRAXAS1,0.22061149525420012,0.33691871596132217,0.8845112689632078,HNSCC,CDKN2A
ABRAXAS2,0.12307100508423369,0.5663939311019919,0.9468236838736219,HNSCC,CDKN2A
ABT1,-0.3485812563542655,0.10642688604067942,0.7371569572654667,HNSCC,CDKN2A
ABTB1,-0.1232286915740899,0.6578157949155979,0.9630295271194329,HNSCC,CDKN2A
ABTB2,-0.018998677377292494,0.9040003745804837,0.9931098965206486,HNSCC,CDKN2A
ACAA1,-0.16063482524339556,0.37121661352921553,0.8978470215665193,HNSCC,CDKN2A
ACAA2,0.24703056359600417,0.08641731050031655,0.7123699500555529,HNSCC,CDKN2A
ACACA,-0.05261235457366553,0.6295828760151163,0.9606898478071321,HNSCC,CDKN2A
ACACB,0.30406754615986076,0.21933690684343532,0.8401979619181567,HNSCC,CDKN2A
ACAD10,0.14629075408939407,0.5619933985686271,0.9445672305965662,HNSCC,CDKN2A
ACAD11,0.5410450060622547,0.04242643756427282,0.5991994951129793,HNSCC,CDKN2A
ACAD8,-0.13928008738488212,0.2698928134165788,0.8573557828284373,HNSCC,CDKN2A
ACAD9,-0.0654274030568539,0.7055930214368787,0.9717286653590805,HNSCC,CDKN2A
ACADM,-0.08213554435963777,0.5014399252248278,0.9278151624025675,HNSCC,CDKN2A
