Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,-0.2685330473355582,0.05703182153807814,0.13203746847618184,CCRCC
A1CF,0.1920383866593428,0.0001063339872441737,0.0006401857916402394,CCRCC
A2M,-0.1916188336178679,0.12776439062874811,0.24392758675900064,CCRCC
AAAS,0.019653812980708202,0.8963137652908356,0.9409266676356284,CCRCC
AACS,-0.16993651656133546,0.06007041601371615,0.13754015840092548,CCRCC
AADAT,-0.26337151243720874,0.015319385082309393,0.045728960377354425,CCRCC
AAED1,0.19050601101684694,0.28824395986991846,0.43857767634711686,CCRCC
AAGAB,0.3649989500496503,0.000763365644178873,0.003646252379298351,CCRCC
AAK1,0.3569320806694057,6.347463813654068e-14,1.3856082933263236e-12,CCRCC
AAMP,0.28127242118550666,0.02536222770120108,0.06920502832253336,CCRCC
AAR2,0.16804617883323822,0.12506976445620738,0.24035753616164993,CCRCC
AARS,0.41581528941258544,0.0060316668454522375,0.02119475464960603,CCRCC
AARS2,-0.022583376142043532,0.8611433937580041,0.9167395684697309,CCRCC
AARSD1,0.4647678186065438,0.00043884067159284424,0.002263637300832582,CCRCC
AASDH,-0.5436191697061262,0.04759679637089401,0.1146644869828637,CCRCC
AASDHPPT,0.06747391436913402,0.5707809253233046,0.7043679503989717,CCRCC
AASS,-0.2786964718109093,1.1503604637051753e-06,1.0305186097009024e-05,CCRCC
AATF,-0.0670204544564757,0.22150561405728408,0.3651859206470775,CCRCC
ABAT,-0.6129279615421576,7.461635354163294e-19,2.5936332506318123e-17,CCRCC
ABCA1,0.24346742702944743,0.06276414448995986,0.14223877906220797,CCRCC
ABCA12,-0.08995792426367462,0.7175204896511544,0.8188976552751306,CCRCC
ABCA2,0.05682547145475658,0.6997511886888144,0.8064600113631715,CCRCC
ABCA6,0.3700206398348813,0.0007012738531311175,0.0033894902901337345,CCRCC
ABCA8,-0.08495315034576967,0.16928372932723224,0.3012978561585136,CCRCC
ABCB1,0.07268200029185057,0.00297512217664505,0.011717259705570872,CCRCC
ABCB10,-0.2563890724489469,0.03868173910399741,0.09715232359050306,CCRCC
ABCB6,0.12577626922387908,0.0059960232427059505,0.021091794030054498,CCRCC
ABCB7,-0.2277770093784694,0.23001713140692803,0.37512684370042737,CCRCC
ABCB8,-0.09529126334534355,0.015188581706914887,0.045392837360150665,CCRCC
ABCC1,0.5058355884526816,6.018861247213203e-15,1.4399079089256335e-13,CCRCC
ABCC10,0.00679096739127134,0.9657760248360461,0.980419418313259,CCRCC
ABCC2,-0.037395957038641736,0.2935909890341134,0.44468837187906757,CCRCC
ABCC3,0.2661991915975499,1.0403066603239437e-19,3.84374046051543e-18,CCRCC
ABCC4,0.029660421142796767,0.8184899379934899,0.8900431242013359,CCRCC
ABCC6,-0.14893905186517453,0.00023079123157314675,0.0012826592346371654,CCRCC
ABCC9,0.17626050420168066,0.6217251527570922,0.7452932136391194,CCRCC
ABCD1,0.06540692397766273,0.3334589428955155,0.4874119288389249,CCRCC
ABCD3,-0.17687567994666015,0.0002643743353198092,0.001447529291520536,CCRCC
ABCE1,0.14909306831083746,0.052469056244010555,0.1237133786552232,CCRCC
ABCF1,0.15478467713136956,0.30770865777842704,0.4591924562449646,CCRCC
ABCF2,0.28575617186916075,0.053707618062692725,0.1259490356825159,CCRCC
ABCF3,0.07510595007456428,0.5548108441178391,0.6913743857114286,CCRCC
ABCG2,0.27789425862366385,0.07177702072572002,0.15824255442205146,CCRCC
ABHD10,-0.344201580976086,7.296782276055716e-07,6.886726583342651e-06,CCRCC
ABHD11,0.5137612306129931,3.430128621423544e-06,2.8444690878903804e-05,CCRCC
ABHD12,0.145881691357307,0.20737595156864608,0.3484558687634855,CCRCC
ABHD13,-0.28354883103166856,0.3456339480222358,0.5008052673158786,CCRCC
ABHD14B,0.07546504495804346,0.07795950906564571,0.16881355815908,CCRCC
ABHD15,-0.331681771960109,0.01893279220404547,0.05455619151575898,CCRCC
ABHD16A,0.3759810045349533,0.10207634209635393,0.20694968417124568,CCRCC
ABHD17A,-0.12762002012454093,0.4139597573116981,0.5675397240255186,CCRCC
ABHD17B,0.19042061695196338,0.26881433086299444,0.4172540477188786,CCRCC
ABHD18,-0.624503106856048,0.0014149229479759032,0.006242932918623446,CCRCC
ABHD3,0.431734359881539,0.012508522260119117,0.038645096954768754,CCRCC
ABHD4,0.2127745145610911,0.04955425609489265,0.1183229437057561,CCRCC
ABHD5,0.11092394604701873,0.4151437537650976,0.5688056705892891,CCRCC
ABHD6,-0.06626266317236873,0.2316973936177208,0.37712154329637965,CCRCC
ABI1,-0.04133725611612653,0.8042480000551032,0.8815130780189823,CCRCC
ABI2,0.5497058596720595,2.4266555658730016e-07,2.467718239056989e-06,CCRCC
ABI3,0.023294779789226894,0.5089918893549472,0.6538700967375711,CCRCC
ABL1,0.28439564976503656,0.01998792336880405,0.05708546336306591,CCRCC
ABL2,0.24864411956683863,0.055856084219367094,0.1301004660687383,CCRCC
ABLIM1,0.09758534705845934,0.04559772226081875,0.1110825097128029,CCRCC
ABLIM2,-0.24010120177103095,0.38716646942023014,0.5423157398113193,CCRCC
ABLIM3,0.11446908540311118,0.0017257755130316503,0.00740169239810995,CCRCC
ABO,-0.5877941778052765,0.003367344468428131,0.013030499773870842,CCRCC
ABR,0.30072788486389335,0.017382010817812838,0.050857750101749775,CCRCC
ABRACL,0.47460643471266356,9.138530615542698e-06,6.996621751393242e-05,CCRCC
ABT1,0.0444011318638727,0.6268939863408791,0.7492454799183226,CCRCC
ABTB1,-0.42125184756763706,0.1815306143680676,0.3166549062661029,CCRCC
ABTB2,0.2212042383839802,0.23533154834851355,0.3807440036206246,CCRCC
ACAA1,-0.6181929701968332,9.11999565629612e-17,2.652509523825367e-15,CCRCC
ACAA2,-0.030565656302015576,0.6639893843597011,0.7797478632574901,CCRCC
ACACB,-0.2356371143846161,0.13986916492869772,0.26115193511673,CCRCC
ACAD11,0.012941106683260317,0.9201195410297414,0.9537731235777951,CCRCC
ACAD8,-0.46855834105471955,5.127379438332878e-15,1.2385166410849587e-13,CCRCC
ACAD9,0.09931884915950584,0.526702725150716,0.6686977070655598,CCRCC
ACADL,0.3290234987192978,0.012748506972882432,0.03928918923740351,CCRCC
ACADM,-0.35130456034367186,2.1055892948322132e-07,2.1632707317452276e-06,CCRCC
ACADS,-0.10622078379683408,0.3016004104262997,0.45299092056801654,CCRCC
ACADSB,-0.43406674836901776,1.6476673176278475e-13,3.438729949927909e-12,CCRCC
ACADVL,0.18207557034943161,0.16458588387155737,0.2949360117662397,CCRCC
ACAN,0.2851611094670212,3.4564641180487357e-06,2.8615507088509698e-05,CCRCC
ACAP1,0.2086452175700414,0.0030080131282852795,0.011818802271671505,CCRCC
ACAP2,0.24120866487838966,1.250515220460726e-08,1.5306920048240738e-07,CCRCC
ACAP3,0.09889696723759926,0.596611041971209,0.7247676272168511,CCRCC
ACAT1,-0.19959435138575649,0.0004772759200198868,0.002430477068973145,CCRCC
ACAT2,-0.04491981819842761,0.6513299933037995,0.7691368386835586,CCRCC
ACBD3,0.25082673209182144,0.06354619794584512,0.14371726835360485,CCRCC
ACBD4,-0.21692949022261937,0.09522509884730916,0.19647685338174897,CCRCC
ACBD5,-0.03333573745825347,0.6676442960854021,0.7827499703546799,CCRCC
ACBD6,0.4213214425961891,1.7840474316154179e-10,2.7089280331499863e-09,CCRCC
ACBD7,-0.4120300751879699,0.15618233953554098,0.28375068643353796,CCRCC
ACCS,0.19848161280104631,0.4417698339635586,0.5945090872279052,CCRCC
ACD,-0.253721725844488,0.2943162016215102,0.4452457263937052,CCRCC
ACE,-0.1688084309233513,0.0379737060247339,0.09582283298750277,CCRCC
ACE2,0.2974817563711817,9.604016725715501e-05,0.0005852759368096387,CCRCC
ACIN1,0.18430414551514374,0.23034474646719383,0.3754769919537133,CCRCC
ACLY,0.2987862670698812,4.411817272031234e-19,1.5888913034578914e-17,CCRCC
ACMSD,-0.1373791341053533,0.09802558238295679,0.20096654538684278,CCRCC
ACO1,-0.2729293140205743,2.8324832146300086e-06,2.3905966623645485e-05,CCRCC
ACO2,-0.10236994555681178,0.019883982512430672,0.05682114280836677,CCRCC
ACOT1,-0.3524596989225204,0.003975546269523638,0.0149604110089656,CCRCC
ACOT11,-0.05975249644974412,0.0994301253618148,0.20284558908169006,CCRCC
ACOT13,-0.5567223990594343,9.149195368849742e-10,1.2928098158589947e-08,CCRCC
ACOT2,-0.34985698133935705,2.1511048653412792e-10,3.2465086439704387e-09,CCRCC
ACOT4,0.04210953414236851,0.728757683070397,0.826991997077725,CCRCC
ACOT7,-0.22171470535545867,0.005048716418716004,0.018241939512173434,CCRCC
ACOT8,0.10997327075550156,0.04320823255450779,0.1061426564796281,CCRCC
ACOT9,0.08500745155314676,0.4655940702402602,0.6163437426641236,CCRCC
ACOX1,-0.4173377359940861,1.4681398651171423e-08,1.7709991891667005e-07,CCRCC
ACOX2,-0.7120788661010776,6.394727363274794e-19,2.2621914956038774e-17,CCRCC
ACOX3,-0.20715188213981073,0.010688912285200263,0.0340461650565638,CCRCC
ACP1,-0.11747495778991718,0.2673096397206278,0.41556505623390727,CCRCC
ACP2,0.2546798244625382,0.03103173058142557,0.08161720469786933,CCRCC
ACP5,0.0718629915636193,0.39121637024879596,0.5456899482105688,CCRCC
ACP6,-0.37257403929543,3.634307496922427e-05,0.0002461361275580321,CCRCC
ACPP,-0.46164888473917925,1.0062062554484142e-13,2.1586910977104046e-12,CCRCC
ACSF2,-0.3633341677571519,2.634119779585736e-12,4.8483355943076205e-11,CCRCC
ACSF3,0.031284557899719734,0.7274249572445536,0.826302718697277,CCRCC
ACSL1,-0.1165815222412181,0.1523908067847423,0.27879161718037576,CCRCC
ACSL3,0.020302812799191383,0.887454557471288,0.9354656239786104,CCRCC
ACSL4,-0.03830363615008714,0.18249961001570691,0.3177340505264733,CCRCC
ACSL5,0.50441192696142,7.855196017216575e-41,7.915498532096217e-39,CCRCC
ACSM2A,-0.39307908320945506,2.9177785834705655e-07,2.9136019616869867e-06,CCRCC
ACSM2B,-0.22386310545653854,0.00017129992027352565,0.0009821195429015471,CCRCC
ACSM3,-0.5811679718874311,5.582929379745277e-18,1.8024370062245592e-16,CCRCC
ACSM4,0.018361915083513963,0.9300861000185098,0.9593195754533348,CCRCC
ACSM5,0.039716501541706806,0.7213008350737111,0.821520393959966,CCRCC
ACSS1,-0.22594295625681426,0.0008872320389252713,0.004171077672157637,CCRCC
ACSS2,0.4980812602251521,1.3553640798118122e-23,6.408109981138691e-22,CCRCC
ACSS3,-0.21307834765101785,0.0007073231359561417,0.0034104667009659108,CCRCC
ACTA1,-0.11973591823781266,0.44242398871467115,0.5950683175701172,CCRCC
ACTA2,-0.06109655153595284,0.6892519194436935,0.7991765362083432,CCRCC
ACTB,-0.14928571343829672,0.29212327715685593,0.44295817189797765,CCRCC
ACTBL2,0.12285760854089281,0.4297780938116136,0.5831340956659099,CCRCC
ACTG1,-0.4235508964915049,0.003714971619008383,0.0141344610492859,CCRCC
ACTL6A,-0.2720058322665758,0.0040450960761368,0.015182046070557079,CCRCC
