Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,0.13760563811932244,0.3587043463497057,0.4148291447651846,LSCC
A2M,0.1850923569228956,1.2189368435934427e-08,6.187948068989488e-08,LSCC
A2ML1,0.7019514716814027,1.7477938465686208e-13,1.474192415154553e-12,LSCC
A4GALT,0.3276962775570694,0.01762464491356586,0.02793894259669587,LSCC
AAAS,0.37492426840547394,0.0003017929995023967,0.0007093844923421939,LSCC
AACS,0.17012633883234196,0.0032615001574007865,0.006088702731270698,LSCC
AADAC,-0.057896445093618576,0.5271339320257853,0.582235039903045,LSCC
AADAT,0.9696785021727814,4.2920278541412785e-06,1.4517078207308912e-05,LSCC
AAGAB,0.4414604068511933,3.2166402985010493e-25,6.3619235851809314e-24,LSCC
AAK1,0.6595622281138623,4.548040732329172e-11,3.1004922841899947e-10,LSCC
AAMDC,0.18784269793663666,0.005853068166942087,0.010336616205686025,LSCC
AAMP,0.2300043244522782,0.0010441045447403682,0.0021672100881369736,LSCC
AAR2,0.60874508030522,1.9198690037071996e-06,6.911528413345918e-06,LSCC
AARS2,0.5057909628888944,7.888593643348335e-07,3.03215327241129e-06,LSCC
AARSD1,0.39636495833564517,0.0003403267283221054,0.000790195040409332,LSCC
AASDH,0.4085313706291756,0.009118769863036245,0.015430516262895853,LSCC
AASDHPPT,0.47563840995830836,5.477618364282497e-09,2.9115314752301752e-08,LSCC
AASS,0.6613544076120585,1.76696667612927e-08,8.752006817702791e-08,LSCC
AATF,0.4597286732927044,3.247513838570061e-12,2.4430209575320725e-11,LSCC
AATK,0.022102723982490247,0.5929985802001008,0.6457347134774379,LSCC
ABAT,0.2513146520714653,3.189151030479269e-05,9.126025967860938e-05,LSCC
ABCA1,0.43857259143111926,2.943174008838038e-06,1.0283987075584719e-05,LSCC
ABCA12,0.6185120687413592,7.159517838161018e-10,4.207230564834889e-09,LSCC
ABCA13,0.19381865865531928,0.28536375966827576,0.3392261693056628,LSCC
ABCA2,0.3457867222085443,0.04323329825656002,0.06263531797687735,LSCC
ABCA3,0.3329857357964666,2.4689845586958503e-39,1.164299660489134e-37,LSCC
ABCA5,0.06500206848066922,0.7614411151400251,0.797750321390782,LSCC
ABCA6,0.4872459034968662,1.637951337060896e-42,9.162892479675954e-41,LSCC
ABCA7,0.16865134865134865,0.5519104056723754,0.6063735004845622,LSCC
ABCA8,0.07551093650811935,8.82208339062554e-05,0.0002308625315167098,LSCC
ABCA9,0.079640277163497,0.7452560537624314,0.7831364719647208,LSCC
ABCB1,-0.21640482827823226,4.8706329925702233e-14,4.315501840932561e-13,LSCC
ABCB10,0.500316805311671,9.081732479818346e-05,0.00023678485505982858,LSCC
ABCB6,0.7440359060136863,2.510001580234497e-08,1.2173454327937135e-07,LSCC
ABCB7,0.3792814054008336,0.0037703603219301977,0.006945496689889818,LSCC
ABCB8,0.14865111156979932,0.2733825838293028,0.32675346110808584,LSCC
ABCC1,0.7655706198231972,3.2559362166971857e-37,1.361052897617153e-35,LSCC
ABCC10,0.6574480690710036,7.849138590318962e-06,2.5353628528932916e-05,LSCC
ABCC2,0.4017542694470622,0.030507228762339283,0.045802985743430585,LSCC
ABCC3,0.1828775485495433,0.044027590005598125,0.06364870245045424,LSCC
ABCC4,0.3118021139283182,4.166973545114083e-06,1.4127965330205291e-05,LSCC
ABCC5,0.8350802625489835,6.4391311257910584e-24,1.1463863402110383e-22,LSCC
ABCC6,0.11411490470314001,0.23521383186540457,0.2849230707194562,LSCC
ABCC9,0.16865559576539613,0.15999686872618968,0.20206775851076547,LSCC
ABCD1,0.23114060616121124,0.019741860991452434,0.030913023824705708,LSCC
ABCD3,0.5768538258585346,1.0757135363093236e-10,6.994896225847294e-10,LSCC
ABCD4,0.3567814172690475,0.006080369631755599,0.010690059811676922,LSCC
ABCE1,0.79457801970317,1.0077979374819521e-25,2.0611093302050245e-24,LSCC
ABCF1,0.7251910074019288,2.898890766898328e-20,4.0943244346341238e-19,LSCC
ABCF3,0.7457977902063916,4.288781790130932e-58,7.3050116102946575e-56,LSCC
ABCG1,0.26445935817059696,0.0004400907588543547,0.0009964912182630747,LSCC
ABCG2,-0.05834689444344071,0.38735212217937187,0.4437769720219849,LSCC
ABHD10,0.432619922527335,0.0002519415638036649,0.0006013714967846524,LSCC
ABHD11,0.4820894399838746,5.4103699954756794e-05,0.0001472529033827056,LSCC
ABHD12,0.10185603849197777,0.2636397715273574,0.31603540679308856,LSCC
ABHD13,0.2792048764699536,0.03334319046784586,0.04955234921461869,LSCC
ABHD14B,0.41217673842739716,9.219924338211109e-19,1.1652023980915302e-17,LSCC
ABHD15,0.22855722637427384,0.1158512150784626,0.15132128493480773,LSCC
