Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,-0.2708301000565269,0.08277515612035623,0.18218025310833155,CCRCC
A1CF,0.14090765538375383,0.00038192240415083783,0.0021739854579165305,CCRCC
A2M,-0.2943104554886303,0.030160509779170497,0.08422793703906481,CCRCC
AAAS,0.08760448785557429,0.5377329815419851,0.6921491691472205,CCRCC
AACS,0.07190752844060433,0.371680117794146,0.5391105320885404,CCRCC
AADAT,-0.34090744183453026,0.00011755074320641621,0.0007731802771548458,CCRCC
AAGAB,0.4326176982478286,0.00014023192407720177,0.0009010410551010692,CCRCC
AAK1,0.13792114576276815,0.05927870778035242,0.14231571305213928,CCRCC
AAMDC,0.2482588738600327,0.025910582837576884,0.07452931692606385,CCRCC
AAMP,0.3382247178480882,0.008833692802073427,0.03112428959745393,CCRCC
AAR2,0.406316691125962,0.0020088953018026438,0.009026574363018992,CCRCC
AARS2,0.13309861109957682,0.36165692309244857,0.5300088201029436,CCRCC
AARSD1,0.17663487537817274,0.2572580523491028,0.42022975758683295,CCRCC
AASDH,-0.37140395836048007,0.1495704823124738,0.28468433808173454,CCRCC
AASDHPPT,0.2178806663210333,0.0734102090229124,0.16728379324780787,CCRCC
AASS,-0.19617341146071227,0.0003527349921112024,0.0020208515920246035,CCRCC
AATF,0.12367219245056038,0.10603217948951828,0.21932405742590555,CCRCC
ABAT,-0.557914810469132,4.4130712687286385e-17,1.6575427529803936e-15,CCRCC
ABCA1,0.14087524224510528,0.3203742211675804,0.48933905220885887,CCRCC
ABCA2,0.08620361123794176,0.5848104026167211,0.7284713882842863,CCRCC
ABCA3,-0.37754032602319454,0.08121746535654763,0.1795644324973853,CCRCC
ABCA5,-0.4355551311433664,0.1429076999317246,0.27490727801776094,CCRCC
ABCA6,0.17363207797023145,0.4380414214741071,0.6028957198783409,CCRCC
ABCA8,0.06398431992642384,0.5047942935779073,0.6638689857950361,CCRCC
ABCB1,0.2612919016202454,1.924430022568401e-36,2.463270428887553e-34,CCRCC
ABCB10,-0.055696034035000674,0.6827849107704607,0.8017056864182307,CCRCC
ABCB6,0.21219584362027633,0.004838978825407617,0.01883967880580674,CCRCC
ABCB7,0.06531709093756413,0.6526517358410111,0.7789223513999946,CCRCC
ABCB8,0.05869421768021482,0.4040259701988096,0.5700311295277766,CCRCC
ABCC1,0.4199739944500929,1.7200007956992793e-06,1.7375044382723353e-05,CCRCC
ABCC10,0.12775719815698278,0.6235216355266966,0.7567833400378919,CCRCC
ABCC2,-0.037949215621837507,0.3177250333194561,0.4868214087465222,CCRCC
ABCC3,0.24006278347176457,1.279487162267335e-09,2.168440960720668e-08,CCRCC
ABCC4,0.11254698972709598,0.3569456197537183,0.5253997562360677,CCRCC
ABCC6,-0.12994909223784168,0.0007857277962194781,0.00405278897222857,CCRCC
ABCD1,0.27470870106311923,0.013593335818454804,0.044538892166361845,CCRCC
ABCD3,-0.12757330966891567,0.008353823938191781,0.02976776530063357,CCRCC
ABCD4,-0.15572944262466232,0.183291143663179,0.33031794100692946,CCRCC
ABCE1,0.21435871761318406,0.012378268841958355,0.04109754242135525,CCRCC
ABCF1,-0.09180457398709452,0.5473972434654191,0.6983711979582422,CCRCC
ABCF3,-0.11373622162612984,0.2746763971428069,0.4401337492019808,CCRCC
ABCG1,0.3371697846830633,5.8250108111622794e-12,1.3117061382172836e-10,CCRCC
ABCG2,0.3170151921624146,0.04374454453497877,0.11219270478151161,CCRCC
ABHD10,-0.16521864474544334,0.008417759421001737,0.02994794490885932,CCRCC
ABHD11,0.6514092231909712,2.2017428651339688e-08,3.084294427834637e-07,CCRCC
ABHD12,0.0934307750531797,0.46924586159098103,0.6323219255786506,CCRCC
ABHD13,0.14517873430916906,0.6406091594777124,0.7695537050381805,CCRCC
ABHD14B,0.07461663762001763,0.08254781498839404,0.1817621421926431,CCRCC
ABHD15,-0.46221337572589416,0.0014566004772149847,0.006898641403284991,CCRCC
ABHD16A,0.30655420531808747,0.058164049188012754,0.14012379160499952,CCRCC
ABHD17A,0.09643265908059928,0.543425282860317,0.695675898363622,CCRCC
ABHD17B,0.057165032361651325,0.7443069321037916,0.8440419661335539,CCRCC
ABHD3,0.5099470591499573,0.003608601200398162,0.014787056645944954,CCRCC
ABHD4,0.24098730924418996,0.07222515107367934,0.16551384443928213,CCRCC
ABHD5,0.24378033736768373,0.10362373165347995,0.21553869023805763,CCRCC
ABHD6,-0.08690741573406946,0.06933015654570338,0.16045296729379652,CCRCC
ABI1,-0.00020835913831035446,0.995348979040572,0.9976698154011142,CCRCC
ABI2,0.5602612418836466,4.477078108824078e-06,4.140020517361276e-05,CCRCC
ABI3,0.020522578678059067,0.6725389524833612,0.7936024902666348,CCRCC
ABI3BP,0.1117388482815812,0.2853103334948758,0.4521092888480455,CCRCC
ABL1,0.28757959750716877,0.029494575455785675,0.08268680980803547,CCRCC
ABL2,0.197506430336619,0.14327105233653703,0.2755517590213191,CCRCC
ABLIM1,0.33129817452390903,4.276047244833519e-09,6.720094926937071e-08,CCRCC
ABLIM2,0.011072084206019905,0.9417809715283323,0.9677453566100789,CCRCC
ABLIM3,0.0700652718388135,0.009072051035985964,0.03183727001373429,CCRCC
ABO,-0.46991380764965673,0.01563813532936941,0.0498616127447085,CCRCC
ABR,0.2965754976727934,0.027289658685163618,0.07762391803779874,CCRCC
ABRACL,0.4788889033891448,1.2722272171867314e-05,0.0001067836615081322,CCRCC
ABT1,-0.02353620851492179,0.8015346942761283,0.8845792763515113,CCRCC
ABTB1,-0.07196332385160081,0.7735843889789837,0.864395696759425,CCRCC
ABTB2,0.437777759656406,0.014641440166161132,0.04732610861927091,CCRCC
AC093323.1,-0.053312586030658804,0.7796511268944468,0.8691379705768518,CCRCC
ACAA1,-0.5580054977061254,2.3052881832357118e-15,7.401268464197031e-14,CCRCC
ACAA2,0.046243799657609386,0.5425970698572979,0.6951800201111515,CCRCC
ACACB,-0.1639170743480765,0.3272069147942046,0.49619156151489047,CCRCC
ACAD10,-0.21818129617260473,0.0013441527689323227,0.006431833810218217,CCRCC
ACAD11,0.03684229508469006,0.767521320673477,0.8598925955904162,CCRCC
ACAD8,-0.36447577817930304,1.9456494023345585e-13,5.1713872639099955e-12,CCRCC
ACAD9,0.2744869895135467,0.08587770874478504,0.18714858407807713,CCRCC
ACADL,0.5435266705184619,0.00022783952845949028,0.0013740997723830884,CCRCC
ACADM,-0.1560744907147611,0.00043098457358376163,0.002420680099204869,CCRCC
ACADS,-0.11440100035947454,0.32427130705634866,0.4933959727661072,CCRCC
ACADSB,-0.383921736582287,8.285884818136826e-12,1.8277797621504546e-10,CCRCC
ACADVL,0.2913822922610948,0.04462417691829577,0.11399789733749506,CCRCC
ACAN,0.2998514409233869,6.488483809524538e-08,8.495285396911804e-07,CCRCC
ACAP1,0.21088026424579331,0.0005023434967567583,0.0027707608686656283,CCRCC
ACAP2,0.03468827152071963,0.4985463353612556,0.6593065185419107,CCRCC
ACAP3,-0.02482092207105427,0.8964441807844105,0.9426777056372858,CCRCC
ACAT1,-0.028392816678668997,0.47957677543767196,0.6420758149542627,CCRCC
ACAT2,0.10593458038170739,0.22932717912095946,0.38677094287251973,CCRCC
ACBD3,0.24495427080651608,0.09391258440263776,0.20003976813419316,CCRCC
ACBD4,-0.2774603657285747,0.05309338601300939,0.1306914117243308,CCRCC
ACBD5,0.1983942509369258,0.00945881930826403,0.032900312113011906,CCRCC
ACBD7,-0.273794466403162,0.329122951364783,0.49816525142004187,CCRCC
ACCS,0.2933031563243994,0.23145352205001912,0.38914273461849047,CCRCC
ACD,-0.5178123611718559,0.11573355812973916,0.23468171302263086,CCRCC
ACE,-0.1752287646058771,0.030099070736184893,0.0840906835501455,CCRCC
ACE2,0.27518043129824876,5.932397051175679e-05,0.0004240290853331154,CCRCC
ACIN1,0.03236931677298649,0.8395337985961994,0.9084946267188242,CCRCC
ACLY,0.010442815603542988,0.8023953377443924,0.8846324043767981,CCRCC
ACMSD,-0.1265680860176273,0.16332207273164556,0.30355313785507226,CCRCC
ACO1,-0.17246363434678258,0.00013623142746347922,0.0008780998915958673,CCRCC
ACO2,-0.06640251418619347,0.08093377139906106,0.17910404374643604,CCRCC
ACOT1,-0.2519603673158857,0.040328295791310254,0.10543025432598513,CCRCC
ACOT11,-0.1849783781411014,0.0002000222965189821,0.0012307507277271711,CCRCC
ACOT13,-0.4389550324654139,5.615711130065274e-08,7.454645019929496e-07,CCRCC
ACOT2,-0.30154692684871337,4.839954007957657e-09,7.533291614305934e-08,CCRCC
ACOT4,0.12492401799982678,0.29895760633325297,0.46718462109061837,CCRCC
ACOT7,-0.07084662172866774,0.3764329807401712,0.5432901657063873,CCRCC
ACOT8,0.2132846599287932,0.011534342490323002,0.038731820416245136,CCRCC
ACOT9,0.2691982961995151,0.05200598794639299,0.12869861377321573,CCRCC
ACOX1,-0.3660282938993099,3.527330063292175e-13,9.07774255441965e-12,CCRCC
ACOX2,-0.5101057424572635,2.585168556795354e-14,7.44039044985361e-13,CCRCC
ACOX3,-0.04485290610833831,0.6283749632484686,0.7602459742065965,CCRCC
ACP1,-0.010212663417560192,0.9125296987908933,0.9502403162074745,CCRCC
ACP2,0.28024197499813147,0.013709450684227404,0.04484382523744593,CCRCC
ACP5,0.02609241698570519,0.7706759470001756,0.86215781556526,CCRCC
ACP6,-0.2990039352376388,0.0037843481736776286,0.015397017647359358,CCRCC
ACSF2,-0.6767148773812222,4.664573124540265e-21,2.607871687099293e-19,CCRCC
ACSF3,0.26595954191318755,0.010813326792520289,0.03671624538835511,CCRCC
ACSL1,0.035183280825490826,0.7251635761736651,0.8308787579371418,CCRCC
ACSL3,-0.0029757847044182273,0.9955671715313524,0.9976698154011142,CCRCC
ACSL4,-0.09812363788220868,0.008328524825041086,0.02972116269185608,CCRCC
ACSL5,0.5272959804104179,8.806453860715014e-39,1.227329103941931e-36,CCRCC
ACSM2A,-0.2620898876137891,0.00044353547099433186,0.0024797201504786555,CCRCC
ACSM2B,-0.11314934090404871,0.015889561667490733,0.05049776409714141,CCRCC
ACSM3,-0.5715413152496687,9.461477859131363e-10,1.6309991228961607e-08,CCRCC
ACSM5,0.02932484040161487,0.8078376369121717,0.888183152337433,CCRCC
ACSS1,-0.2636461157175788,0.0034002785565673704,0.01403390318128442,CCRCC
ACSS2,0.3482861369775904,1.77906605445217e-08,2.5376472987845614e-07,CCRCC
ACSS3,-0.22369371346676992,0.0028431801153385025,0.012125583587028914,CCRCC
ACTA1,0.2523439378755941,0.12248752662926411,0.24477375904878415,CCRCC
ACTB,-0.15927284116564655,0.2589288078210805,0.4219195046035965,CCRCC
ACTBL2,0.21686109718632088,0.14759034959954526,0.28196365296629544,CCRCC
ACTG2,-0.1904186180401014,0.15315836141949782,0.2894236669778256,CCRCC
ACTL6A,-0.2991619616631689,0.0010732088933573531,0.005323904188975181,CCRCC
ACTN1,-0.1093403490846161,0.22014655063147326,0.37657563645911235,CCRCC
ACTN2,0.04304603533736354,0.8030944297630667,0.8850688357012703,CCRCC
ACTN3,0.2721030435246007,0.3352723314389231,0.504022444790271,CCRCC
ACTN4,0.07574633674102538,0.24345784457553232,0.4045017783143943,CCRCC
ACTR10,0.32052616155947883,0.040012392026703536,0.10486006186308512,CCRCC
ACTR1A,0.158926345686365,0.2281671400781201,0.3850173866345411,CCRCC
ACTR1B,0.30179034923602766,0.018664266299377768,0.05753041272507824,CCRCC
ACTR2,-0.033899729148401225,0.6428887542892264,0.7711728835200631,CCRCC
ACTR3,-0.09709978799307617,0.26703183549135,0.43143758439791613,CCRCC
ACTR3B,0.2550412705888675,0.059238921783118674,0.14225530266753356,CCRCC
ACTR5,0.212111491676919,0.0434552238774267,0.11162725584357194,CCRCC
ACTR6,-0.22724775148273996,0.1582870200180655,0.2968606382756393,CCRCC
ACTR8,-0.06094827719163792,0.6325585329414288,0.7632757886943958,CCRCC
ACTRT1,-0.037788111476175584,0.8164031779780437,0.8933599679831732,CCRCC
ACVR1,-0.06410662057766331,0.6584065906995595,0.7838446436591734,CCRCC
ACVR1B,0.26001703834942635,0.11139963738860283,0.22781121967354154,CCRCC
ACY1,-0.10781607017312522,0.04197391697138804,0.10871199794932451,CCRCC
ACY3,-0.033741916272094885,0.5241029272930995,0.6810622967748535,CCRCC
ACYP1,-0.012418053451370648,0.9383662683701894,0.9664824837168028,CCRCC
ACYP2,0.314055145527864,0.010542381178615966,0.03598466108967583,CCRCC
ADA,0.19582376019845837,8.591339792866231e-15,2.595545139906916e-13,CCRCC
ADAL,0.014696244025070693,0.9113279242636991,0.9496527285134053,CCRCC
ADAM10,0.2457890347219174,0.0844972208248274,0.1850909624372711,CCRCC
ADAM15,0.14728824770097732,0.2859470358158074,0.45267579567390953,CCRCC
ADAM17,0.05219510806183908,0.6226376167947809,0.7561844933203837,CCRCC
ADAM22,-0.3586927458730527,0.17421913181669169,0.3186919357489238,CCRCC
ADAM9,-0.24415559670991827,0.041843638685594826,0.10849011650678743,CCRCC
ADAMDEC1,0.35386156145981384,0.05390283228110433,0.1320980434973689,CCRCC
ADAMTS1,-0.5042386185243328,0.0008923466455320254,0.004547275100961521,CCRCC
ADAMTS13,0.02331757776403874,0.9174450550587446,0.952802978073179,CCRCC
ADAMTS15,0.0046830568569699,0.9996007302763686,0.9997034958495439,CCRCC
ADAMTS2,0.4686249596434039,0.053660437475242635,0.1316541578207214,CCRCC
ADAMTS5,0.03887349910950841,0.8645636942793955,0.9231020624159977,CCRCC
ADAMTS7,0.40385580672936433,0.0015390244827822243,0.007197899119473787,CCRCC
ADAMTSL1,0.09024082660964616,0.2498021087055381,0.4113890153186854,CCRCC
ADAMTSL2,0.17312812797470856,0.03561372411169766,0.09575740966240873,CCRCC
ADAMTSL3,0.03697424264018878,0.8223061888116011,0.8972697279918515,CCRCC
ADAMTSL4,0.3518821872660598,0.0027700829977457026,0.011865859710290706,CCRCC
ADAMTSL5,0.00644854590774438,0.9772537024751052,0.9876089775273035,CCRCC
ADAP1,0.2249714971105603,0.037449061036597904,0.0995367392797881,CCRCC
ADAP2,-0.004354072182487845,0.8893246822605012,0.9381571494098261,CCRCC
ADAR,0.2482011763102442,0.019485888368239633,0.05968473616065338,CCRCC
ADARB1,0.2971953156791399,0.002824783250421707,0.01205769699872855,CCRCC
ADAT1,0.308164873399457,0.054501714218773444,0.13328121566622123,CCRCC
ADAT2,0.06230303789726538,0.8019983907154706,0.8846324043767981,CCRCC
ADAT3,0.17542183542217366,0.3400741942826493,0.5089289038584388,CCRCC
ADCK1,-0.020426979808920886,0.7206863788830484,0.8275616556699266,CCRCC
ADCK2,0.2661845270126609,0.2958852290310311,0.4637747627780543,CCRCC
ADCK5,0.3081887746116727,0.08062943880431733,0.17870801571789363,CCRCC
ADCY3,0.9600140056022408,0.006763682433751834,0.025008400880097998,CCRCC
ADCY5,0.10341448832497424,0.4309672530270169,0.5959416400066554,CCRCC
ADCY6,0.2541711609865378,0.11024249810437055,0.22601454616634706,CCRCC
ADCY9,-0.2720301531503849,0.017107461997368283,0.05366700751705858,CCRCC
ADD1,0.07140991868332267,0.4438183573497668,0.6086937798249727,CCRCC
ADD2,0.3504458789152174,0.000964035028840382,0.004854105983726312,CCRCC
ADD3,-0.2129914168935026,0.0007367666686935703,0.003836866248956666,CCRCC
ADH1A,-0.15138668242211206,0.1667764158627293,0.3084056179548891,CCRCC
ADH1B,-0.062948497859169,0.08575047956222462,0.18703602358325586,CCRCC
ADH1C,-0.1941830398920837,0.00014846322261142335,0.0009464287218636477,CCRCC
ADH4,-0.42768134376300454,0.010230819286962733,0.03511835216075281,CCRCC
ADH5,0.11220972431981613,0.14536071776203613,0.27879910536062447,CCRCC
ADH6,-0.4000603869749211,5.504219776109639e-11,1.10859316732908e-09,CCRCC
ADHFE1,-0.3707678636891577,5.0895625454326726e-09,7.883959306046025e-08,CCRCC
ADI1,-0.10883343991021444,0.1318192290850251,0.25879666206642266,CCRCC
ADIPOQ,-0.0579458056149857,0.7057782580913698,0.817942684621497,CCRCC
ADIPOR1,-0.1516645854145854,0.4320071988776234,0.5968716185579792,CCRCC
ADIRF,0.14566263730918483,0.0014232896193620893,0.006770543480271102,CCRCC
ADK,0.033390366794519344,0.5521335632292743,0.7020949815950295,CCRCC
ADNP,0.2325871844365326,0.09549487677053028,0.20261159459623088,CCRCC
ADNP2,-0.2929242186385043,0.14384628141167488,0.27633029730899944,CCRCC
ADO,0.1036412989962,0.45539322470421373,0.6189129176709409,CCRCC
ADPGK,0.3290791638836062,2.056782970363683e-10,3.885123249650079e-09,CCRCC
ADPRH,-0.09555236286284086,0.006823096204607507,0.025136065083445763,CCRCC
ADPRM,-0.047058823529411764,0.8624391433419233,0.9220354517145726,CCRCC
ADRA2A,-0.21896321070234115,0.059848874015518944,0.14326029685604535,CCRCC
ADRM1,0.15788636096699837,0.3237722023016879,0.4932126501708143,CCRCC
ADSL,0.45937287711309926,8.155593699888743e-05,0.0005587156022008288,CCRCC
AEBP1,-0.04683348024729006,0.6976008717045494,0.8117537416198394,CCRCC
AFAP1,0.20309487398816217,0.006571972247464679,0.024401582451655114,CCRCC
AFAP1L1,0.5612499985170193,1.0456646579517092e-70,7.82478907119556e-68,CCRCC
AFAP1L2,0.05466672652032811,0.4853297024491495,0.6477169383751962,CCRCC
AFF1,0.3786832119290556,0.01631723957891914,0.051604065872472495,CCRCC
AFF4,0.3671244054730293,0.011568406833583511,0.038819407270472714,CCRCC
AFG3L2,0.005097870795601422,0.9672762513164866,0.982363845681776,CCRCC
AFM,0.2157997449285533,0.17132057248096388,0.3145727687985686,CCRCC
AFMID,-0.3511472932042705,6.869592568005345e-09,1.0425490873877691e-07,CCRCC
AFTPH,0.23140457256343305,5.8584043083152016e-05,0.0004202843444785419,CCRCC
AGA,0.253081859349363,0.0778162143770852,0.17428174651737816,CCRCC
AGAP1,0.04139397428471925,0.7447011905010898,0.8442845659959382,CCRCC
AGAP2,-0.02393113159242194,0.8571663771660576,0.9189458361330625,CCRCC
AGAP3,0.24434715036356758,0.04813825762274924,0.12103617734662822,CCRCC
AGFG1,0.22203443599870448,0.046611648975374835,0.1179906638648052,CCRCC
AGFG2,0.06320520775373506,0.5981883571581934,0.7384741546237189,CCRCC
AGK,0.7842567241311809,4.272593472409771e-07,4.861261906386228e-06,CCRCC
AGL,0.11670939628448079,0.41803446030182756,0.5829471373016312,CCRCC
AGMAT,-0.24831952183956052,1.1440814236486804e-05,9.69479450283481e-05,CCRCC
AGO1,0.3608627625913961,0.024715099118876482,0.07181256996070204,CCRCC
AGO2,0.03702941166002488,0.8050116910283484,0.8864445588210119,CCRCC
AGO3,0.3319785216936352,0.03755374653941974,0.09973323678282152,CCRCC
AGPAT1,-0.24655102580742366,0.034697433389243956,0.09391881008294774,CCRCC
AGPAT2,0.03956715996258653,0.738288792927219,0.8405001027028656,CCRCC
AGPAT3,-0.21723524938396976,4.8360010337727335e-05,0.00035345317848640983,CCRCC
AGPAT4,-0.004626675760470267,0.9612574020656445,0.9791740321774439,CCRCC
AGPAT5,-0.17580380520988925,0.21377956518815633,0.3682747671596219,CCRCC
AGPS,0.07590111247281695,0.6127226872288536,0.7491913400405087,CCRCC
AGR2,-0.3827841485897965,0.00021158132721930392,0.001290447116733159,CCRCC
AGR3,-0.29700759572839536,0.03470786618505316,0.09391881008294774,CCRCC
AGRN,-0.08478117729687021,0.5751489956798264,0.7203904580460401,CCRCC
AGT,0.15137197071528313,0.35180471526675205,0.5202730723798972,CCRCC
AGTPBP1,0.22687402259912265,0.06819468281758811,0.15810244862952746,CCRCC
AGTRAP,0.037398474679137594,0.7767416727544894,0.867325871505472,CCRCC
AGXT,-0.8009335733973351,8.167906707468613e-19,3.69569285815138e-17,CCRCC
AGXT2,-0.009510272310851775,0.8595753662432185,0.9201088427392198,CCRCC
AHCTF1,0.08364381413150124,0.5689241497673501,0.7149585491456893,CCRCC
AHCY,-0.18970495801978177,0.02123462749539663,0.06407272216973275,CCRCC
AHCYL1,0.35694517835512524,0.0003764753211206971,0.00214423414746027,CCRCC
AHCYL2,-0.07508854054907438,0.2237086810636506,0.38019532658755995,CCRCC
AHDC1,0.10924461707658231,0.46973563303502275,0.6327316862593051,CCRCC
AHNAK,0.04834355824870895,0.06711719756978948,0.15613821525110216,CCRCC
AHNAK2,0.6991463488421479,9.170996242953819e-60,3.3042759796835095e-57,CCRCC
AHSA1,0.7527820836946864,7.6052887837619e-17,2.7918584637145573e-15,CCRCC
AHSG,-0.4083609195530858,0.004418982498665052,0.0175203015846103,CCRCC
AHSP,0.14416430956076684,0.30957357423234466,0.47881378048536827,CCRCC
AIDA,-0.35707919235683605,2.279054677347124e-05,0.00018060835761995924,CCRCC
AIF1,0.051057673713395535,0.08630739577595607,0.18782960763053705,CCRCC
AIF1L,-0.22228806129337275,1.6273336457317695e-08,2.3349117559998015e-07,CCRCC
AIFM1,-0.11400854434171681,0.005358168573553263,0.02052136373367171,CCRCC
AIFM2,0.10872324851079074,0.4264625605968908,0.5915624967184591,CCRCC
AIG1,0.29189783924591395,0.01842106879051042,0.057070113756078136,CCRCC
AIMP1,0.3129126097257435,0.04133772447935183,0.10755105208214351,CCRCC
AIMP2,0.2344376895302512,0.0478720883466862,0.12042918940692098,CCRCC
AIP,0.19748953905400066,0.16897597067045056,0.31108975069684763,CCRCC
AJAP1,0.014241147394862708,0.9644359280624475,0.980666113535224,CCRCC
AJUBA,0.21693256805616357,0.19659281989012,0.3464709968708544,CCRCC
AK1,-0.13041322961168444,0.34043910405710553,0.5091930510866425,CCRCC
AK2,-0.5561184581271496,3.6451703917091264e-06,3.45953342151672e-05,CCRCC
AK3,0.1127851920222756,0.0030103491119103107,0.012671863332178063,CCRCC
AK4,-0.23766351048823275,0.0018650081932081687,0.008466075456616456,CCRCC
AK7,0.09980769737362033,0.7051134393226544,0.8175618042587344,CCRCC
AKAP1,0.017416054393360025,0.7916816262802441,0.8777641105307546,CCRCC
AKAP10,0.30564621774665235,0.043925449384173934,0.11247875009456279,CCRCC
AKAP11,0.21526651536308705,0.17230937337581131,0.3161496763862491,CCRCC
AKAP12,0.11920424440945931,0.060164047184787885,0.14378733840702695,CCRCC
AKAP13,-0.19722319571667712,0.002345697196649091,0.010274174844215379,CCRCC
AKAP17A,0.13897498786446846,0.18593234987838858,0.333091258115545,CCRCC
AKAP5,-0.28093716046607464,0.06410646968314533,0.15121914090146407,CCRCC
AKAP7,0.35142955820258037,0.010716170843274935,0.036488242899327464,CCRCC
AKAP8,0.034741089362045396,0.8109705625239656,0.890239696961328,CCRCC
AKAP8L,-0.3360113987830067,0.02685958906560073,0.07660219361775547,CCRCC
AKAP9,-0.08329972711711725,0.5030567506501151,0.6627486552443553,CCRCC
AKNA,0.06932391492278098,0.6807168033472708,0.7996634540468844,CCRCC
AKR1A1,-0.037442392130948354,0.5765781319650889,0.7216870905502297,CCRCC
AKR1B1,0.06190723184446023,0.0735390399839491,0.16745968655520996,CCRCC
AKR1B10,-0.22521919713144178,0.09726182219607114,0.20501472798718748,CCRCC
AKR1C1,-0.030929472996107488,0.7266760415176287,0.8321488560192456,CCRCC
AKR1C2,0.0065766754419578355,0.9400708939106434,0.9671118502498666,CCRCC
AKR1C3,0.18705125300006997,0.04690247091168758,0.11857256679545136,CCRCC
AKR1C4,0.04634330118089425,0.780696718948742,0.8699447516533062,CCRCC
AKR7A2,0.0801839133369795,0.22230966417874942,0.37861141686464883,CCRCC
AKR7A3,0.006156007198981572,0.9098479512570258,0.9490672174381671,CCRCC
AKT1,0.13646815684478653,0.09680982899783963,0.20447788556562707,CCRCC
AKT1S1,0.17427282336987793,0.2582783017912139,0.42116737130884047,CCRCC
AKT2,0.27021576776284645,0.10478720987976961,0.2174887940495837,CCRCC
AKT3,0.17451736095869363,0.018657645323720006,0.05752823255440514,CCRCC
AKTIP,0.4054033173685515,0.003485098810908617,0.014341388000219555,CCRCC
ALAD,-0.674955469054938,7.747678480676674e-10,1.358007500180589e-08,CCRCC
ALAS1,0.26501574498509173,0.04232786486149704,0.10945387277316407,CCRCC
ALB,0.25300670974137474,0.005105609175759608,0.019701454209357188,CCRCC
ALCAM,0.08752191548908117,0.43482390749401123,0.5996550853560734,CCRCC
ALDH16A1,-0.1882695275935256,0.08252274525155363,0.1817571626692087,CCRCC
ALDH18A1,0.7348019090541024,3.356747972918183e-11,6.903688008572534e-10,CCRCC
ALDH1A1,0.30771795367642785,0.003072438382645419,0.012905302498434645,CCRCC
ALDH1A2,-0.26559534557603126,9.469623927586105e-09,1.415061468011638e-07,CCRCC
ALDH1A3,-0.025488523508803596,0.7251440008692569,0.8308787579371418,CCRCC
ALDH1B1,-0.15884106836303846,0.013417385855615993,0.044021696324935036,CCRCC
ALDH1L1,0.06767512519323238,0.005577155047381086,0.021276299725852238,CCRCC
ALDH1L2,0.17571295187905522,0.03385930065206114,0.09203220920459647,CCRCC
ALDH2,-0.2972582652447453,1.7598754469415498e-07,2.134671863821371e-06,CCRCC
ALDH3A1,0.17590757069017937,0.5753200522779282,0.7203904580460401,CCRCC
ALDH3A2,-0.0818515904078434,0.0773298248617819,0.17345274066299615,CCRCC
ALDH3B1,0.17991111606756227,0.04413359928451265,0.11289288820398083,CCRCC
ALDH4A1,-0.32061680134108916,1.441861983371435e-10,2.766554906161207e-09,CCRCC
ALDH5A1,-0.20850851290252537,3.794758463367004e-07,4.3635236798622e-06,CCRCC
ALDH6A1,-0.4251616508304099,5.817413862821707e-13,1.458551599420865e-11,CCRCC
ALDH7A1,-0.13538043175849124,3.8389497584081354e-05,0.0002886035799829547,CCRCC
ALDH8A1,0.20981555278996133,6.763402619101158e-07,7.4176302907120704e-06,CCRCC
ALDH9A1,0.047399267051608907,0.3839109258979865,0.5501083351208739,CCRCC
ALDOB,-0.37868736376620643,3.783847144751443e-11,7.749318952450955e-10,CCRCC
ALDOC,0.5133994782280635,8.72655024258454e-58,2.9273062330987034e-55,CCRCC
ALG1,0.17702990994154683,0.18614157054767033,0.33323246195946576,CCRCC
ALG11,0.29668557368219367,0.04303213722045904,0.11083310322494719,CCRCC
ALG12,-0.137698081734779,0.38174026085815327,0.5478048764756034,CCRCC
ALG13,0.5566881362728779,0.0001045302702181739,0.0006974649710079396,CCRCC
ALG14,-0.11629106009567913,0.40230739605081645,0.5683482934624372,CCRCC
ALG2,0.48729640750886527,2.1365171089343003e-05,0.0001707809238760302,CCRCC
ALG3,0.3060969496051778,0.03895765293076831,0.10273246075102037,CCRCC
ALG5,0.23231353297022056,0.13204116996082918,0.25907553476783907,CCRCC
ALG8,0.09141632479772352,0.4971518401051783,0.6585366422308244,CCRCC
ALKBH1,0.32782688547116956,0.06602107680034928,0.1542024093910679,CCRCC
ALKBH2,0.3852941176470588,0.2996799600340525,0.4677180573096844,CCRCC
ALKBH3,0.07309723372775712,0.5714115403182551,0.717157974998837,CCRCC
ALKBH4,0.23677241703316065,0.07982369350272744,0.1774993004995707,CCRCC
ALKBH5,0.14904155549254533,0.23621868643935262,0.39544577210153536,CCRCC
ALKBH6,0.40064082084446684,0.026776364473387475,0.07645449768039722,CCRCC
ALKBH7,-0.1331961081840367,0.2847668562310206,0.4516106254749993,CCRCC
ALKBH8,0.23569166719591042,0.10725714278273087,0.22143410122886373,CCRCC
ALMS1,0.14678845425984707,0.5147769910977626,0.6730847539514833,CCRCC
ALOX5,0.19069862628529932,8.438941133691483e-65,4.320737860450039e-62,CCRCC
