Gene,Delta_Correlation,P_Value,FDR,Cancer
A1BG,-0.19801312640106875,0.2451044221389208,0.404511478202531,HNSCC
A2M,-0.11838384579537925,0.44802782262539764,0.6091129689450547,HNSCC
A2ML1,-0.023469465959636393,0.2918124980149446,0.45619677471012177,HNSCC
AAAS,0.275904589548102,0.1051755656340209,0.2209071970844221,HNSCC
AACS,-0.1368360860562695,0.18005856769009765,0.32664753238820066,HNSCC
AADAC,-0.5384280988784158,2.1015712432713905e-06,3.348778229474281e-05,HNSCC
AAGAB,0.2103812310037736,0.14613605052780568,0.2797092766922789,HNSCC
AAK1,0.06076398469583266,0.5530453742926481,0.7011896062893751,HNSCC
AAMDC,-0.01754156455991318,0.784721812151938,0.8752644324815159,HNSCC
AAMP,0.25005841648698796,0.06296602551960784,0.15042740834571672,HNSCC
AAR2,0.11657149481526935,0.47143509614529633,0.6314290698542686,HNSCC
AARS2,0.32850063506682115,0.01497132904551818,0.05180993642721551,HNSCC
AARSD1,-0.05064657740577797,0.8051646047786079,0.8892377221527465,HNSCC
AASDH,0.1731855575329711,0.4442302788859832,0.6052696318919024,HNSCC
AASDHPPT,0.8333256846231945,3.8049591459394886e-13,2.248846157042539e-11,HNSCC
AASS,0.2732000881411104,7.531252355967456e-05,0.0007264567059880775,HNSCC
AATF,0.0538768816815999,0.7574509612680103,0.855513470272074,HNSCC
ABAT,0.13493759278162942,0.0024474464374089314,0.012502617945317913,HNSCC
ABCA1,-0.15262432987437125,0.4235232282226077,0.5865732607857385,HNSCC
ABCA10,-0.24732419283502874,0.4197724957154635,0.5833120467955089,HNSCC
ABCA12,0.35424657061616427,8.862597044851703e-06,0.00011727007650121276,HNSCC
ABCA2,-0.4640130622578648,0.10635316003286625,0.22256566880697676,HNSCC
ABCA6,-0.1402868024819245,0.2497484430890542,0.40961096821467485,HNSCC
ABCA8,0.12729181607949624,0.01636722670237682,0.05540201138548377,HNSCC
ABCB1,0.1964232015923509,0.30597927724421503,0.471168468606598,HNSCC
ABCB10,0.3701307027324167,0.04485421468004355,0.11698804534896622,HNSCC
ABCB6,0.2819259959692463,0.017669973267036187,0.058661453901422494,HNSCC
ABCB7,0.3593043591667445,0.015514727040465456,0.053223714646527136,HNSCC
ABCB8,0.40106886463509434,0.024441262200346793,0.07485904176437874,HNSCC
ABCC1,0.12336711922557264,0.14165051127725345,0.27419130329014996,HNSCC
ABCC10,0.32818847989927213,0.08344275860644053,0.18544525568140566,HNSCC
ABCC2,0.019998541051172627,0.9554518155633267,0.9775037878067102,HNSCC
ABCC3,-0.008911790911372508,0.9454347035818044,0.9713315665117738,HNSCC
ABCC4,0.3758442409490903,0.013741617469871723,0.048378430890320956,HNSCC
ABCC5,0.515332755693175,7.737284221228618e-05,0.0007410342215588405,HNSCC
ABCD1,0.5240220752999258,4.297766359119581e-06,6.387624984160122e-05,HNSCC
ABCD3,-0.1345062763739041,0.34084309671739554,0.5086307389729213,HNSCC
ABCD4,-0.2719429177633512,0.20361369625938952,0.3564244778175492,HNSCC
ABCE1,0.46071528857243144,7.330985082625025e-05,0.0007113608609528283,HNSCC
ABCF1,0.5382417780582918,5.1704600111895874e-11,2.271275947257696e-09,HNSCC
ABCF3,0.2854894246768428,0.0017884879751591154,0.009826104075353066,HNSCC
ABCG1,0.18280969038339118,0.20882413957148482,0.3624513066280116,HNSCC
ABCG2,-0.11560479865433426,0.4895221962444245,0.6474461924637198,HNSCC
ABHD10,0.025920982598571007,0.8910433922574963,0.9399086166895732,HNSCC
ABHD11,0.3698644945433936,0.0023320536903289535,0.012052033697979839,HNSCC
ABHD12,0.37138504370483405,0.021776859481257023,0.06895640924068462,HNSCC
ABHD13,0.12233852120269054,0.5625402874517553,0.7102219047629793,HNSCC
ABHD14B,0.026191087259239354,0.7741676510374278,0.8679620641075465,HNSCC
ABHD16A,0.5401575407342117,0.0002195396122659367,0.0017767222396825016,HNSCC
ABHD17A,0.35031139749136275,0.11792627320370333,0.2395369748557623,HNSCC
ABHD17B,0.4257117946698549,0.010532175879493889,0.03930722509637367,HNSCC
ABHD17C,0.6481353245912891,0.0009253494908433021,0.005810694291502822,HNSCC
ABHD2,0.2544037960513933,0.34284012681520304,0.5109072305473502,HNSCC
ABHD3,0.01293129356971534,0.9549687475171413,0.9773171608549861,HNSCC
ABHD4,0.2454843735839804,0.11989774751319443,0.24248088630208878,HNSCC
ABHD5,0.3274929144391792,0.024921805465265557,0.07596512781758226,HNSCC
ABHD6,0.0028781752766026125,0.9772243027185568,0.9879686818822224,HNSCC
ABI1,-0.12609581555766286,0.36387162199322176,0.5311487147125578,HNSCC
ABI2,0.30479298738299326,0.003104809461309882,0.015215126566177873,HNSCC
ABI3,0.1893394822031782,0.042925529851348475,0.1131683609381861,HNSCC
ABI3BP,0.5268973018055587,2.979214143322988e-41,1.2105540135702406e-38,HNSCC
ABL1,0.12181411518239829,0.4915718962834924,0.6488642572491361,HNSCC
ABL2,0.22694682873040237,0.16558179760636027,0.30722810732619177,HNSCC
ABLIM1,0.18188152863303736,0.0002142397295740952,0.001748339617411361,HNSCC
ABLIM2,-0.11729749127313338,0.10750223170685887,0.22439250077167974,HNSCC
ABLIM3,0.13684709588668398,0.017259009086779152,0.05767986861352649,HNSCC
ABO,-0.05137360262941501,0.7851863444600476,0.8754963855594909,HNSCC
ABRACL,0.2993866508182521,0.03145797287543683,0.08964878769177673,HNSCC
ABT1,-0.2554542418369417,0.0753350627384737,0.17209099256061805,HNSCC
ABTB1,-0.48175126633190624,0.009067451453223083,0.03496472383227817,HNSCC
ABTB2,0.12692051712120508,0.541033035000351,0.6911388731102205,HNSCC
AC093323.1,0.33614910728413483,0.26114578651321085,0.42205729368194106,HNSCC
ACAA1,0.14506159297116045,0.26316390375951104,0.42482608665167215,HNSCC
ACAA2,-0.20159477906529022,0.015498252702750414,0.05321794378775424,HNSCC
ACACA,0.021935987748569752,0.8832522728472717,0.9353324101212502,HNSCC
ACACB,-0.5839318648088179,0.00020321619574278408,0.0016723749712098147,HNSCC
ACAD10,0.0022085351508680517,0.9818533188125372,0.9904865589179542,HNSCC
ACAD11,0.11671038126734329,0.5908142250195678,0.7316343266528033,HNSCC
ACAD8,0.6678972065800375,6.063499726541765e-23,9.239257708318014e-21,HNSCC
ACAD9,0.8357496824665894,4.690882450175623e-07,8.834850483422437e-06,HNSCC
ACADL,-0.7429777652687869,0.0013231513496631683,0.00772657003707498,HNSCC
ACADM,0.32492443141853367,5.9651854823150316e-05,0.0005960295986018053,HNSCC
ACADS,-0.2769456115065551,0.0038422436262904175,0.018033203472135873,HNSCC
ACADSB,0.11378766870903179,0.0012049047060297574,0.007230911195816735,HNSCC
ACADVL,-0.10835676862544485,0.12351732009298745,0.24764410064696002,HNSCC
ACAN,-0.4958344857651046,0.00130913937330678,0.007663101541709315,HNSCC
ACAP1,0.06703027711546716,0.34901889839246836,0.516719644318104,HNSCC
ACAP2,0.17020714771042433,0.01124042586330698,0.041222161492646445,HNSCC
ACAP3,0.0876336427135894,0.6940848549971896,0.8112575219446228,HNSCC
ACAT1,-0.17581118573254872,0.008914311435721323,0.0345445211086994,HNSCC
ACAT2,-0.027104865840121395,0.814531567411454,0.8952227933502197,HNSCC
ACBD3,-0.16355702513631742,0.26081220927783033,0.42179778853688243,HNSCC
ACBD5,0.16881894132221786,0.2023977562633269,0.354700362702193,HNSCC
ACBD7,0.15885971184914455,0.4045274981300143,0.5703270437709845,HNSCC
ACD,-0.2643416841408233,0.4325015194030447,0.5948039510955425,HNSCC
ACE,0.060249046939741535,0.6775565029938435,0.7982155017562261,HNSCC
ACHE,-0.39241663508904884,0.012640518307501824,0.045353323964222876,HNSCC
ACIN1,-0.1772186463460132,0.17945539758099693,0.32583299892196654,HNSCC
ACKR1,0.10677292656192916,0.3024742898527184,0.4676913389319344,HNSCC
ACKR3,0.15869104398516165,0.24470797259397914,0.4041553371940944,HNSCC
ACLY,-0.3022392014412514,0.003584718010292983,0.01706941896307479,HNSCC
ACO1,0.3244623277257615,0.02586463263913991,0.07813875387140409,HNSCC
ACO2,-0.199469241987221,0.16931277952768076,0.31236061784978103,HNSCC
ACOT11,0.18159886180200724,0.08078010285092535,0.18142965522851773,HNSCC
ACOT13,-0.06046189668076951,0.7233614526283567,0.8322582451665568,HNSCC
ACOT2,-0.2872231196913593,0.2374866469018998,0.3960276642591188,HNSCC
ACOT7,0.49903548362731925,1.9985854621796326e-15,1.546841700569506e-13,HNSCC
ACOT8,0.11024100107324222,0.5032757082943907,0.658872963792039,HNSCC
ACOT9,0.06825098364156501,0.6113384093788378,0.7488722733654598,HNSCC
ACOX1,-0.21973157106320745,0.04858726249018275,0.12410240539661135,HNSCC
ACOX3,0.010318214250062185,0.9797870729791374,0.9893232072574599,HNSCC
ACP1,0.23669289979798283,0.06527441923807258,0.1541671437175306,HNSCC
ACP2,-0.0832945293168098,0.23518023172393776,0.39379025530612843,HNSCC
ACP5,0.4805805191585008,5.4067332040591884e-11,2.343398320266009e-09,HNSCC
ACP6,-0.049850173913083495,0.6811691024255926,0.8012014337057507,HNSCC
ACSF2,0.23372031160366674,0.04175165258782848,0.11082256832784522,HNSCC
ACSF3,0.427568683132248,0.007296063314288398,0.029671063153019372,HNSCC
ACSL1,0.33233840377730595,0.008490815486800475,0.033428515392522506,HNSCC
ACSL3,0.12531896179340474,0.2970760104778184,0.46161332921919773,HNSCC
ACSL4,0.13050152567845885,0.0014707979688583592,0.008378050112328691,HNSCC
ACSL5,0.13825429308391302,0.05604673785472862,0.13823161040953805,HNSCC
ACSM3,-0.11411782433963519,0.5260738048490247,0.6791112207063708,HNSCC
ACSS1,0.31921842618435015,0.0004057742917564125,0.002953067830752638,HNSCC
