Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.23899727415633198,0.20722196283297067,0.8544480405095799,Endometrial,ARID1A
A2M,-0.07872529933501442,0.7017003728855947,0.9573420567461273,Endometrial,ARID1A
A2ML1,0.07121477882596106,0.5134692223978404,0.9440916208679743,Endometrial,ARID1A
A4GALT,0.29467283261920596,0.19710539776688307,0.8476026631121696,Endometrial,ARID1A
AAAS,0.10587087352865693,0.5485801324144969,0.9484218180877687,Endometrial,ARID1A
AACS,0.03716067941260692,0.6653995955177888,0.956673809770418,Endometrial,ARID1A
AADAT,-0.17790612742325745,0.30854670977209997,0.8809272284659535,Endometrial,ARID1A
AAED1,-0.18797268160828343,0.3826201679871659,0.8989369787343064,Endometrial,ARID1A
AAGAB,0.006160391236041285,0.926530687161839,0.9913615209362927,Endometrial,ARID1A
AAK1,-0.0063181687128843755,0.9663650478920246,0.9948991751099067,Endometrial,ARID1A
AAMDC,0.09590617179677607,0.4633531655621852,0.9244897545573871,Endometrial,ARID1A
AAMP,-0.0761361160542734,0.6972160606624901,0.9571302081646395,Endometrial,ARID1A
AAR2,-0.7253706021948453,0.0006124320559889719,0.5030720832654926,Endometrial,ARID1A
AARS,-0.07483189797819934,0.39506823910729894,0.9059187487202769,Endometrial,ARID1A
AARS2,0.20487679222569627,0.1577955448743239,0.8204771895007212,Endometrial,ARID1A
AARSD1,-0.16040128307068935,0.4004669693258939,0.9092433675791094,Endometrial,ARID1A
AASDHPPT,-0.13920851385033983,0.36166354037202453,0.8928546560705538,Endometrial,ARID1A
AASS,-0.033588092561412486,0.6294689843967067,0.9532334357785072,Endometrial,ARID1A
AATF,-0.02585509690653326,0.9007433666669844,0.9871069545555676,Endometrial,ARID1A
ABAT,0.11220995079110241,0.39840132291079344,0.9076829403487054,Endometrial,ARID1A
ABCA8,-0.012362215401146903,0.9641093286385075,0.9948991751099067,Endometrial,ARID1A
ABCB1,-0.04729724166841209,0.7397152491880747,0.9636445406401868,Endometrial,ARID1A
ABCB10,-0.03549024060385342,0.8675233698820246,0.9827033856485621,Endometrial,ARID1A
ABCB6,-0.011506179244317682,0.9488065819254868,0.9930736589343147,Endometrial,ARID1A
ABCB7,-0.019099578748691226,0.9339885603377678,0.9916551556810878,Endometrial,ARID1A
ABCB8,0.2182633854895314,0.26984751913272387,0.8668136816723911,Endometrial,ARID1A
