Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.142267855622255,0.537280994581744,0.9664774498604958,Endometrial,CTCF
A2M,-0.20876866242595143,0.4036013235627157,0.9500543007863645,Endometrial,CTCF
A2ML1,-0.2376134894739097,0.060291366426900465,0.7908293645765052,Endometrial,CTCF
A4GALT,0.19397113975068297,0.35233145154553136,0.9469999958949005,Endometrial,CTCF
AAAS,-0.2884342142654163,0.1959155031049652,0.897353646903171,Endometrial,CTCF
AACS,0.08273660411767825,0.4835599059853224,0.9559599039737455,Endometrial,CTCF
AADAT,0.25040038481959315,0.1950572577777484,0.897353646903171,Endometrial,CTCF
AAGAB,-0.19309843892964096,0.3362232684798747,0.9421968153535963,Endometrial,CTCF
AAK1,-0.10796954679307624,0.3820113981219614,0.9500543007863645,Endometrial,CTCF
AAMDC,-0.11746450196578073,0.43099181027630706,0.9516864454290782,Endometrial,CTCF
AAMP,-0.34336278100983986,0.08174121604402636,0.8266081966844898,Endometrial,CTCF
AAR2,-0.3200127408823061,0.1582860147306968,0.8844661521868326,Endometrial,CTCF
AARS2,0.10739595726808004,0.49552415957111917,0.9568307323921289,Endometrial,CTCF
AARSD1,0.06430516911335327,0.7633311431416151,0.9849259319989341,Endometrial,CTCF
AASDH,0.11369120475607623,0.70956127809172,0.9823924892246638,Endometrial,CTCF
AASDHPPT,-0.5756687870242857,0.0012164772514911628,0.3333104659242486,Endometrial,CTCF
AASS,-0.20960262811925212,0.013395271706947114,0.5431919096504337,Endometrial,CTCF
AATF,0.032995325220389116,0.8318763384958768,0.9926919104394969,Endometrial,CTCF
ABAT,0.06549644160897361,0.526258654410088,0.9621475699591413,Endometrial,CTCF
ABCA1,-0.6669552449095647,0.014091192378535821,0.5524311060081183,Endometrial,CTCF
ABCA12,-0.3697454844006568,0.28936680592589725,0.9326732148556334,Endometrial,CTCF
ABCA2,-0.03870545930042499,0.8893037345189422,0.9949846920114328,Endometrial,CTCF
ABCA7,-0.1916269776734893,0.5555766918791036,0.9664774498604958,Endometrial,CTCF
ABCA8,0.014922252491619825,0.9015010556966834,0.9966484108606072,Endometrial,CTCF
ABCB1,-0.0783150183150183,0.7119373416144181,0.9823924892246638,Endometrial,CTCF
ABCB10,-0.16009243385202465,0.4980400541832686,0.9568307323921289,Endometrial,CTCF
ABCB6,0.09173610135246962,0.6502473968854683,0.9776153914518293,Endometrial,CTCF
ABCB7,-0.293354006039428,0.24398794671152324,0.9198998474308526,Endometrial,CTCF
ABCB8,-0.16435794384643487,0.5036608986976032,0.9577478239846332,Endometrial,CTCF
ABCC1,0.0644819800830031,0.7694312675372897,0.9849535235069964,Endometrial,CTCF
ABCC10,0.07353270191662317,0.7742518250494412,0.9849535235069964,Endometrial,CTCF
ABCC3,-0.016126771778945725,0.978451067564699,0.9998435079022633,Endometrial,CTCF
ABCC4,0.0751256756883355,0.5778992970819148,0.9687000524070009,Endometrial,CTCF
ABCC5,0.45920745920745926,0.17026866515186023,0.8966011855726795,Endometrial,CTCF
ABCD1,-0.6323313004131419,0.0036638879500558363,0.42324079510396456,Endometrial,CTCF
ABCD3,0.04409194670064237,0.8274345444336595,0.9926648609468822,Endometrial,CTCF
ABCD4,0.35083818142641676,0.055534447328230645,0.775346322313374,Endometrial,CTCF
