Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.5016256582888527,0.022048200888999073,0.6151141170921225,Endometrial,CTNNB1
A2M,-0.19306858864244353,0.4047779782961096,0.9150772812138714,Endometrial,CTNNB1
A2ML1,0.11189453821032769,0.2667845662751782,0.8692155973566237,Endometrial,CTNNB1
A4GALT,-0.20400244257021755,0.3803808346451799,0.908017738836038,Endometrial,CTNNB1
AAAS,-0.06842611840038498,0.7738168608893058,0.9813076623768079,Endometrial,CTNNB1
AACS,0.04278999435973185,0.6828625977532679,0.9650655191854663,Endometrial,CTNNB1
AADAT,-0.182653001267491,0.37385934622019645,0.9057976813011644,Endometrial,CTNNB1
AAGAB,-0.10522226101227644,0.5964379757952787,0.9506481231471924,Endometrial,CTNNB1
AAK1,0.03809731184924181,0.6302468479144125,0.955122181148931,Endometrial,CTNNB1
AAMDC,-0.10895758898846897,0.4513977340458799,0.9234006649053804,Endometrial,CTNNB1
AAMP,-0.26037200061904126,0.17795680040548734,0.8410784054381624,Endometrial,CTNNB1
AAR2,-0.3889200351886919,0.07495125218463776,0.7502722775789444,Endometrial,CTNNB1
AARS2,0.012346891399902249,0.9012062685992517,0.9901109780388125,Endometrial,CTNNB1
AARSD1,0.5128994011649698,0.024890318384382746,0.6337801457163141,Endometrial,CTNNB1
AASDH,-0.0045609548167092895,0.9781300197348731,0.9955187813192297,Endometrial,CTNNB1
AASDHPPT,-0.02977053826256082,0.9004176019372518,0.9901109780388125,Endometrial,CTNNB1
AASS,0.07952865456725466,0.23953562698380237,0.8667793506456082,Endometrial,CTNNB1
AATF,-0.24593096044459917,0.23175340896751584,0.866183941710353,Endometrial,CTNNB1
ABAT,0.09971150825499775,0.35366009731388526,0.8976572058849561,Endometrial,CTNNB1
ABCA1,-0.004140280618176118,0.9920567530125,0.9977976970611605,Endometrial,CTNNB1
ABCA12,0.009359605911330032,0.971430459360799,0.9955187813192297,Endometrial,CTNNB1
ABCA2,-0.2606520769894799,0.2802992572176366,0.876157620291293,Endometrial,CTNNB1
ABCA7,-0.16948168110958808,0.6077107633947041,0.9506481231471924,Endometrial,CTNNB1
ABCA8,-0.013119450209233496,0.9999993759938036,0.9999993759938036,Endometrial,CTNNB1
ABCB1,0.08690594140365282,0.5877278754738255,0.948243784873351,Endometrial,CTNNB1
