Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.15832554965420073,0.44213528918493483,0.9602442304797041,Endometrial,KRAS
A2M,0.3281549096065225,0.1555131477972043,0.9332917121412078,Endometrial,KRAS
A2ML1,0.015735726262042116,0.8143017826546911,0.9906477463624328,Endometrial,KRAS
A4GALT,0.07477825569244972,0.6981521932377992,0.9788602907671932,Endometrial,KRAS
AAAS,0.07310498641143803,0.706989307210456,0.9806964705898101,Endometrial,KRAS
AACS,0.05850614439324109,0.6016096070734052,0.9723666161074261,Endometrial,KRAS
AADAT,-0.19855342782639052,0.3056364365945986,0.9558238004683582,Endometrial,KRAS
AAGAB,-0.005738213399503755,0.9965117706657799,0.9993690987495838,Endometrial,KRAS
AAK1,-0.0007961124896608274,0.9219384514968001,0.9951309518488453,Endometrial,KRAS
AAMDC,-0.052788609240222106,0.7226375359033699,0.9852118793736783,Endometrial,KRAS
AAMP,0.0017502658631691759,0.9625826548883105,0.9982440888941679,Endometrial,KRAS
AAR2,-0.07073289613612194,0.7530440791877052,0.9901719980758759,Endometrial,KRAS
AARS2,0.009677419354838734,0.9200483654751592,0.9951309518488453,Endometrial,KRAS
AARSD1,0.03915721375398795,0.8529205040941613,0.9919654501603158,Endometrial,KRAS
AASDH,-0.08251504592968004,0.7659125816244162,0.9906477463624328,Endometrial,KRAS
AASDHPPT,-0.04792479026349994,0.8134397200488606,0.9906477463624328,Endometrial,KRAS
AASS,-0.022757887274016286,0.8406048943276501,0.9912924915199203,Endometrial,KRAS
AATF,-0.11435218007798653,0.5837939661674227,0.9723666161074261,Endometrial,KRAS
ABAT,-0.19550691244239637,0.11106614587545606,0.9152675173613928,Endometrial,KRAS
ABCA1,-0.3266350730015326,0.21193990708426103,0.9469693765110369,Endometrial,KRAS
ABCA12,-0.178162034044387,0.6053422860379587,0.9723666161074261,Endometrial,KRAS
ABCA2,-0.19327850346718273,0.43924573579520765,0.9602442304797041,Endometrial,KRAS
ABCA7,-0.17908696805472463,0.5431694426912588,0.96849972466967,Endometrial,KRAS
ABCA8,-0.34680164555940957,0.13366828141212173,0.9296381546836409,Endometrial,KRAS
ABCB1,-0.1563051860327923,0.4035432391659285,0.9598576129943961,Endometrial,KRAS
ABCB10,-0.237411378943637,0.2834262869833791,0.955603602420587,Endometrial,KRAS
ABCB6,-0.10062330142975306,0.6332793046172297,0.9754539090219644,Endometrial,KRAS
ABCB7,0.1620524636653669,0.4896615829134682,0.9617093503021621,Endometrial,KRAS
ABCB8,0.11867097955807632,0.5920125611635961,0.9723666161074261,Endometrial,KRAS
ABCC1,-0.15858442632636183,0.4888414496036161,0.9617093503021621,Endometrial,KRAS
ABCC10,0.0686425339366516,0.7807065873072575,0.9906477463624328,Endometrial,KRAS
ABCC3,0.026639489542715333,0.7927757544892815,0.9906477463624328,Endometrial,KRAS
ABCC4,0.1891365355075033,0.18270901630407488,0.9374784583858371,Endometrial,KRAS
ABCC5,-0.09840159840159834,0.817689560740808,0.9906477463624328,Endometrial,KRAS
ABCD1,-0.09207136949072431,0.6770206973474556,0.9776031636583621,Endometrial,KRAS
ABCD3,-0.11892650360392298,0.6191506051652722,0.9741720736888322,Endometrial,KRAS
ABCD4,-0.040117275197920355,0.8539991838609123,0.9919654501603158,Endometrial,KRAS
ABCE1,-0.19446118397731305,0.16310319111917493,0.9336977640854319,Endometrial,KRAS
ABCF1,-0.1781342313600378,0.23495039541688612,0.9469693765110369,Endometrial,KRAS
ABCF3,-0.2516631218244122,0.21254614708555863,0.9469693765110369,Endometrial,KRAS
ABCG1,-0.002952602952602912,0.9263513979207011,0.9955391836166495,Endometrial,KRAS
ABCG2,0.02000792000792001,0.9198201988849142,0.9951309518488453,Endometrial,KRAS
ABHD10,-0.28132163535389343,0.17730941043866866,0.9374784583858371,Endometrial,KRAS
ABHD11,0.14766335814722908,0.3732855721544198,0.9598576129943961,Endometrial,KRAS
ABHD12,-0.1757444168734491,0.410894052208554,0.9600041210649234,Endometrial,KRAS
ABHD13,0.12537073141911853,0.6117290708111597,0.9729452212899861,Endometrial,KRAS
ABHD14B,0.07813866241285605,0.648329501777199,0.9758358354794691,Endometrial,KRAS
ABHD16A,0.05968923549568711,0.7030399685805571,0.9804216259212056,Endometrial,KRAS
ABHD17A,0.134593837535014,0.637320531238517,0.9754539090219644,Endometrial,KRAS
ABHD17B,-0.1856658056974793,0.3723455386831488,0.9598576129943961,Endometrial,KRAS
ABHD17C,0.027472527472527486,0.8061244368614698,0.9906477463624328,Endometrial,KRAS
ABHD2,0.6692307692307693,0.08181616483288273,0.8840316399187494,Endometrial,KRAS
ABHD3,-0.1245228455754771,0.586196744268312,0.9723666161074261,Endometrial,KRAS
ABHD4,-0.06144393241167434,0.7761375527539551,0.9906477463624328,Endometrial,KRAS
ABHD5,-0.15524270338134266,0.43333661114207866,0.9602442304797041,Endometrial,KRAS
ABHD6,0.0054369018078694875,0.9160221759599875,0.9951309518488453,Endometrial,KRAS
ABI1,-0.22625224280206319,0.16552566881254183,0.9355107287179372,Endometrial,KRAS
ABI2,-0.0895235141202883,0.6073649981650886,0.9723666161074261,Endometrial,KRAS
ABI3,-0.04622178896372453,0.7646444779184486,0.9906477463624328,Endometrial,KRAS
ABI3BP,-0.09380981921304499,0.5323408235339147,0.9666726741807553,Endometrial,KRAS
ABL1,-0.04018374099019256,0.8605935434176607,0.9919654501603158,Endometrial,KRAS
ABL2,0.04580379298121234,0.8018629443784677,0.9906477463624328,Endometrial,KRAS
ABLIM1,0.10038415715163851,0.27803791080094475,0.953776615202942,Endometrial,KRAS
ABLIM2,-0.1915214687800741,0.30607885683589364,0.9558238004683582,Endometrial,KRAS
ABLIM3,0.1261420781370633,0.4888637265828524,0.9617093503021621,Endometrial,KRAS
ABR,0.18700105985794868,0.1827934635007632,0.9374784583858371,Endometrial,KRAS
ABRACL,0.13007650951199334,0.36937472693176454,0.9598576129943961,Endometrial,KRAS
ABT1,-0.21201553822521563,0.27583507448339994,0.9529283222260603,Endometrial,KRAS
ABTB1,-0.39565826330532217,0.2596841022425421,0.9504118666799894,Endometrial,KRAS
ABTB2,0.03448252706262522,0.8299135095044567,0.9912924915199203,Endometrial,KRAS
ACAA1,-0.1852697034148647,0.3221430960933871,0.9558238004683582,Endometrial,KRAS
ACAA2,-0.00968923549568712,0.9875352650098841,0.9993690987495838,Endometrial,KRAS
ACACA,-0.08029510811768881,0.37074438578214486,0.9598576129943961,Endometrial,KRAS
ACAD10,-0.2149474181732246,0.27880841742817675,0.9542083938601915,Endometrial,KRAS
ACAD11,-0.2933216260126992,0.18030373652426923,0.9374784583858371,Endometrial,KRAS
ACAD8,-0.20475156563866242,0.31202470081301237,0.9558238004683582,Endometrial,KRAS
ACAD9,0.047032671629445855,0.8046290829998192,0.9906477463624328,Endometrial,KRAS
ACADL,-0.11889328063241111,0.532206568238524,0.9666726741807553,Endometrial,KRAS
ACADM,-0.04863671274961601,0.7810072479328165,0.9906477463624328,Endometrial,KRAS
ACADS,-0.11434036393713809,0.44566958343336416,0.9602442304797041,Endometrial,KRAS
ACADSB,-0.02041090629800313,0.9246773127283434,0.9951593210426589,Endometrial,KRAS
ACADVL,-0.049330911024459356,0.8149469717163309,0.9906477463624328,Endometrial,KRAS
ACAN,-0.1703457943514543,0.45017637774101726,0.9602530461303632,Endometrial,KRAS
ACAP1,-0.04750531726338181,0.7739850302504817,0.9906477463624328,Endometrial,KRAS
ACAP2,-0.08438644688644681,0.5349890839448255,0.9666726741807553,Endometrial,KRAS
ACAT1,0.03407331915396428,0.7697919184276626,0.9906477463624328,Endometrial,KRAS
ACAT2,0.18440417109771945,0.19958623285731447,0.9396360109741368,Endometrial,KRAS
ACBD3,0.1116078813659458,0.4171258765275003,0.9602442304797041,Endometrial,KRAS
ACBD5,0.012150071724817801,0.9298490664579618,0.9955391836166495,Endometrial,KRAS
ACBD7,-0.035997873094647304,0.5531644803996167,0.969294641682199,Endometrial,KRAS
ACD,-0.370141282258571,0.1122443539472568,0.9152675173613928,Endometrial,KRAS
ACE,-0.0863287250384025,0.6116993484659223,0.9729452212899861,Endometrial,KRAS
ACIN1,-0.21094765449604153,0.2792087674783713,0.9542083938601915,Endometrial,KRAS
ACLY,0.024468273661822137,0.7754341717922135,0.9906477463624328,Endometrial,KRAS
ACO1,0.06071871676710383,0.4602579585744272,0.9609369641953674,Endometrial,KRAS
ACO2,-0.057089910182414216,0.7936050228921598,0.9906477463624328,Endometrial,KRAS
ACOT11,-0.1816495332624365,0.3044857627428036,0.9558238004683582,Endometrial,KRAS
ACOT13,0.08320483280160695,0.541165347778636,0.9682219497466771,Endometrial,KRAS
ACOT4,0.013522324048639844,0.9010754451370796,0.9946411344272583,Endometrial,KRAS
ACOT7,-0.019173165544133286,0.8531749410842866,0.9919654501603158,Endometrial,KRAS
ACOT8,-0.08760043719721139,0.6226343825500338,0.9741720736888322,Endometrial,KRAS
