Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.052469194812616776,0.791630019373966,0.9970677406386957,Endometrial,OBSCN
A2M,0.1730469775172776,0.4734186110636729,0.9966848761090602,Endometrial,OBSCN
A2ML1,-0.13769871297143366,0.27609414225150886,0.9841598433715246,Endometrial,OBSCN
A4GALT,0.36033309655600676,0.10646391346838835,0.9239550173925107,Endometrial,OBSCN
AAAS,0.18511382677334914,0.3573270726391109,0.9921586364617201,Endometrial,OBSCN
AACS,0.09573232034346546,0.42284033365389984,0.9966848761090602,Endometrial,OBSCN
AADAT,0.06312203046790982,0.7076422909942898,0.9966848761090602,Endometrial,OBSCN
AAGAB,0.04733383579066375,0.7642140579895441,0.9970677406386957,Endometrial,OBSCN
AAK1,-0.25875049628876945,0.020166857772763044,0.7986898815066116,Endometrial,OBSCN
AAMDC,-0.05820064197896413,0.7417700069381905,0.9966848761090602,Endometrial,OBSCN
AAMP,-0.030085462608426483,0.9229451531822965,0.9970677406386957,Endometrial,OBSCN
AAR2,-0.42160743726573485,0.07208921680863888,0.8980912457211054,Endometrial,OBSCN
AARS2,-0.011763288762676405,0.9890195057756856,0.9991275903290884,Endometrial,OBSCN
AARSD1,0.27936300074695664,0.23903136335188324,0.9776600362263328,Endometrial,OBSCN
AASDH,-0.36027420871542115,0.21119650230767661,0.9765034713061116,Endometrial,OBSCN
AASDHPPT,0.2023297645404198,0.22103490139523463,0.9765034713061116,Endometrial,OBSCN
AASS,-0.11531072723969238,0.1928955491465063,0.9686165844607584,Endometrial,OBSCN
AATF,-0.24915479499067986,0.2599182975909702,0.9821824956503143,Endometrial,OBSCN
ABAT,0.01490642853778179,0.8254532465031925,0.9970677406386957,Endometrial,OBSCN
ABCA1,-0.6109860802074132,0.02943524025816611,0.87342549304277,Endometrial,OBSCN
ABCA12,-0.3248533724340176,0.407964662342732,0.9966848761090602,Endometrial,OBSCN
ABCA2,-0.031302564712175684,0.9157388522343907,0.9970677406386957,Endometrial,OBSCN
ABCA7,0.5786291228151693,0.06994420270999552,0.8980912457211054,Endometrial,OBSCN
ABCA8,-0.004422415049496031,0.9529272332628563,0.9970677406386957,Endometrial,OBSCN
ABCB1,-0.05611812100942537,0.8206817256012777,0.9970677406386957,Endometrial,OBSCN
ABCB10,0.0051201523522405035,0.9537482842844914,0.9970677406386957,Endometrial,OBSCN
ABCB6,-0.0822571549699535,0.7480958620272068,0.9970307346759562,Endometrial,OBSCN
ABCB7,-0.048627887727704,0.8429666567562261,0.9970677406386957,Endometrial,OBSCN
ABCB8,0.0490788207505905,0.81971071185264,0.9970677406386957,Endometrial,OBSCN
ABCC1,0.22974139149276931,0.3154686373685377,0.9841598433715246,Endometrial,OBSCN
ABCC10,-0.0051948051948051965,0.9823378897443991,0.9984757660195682,Endometrial,OBSCN
ABCC3,-0.17145690194679786,0.27839638753608276,0.9841598433715246,Endometrial,OBSCN
ABCC4,0.11468523515675999,0.42386339113370086,0.9966848761090602,Endometrial,OBSCN
ABCC5,0.4622182415285863,0.18833621914770404,0.9656270813884986,Endometrial,OBSCN
