Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.31504975788813516,0.11055481933083408,0.9954735103926454,Endometrial,PIK3CA
A2M,-0.11764510059342886,0.6002817972083887,0.9954735103926454,Endometrial,PIK3CA
A2ML1,0.14357831618183292,0.1626823108196387,0.9954735103926454,Endometrial,PIK3CA
A4GALT,0.1267584101694575,0.517483694052753,0.9954735103926454,Endometrial,PIK3CA
AAAS,0.18041713077460403,0.3481668009052956,0.9954735103926454,Endometrial,PIK3CA
AACS,-0.02223797567130459,0.8587174903977537,0.9981750542897678,Endometrial,PIK3CA
AADAT,-0.05027773734343871,0.7650650798480945,0.9954735103926454,Endometrial,PIK3CA
AAGAB,0.35481357020143856,0.0323819481439374,0.9954735103926454,Endometrial,PIK3CA
AAK1,0.1605953482225453,0.07803668972620077,0.9954735103926454,Endometrial,PIK3CA
AAMDC,-0.23281567205975817,0.04555830198964219,0.9954735103926454,Endometrial,PIK3CA
AAMP,-0.01038122927246754,0.9575243938177581,0.9995971131525505,Endometrial,PIK3CA
AAR2,-0.2178945546766348,0.27351280682713697,0.9954735103926454,Endometrial,PIK3CA
AARS2,-0.3296306330117616,0.03258230430463508,0.9954735103926454,Endometrial,PIK3CA
AARSD1,-0.026171282574084215,0.8986718659150417,0.9981750542897678,Endometrial,PIK3CA
AASDH,-0.3070961718020541,0.24403315268232362,0.9954735103926454,Endometrial,PIK3CA
AASDHPPT,0.03623811411706224,0.7966845453485729,0.9961385745104279,Endometrial,PIK3CA
AASS,-0.12128959076692658,0.07711078634502988,0.9954735103926454,Endometrial,PIK3CA
AATF,-0.06404884618047035,0.7197251106619705,0.9954735103926454,Endometrial,PIK3CA
ABAT,-0.15210972455587224,0.16434227983553829,0.9954735103926454,Endometrial,PIK3CA
ABCA1,-0.08216939114771935,0.7285666087719298,0.9954735103926454,Endometrial,PIK3CA
ABCA12,0.05169247228743795,0.8689721100640021,0.9981750542897678,Endometrial,PIK3CA
ABCA2,0.49313056867613997,0.02686932990311013,0.9954735103926454,Endometrial,PIK3CA
ABCA5,0.6013986013986014,0.19242914836957292,0.9954735103926454,Endometrial,PIK3CA
ABCA7,0.24892561399791657,0.3533010822616962,0.9954735103926454,Endometrial,PIK3CA
ABCA8,0.050821409644939086,0.81799090032856,0.9977390883693323,Endometrial,PIK3CA
ABCB1,-0.38392009069461036,0.01795238456209188,0.9954735103926454,Endometrial,PIK3CA
ABCB10,-0.3617917083577187,0.07107147960593739,0.9954735103926454,Endometrial,PIK3CA
ABCB6,0.06770287023227423,0.7099119306067498,0.9954735103926454,Endometrial,PIK3CA
ABCB7,-0.01543173050903987,0.9386414522945575,0.9981750542897678,Endometrial,PIK3CA
ABCB8,-0.04694541461357901,0.8302872985678944,0.9980063695523513,Endometrial,PIK3CA
ABCC1,-0.3241342735058871,0.12111924400493318,0.9954735103926454,Endometrial,PIK3CA
ABCC10,-0.003874284362089239,0.9797688898470739,0.999651645391908,Endometrial,PIK3CA
ABCC3,-0.07306685671493385,0.5664016691776456,0.9954735103926454,Endometrial,PIK3CA
ABCC4,-0.12587982278943022,0.3686817623451445,0.9954735103926454,Endometrial,PIK3CA
ABCC5,-0.11829573934837095,0.7111025855244648,0.9954735103926454,Endometrial,PIK3CA
ABCD1,0.05138212916989182,0.7759818056017738,0.9954735103926454,Endometrial,PIK3CA
ABCD3,0.003100555670927041,0.9907160861438796,0.999651645391908,Endometrial,PIK3CA
ABCD4,-0.2613524262619016,0.12035267044053467,0.9954735103926454,Endometrial,PIK3CA
ABCE1,0.09823160716645585,0.4049026885485484,0.9954735103926454,Endometrial,PIK3CA
ABCF1,-0.0949803658743793,0.48442641515226104,0.9954735103926454,Endometrial,PIK3CA
ABCF3,0.08217768883686682,0.6460481285057373,0.9954735103926454,Endometrial,PIK3CA
ABCG1,0.07802604840548533,0.30382933749260566,0.9954735103926454,Endometrial,PIK3CA
ABCG2,-0.4621567823897898,0.1196326103214369,0.9954735103926454,Endometrial,PIK3CA
ABHD10,0.26928190702738075,0.14483488125050273,0.9954735103926454,Endometrial,PIK3CA
ABHD11,0.02670477071494648,0.8569934538677244,0.9981750542897678,Endometrial,PIK3CA
ABHD12,-0.11943787875927431,0.5291064916924717,0.9954735103926454,Endometrial,PIK3CA
ABHD13,-0.09484708036776227,0.6605236520023259,0.9954735103926454,Endometrial,PIK3CA
ABHD14B,-0.16589256609211672,0.36520393306318677,0.9954735103926454,Endometrial,PIK3CA
ABHD16A,0.030955181332477488,0.832458615898007,0.9981750542897678,Endometrial,PIK3CA
ABHD17A,-0.06367521367521367,0.8294138154720856,0.9980063695523513,Endometrial,PIK3CA
ABHD17B,0.11895163088734778,0.5132267538962385,0.9954735103926454,Endometrial,PIK3CA
ABHD17C,-0.06274812816743092,0.7413553080654115,0.9954735103926454,Endometrial,PIK3CA
ABHD2,0.11277937748525985,0.7581836644291426,0.9954735103926454,Endometrial,PIK3CA
ABHD3,0.020779923018521496,0.9266641108670801,0.9981750542897678,Endometrial,PIK3CA
ABHD4,0.21879017286840735,0.21144663263828667,0.9954735103926454,Endometrial,PIK3CA
ABHD5,-0.05927022088034328,0.7403511966749162,0.9954735103926454,Endometrial,PIK3CA
ABHD6,0.027565211098315334,0.803353465449068,0.9962357445658284,Endometrial,PIK3CA
ABI1,-0.21185886730296796,0.16465500817135703,0.9954735103926454,Endometrial,PIK3CA
ABI2,0.12593312440609916,0.40122675460209645,0.9954735103926454,Endometrial,PIK3CA
ABI3,0.012294109133014874,0.9039789280678104,0.9981750542897678,Endometrial,PIK3CA
ABI3BP,0.0710309803847533,0.5701957914921497,0.9954735103926454,Endometrial,PIK3CA
ABL1,0.09466043031458649,0.5881062776400768,0.9954735103926454,Endometrial,PIK3CA
ABL2,-0.16784861585707364,0.35666292008092604,0.9954735103926454,Endometrial,PIK3CA
ABLIM1,0.011549722157569553,0.8824794546766749,0.9981750542897678,Endometrial,PIK3CA
ABLIM2,-0.09099226749230449,0.5907252976661788,0.9954735103926454,Endometrial,PIK3CA
ABLIM3,-0.08122612681436209,0.6548589801809288,0.9954735103926454,Endometrial,PIK3CA
ABR,-0.07127492410749492,0.6040716058336019,0.9954735103926454,Endometrial,PIK3CA
ABRACL,0.18608626429295128,0.1813980217173674,0.9954735103926454,Endometrial,PIK3CA
ABT1,0.10293674916775225,0.5600990995564096,0.9954735103926454,Endometrial,PIK3CA
ABTB1,-0.3482365535641105,0.27697904859568967,0.9954735103926454,Endometrial,PIK3CA
ABTB2,0.10273003033367034,0.5501178239421118,0.9954735103926454,Endometrial,PIK3CA
ACAA1,0.2249181911432473,0.17504444328316615,0.9954735103926454,Endometrial,PIK3CA
ACAA2,0.0658438898223489,0.19972540940032035,0.9954735103926454,Endometrial,PIK3CA
ACACA,0.009192137539567158,0.8898518747205784,0.9981750542897678,Endometrial,PIK3CA
ACAD10,-0.09348367284008885,0.5981011693355837,0.9954735103926454,Endometrial,PIK3CA
ACAD11,-0.210485032325275,0.3087785536988774,0.9954735103926454,Endometrial,PIK3CA
ACAD8,-0.19099872881622582,0.3033786235304523,0.9954735103926454,Endometrial,PIK3CA
ACAD9,-0.43605810316726135,0.018976009583423575,0.9954735103926454,Endometrial,PIK3CA
ACADL,-0.099414311179017,0.5570660739032234,0.9954735103926454,Endometrial,PIK3CA
