Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.04561912845564292,0.8825681002850003,0.9940984117650168,Endometrial,ZFHX3
A2M,0.24626336925192283,0.34637042667136164,0.9494145117216028,Endometrial,ZFHX3
A2ML1,0.005814545377540448,0.8636193921198007,0.992649148903784,Endometrial,ZFHX3
A4GALT,0.33545671349918715,0.21329973724103457,0.9395166158992972,Endometrial,ZFHX3
AAAS,0.23639812561791146,0.2589478265212223,0.9395166158992972,Endometrial,ZFHX3
AACS,0.1419771536226485,0.1696344293795783,0.9395166158992972,Endometrial,ZFHX3
AADAT,0.1809074161472261,0.33936974235169926,0.9479793120714599,Endometrial,ZFHX3
AAED1,0.3437752773444897,0.17929868347840894,0.9395166158992972,Endometrial,ZFHX3
AAGAB,-0.028800365809740436,0.9409175310145331,0.9983854213942491,Endometrial,ZFHX3
AAK1,0.008438900910880176,0.8384083692359487,0.9918766650202436,Endometrial,ZFHX3
AAMDC,0.046068283322804326,0.7048860065184042,0.9801816374179488,Endometrial,ZFHX3
AAMP,-0.3933318753909489,0.0861580119912702,0.9395166158992972,Endometrial,ZFHX3
AAR2,-0.21612261109818098,0.40935296787369535,0.9546305380215973,Endometrial,ZFHX3
AARS,-0.20821448683847799,0.06998915797328507,0.9395166158992972,Endometrial,ZFHX3
AARS2,0.07031279315489053,0.6349507746816807,0.9777793008580218,Endometrial,ZFHX3
AARSD1,0.07707874670422438,0.7246134272232558,0.9801816374179488,Endometrial,ZFHX3
AASDHPPT,0.12505118924558156,0.43878211374801535,0.9546305380215973,Endometrial,ZFHX3
AASS,-0.08062726464888992,0.454352771312985,0.9546305380215973,Endometrial,ZFHX3
AATF,-0.07986277549002532,0.7625478714280968,0.9852527952512629,Endometrial,ZFHX3
ABAT,0.07209169618151523,0.5756794845966806,0.9695535865772742,Endometrial,ZFHX3
ABCA8,-0.19063113022829908,0.42805018901838254,0.9546305380215973,Endometrial,ZFHX3
ABCB1,-0.08656882958504886,0.677874423895785,0.9801816374179488,Endometrial,ZFHX3
ABCB10,0.1412885879365704,0.5292393120153376,0.9658240457918231,Endometrial,ZFHX3
ABCB6,-0.2579736401597981,0.27541443975937496,0.9395166158992972,Endometrial,ZFHX3
ABCB7,-0.2461788596385323,0.37342479932764794,0.9532765725650258,Endometrial,ZFHX3
ABCB8,0.01959891340873049,0.896427006341978,0.9940984117650168,Endometrial,ZFHX3
ABCC1,-0.1442529601787778,0.5735783012486768,0.9692877137134737,Endometrial,ZFHX3
ABCC10,-0.054299904163954166,0.8352731032883619,0.9913450486149264,Endometrial,ZFHX3
ABCC3,-0.08117970195676882,0.6826024218367719,0.9801816374179488,Endometrial,ZFHX3
ABCC4,-0.11934255523140358,0.5507634242245127,0.9684510801136342,Endometrial,ZFHX3
ABCD1,-0.856373308736618,0.0001341097335219942,0.1662625421338923,Endometrial,ZFHX3
ABCD3,0.3560357167105334,0.14592730229302303,0.9395166158992972,Endometrial,ZFHX3
ABCD4,-0.11711969355832702,0.6577345331110922,0.9796382488956019,Endometrial,ZFHX3
ABCE1,0.2283515596382918,0.21332119886977274,0.9395166158992972,Endometrial,ZFHX3
