Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.32528245969941777,0.19136550296022992,0.9182136845293406,HNSCC,KMT2D
A2M,-0.11473185164258136,0.6677237735602936,0.9789474145057449,HNSCC,KMT2D
A2ML1,-0.018045058312715745,0.9856781680435275,0.9992976882916216,HNSCC,KMT2D
AAAS,-0.32498035756467536,0.18832840329996137,0.9182136845293406,HNSCC,KMT2D
AACS,-0.045737104460771616,0.8745113294692431,0.994088530607104,HNSCC,KMT2D
AADAC,0.3526234166790006,0.15916984389526667,0.9182136845293406,HNSCC,KMT2D
AAGAB,-0.273003009185481,0.10491176648449506,0.9182136845293406,HNSCC,KMT2D
AAK1,0.16552824591384385,0.3075899231848769,0.9253898128186393,HNSCC,KMT2D
AAMDC,0.09251313169838776,0.6451406515709192,0.9742918068521719,HNSCC,KMT2D
AAMP,0.13907432930497154,0.25387560553135147,0.9182136845293406,HNSCC,KMT2D
AAR2,-0.49237392798995744,0.04283626807315342,0.9182136845293406,HNSCC,KMT2D
AARS,0.11247704932935698,0.3629249952955692,0.937617778630701,HNSCC,KMT2D
AARS2,0.03433726694954553,0.7849656608984347,0.994088530607104,HNSCC,KMT2D
AARSD1,0.011975401413444997,0.8643107480636376,0.994088530607104,HNSCC,KMT2D
AASDH,-0.228478158850553,0.46769923032242666,0.9539012299700644,HNSCC,KMT2D
AASDHPPT,-0.03304912550474348,0.9274555236568024,0.9962032587701102,HNSCC,KMT2D
AASS,-0.006286318590437712,0.8799838568015195,0.994088530607104,HNSCC,KMT2D
AATF,-0.39521934501498424,0.138829096881047,0.9182136845293406,HNSCC,KMT2D
ABAT,-0.1445574284889597,0.3737287652978738,0.9419030219098933,HNSCC,KMT2D
ABCA1,0.18812723707579732,0.4716140036279638,0.9539012299700644,HNSCC,KMT2D
ABCA12,0.004817951607715032,0.7957299798200002,0.994088530607104,HNSCC,KMT2D
ABCA6,-0.05141012071286488,0.9041076497583281,0.9942667392922504,HNSCC,KMT2D
ABCA8,-0.27485051850144826,0.12058398505405504,0.9182136845293406,HNSCC,KMT2D
ABCB1,0.20892645576595764,0.4965426793193972,0.9539012299700644,HNSCC,KMT2D
ABCB10,0.05946698754486007,0.7701779457344333,0.9931997672826325,HNSCC,KMT2D
ABCB6,0.04419985575821783,0.6005748578463246,0.972653054680696,HNSCC,KMT2D
ABCB7,-0.29308474428047554,0.16670945128893488,0.9182136845293406,HNSCC,KMT2D
ABCB8,-0.02782731499370228,0.965694162875536,0.9992976882916216,HNSCC,KMT2D
ABCC10,0.051880049726103716,0.8105600630570775,0.994088530607104,HNSCC,KMT2D
ABCC3,0.15952333464885426,0.45474539749198906,0.9539012299700644,HNSCC,KMT2D
ABCC5,0.23451764415603027,0.06490775342014626,0.9182136845293406,HNSCC,KMT2D
ABCD1,0.04232559630557153,0.683565433503863,0.9855249437482241,HNSCC,KMT2D
ABCD3,0.10790961876035177,0.5802650163582148,0.9711148650286872,HNSCC,KMT2D
ABCD4,0.17896471211129075,0.5303132447292538,0.9616442868822533,HNSCC,KMT2D
ABCE1,0.0927032947695432,0.5303974065944377,0.9616442868822533,HNSCC,KMT2D
ABCF1,0.3382255532889471,0.04730298743008929,0.9182136845293406,HNSCC,KMT2D
ABCF2,-0.006514989966194484,0.9117615112604883,0.9942667392922504,HNSCC,KMT2D
ABCF3,0.12794748171191783,0.29799956753367385,0.9237823630392891,HNSCC,KMT2D
ABCG1,-0.28642230988985057,0.2328751194092975,0.9182136845293406,HNSCC,KMT2D
ABHD10,0.01347466291114141,0.8702318342329839,0.994088530607104,HNSCC,KMT2D
ABHD11,0.22576823921131606,0.17396522676690118,0.9182136845293406,HNSCC,KMT2D
ABHD12,-0.013177487908642926,0.9692358551208626,0.9992976882916216,HNSCC,KMT2D
ABHD14B,-0.1476084919692946,0.5003653310637608,0.9539012299700644,HNSCC,KMT2D
ABHD16A,0.09960392665880025,0.4436244114720512,0.9539012299700644,HNSCC,KMT2D
ABHD17B,0.10302588746245467,0.5609924377212048,0.9661776006228792,HNSCC,KMT2D
ABHD17C,0.006093844521280201,0.9579317553135175,0.9992164340443911,HNSCC,KMT2D
ABHD3,-0.05093159019388288,0.8818880033555675,0.994088530607104,HNSCC,KMT2D
ABHD4,0.05067503192517142,0.6609417209694113,0.9783682194402061,HNSCC,KMT2D
ABHD5,-0.40323269964260466,0.1187942805945617,0.9182136845293406,HNSCC,KMT2D
ABHD6,-0.011255681592554412,0.9440801050965126,0.9969405104104044,HNSCC,KMT2D
ABI1,-0.4048717882088454,0.05436657253463879,0.9182136845293406,HNSCC,KMT2D
ABI2,-0.07904124323660533,0.7420030275716099,0.9905436066812049,HNSCC,KMT2D
ABI3,-0.09721210991885187,0.5622664031478849,0.9669447056455852,HNSCC,KMT2D
ABI3BP,-0.12481426632350145,0.34233898289030984,0.9322492903171743,HNSCC,KMT2D
ABL1,0.37583290567997985,0.1458161867545129,0.9182136845293406,HNSCC,KMT2D
ABL2,-0.0205138317583059,0.9746327337044312,0.9992976882916216,HNSCC,KMT2D
ABLIM1,0.2552145928732059,0.1948723830530581,0.9182136845293406,HNSCC,KMT2D
ABLIM2,0.049894929744844774,0.576156137255185,0.9697060239221115,HNSCC,KMT2D
ABLIM3,0.0303907835970465,0.7362094358800517,0.9905436066812049,HNSCC,KMT2D
ABO,0.5297019164345323,0.07150335221521804,0.9182136845293406,HNSCC,KMT2D
ABR,0.03353556976191374,0.6585196581824226,0.9776040757897666,HNSCC,KMT2D
ABRACL,-0.0274778008333445,0.9710700857588694,0.9992976882916216,HNSCC,KMT2D
ABRAXAS1,-0.5397272181889906,0.04738005014966026,0.9182136845293406,HNSCC,KMT2D
ABRAXAS2,0.294084207677376,0.2433546168921299,0.9182136845293406,HNSCC,KMT2D
ABT1,-0.0055233251576973785,0.9918536977833239,0.9994973751340978,HNSCC,KMT2D
ABTB2,-0.4544800256019579,0.1278195821899438,0.9182136845293406,HNSCC,KMT2D
ACAA1,-0.1218157677432492,0.629474335028142,0.972653054680696,HNSCC,KMT2D
ACAA2,0.028625431652590794,0.7826229855735233,0.994088530607104,HNSCC,KMT2D
ACACA,0.0982470360118316,0.3713519958263781,0.941152458111357,HNSCC,KMT2D
ACACB,-0.17121245299323307,0.5507498913898992,0.9643924490754254,HNSCC,KMT2D
ACAD10,0.36596152886851024,0.10255064926054595,0.9182136845293406,HNSCC,KMT2D
ACAD8,0.07121028089492398,0.58764926384738,0.9714628800727166,HNSCC,KMT2D
ACAD9,0.16031240902260313,0.3149297660895335,0.926355774060076,HNSCC,KMT2D
ACADM,-0.09072727833851846,0.6656244142084051,0.978768692503437,HNSCC,KMT2D
ACADS,-0.0707042631629437,0.8189044270171362,0.994088530607104,HNSCC,KMT2D
ACADSB,0.12752278756578217,0.27256269340088,0.9196180045795701,HNSCC,KMT2D
ACADVL,0.09572386970489433,0.5015892242824592,0.9539012299700644,HNSCC,KMT2D
ACAN,0.16989906477021485,0.46995205598831935,0.9539012299700644,HNSCC,KMT2D
ACAP1,-0.21110382276432882,0.10678901675124775,0.9182136845293406,HNSCC,KMT2D
ACAP2,0.06350941821127765,0.27502480141999297,0.9196180045795701,HNSCC,KMT2D
ACAT1,0.05595626892913419,0.6626771473976198,0.9787373989628594,HNSCC,KMT2D
ACAT2,-0.09049712007900457,0.7251389877887959,0.9897811010732585,HNSCC,KMT2D
ACBD3,-0.2839011304141765,0.2557256383801165,0.9182136845293406,HNSCC,KMT2D
ACBD5,0.15731442436978438,0.21381260262737223,0.9182136845293406,HNSCC,KMT2D
ACBD6,0.11152907738030682,0.5049320928310832,0.9539012299700644,HNSCC,KMT2D
ACE,0.12624060184872077,0.3491211309579082,0.93636564199852,HNSCC,KMT2D
ACIN1,-0.0035020697798290312,0.9484157651648969,0.9978126801318521,HNSCC,KMT2D
ACLY,-0.0015456568097087509,0.8636281765042126,0.994088530607104,HNSCC,KMT2D
ACO1,-0.319789207009658,0.13852301921184054,0.9182136845293406,HNSCC,KMT2D
ACO2,0.1819378997837775,0.3169555061430881,0.9264587372000983,HNSCC,KMT2D
ACOT11,-0.020031703954161872,0.9913408047429577,0.9994973751340978,HNSCC,KMT2D
ACOT13,-0.2656400317134927,0.25778088246033815,0.9182136845293406,HNSCC,KMT2D
ACOT2,0.1792473544703554,0.3550458004795176,0.9373119996095586,HNSCC,KMT2D
ACOT7,-0.05647950939675117,0.6550556423208379,0.9763186695865778,HNSCC,KMT2D
ACOT8,-0.3780023819656912,0.08859525466546479,0.9182136845293406,HNSCC,KMT2D
ACOT9,-0.2651813418729724,0.10604620374095747,0.9182136845293406,HNSCC,KMT2D
ACOX1,0.15399878847125759,0.37897776980293063,0.9431614311659785,HNSCC,KMT2D
ACOX3,-0.2534485895713563,0.20331063563099205,0.9182136845293406,HNSCC,KMT2D
ACP1,0.029572001650913726,0.8754257108141548,0.994088530607104,HNSCC,KMT2D
ACP2,0.18857976012981303,0.18004990989776648,0.9182136845293406,HNSCC,KMT2D
ACP5,-0.010277747852844632,0.943037990768497,0.996926135292504,HNSCC,KMT2D
ACP6,0.1603764205238732,0.49857891414970135,0.9539012299700644,HNSCC,KMT2D
ACPP,0.06947685043046703,0.19654991385286713,0.9182136845293406,HNSCC,KMT2D
ACSF2,-0.23776135437583007,0.12898523856281202,0.9182136845293406,HNSCC,KMT2D
ACSF3,-0.09617107754978649,0.6951360661379111,0.9857540014002127,HNSCC,KMT2D
ACSL1,0.11089321542315034,0.32575927594426046,0.9304599198161375,HNSCC,KMT2D
ACSL3,-0.18307695148727243,0.2735816488390719,0.9196180045795701,HNSCC,KMT2D
ACSL4,0.13070985776908461,0.21281333986509765,0.9182136845293406,HNSCC,KMT2D
ACSL5,0.011741202968678643,0.7497330732597122,0.9905436066812049,HNSCC,KMT2D
ACSS1,0.05213276458999594,0.43664060467340104,0.9539012299700644,HNSCC,KMT2D
ACSS2,0.04133410281643746,0.5644672425325385,0.9673570081236886,HNSCC,KMT2D
ACSS3,0.07826958004079387,0.5522155468636678,0.9643924490754254,HNSCC,KMT2D
ACTA1,-0.0960453600187593,0.5445119968162982,0.9633166627519001,HNSCC,KMT2D
ACTA2,0.27832598872940395,0.1930090818840392,0.9182136845293406,HNSCC,KMT2D
ACTB,0.18311398498006579,0.4890181313334945,0.9539012299700644,HNSCC,KMT2D
ACTBL2,0.14224939351335966,0.5411183278504854,0.9625058282530761,HNSCC,KMT2D
ACTC1,-0.23056435461515423,0.149099681475238,0.9182136845293406,HNSCC,KMT2D
ACTG1,-0.00202000263928169,0.9947161210620674,0.999663838613579,HNSCC,KMT2D
ACTL6A,0.03327274267916702,0.698000733944725,0.9869367483455733,HNSCC,KMT2D
ACTN1,0.058569455537723414,0.48538278197336615,0.9539012299700644,HNSCC,KMT2D
