Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.4630803631550951,0.06989728938859781,0.9898534839945403,LSCC,COL11A1
A2M,-0.05589208897667031,0.8390587046083504,0.9919377487567382,LSCC,COL11A1
A2ML1,-0.007092069024585923,0.8373037798959384,0.9919377487567382,LSCC,COL11A1
A4GALT,-0.25781718281718286,0.34841143002699804,0.9898534839945403,LSCC,COL11A1
AAAS,-0.14870428495076846,0.5298091038417269,0.9898534839945403,LSCC,COL11A1
AACS,0.07268213988730132,0.5733984495849007,0.9898534839945403,LSCC,COL11A1
AADAC,-0.0030869943694430413,0.9243247469763001,0.9971572610914419,LSCC,COL11A1
AAGAB,0.08799711482358918,0.6231567530556867,0.9898534839945403,LSCC,COL11A1
AAK1,0.008639668200337347,0.8396542351959843,0.9919377487567382,LSCC,COL11A1
AAMDC,0.11807608526103208,0.4910933871119635,0.9898534839945403,LSCC,COL11A1
AAMP,0.1590932608990996,0.2311658629387553,0.9898534839945403,LSCC,COL11A1
AAR2,-0.024375890268786504,0.9654619709673904,0.999284236757927,LSCC,COL11A1
AARS2,-0.023739808193087186,0.9686785228600058,0.999284236757927,LSCC,COL11A1
AARSD1,-0.21330878410203916,0.3503749879563186,0.9898534839945403,LSCC,COL11A1
AASDH,0.3382164790833522,0.18237856370526495,0.9898534839945403,LSCC,COL11A1
AASDHPPT,0.0031300926218635894,0.8980686121438682,0.9960721785597244,LSCC,COL11A1
AASS,0.14080669427434245,0.0808281187443607,0.9898534839945403,LSCC,COL11A1
AATF,0.06607038666570697,0.5842602404965769,0.9898534839945403,LSCC,COL11A1
AATK,-0.2120107848742699,0.4370336985338126,0.9898534839945403,LSCC,COL11A1
ABAT,-0.06424789939774023,0.48872892310133853,0.9898534839945403,LSCC,COL11A1
ABCA1,0.04781597965062412,0.5363420123231659,0.9898534839945403,LSCC,COL11A1
ABCA2,-0.20135166983935715,0.478672195570203,0.9898534839945403,LSCC,COL11A1
ABCA3,-0.03738412422272741,0.8243703004713615,0.9918733596539857,LSCC,COL11A1
ABCA6,-0.09833478853744004,0.5354646185119298,0.9898534839945403,LSCC,COL11A1
ABCA8,-0.14683060483474875,0.31367079748367066,0.9898534839945403,LSCC,COL11A1
ABCB1,0.07203960401238163,0.5468015963009876,0.9898534839945403,LSCC,COL11A1
ABCB10,-0.0007808003192333324,0.9324904883115398,0.9971747283298081,LSCC,COL11A1
ABCB6,0.07819291871647716,0.3270036113284933,0.9898534839945403,LSCC,COL11A1
ABCB7,-0.21292374387736818,0.3507636300196336,0.9898534839945403,LSCC,COL11A1
ABCB8,0.23178666758842958,0.3083960549408713,0.9898534839945403,LSCC,COL11A1
ABCC1,0.026611748846137262,0.5052702953416841,0.9898534839945403,LSCC,COL11A1
ABCC10,-0.2835520442026178,0.11563576677592985,0.9898534839945403,LSCC,COL11A1
ABCC3,-0.024333667107785617,0.9556616202618423,0.999284236757927,LSCC,COL11A1
ABCC4,0.08323825829679643,0.5436503948348238,0.9898534839945403,LSCC,COL11A1
ABCC5,0.044235433720466455,0.19039968691581366,0.9898534839945403,LSCC,COL11A1
ABCD1,-0.01420995324605312,0.9783231536108132,0.999284236757927,LSCC,COL11A1
ABCD3,-0.2348595511087298,0.10836475249379594,0.9898534839945403,LSCC,COL11A1
ABCD4,0.23436589016158782,0.23326621594286312,0.9898534839945403,LSCC,COL11A1
ABCE1,-0.02146172645473554,0.9770487764953684,0.999284236757927,LSCC,COL11A1
ABCF1,-0.0844420559310306,0.5786760943280227,0.9898534839945403,LSCC,COL11A1
ABCF3,-0.06980615193643513,0.5040356174225396,0.9898534839945403,LSCC,COL11A1
ABCG1,0.017237113239673696,0.7028897084724564,0.9907684000644843,LSCC,COL11A1
ABCG2,-0.09062265399345981,0.7664877366097494,0.9918733596539857,LSCC,COL11A1
ABHD10,0.12199419770634157,0.439633352715054,0.9898534839945403,LSCC,COL11A1
ABHD11,0.009788225688702412,0.7900348282138434,0.9918733596539857,LSCC,COL11A1
ABHD12,-0.20481350598595344,0.23490701706832484,0.9898534839945403,LSCC,COL11A1
ABHD13,0.18905906283652568,0.32043611142746775,0.9898534839945403,LSCC,COL11A1
ABHD14B,0.17904643913268814,0.21465234268059508,0.9898534839945403,LSCC,COL11A1
ABHD15,0.07654085550249828,0.7394247740755624,0.9918733596539857,LSCC,COL11A1
ABHD16A,-0.00866001407584549,0.9783082476044104,0.999284236757927,LSCC,COL11A1
ABHD17A,-0.22376787675037427,0.36597027440110197,0.9898534839945403,LSCC,COL11A1
ABHD17B,0.08858047264125124,0.456264352465368,0.9898534839945403,LSCC,COL11A1
ABHD17C,-0.3574985818049679,0.08898988941600484,0.9898534839945403,LSCC,COL11A1
ABHD2,0.31348394531703994,0.22061022954617404,0.9898534839945403,LSCC,COL11A1
ABHD3,-0.10565755353754613,0.5628007578514725,0.9898534839945403,LSCC,COL11A1
ABHD4,0.10853912019621303,0.24912472240471162,0.9898534839945403,LSCC,COL11A1
ABHD5,0.1142296209257111,0.5298288601577938,0.9898534839945403,LSCC,COL11A1
ABHD6,-0.09507835459185632,0.5717730991451762,0.9898534839945403,LSCC,COL11A1
ABI1,0.3104921463856107,0.06944887990875628,0.9898534839945403,LSCC,COL11A1
ABI2,0.13502376201363786,0.3005064010116858,0.9898534839945403,LSCC,COL11A1
ABI3,-0.09144322483439449,0.4205696996493232,0.9898534839945403,LSCC,COL11A1
ABI3BP,0.15282902714780078,0.19580934045345055,0.9898534839945403,LSCC,COL11A1
ABL1,0.3674917976587367,0.07942911846417276,0.9898534839945403,LSCC,COL11A1
ABL2,0.05010711808327811,0.7755290945667188,0.9918733596539857,LSCC,COL11A1
ABLIM1,0.032903112429905734,0.7475668864349858,0.9918733596539857,LSCC,COL11A1
ABLIM2,0.05019927589023976,0.6102470058715139,0.9898534839945403,LSCC,COL11A1
ABLIM3,-0.13311240977867483,0.34247990870576883,0.9898534839945403,LSCC,COL11A1
ABO,0.3638355342136855,0.24997362065801543,0.9898534839945403,LSCC,COL11A1
ABR,-0.06143057066862312,0.693822114530428,0.9907684000644843,LSCC,COL11A1
ABRACL,-0.016184815807476327,0.9895656739221644,0.999284236757927,LSCC,COL11A1
ABT1,0.03314397813496578,0.8240271538171686,0.9918733596539857,LSCC,COL11A1
ABTB1,-0.16697586563496303,0.47067204957350817,0.9898534839945403,LSCC,COL11A1
ABTB2,-0.10217136822282447,0.7171555789956565,0.9918733596539857,LSCC,COL11A1
ACAA1,0.07014196826874752,0.6845454184623536,0.9903413081468858,LSCC,COL11A1
ACAA2,0.06782888287360767,0.4388156638331102,0.9898534839945403,LSCC,COL11A1
ACACA,-0.2707094212998564,0.043304180854701245,0.9898534839945403,LSCC,COL11A1
ACAD10,-0.11535575419644617,0.6067618526208669,0.9898534839945403,LSCC,COL11A1
ACAD11,-0.049156182159905,0.8651985759903974,0.9919377487567382,LSCC,COL11A1
ACAD8,-0.2212118440998383,0.2816344471270624,0.9898534839945403,LSCC,COL11A1
ACAD9,-0.017894744441583343,0.9979507329414657,0.999284236757927,LSCC,COL11A1
ACADL,-0.23113406816218335,0.1599756247976276,0.9898534839945403,LSCC,COL11A1
ACADM,0.008441022448063884,0.9006949795964985,0.9960721785597244,LSCC,COL11A1
ACADS,0.09800247257080635,0.556780759507916,0.9898534839945403,LSCC,COL11A1
ACADSB,0.062166932001677555,0.4737736925779549,0.9898534839945403,LSCC,COL11A1
ACADVL,-0.02885285797200632,0.9517235739774629,0.9991432677893219,LSCC,COL11A1
ACAN,0.216430899906069,0.28585865892920836,0.9898534839945403,LSCC,COL11A1
ACAP1,0.09302943741904035,0.10032338702314739,0.9898534839945403,LSCC,COL11A1
ACAP2,0.02456873854040431,0.5429690444515299,0.9898534839945403,LSCC,COL11A1
ACAP3,-0.01883131103352459,0.9830041544847479,0.999284236757927,LSCC,COL11A1
ACAT1,0.05225542780922399,0.6257045513088744,0.9898534839945403,LSCC,COL11A1
ACAT2,0.013097821438033397,0.6211450070948349,0.9898534839945403,LSCC,COL11A1
ACBD3,-0.1742773002817138,0.4275818046948625,0.9898534839945403,LSCC,COL11A1
ACBD5,-0.0004915776208334055,0.9336566466349665,0.9971747283298081,LSCC,COL11A1
ACBD7,0.04546173308032886,0.5387138935517889,0.9898534839945403,LSCC,COL11A1
ACD,0.24090118227038532,0.20307444674241826,0.9898534839945403,LSCC,COL11A1
ACE,-0.1705186732476459,0.09195173967587619,0.9898534839945403,LSCC,COL11A1
ACHE,0.28838028169014085,0.31541994020622843,0.9898534839945403,LSCC,COL11A1
ACIN1,0.08333995293696272,0.5922496868325935,0.9898534839945403,LSCC,COL11A1
ACKR3,0.028130259396788926,0.5417165592394403,0.9898534839945403,LSCC,COL11A1
ACLY,-0.08869242816818562,0.5689260977688323,0.9898534839945403,LSCC,COL11A1
ACO1,-0.022286828277091608,0.9677424592785352,0.999284236757927,LSCC,COL11A1
ACO2,0.21919862275752344,0.17240238375362293,0.9898534839945403,LSCC,COL11A1
ACOT11,-0.0561017827581175,0.8058485948445984,0.9918733596539857,LSCC,COL11A1
ACOT13,0.2404462441185652,0.13935308110626393,0.9898534839945403,LSCC,COL11A1
ACOT2,0.199719965735276,0.35973548998569993,0.9898534839945403,LSCC,COL11A1
ACOT4,-0.3789854038891266,0.07884155968615553,0.9898534839945403,LSCC,COL11A1
ACOT7,0.09806504160731544,0.30264781503101823,0.9898534839945403,LSCC,COL11A1
ACOT8,0.17410807947842805,0.41027337298672273,0.9898534839945403,LSCC,COL11A1
ACOT9,-0.05377985070818658,0.7636153095906087,0.9918733596539857,LSCC,COL11A1
