Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.03309796631409749,0.8972927370932465,0.9924129939958389,LSCC,DNAH5
A2M,0.11933946623072861,0.5589100991581717,0.9913484526053838,LSCC,DNAH5
A2ML1,-0.0989278534253627,0.06758075983730061,0.9913484526053838,LSCC,DNAH5
A4GALT,-0.19577301387762813,0.3024054754867084,0.9913484526053838,LSCC,DNAH5
AAAS,-0.4026984396421159,0.042664769952440534,0.9913484526053838,LSCC,DNAH5
AACS,0.06284163973676393,0.7292490186606878,0.9913484526053838,LSCC,DNAH5
AADAC,-0.08172420189169416,0.5976300006056897,0.9913484526053838,LSCC,DNAH5
AAGAB,-0.2086079349199902,0.26167841957471605,0.9913484526053838,LSCC,DNAH5
AAK1,0.12678088787879205,0.25531078362389326,0.9913484526053838,LSCC,DNAH5
AAMDC,-0.14819192811662363,0.2826523738879373,0.9913484526053838,LSCC,DNAH5
AAMP,0.10603297563259484,0.41337446049929905,0.9913484526053838,LSCC,DNAH5
AAR2,0.09094872450280556,0.5062101727566117,0.9913484526053838,LSCC,DNAH5
AARS,0.08025356430627273,0.2445523560205235,0.9913484526053838,LSCC,DNAH5
AARS2,0.007225756426774033,0.9385336658491201,0.9929666482713603,LSCC,DNAH5
AARSD1,-0.33571492804581937,0.06658734387698612,0.9913484526053838,LSCC,DNAH5
AASDHPPT,0.11618948997706091,0.3039925763716832,0.9913484526053838,LSCC,DNAH5
AASS,0.10446261193711781,0.23000710471353758,0.9913484526053838,LSCC,DNAH5
AATF,-0.07967351020048519,0.5758825542623329,0.9913484526053838,LSCC,DNAH5
ABAT,0.08068608909403019,0.23902187740150838,0.9913484526053838,LSCC,DNAH5
ABCA1,0.008066393117346471,0.9797780578081197,0.9962647099373462,LSCC,DNAH5
ABCA12,0.03677521756710006,0.913750381183126,0.9929666482713603,LSCC,DNAH5
ABCA13,0.16133766190853258,0.5084678524761621,0.9913484526053838,LSCC,DNAH5
ABCA2,0.04994257760205233,0.8470558566249825,0.9924129939958389,LSCC,DNAH5
ABCA3,0.025650026213002275,0.8055706791261176,0.9913484526053838,LSCC,DNAH5
ABCA6,-0.022220542242992913,0.9343311062442304,0.9929666482713603,LSCC,DNAH5
ABCA8,-0.03467220205036958,0.8780664667682622,0.9924129939958389,LSCC,DNAH5
ABCB1,0.3083447060145782,0.15794930402836183,0.9913484526053838,LSCC,DNAH5
ABCB10,-0.14801596909815218,0.28462465711765295,0.9913484526053838,LSCC,DNAH5
ABCB5,0.06574583025996607,0.7698974106387777,0.9913484526053838,LSCC,DNAH5
ABCB6,-0.010679656002997251,0.8978276587138115,0.9924129939958389,LSCC,DNAH5
ABCB7,-0.1245392734527031,0.5225684900816734,0.9913484526053838,LSCC,DNAH5
ABCB8,-0.14918671903550978,0.500493492682536,0.9913484526053838,LSCC,DNAH5
ABCC1,-0.040180081822782876,0.2532716187410814,0.9913484526053838,LSCC,DNAH5
ABCC10,-0.014245304782413704,0.9358868189542207,0.9929666482713603,LSCC,DNAH5
ABCC2,-0.2889012770030735,0.3808375024667363,0.9913484526053838,LSCC,DNAH5
ABCC3,0.02757664961145667,0.8338909478047161,0.9913484526053838,LSCC,DNAH5
ABCC4,0.04851999319957012,0.7988820891736597,0.9913484526053838,LSCC,DNAH5
ABCC5,0.007492475716929459,0.8368554546986252,0.9913484526053838,LSCC,DNAH5
ABCC6,-0.18420058800592676,0.4618970057751597,0.9913484526053838,LSCC,DNAH5
ABCC9,0.7452584183933405,0.01526503793232453,0.9913484526053838,LSCC,DNAH5
ABCD1,-0.06958785313673366,0.6557720451045433,0.9913484526053838,LSCC,DNAH5
ABCD2,-0.12469901497069728,0.5648552172765675,0.9913484526053838,LSCC,DNAH5
ABCD3,-0.1920927013343402,0.12529828038975935,0.9913484526053838,LSCC,DNAH5
ABCD4,0.13628205200648896,0.4650588336013093,0.9913484526053838,LSCC,DNAH5
ABCE1,0.22854864949542886,0.09629217481693492,0.9913484526053838,LSCC,DNAH5
ABCF1,-0.028769289921057428,0.8473354986611343,0.9924129939958389,LSCC,DNAH5
ABCF2,-0.04004073037947142,0.7302282157601085,0.9913484526053838,LSCC,DNAH5
ABCF3,-0.03684710174450068,0.5536186902332652,0.9913484526053838,LSCC,DNAH5
ABCG1,-0.11682444711272244,0.27172705720721135,0.9913484526053838,LSCC,DNAH5
ABHD10,0.15942957494122278,0.2687179364599883,0.9913484526053838,LSCC,DNAH5
ABHD11,0.017152234630816054,0.8483035046676561,0.9924129939958389,LSCC,DNAH5
ABHD12,-0.03470977986180479,0.8597572636232574,0.9924129939958389,LSCC,DNAH5
ABHD13,-0.4194687856743691,0.0478973584149417,0.9913484526053838,LSCC,DNAH5
ABHD14A-ACY1,-0.18444229835721188,0.37143386167962367,0.9913484526053838,LSCC,DNAH5
ABHD14B,0.09289982234670191,0.4985437771256598,0.9913484526053838,LSCC,DNAH5
ABHD15,-0.24328261480700938,0.23458190161273917,0.9913484526053838,LSCC,DNAH5
ABHD16A,0.1736760500013136,0.29632434849759504,0.9913484526053838,LSCC,DNAH5
ABHD17A,0.34569772794941334,0.08905055385886729,0.9913484526053838,LSCC,DNAH5
ABHD17B,0.03722645831254334,0.758663319719225,0.9913484526053838,LSCC,DNAH5
ABHD17C,-0.05230824595603223,0.782328067484141,0.9913484526053838,LSCC,DNAH5
ABHD3,0.24540205851866703,0.08849010123897331,0.9913484526053838,LSCC,DNAH5
ABHD4,-0.030814072572466378,0.6733716627615907,0.9913484526053838,LSCC,DNAH5
ABHD5,0.08213429834975239,0.6414307213042745,0.9913484526053838,LSCC,DNAH5
ABHD6,0.1386137893574806,0.3277189591174089,0.9913484526053838,LSCC,DNAH5
ABI1,0.026087007360958203,0.8471740668144976,0.9924129939958389,LSCC,DNAH5
ABI2,-0.24699562896903376,0.08635258846339725,0.9913484526053838,LSCC,DNAH5
ABI3,0.014782489661368858,0.8659032476358375,0.9924129939958389,LSCC,DNAH5
ABI3BP,-0.09570735350830079,0.5515396587166566,0.9913484526053838,LSCC,DNAH5
ABL1,0.01413694653643327,0.9241190138837769,0.9929666482713603,LSCC,DNAH5
ABL2,0.15781517822280722,0.4564864790097082,0.9913484526053838,LSCC,DNAH5
ABLIM1,0.07286174659199995,0.41457973899777645,0.9913484526053838,LSCC,DNAH5
ABLIM2,-0.2377901555696771,0.06743879934906277,0.9913484526053838,LSCC,DNAH5
ABLIM3,0.08233231012793246,0.5798685220591955,0.9913484526053838,LSCC,DNAH5
ABR,0.19920063431482937,0.1970636077377349,0.9913484526053838,LSCC,DNAH5
ABRACL,0.07887840172156413,0.547819741874275,0.9913484526053838,LSCC,DNAH5
ABRAXAS1,0.23592156814322807,0.37044382131815834,0.9913484526053838,LSCC,DNAH5
ABRAXAS2,0.03831581228828079,0.8359928193950232,0.9913484526053838,LSCC,DNAH5
ABT1,0.3752090877035666,0.08677153185973764,0.9913484526053838,LSCC,DNAH5
ABTB1,-0.04948415380578386,0.8148786909132291,0.9913484526053838,LSCC,DNAH5
ABTB2,-0.2910917054479818,0.3858213632782228,0.9913484526053838,LSCC,DNAH5
ACAA1,-0.14643089380808932,0.3812044511040331,0.9913484526053838,LSCC,DNAH5
ACAA2,-0.13880492538902023,0.12731355792987917,0.9913484526053838,LSCC,DNAH5
ACACA,0.12627912641717232,0.2213269743136601,0.9913484526053838,LSCC,DNAH5
ACACB,-0.0070250490831639464,0.9687069127421541,0.9951754872662526,LSCC,DNAH5
ACAD10,0.06188977393004047,0.6258625262640429,0.9913484526053838,LSCC,DNAH5
ACAD11,0.09848504386549614,0.6512604270365393,0.9913484526053838,LSCC,DNAH5
ACAD8,0.05672400744107686,0.6503553840553358,0.9913484526053838,LSCC,DNAH5
ACAD9,0.10695194330866342,0.3480777801860251,0.9913484526053838,LSCC,DNAH5
ACADL,0.06286479080144947,0.7587637045292743,0.9913484526053838,LSCC,DNAH5
ACADM,0.18155161354530736,0.24937338529574926,0.9913484526053838,LSCC,DNAH5
ACADS,0.09650911992591621,0.49984974902007717,0.9913484526053838,LSCC,DNAH5
ACADSB,0.06274570836026538,0.4228219060862478,0.9913484526053838,LSCC,DNAH5
