Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.3184918766187432,0.2036905403739987,0.9817720365080986,LSCC,KMT2D
A2M,0.10413719158223311,0.5363535483792007,0.9855676262326135,LSCC,KMT2D
A2ML1,-0.033510750826250435,0.6292479906948756,0.9905844248887425,LSCC,KMT2D
A4GALT,-0.6657037815126051,0.00692415061891013,0.4806950068681314,LSCC,KMT2D
AAAS,-0.12357297201392009,0.5950311332728782,0.9855676262326135,LSCC,KMT2D
AACS,-0.3221306682132449,0.06234524172262989,0.9301314065419773,LSCC,KMT2D
AADAC,0.08106737525735896,0.5875206953979106,0.9855676262326135,LSCC,KMT2D
AAGAB,-0.026078380625826014,0.9494021579046348,0.9979186443615246,LSCC,KMT2D
AAK1,-0.18152436987401532,0.2598565913128139,0.9817720365080986,LSCC,KMT2D
AAMDC,-0.2059778151198733,0.3189639508704811,0.9840068469106138,LSCC,KMT2D
AAMP,0.12583934940453312,0.3243295882909135,0.9847543851428512,LSCC,KMT2D
AAR2,0.08202560036193784,0.554634154580242,0.9855676262326135,LSCC,KMT2D
AARS2,-0.12075255236820526,0.5041721723321798,0.9855676262326135,LSCC,KMT2D
AARSD1,-0.04527755821490975,0.8870069534790462,0.9950366827797308,LSCC,KMT2D
AASDH,-0.10750323353063082,0.6864007044741848,0.9937290188929256,LSCC,KMT2D
AASDHPPT,-0.1577775609495704,0.3723211210217027,0.9847543851428512,LSCC,KMT2D
AASS,-0.04450124273920242,0.7645216501701481,0.9941842438062334,LSCC,KMT2D
AATF,0.008651591320930851,0.8680968700030601,0.9950366827797308,LSCC,KMT2D
ABAT,-0.010855727834317208,0.915418936936971,0.9954643134316236,LSCC,KMT2D
ABCA1,0.023070363257011506,0.7027658230486429,0.9937290188929256,LSCC,KMT2D
ABCA13,-0.2410984393757503,0.4421122224244054,0.9855676262326135,LSCC,KMT2D
ABCA2,0.017269243971907544,0.9327000864744883,0.9961185569305121,LSCC,KMT2D
ABCA3,0.08153664303117669,0.25102625697943504,0.9817720365080986,LSCC,KMT2D
ABCA6,-0.16388088605631523,0.2629959636452134,0.9817720365080986,LSCC,KMT2D
ABCA8,-0.017286446518459786,0.9929015731751548,0.9987388502696171,LSCC,KMT2D
ABCB1,-0.0443453670800672,0.8567431278434262,0.9950366827797308,LSCC,KMT2D
ABCB10,-0.2709560876937862,0.1446351845672367,0.9817720365080986,LSCC,KMT2D
ABCB6,-0.08208948203557631,0.5266555581924658,0.9855676262326135,LSCC,KMT2D
ABCB7,0.07400845032029435,0.6913297972506843,0.9937290188929256,LSCC,KMT2D
ABCB8,-0.027570520882853444,0.9472784464115155,0.997830480782468,LSCC,KMT2D
ABCC1,-0.21235657525097074,0.0029725219775172253,0.32859579060354305,LSCC,KMT2D
ABCC10,-0.09109625108648073,0.6880540408016771,0.9937290188929256,LSCC,KMT2D
ABCC3,-0.015070168111624871,0.972137217184754,0.9984739550982102,LSCC,KMT2D
ABCC4,-0.01336527125318121,0.985335581068747,0.9984739550982102,LSCC,KMT2D
ABCC5,-0.10887034229857195,0.044552411118320076,0.8742641779411566,LSCC,KMT2D
ABCD1,0.033383643797538,0.7455220064481849,0.9937290188929256,LSCC,KMT2D
ABCD3,-0.10256552739243985,0.5418625795249261,0.9855676262326135,LSCC,KMT2D
ABCD4,0.18482816814269065,0.33934149636346034,0.9847543851428512,LSCC,KMT2D
ABCE1,0.14860343066464732,0.29637336563089356,0.9817720365080986,LSCC,KMT2D
ABCF1,-0.011508217874136029,0.9525872206138707,0.9979186443615246,LSCC,KMT2D
ABCF3,-0.08547346055558247,0.38502493164634133,0.9847543851428512,LSCC,KMT2D
ABCG1,-0.16422479698425996,0.1499783057709058,0.9817720365080986,LSCC,KMT2D
ABCG2,-0.10372007118922694,0.7238672204744319,0.9937290188929256,LSCC,KMT2D
ABHD10,-0.03149924381162694,0.9257090725802452,0.9956751013555075,LSCC,KMT2D
ABHD11,-0.02150635611714058,0.9958945861386646,0.9987645153534028,LSCC,KMT2D
ABHD12,-0.06901539745230256,0.7455765204919378,0.9937290188929256,LSCC,KMT2D
ABHD13,-0.08293592211874035,0.736502085784386,0.9937290188929256,LSCC,KMT2D
ABHD14B,-0.10366770503556044,0.5893757979393814,0.9855676262326135,LSCC,KMT2D
ABHD15,-0.19789864297385817,0.42717869917868845,0.9855676262326135,LSCC,KMT2D
ABHD16A,-0.22432684139471196,0.3079021954481893,0.9827261255405776,LSCC,KMT2D
ABHD17A,0.002027805592315468,0.9871895804539245,0.9984739550982102,LSCC,KMT2D
ABHD17B,-0.028286564437028483,0.9466477495431496,0.997830480782468,LSCC,KMT2D
ABHD17C,-0.24221436633208276,0.25540872504313605,0.9817720365080986,LSCC,KMT2D
ABHD2,0.18895052316104946,0.4377667379499647,0.9855676262326135,LSCC,KMT2D
ABHD3,0.08900161038698517,0.49904137225910705,0.9855676262326135,LSCC,KMT2D
ABHD4,-0.15942590502501552,0.18979322311877422,0.9817720365080986,LSCC,KMT2D
ABHD5,-0.14640071617481787,0.5239265802661628,0.9855676262326135,LSCC,KMT2D
ABHD6,-0.021572534905755947,0.9790005603447425,0.9984739550982102,LSCC,KMT2D
