Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.24537826542679672,0.2668439932989083,0.9502939986808675,LSCC,TTN
A2M,-0.13384583682571305,0.41446070251166744,0.9513398560324463,LSCC,TTN
A2ML1,0.057237653986879966,0.086764305602012,0.9420422850595617,LSCC,TTN
A4GALT,-0.21669573620571808,0.2859383094287099,0.9513398560324463,LSCC,TTN
AAAS,0.05006699956390359,0.8194667577959218,0.9867503209822364,LSCC,TTN
AACS,0.3526987718164189,0.014027289368308512,0.9420422850595617,LSCC,TTN
AADAC,0.13367882117882124,0.3938098342249251,0.9513398560324463,LSCC,TTN
AADAT,-0.04011880614314689,0.732848761744074,0.9867503209822364,LSCC,TTN
AAGAB,0.12328035741348442,0.5117944602913097,0.9706552127306162,LSCC,TTN
AAK1,-0.2736093241124201,0.01631680054043468,0.9420422850595617,LSCC,TTN
AAMDC,-0.141844997108155,0.3664722916619061,0.9513398560324463,LSCC,TTN
AAMP,0.07813007426010521,0.596231939095218,0.9742236722152284,LSCC,TTN
AAR2,0.030645244848031217,0.8899801139617408,0.9870140905538481,LSCC,TTN
AARS2,0.1025101059930782,0.4921316340333771,0.9657329993165337,LSCC,TTN
AARSD1,-0.20969723001456742,0.22629740685142463,0.9420422850595617,LSCC,TTN
AASDH,-0.0668690403289301,0.7323988827654794,0.9867503209822364,LSCC,TTN
AASDHPPT,-0.06865348274017002,0.562818577449065,0.9715821149554622,LSCC,TTN
AASS,-0.04285865063728844,0.4924514734097375,0.9657329993165337,LSCC,TTN
AATF,0.008391569730578974,0.9873970104727815,0.9971814788789993,LSCC,TTN
AATK,-0.13665741597286457,0.5054209766938358,0.9686097573118041,LSCC,TTN
ABAT,0.05476644098935124,0.4047156993504535,0.9513398560324463,LSCC,TTN
ABCA1,-0.1278313404861392,0.11361751348738633,0.9420422850595617,LSCC,TTN
ABCA12,-0.06882132360393234,0.36316044835330785,0.9513398560324463,LSCC,TTN
ABCA13,0.26970703714889765,0.3219938713718805,0.9513398560324463,LSCC,TTN
ABCA2,-0.07741270171476122,0.744292317819979,0.9867503209822364,LSCC,TTN
ABCA3,-0.040578809735156485,0.4819830015427019,0.9646979920266534,LSCC,TTN
ABCA6,-0.134022711035095,0.18470622440645368,0.9420422850595617,LSCC,TTN
ABCA8,0.032293171225059814,0.8416764382486024,0.9867503209822364,LSCC,TTN
ABCB1,-0.09399675401997387,0.41441019279018676,0.9513398560324463,LSCC,TTN
ABCB10,-0.04254607621480688,0.7316328331203212,0.9867503209822364,LSCC,TTN
ABCB6,0.11368430331278634,0.21308500484566006,0.9420422850595617,LSCC,TTN
ABCB7,-0.002583909898151382,0.955007375939361,0.9920163132196992,LSCC,TTN
ABCB8,0.07816564240712848,0.7230499079392835,0.98558888769935,LSCC,TTN
ABCC1,0.04876586262035176,0.47105495306267586,0.9621309847942403,LSCC,TTN
ABCC10,-0.10136052028466891,0.4604062199905752,0.9607206617778876,LSCC,TTN
ABCC2,0.12447302549239181,0.652032570270731,0.9779536216688014,LSCC,TTN
ABCC3,-0.16461325052656328,0.12155674566586264,0.9420422850595617,LSCC,TTN
ABCC4,-0.18320205336459205,0.16420644706972298,0.9420422850595617,LSCC,TTN
ABCC5,-0.002328553799142097,0.770529282444309,0.9867503209822364,LSCC,TTN
ABCC6,0.2821763602251407,0.3029060931038694,0.9513398560324463,LSCC,TTN
ABCC9,0.12795650174963605,0.6428829730269805,0.9779536216688014,LSCC,TTN
ABCD1,-0.0782692539658485,0.5160652135851447,0.9707927894393605,LSCC,TTN
ABCD3,0.027225096884539668,0.8628251739890862,0.9868567130732239,LSCC,TTN
ABCD4,0.13108795229538267,0.4802218366586667,0.9646255528713068,LSCC,TTN
ABCE1,-0.1933791827367678,0.13006712244242036,0.9420422850595617,LSCC,TTN
ABCF1,-0.034133822833513294,0.6565518738299392,0.9779536216688014,LSCC,TTN
ABCF3,-0.08505735750317789,0.13710156160307974,0.9420422850595617,LSCC,TTN
ABCG1,0.02249685299220905,0.8858681095950225,0.9870140905538481,LSCC,TTN
ABCG2,-0.12991313122230708,0.5216428701496323,0.9707927894393605,LSCC,TTN
ABHD10,0.007756755628272605,0.9944615634845314,0.9983498835401166,LSCC,TTN
ABHD11,0.10003058087423411,0.37757148324185563,0.9513398560324463,LSCC,TTN
ABHD12,-0.01953889763487293,0.8355470335890768,0.9867503209822364,LSCC,TTN
ABHD13,-0.15695460579717946,0.3689386339307743,0.9513398560324463,LSCC,TTN
ABHD14B,-0.0006986048007719958,0.9511657351233624,0.9914765515044693,LSCC,TTN
ABHD15,-0.029260793386180373,0.8678382082790808,0.9868567130732239,LSCC,TTN
ABHD16A,-0.12416956108906568,0.48551981946415723,0.9650756825521137,LSCC,TTN
ABHD17A,-0.29770461736406006,0.15707727761180776,0.9420422850595617,LSCC,TTN
ABHD17B,0.018084469709856776,0.9448804499117756,0.9908743527702227,LSCC,TTN
ABHD17C,-0.27956930840057775,0.09546380657496596,0.9420422850595617,LSCC,TTN
ABHD2,0.0632327946302538,0.7982561935314015,0.9867503209822364,LSCC,TTN
ABHD3,0.2631490027000863,0.05230833747034071,0.9420422850595617,LSCC,TTN
ABHD4,-0.08545962551380515,0.29956128571935514,0.9513398560324463,LSCC,TTN
ABHD5,-0.2062749556944603,0.23220202405360557,0.9420422850595617,LSCC,TTN
ABHD6,-0.12639759621183766,0.23552866851267307,0.9420422850595617,LSCC,TTN
ABI1,0.18849192453670433,0.21600755894927992,0.9420422850595617,LSCC,TTN
ABI2,0.16669746662006724,0.21674746941597234,0.9420422850595617,LSCC,TTN
ABI3,-0.15741302041611638,0.022702945518937416,0.9420422850595617,LSCC,TTN
ABI3BP,0.02624863684956258,0.8648251252955627,0.9868567130732239,LSCC,TTN
ABL1,0.07530569275925314,0.7288631112807695,0.9860755242837869,LSCC,TTN
ABL2,0.16963256489745157,0.3767215336219706,0.9513398560324463,LSCC,TTN
ABLIM1,-0.043533408751731395,0.6465751136664354,0.9779536216688014,LSCC,TTN
ABLIM2,-0.09611874252983832,0.3389077466473861,0.9513398560324463,LSCC,TTN
ABLIM3,-0.29568030812535967,0.008658350079503276,0.9420422850595617,LSCC,TTN
ABO,0.031806157391628925,0.9198100232140387,0.9878193088765254,LSCC,TTN
ABR,-0.06951076847554671,0.512851172528516,0.9706552127306162,LSCC,TTN
ABRACL,0.11113190215357405,0.4667032449603683,0.9621309847942403,LSCC,TTN
ABT1,-0.10495889559357047,0.5291523559374731,0.9707927894393605,LSCC,TTN
ABTB1,0.17121810078466426,0.36400637245138434,0.9513398560324463,LSCC,TTN
ABTB2,0.13466368945036394,0.527519985671816,0.9707927894393605,LSCC,TTN
ACAA1,-0.3883073196153691,0.031239516792440317,0.9420422850595617,LSCC,TTN
ACAA2,-0.08068866118401719,0.3348601864996511,0.9513398560324463,LSCC,TTN
ACACA,0.13587438103691973,0.23064323740707382,0.9420422850595617,LSCC,TTN
ACAD10,0.09952663435635573,0.5961049377076565,0.9742236722152284,LSCC,TTN
ACAD11,-0.041001181481057636,0.8318449632661946,0.9867503209822364,LSCC,TTN
ACAD8,-0.19235002613485586,0.23187330686542373,0.9420422850595617,LSCC,TTN
ACAD9,-0.01982460264194008,0.817414584132909,0.9867503209822364,LSCC,TTN
ACADL,-0.05844832412169865,0.6002966395148411,0.9742236722152284,LSCC,TTN
ACADM,-0.30871605175010747,0.06412382418761568,0.9420422850595617,LSCC,TTN
ACADS,-0.12150368980864334,0.44713380127807245,0.9599999543441678,LSCC,TTN
ACADSB,-0.09794133884691159,0.2513512373915112,0.9446617879263972,LSCC,TTN
ACADVL,-0.09295077987028455,0.5321561218858726,0.9707927894393605,LSCC,TTN
ACAN,-0.07416793730353904,0.6605492389746319,0.9787362985390627,LSCC,TTN
ACAP1,0.010721476665749075,0.9564058844092898,0.9920163132196992,LSCC,TTN
ACAP2,-0.034734035314530676,0.4196957249302581,0.9536216269045492,LSCC,TTN
ACAP3,-0.028785649335184904,0.8348416535070857,0.9867503209822364,LSCC,TTN
ACAT1,-0.07442016188146217,0.489179687775662,0.9650756825521137,LSCC,TTN
ACAT2,0.034569339329401205,0.6234634326643215,0.9773655699530147,LSCC,TTN
ACBD3,0.12489213572804908,0.4831845583209403,0.9646979920266534,LSCC,TTN
ACBD5,-0.08445716154228777,0.5100019768233863,0.9702244952465653,LSCC,TTN
ACBD7,0.04957264957264962,0.6834576948748325,0.9819695024457848,LSCC,TTN
ACD,-0.09725935828877003,0.5539046801342696,0.9715821149554622,LSCC,TTN
ACE,-0.00901768510127643,0.8013738084759521,0.9867503209822364,LSCC,TTN
ACHE,0.17692307692307693,0.4842806167638778,0.9646979920266534,LSCC,TTN
ACIN1,0.05069114797158991,0.7514827591411724,0.9867503209822364,LSCC,TTN
ACKR1,-0.02268853158946038,0.9260349043419369,0.9883751503511332,LSCC,TTN
ACKR3,-0.12348529815719389,0.031112830340030206,0.9420422850595617,LSCC,TTN
ACLY,0.20428337239559802,0.1287719628433363,0.9420422850595617,LSCC,TTN
ACO1,0.07100813273413897,0.41163233329272486,0.9513398560324463,LSCC,TTN
