Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.23005441860194978,0.2630842136133147,0.9559284292553857,LSCC,ZFHX4
A2M,0.11927464751333977,0.5210984348620415,0.9708405262427523,LSCC,ZFHX4
A2ML1,-0.00516356447295796,0.8686358797522148,0.9915902051418765,LSCC,ZFHX4
A4GALT,-0.23947257965993562,0.1562376202554571,0.9543929281821211,LSCC,ZFHX4
AAAS,0.03336839590599605,0.856777135210222,0.9915902051418765,LSCC,ZFHX4
AACS,0.11664281840671642,0.4461407284221275,0.9707623369662441,LSCC,ZFHX4
AADAC,-0.17005554767539421,0.19582848343182935,0.9543929281821211,LSCC,ZFHX4
AAGAB,0.022707647378908402,0.8814655033900998,0.9931056849192528,LSCC,ZFHX4
AAK1,0.05752857954478374,0.5534490452318342,0.9753227288274542,LSCC,ZFHX4
AAMDC,-0.12955810751297026,0.2885614272123642,0.9559284292553857,LSCC,ZFHX4
AAMP,0.031396916461865376,0.7676246431668998,0.9859175738263648,LSCC,ZFHX4
AAR2,-0.10908892609799214,0.3483088909772527,0.9590592339703631,LSCC,ZFHX4
AARS,-0.0369454702827644,0.5655236914999184,0.9758317193153632,LSCC,ZFHX4
AARS2,-0.07750296500319265,0.4786494621629692,0.9707623369662441,LSCC,ZFHX4
AARSD1,0.09688123191672704,0.51569637041377,0.9707623369662441,LSCC,ZFHX4
AASDHPPT,0.013805048589457192,0.8755258377331456,0.9918703074024882,LSCC,ZFHX4
AASS,0.10784698723182806,0.1396026850090058,0.9543929281821211,LSCC,ZFHX4
AATF,-0.03754232091460652,0.763459305107654,0.9859175738263648,LSCC,ZFHX4
ABAT,-0.09930735172057603,0.09159603853611922,0.9543929281821211,LSCC,ZFHX4
ABCA1,-0.06041907375665623,0.46971718160555764,0.9707623369662441,LSCC,ZFHX4
ABCA12,-0.15198592654633014,0.45165020014412294,0.9707623369662441,LSCC,ZFHX4
ABCA13,-0.38724606932098343,0.07699428247541873,0.9543929281821211,LSCC,ZFHX4
ABCA2,-0.16952841792263965,0.41396634984928005,0.9707623369662441,LSCC,ZFHX4
ABCA3,-0.010307486861244164,0.9253981587467442,0.9966593300656075,LSCC,ZFHX4
ABCA6,0.06317506404379047,0.6759503726608608,0.9830389214341552,LSCC,ZFHX4
ABCA8,-0.3023785993328756,0.10229423625967166,0.9543929281821211,LSCC,ZFHX4
ABCB1,-0.03690628985259864,0.8621927308569933,0.9915902051418765,LSCC,ZFHX4
ABCB10,-0.017597014852954618,0.897883922598404,0.9943611687668955,LSCC,ZFHX4
ABCB5,0.15801062287339826,0.42994384340112624,0.9707623369662441,LSCC,ZFHX4
ABCB6,-0.07056455643960202,0.24081396019927503,0.9543929281821211,LSCC,ZFHX4
