Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.46573091763736696,0.04496247482838297,0.8311324163649177,LUAD,FAT3
A2M,-0.03957296975014907,0.8867982265579533,0.9821854401743819,LUAD,FAT3
AAAS,-0.31136413787016193,0.16438220384876878,0.8311324163649177,LUAD,FAT3
AACS,0.05619828159870677,0.5203574994363915,0.8934597968550054,LUAD,FAT3
AADAC,-0.27896321460235657,0.1628326166072943,0.8311324163649177,LUAD,FAT3
AADAT,0.1670847620232025,0.495085761128668,0.8869199887679249,LUAD,FAT3
AAGAB,0.2611070007242934,0.0672465935128785,0.8311324163649177,LUAD,FAT3
AAK1,-0.06433456298800033,0.7136427694596921,0.9498774750085233,LUAD,FAT3
AAMDC,-0.19696596340111572,0.3282819225683036,0.8371750745109673,LUAD,FAT3
AAMP,-0.15606901642337506,0.49202638384015407,0.8869199887679249,LUAD,FAT3
AAR2,0.04238146293426237,0.8068206718532109,0.9707246325097899,LUAD,FAT3
AARS2,-0.04249724604083216,0.8734270576059546,0.9814373992936245,LUAD,FAT3
AARSD1,-0.048498367034952417,0.8433744284168361,0.9777873518761345,LUAD,FAT3
AASDHPPT,0.09739446473677515,0.453614501704213,0.8783996991192077,LUAD,FAT3
AASS,-0.07782694665756318,0.6689840061701507,0.9391084469434181,LUAD,FAT3
AATF,-0.037826185154321235,0.887759290492505,0.9824888852611314,LUAD,FAT3
AATK,-0.09114263794908717,0.6974962520338677,0.9460956175680794,LUAD,FAT3
ABAT,0.1983741905783012,0.18648513841337633,0.8311324163649177,LUAD,FAT3
ABCA1,-0.1066510558502054,0.5657944667174541,0.9068559948837576,LUAD,FAT3
ABCA12,0.1824866310160428,0.2772635949588024,0.8311324163649177,LUAD,FAT3
ABCA2,0.013402176010200606,0.9308959204576419,0.9883931317703661,LUAD,FAT3
ABCA3,0.03667364999753375,0.7238544359349969,0.9514397378106506,LUAD,FAT3
ABCA6,0.16334629433250858,0.252519919076967,0.8311324163649177,LUAD,FAT3
ABCA8,0.13352021315168017,0.4411435915253923,0.8731815960388855,LUAD,FAT3
ABCB1,0.11550369353573015,0.5823741386842712,0.9114020103382934,LUAD,FAT3
ABCB10,-0.21581899816077033,0.25655810258721046,0.8311324163649177,LUAD,FAT3
ABCB6,0.31105091774120824,0.09461685535396204,0.8311324163649177,LUAD,FAT3
ABCB7,-0.04672459283373531,0.8473425939635941,0.9787617883008852,LUAD,FAT3
ABCB8,0.17149977198169974,0.29526148364415716,0.8311324163649177,LUAD,FAT3
ABCC1,0.3200735542904217,0.05770832484834727,0.8311324163649177,LUAD,FAT3
ABCC10,0.24014245014245014,0.2688201577100606,0.8311324163649177,LUAD,FAT3
ABCC3,0.1667168393461802,0.20992613611852162,0.8311324163649177,LUAD,FAT3
ABCC5,0.1886123276549468,0.3941523783959221,0.8521994285798892,LUAD,FAT3
ABCC6,0.1320823976949973,0.41246664673459954,0.8623091992538022,LUAD,FAT3
ABCD1,-0.13694029728048152,0.3740924974262101,0.8493310539499379,LUAD,FAT3
ABCD3,0.19268250766478978,0.20164415906839028,0.8311324163649177,LUAD,FAT3
ABCD4,-0.10519253484526342,0.629029134720749,0.9300151475479742,LUAD,FAT3
ABCE1,0.1667769981022993,0.20270080035641946,0.8311324163649177,LUAD,FAT3
ABCF1,0.039778610239276424,0.5911307686649017,0.9155901509253094,LUAD,FAT3
ABCF3,0.06022144168139909,0.6493236668804404,0.9348011115378279,LUAD,FAT3
ABCG1,-0.09373000729485492,0.6031514631291324,0.9196876234494917,LUAD,FAT3
ABCG2,-0.5172019403065555,0.09528809718518062,0.8311324163649177,LUAD,FAT3
ABHD10,0.11989605480746518,0.4688388730185392,0.8796244273166784,LUAD,FAT3
ABHD11,0.21579676170746342,0.1414851130145684,0.8311324163649177,LUAD,FAT3
ABHD12,0.3012573283870237,0.11914844954822174,0.8311324163649177,LUAD,FAT3
ABHD13,0.19675056182497716,0.390127839199107,0.8521229984649581,LUAD,FAT3
ABHD14B,0.11528082595410738,0.4377992609957613,0.8724547029240519,LUAD,FAT3
ABHD15,0.15193780823025305,0.5518865261005239,0.9026324124495183,LUAD,FAT3
ABHD16A,0.03535846467100895,0.7902872349226459,0.9651666803398681,LUAD,FAT3
ABHD17A,0.16653755995528147,0.37677128931133197,0.8493310539499379,LUAD,FAT3
ABHD17B,-0.35285941871342297,0.0997434218148503,0.8311324163649177,LUAD,FAT3
ABHD17C,0.0707046068350109,0.38562620916656465,0.8519627569221128,LUAD,FAT3
ABHD2,0.15705409889315922,0.47218630609180834,0.8811422845474993,LUAD,FAT3
ABHD3,0.3461673572886388,0.10496263834511364,0.8311324163649177,LUAD,FAT3
ABHD4,0.17947423393206519,0.2563737456743733,0.8311324163649177,LUAD,FAT3
ABHD5,-0.03628971390842406,0.896986755313814,0.9852091919502474,LUAD,FAT3
ABHD6,-0.10418222772581387,0.6211879129345793,0.9282676587492142,LUAD,FAT3
ABI1,0.03799928107661482,0.8146394782009034,0.9729195181873174,LUAD,FAT3
ABI2,-0.035041160115575454,0.8935473316925515,0.983769668437511,LUAD,FAT3
ABI3,0.17127332860855193,0.11681865374881839,0.8311324163649177,LUAD,FAT3
ABI3BP,0.23541727348956265,0.05674241952521389,0.8311324163649177,LUAD,FAT3
ABL1,0.12444254068633936,0.5195559565802971,0.8934597968550054,LUAD,FAT3
ABL2,0.01763814062369179,0.8621019410640267,0.9793709281974844,LUAD,FAT3
ABLIM1,0.06093531196782176,0.6135431536394758,0.9256515457129897,LUAD,FAT3
ABLIM2,-0.19931833032219223,0.2572827657253467,0.8311324163649177,LUAD,FAT3
ABLIM3,-0.02770055446018921,0.8488715437708902,0.9787617883008852,LUAD,FAT3
ABO,0.19844902145272325,0.3719126931632466,0.84802708062048,LUAD,FAT3
ABR,-0.07888735485332377,0.5815268196607886,0.9108805030422898,LUAD,FAT3
ABRACL,0.13855125738896112,0.3822566568315884,0.8493310539499379,LUAD,FAT3
ABT1,-0.056627007923960415,0.8189125168863199,0.9745279682083834,LUAD,FAT3
ABTB1,-0.05994734884441272,0.8316097551668218,0.9755796523417036,LUAD,FAT3
ABTB2,0.22445887445887444,0.3798658423147876,0.8493310539499379,LUAD,FAT3
ACAA1,-0.03990020846151243,0.8705481042167441,0.9814373992936245,LUAD,FAT3
ACAA2,-0.025413543854366005,0.9400741456328595,0.9895743730458845,LUAD,FAT3
ACACA,0.16275684941879132,0.19571183966812478,0.8311324163649177,LUAD,FAT3
ACAD10,0.11771244426099142,0.45651926567755496,0.8788146036081461,LUAD,FAT3
