Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.06318726819374665,0.7329467224918025,0.9921035930483246,LUAD,LRP1B
A2M,-0.176304110466584,0.3734000255434583,0.9791519575199543,LUAD,LRP1B
AAAS,-0.04370443183219444,0.8276536250252928,0.9956161460790202,LUAD,LRP1B
AACS,0.19500132706813955,0.0363989123681046,0.9763984026858367,LUAD,LRP1B
AADAC,-0.22696229133659124,0.10891610702590598,0.9763984026858367,LUAD,LRP1B
AAED1,0.20079459140594505,0.608712978388754,0.9898863801904177,LUAD,LRP1B
AAGAB,0.14187701602447078,0.2102883930248194,0.9763984026858367,LUAD,LRP1B
AAMDC,-0.34280386768013005,0.018652005525801117,0.9763984026858367,LUAD,LRP1B
AAMP,-0.2183715779121801,0.32368021970130834,0.9763984026858367,LUAD,LRP1B
AAR2,0.31364341482786073,0.05291372964508451,0.9763984026858367,LUAD,LRP1B
AARS,-0.045298959539906924,0.15133059503773497,0.9763984026858367,LUAD,LRP1B
AARS2,0.06074360684196245,0.68634451140455,0.9906407809456396,LUAD,LRP1B
AARSD1,-0.09610440137370413,0.2649331841965319,0.9763984026858367,LUAD,LRP1B
AASDHPPT,-0.03706038877814699,0.7894059138392954,0.9956161460790202,LUAD,LRP1B
AASS,-0.07054106399465865,0.5498276357767031,0.9851350907174339,LUAD,LRP1B
AATF,0.1752092648503314,0.27243739322160154,0.9763984026858367,LUAD,LRP1B
AATK,0.10883433063443981,0.3999437904365797,0.9844106469110818,LUAD,LRP1B
ABAT,-0.04574901388609731,0.4070993538842206,0.9844106469110818,LUAD,LRP1B
ABCA1,-0.31570747454586295,0.040744834331948435,0.9763984026858367,LUAD,LRP1B
ABCA12,-0.01945250637159486,0.8628309885556196,0.9962886041882733,LUAD,LRP1B
ABCA13,-0.10923969349580182,0.6112812152631131,0.9900494516395775,LUAD,LRP1B
ABCA2,-0.34195470835566033,0.1473960430529061,0.9763984026858367,LUAD,LRP1B
ABCA3,0.0009802640394896978,0.9940276890063284,0.9997001463692001,LUAD,LRP1B
ABCA6,0.07553817832339499,0.6541957357576353,0.9906407809456396,LUAD,LRP1B
ABCA7,-0.13849504208481106,0.5752378880743556,0.988548949543431,LUAD,LRP1B
