Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.06228604002797955,0.7426973357955482,0.9578498629693101,LUAD,TP53
A2M,-0.03838920862019041,0.8083320355513036,0.9682074494827133,LUAD,TP53
AAAS,0.21399927367493532,0.23186740532521255,0.8055950581241521,LUAD,TP53
AACS,-0.03801795985098244,0.6572368053390192,0.9460487374222456,LUAD,TP53
AADAC,-0.36819497117591193,0.0028902998900856244,0.37084770897406316,LUAD,TP53
AADAT,0.019597584067386098,0.9429423480188717,0.9919234574481561,LUAD,TP53
AAED1,0.1582800092329802,0.6098971113399885,0.9328825141816605,LUAD,TP53
AAGAB,-0.0457964961314975,0.6592274918558638,0.9460487374222456,LUAD,TP53
AAMDC,0.058240182294661436,0.6568870368997503,0.9460487374222456,LUAD,TP53
AAMP,-0.04794521467291374,0.801111947990265,0.9673458730478597,LUAD,TP53
AAR2,0.08452675278452293,0.5963443761875917,0.9288796616171935,LUAD,TP53
AARS,-0.04676329967826143,0.11307045415148723,0.7228536355615616,LUAD,TP53
AARS2,0.14582367989791778,0.2804803158228987,0.8245254533578773,LUAD,TP53
AARSD1,0.02413482431946634,0.7621986182411511,0.9610935878839888,LUAD,TP53
AASDHPPT,-0.0397408678299741,0.6934445875549113,0.9547507729515015,LUAD,TP53
AASS,0.009309082538783375,0.9331983671072088,0.9902764036924754,LUAD,TP53
AATF,-0.15774701774563663,0.281669821586532,0.8246975426378318,LUAD,TP53
AATK,-0.1263143440617408,0.229465523388938,0.8035442175502221,LUAD,TP53
ABAT,0.010867405473726222,0.8428240948742702,0.9732564155754562,LUAD,TP53
ABCA1,-0.09102706189398047,0.5113680430840246,0.9063889271235744,LUAD,TP53
ABCA12,0.03232718906783265,0.8714928896831925,0.9805818684026263,LUAD,TP53
ABCA13,0.14443688708049704,0.4509687539567713,0.8877449428794978,LUAD,TP53
ABCA2,0.17902624443970994,0.4197334020882342,0.8792250655690452,LUAD,TP53
ABCA3,-0.2524406827216331,0.018631881184757105,0.5468265891409064,LUAD,TP53
ABCA6,-0.08426146967780543,0.6054176622158702,0.930872080916544,LUAD,TP53
ABCA7,-0.025243565184765976,0.916834861696596,0.9863036338281724,LUAD,TP53
ABCA8,-0.22950567549921613,0.12090033468940704,0.726975811701208,LUAD,TP53
ABCB1,0.24782156257063587,0.3625017403792441,0.8652234344413645,LUAD,TP53
ABCB10,-0.062297418708634145,0.6181239188371848,0.9347119548728443,LUAD,TP53
ABCB5,-0.04177437522025412,0.8766576562168992,0.9816054848309159,LUAD,TP53
ABCB6,-0.0341081129038594,0.7464934941362414,0.9585595580024787,LUAD,TP53
ABCB7,-0.192813669444731,0.0768195202486293,0.6984382468798352,LUAD,TP53
ABCB8,0.11817932728543717,0.3714957991486645,0.8694739917295743,LUAD,TP53
ABCC1,0.0342765302299361,0.8761356621773594,0.9814602313712797,LUAD,TP53
ABCC10,0.4566139176338061,0.05549027305612973,0.6547639963376416,LUAD,TP53
ABCC2,-0.17610732307271237,0.4425993922419056,0.8864079302467476,LUAD,TP53
ABCC3,-0.056035471478118826,0.3590697038640971,0.862801823834786,LUAD,TP53
ABCC4,-0.13596477519829953,0.0038885368146583856,0.4012007880525889,LUAD,TP53
ABCC5,0.17727941329369412,0.2936539411130018,0.8325463576937456,LUAD,TP53
ABCC6,0.0055664116896572136,0.9653132593929717,0.9926042622125016,LUAD,TP53
ABCC8,0.10061915522812279,0.6745311037908481,0.9468605248328582,LUAD,TP53
ABCD1,0.0025372524552185194,0.9706646622314288,0.9926042622125016,LUAD,TP53
ABCD3,0.007331943479222058,0.9598860147234815,0.9926042622125016,LUAD,TP53
ABCD4,0.0679651806909003,0.7255705026243385,0.9555420504451723,LUAD,TP53
ABCE1,0.09331502359553456,0.4130917078695987,0.8774868519995588,LUAD,TP53
ABCF1,0.026865473171572618,0.6827798954755424,0.948926585514717,LUAD,TP53
ABCF2,0.025292591381212093,0.7393541171522445,0.9566343468344246,LUAD,TP53
ABCF3,0.18318391614619367,0.15775089722331348,0.7567995174052217,LUAD,TP53
ABCG1,-0.09070155142037162,0.617001933991546,0.9343130311394496,LUAD,TP53
ABHD10,0.13070701955642572,0.292167522312905,0.8318670165882086,LUAD,TP53
ABHD11,0.17872970858072257,0.020478716679747596,0.5540460449578515,LUAD,TP53
ABHD12,-0.0006423269132545539,0.9887790685401001,0.9971484197853004,LUAD,TP53
ABHD13,-0.18146491042042967,0.39228307725259437,0.874998021218684,LUAD,TP53
ABHD14B,0.010742034470454631,0.8999125576533366,0.985023647261363,LUAD,TP53
ABHD16A,0.2276369644920797,0.22755018138099325,0.8035442175502221,LUAD,TP53
ABHD17A,-0.0801840486574556,0.6955763361870648,0.9548351754344726,LUAD,TP53
ABHD17B,0.06620683977340386,0.686451980115138,0.9517887804090193,LUAD,TP53
ABHD17C,-0.06266564380116091,0.28946409091410896,0.8298209476088327,LUAD,TP53
ABHD3,0.004222499442899208,0.9911601898187562,0.9977766738910904,LUAD,TP53
ABHD4,0.060793826670022755,0.5338319856193869,0.9139978141075534,LUAD,TP53
ABHD5,0.03568381808870019,0.7893791041506788,0.9643684172778313,LUAD,TP53
ABHD6,-0.1647062529107749,0.2157049656637452,0.7985348456375608,LUAD,TP53
ABI1,-0.07956606231916996,0.7228277646495231,0.9555420504451723,LUAD,TP53
ABI2,0.3617078804643233,0.014645445029569508,0.5117755251303829,LUAD,TP53
ABI3,-0.03567338201993031,0.6233072252194498,0.9364433136125608,LUAD,TP53
ABI3BP,-0.12267471543408165,0.36925944574949887,0.8688357841896144,LUAD,TP53
ABL2,-0.042940112418316856,0.7467699319410153,0.9585595580024787,LUAD,TP53
ABLIM1,0.03945950997504577,0.5839090640148303,0.9265598475632805,LUAD,TP53
ABLIM2,-0.04358683248924211,0.7009461075383241,0.9550924607560218,LUAD,TP53
ABLIM3,-0.035287026410767974,0.7656592843490483,0.9614632771606806,LUAD,TP53
ABO,-0.01789910300322972,0.9111251156701328,0.9856557459593888,LUAD,TP53
ABR,-0.23948637649126642,0.11834833848993909,0.726975811701208,LUAD,TP53
ABRACL,-0.050475981740725984,0.6350556054999975,0.940037518747337,LUAD,TP53
ABT1,-0.01678924972494783,0.915036188026375,0.9861815819263364,LUAD,TP53
ABTB1,-0.06974807326976429,0.6819684006760436,0.9486139893759882,LUAD,TP53
ABTB2,0.2654480841310055,0.2728585925289413,0.8205878180910425,LUAD,TP53
ACAA1,0.12602514459128833,0.42277542602984264,0.8793518581610726,LUAD,TP53
ACAA2,0.20286327924988046,0.03767895637382766,0.6222629144967494,LUAD,TP53
ACACA,-0.07414851068212358,0.4523876015318393,0.8883382845197868,LUAD,TP53
ACAD10,-0.019329376013286437,0.8521273033136046,0.9760580942281831,LUAD,TP53
ACAD11,0.24717893527806914,0.16851372720222113,0.7659658919270562,LUAD,TP53
ACAD8,0.048383715179078246,0.4581997761487827,0.890934882432556,LUAD,TP53
ACAD9,0.14850780818967357,0.33222057059985277,0.8475277345343393,LUAD,TP53
ACADL,0.003346661787664851,0.9910655754320955,0.9977766738910904,LUAD,TP53
ACADM,-0.12301124892745108,0.4137726814354534,0.8774868519995588,LUAD,TP53
ACADS,-0.04168672168075327,0.7534048179937693,0.9590204642798132,LUAD,TP53
ACADSB,-0.10629719234718327,0.07575013955384238,0.6984313964400529,LUAD,TP53
