Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.028488102375529463,0.9025946520171677,0.9962638140907838,CCRCC,PBRM1
A1CF,-0.04284898360257727,0.1971030873792018,0.8568070861348042,CCRCC,PBRM1
A2M,-0.06347880916827728,0.7470259784689,0.9809480950629001,CCRCC,PBRM1
AAAS,-0.1325475113929141,0.44160268043597073,0.9311922034968735,CCRCC,PBRM1
AACS,-0.2827375355331327,0.0008715007599219907,0.31212105585991623,CCRCC,PBRM1
AADAT,-0.1382767279307281,0.4823207619697959,0.941520393574848,CCRCC,PBRM1
AAGAB,-0.16848089528913268,0.25029346369979977,0.8770405901721819,CCRCC,PBRM1
AAK1,-0.01968841138624744,0.8848982754449544,0.9948813037435171,CCRCC,PBRM1
AAMDC,-0.03417407333332867,0.7789189782644277,0.9855196958242524,CCRCC,PBRM1
AAMP,0.23621780586622854,0.06951824126743743,0.7906092821245496,CCRCC,PBRM1
AAR2,0.04333201376908652,0.8005360775611744,0.9871006465921093,CCRCC,PBRM1
AARS2,0.02550779304487083,0.8636877480448455,0.9927962466767745,CCRCC,PBRM1
AARSD1,-0.1491243334337159,0.42431910863392386,0.9241698650194062,CCRCC,PBRM1
AASDHPPT,0.12930640825251194,0.36761782003254984,0.9148463803730488,CCRCC,PBRM1
AASS,-0.10335318573348978,0.535591845915516,0.9571283601292465,CCRCC,PBRM1
AATF,-0.19096056010756743,0.31452527159882615,0.9087351556975622,CCRCC,PBRM1
ABAT,0.04663038860018953,0.7923679472055549,0.9862519037561353,CCRCC,PBRM1
ABCA1,0.18967178456313036,0.35210986281676504,0.9129340573518576,CCRCC,PBRM1
ABCA2,0.18404279635444962,0.3735821060539529,0.9148463803730488,CCRCC,PBRM1
ABCA3,0.22894847088395476,0.4949080871601411,0.9460070269917669,CCRCC,PBRM1
ABCA8,0.07115036994915497,0.7245391554252286,0.9789264828904546,CCRCC,PBRM1
ABCB1,0.08956461957399042,0.2108471820726795,0.8588280689103911,CCRCC,PBRM1
ABCB10,0.0530300073042933,0.7538808164792072,0.980971518387184,CCRCC,PBRM1
ABCB6,-0.043575432805974534,0.8109209720179595,0.987443853766767,CCRCC,PBRM1
ABCB7,-0.1487733869609142,0.4202441696861414,0.9241698650194062,CCRCC,PBRM1
ABCB8,-0.12065069060129652,0.44286076315715095,0.9311922034968735,CCRCC,PBRM1
ABCC1,0.34360614864891237,0.032214992312037526,0.6997444656113072,CCRCC,PBRM1
ABCC2,-0.3536317752907614,0.0015851869712589302,0.39042360112649926,CCRCC,PBRM1
