Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.3223334914641834,0.2234680124091324,0.9334762664330556,HNSCC,KMT2D
A2M,-0.023142558210565323,0.9600939956427508,0.9951903325878707,HNSCC,KMT2D
A2ML1,-0.011288376516052412,0.9098200904262101,0.9948195421073901,HNSCC,KMT2D
AAAS,-0.318760600723936,0.19552360457664153,0.9325522826226474,HNSCC,KMT2D
AACS,0.06429383744581851,0.612169334917023,0.9731163513183515,HNSCC,KMT2D
AADAC,0.48338639723021926,0.045062674056216244,0.9303822834008844,HNSCC,KMT2D
AAGAB,-0.17277030086018852,0.442583668966407,0.9570045316343976,HNSCC,KMT2D
AAK1,0.13739404691504042,0.4079044599289723,0.9570045316343976,HNSCC,KMT2D
AAMDC,0.015343458040087188,0.8471831786983318,0.994158888056842,HNSCC,KMT2D
AAMP,0.18035278342788696,0.22830052710162374,0.9334762664330556,HNSCC,KMT2D
AAR2,-0.582560550035417,0.010756914461315183,0.7211401305930901,HNSCC,KMT2D
AARS2,0.10632545061876819,0.526197393887855,0.9618415695604615,HNSCC,KMT2D
AARSD1,-0.03998903909389842,0.8816530330460332,0.9948195421073901,HNSCC,KMT2D
AASDH,0.03524621266019712,0.8609835051307467,0.9943369583491171,HNSCC,KMT2D
AASDHPPT,0.05301672504511068,0.511728894327397,0.9609705977936934,HNSCC,KMT2D
AASS,-0.03545510275255992,0.8960826755488549,0.9948195421073901,HNSCC,KMT2D
AATF,-0.3900290917440533,0.12969917533389946,0.9303822834008844,HNSCC,KMT2D
ABAT,-0.1515474078454564,0.18241275330982543,0.9303822834008844,HNSCC,KMT2D
ABCA1,-0.030504615196527904,0.9144496057504041,0.9948195421073901,HNSCC,KMT2D
ABCA12,-0.08305898713941295,0.42682300475353674,0.9570045316343976,HNSCC,KMT2D
ABCA6,-0.12597477149715952,0.6741900611230665,0.9799548575950723,HNSCC,KMT2D
ABCA8,-0.24623226172605234,0.16034422821377736,0.9303822834008844,HNSCC,KMT2D
ABCB1,-0.011913653941517735,0.9799106504314683,0.996740621429314,HNSCC,KMT2D
ABCB10,0.2695005474438963,0.2626251395490543,0.9341776242884359,HNSCC,KMT2D
ABCB6,0.08348182470003873,0.3758086458677361,0.95457349469875,HNSCC,KMT2D
ABCB7,-0.20706866561390508,0.3725365915251344,0.95457349469875,HNSCC,KMT2D
ABCB8,0.05529564039349755,0.7869930914606915,0.989246637319127,HNSCC,KMT2D
ABCC1,0.1481027547260545,0.21192736248733546,0.9325522826226474,HNSCC,KMT2D
ABCC10,0.09308623310955091,0.6922178045963543,0.9808229140558461,HNSCC,KMT2D
ABCC3,0.2355109957743402,0.3162423214410397,0.9394011321770092,HNSCC,KMT2D
ABCC4,-0.20255868712403308,0.3310990717009815,0.9499796656196506,HNSCC,KMT2D
ABCC5,0.2849868838041517,0.034124089103100455,0.9303822834008844,HNSCC,KMT2D
ABCD1,0.054490157979217635,0.5866918583241507,0.9654934576186605,HNSCC,KMT2D
ABCD3,0.09956134935437128,0.608902156750428,0.9731163513183515,HNSCC,KMT2D
ABCD4,0.4716249905567727,0.12911537276608226,0.9303822834008844,HNSCC,KMT2D
ABCE1,0.08441717950884131,0.6267992580354016,0.9731730192053278,HNSCC,KMT2D
ABCF1,0.25906902086677375,0.14449026028431172,0.9303822834008844,HNSCC,KMT2D
ABCF3,0.2439716404234441,0.10551491319591286,0.9303822834008844,HNSCC,KMT2D
ABCG1,-0.32450223156835434,0.14817382709968976,0.9303822834008844,HNSCC,KMT2D
ABHD10,-0.028012121921051514,0.9758802846994468,0.996740621429314,HNSCC,KMT2D
ABHD11,0.2318033632049007,0.11579034027761038,0.9303822834008844,HNSCC,KMT2D
ABHD12,0.03939017812465473,0.7512888432777084,0.986011787797946,HNSCC,KMT2D
ABHD14B,-0.02069044694709976,0.9993468598745946,0.9995515606689462,HNSCC,KMT2D
ABHD16A,0.22448385440697677,0.19989175826672623,0.9325522826226474,HNSCC,KMT2D
ABHD17B,0.08909482002326469,0.6228078516026534,0.9731730192053278,HNSCC,KMT2D
ABHD17C,0.10516647696511133,0.6926106673490057,0.9808229140558461,HNSCC,KMT2D
ABHD3,0.10387562138061801,0.6447833597740282,0.9756324601621804,HNSCC,KMT2D
ABHD4,-0.14329471041475772,0.5605552199956261,0.9651329616080456,HNSCC,KMT2D
ABHD5,-0.2977681888385614,0.25198929260755665,0.9341776242884359,HNSCC,KMT2D
ABHD6,0.04514960694735981,0.6669556053107042,0.9793974158480193,HNSCC,KMT2D
ABI1,-0.2001544659950613,0.38956157485967213,0.9558195441766666,HNSCC,KMT2D
ABI2,-0.05493232881726762,0.7187666315968539,0.9845016599803186,HNSCC,KMT2D
ABI3,0.02182855583210408,0.7019832034065256,0.9823642168382873,HNSCC,KMT2D
ABI3BP,-0.19675550154556665,0.125951305222173,0.9303822834008844,HNSCC,KMT2D
ABL1,0.18454779992331738,0.42953931552404034,0.9570045316343976,HNSCC,KMT2D
ABL2,-0.024292502836218755,0.9666227449254667,0.995475413329189,HNSCC,KMT2D
ABLIM1,0.09756840208698647,0.4075337328643498,0.9570045316343976,HNSCC,KMT2D
ABLIM2,0.01901651815276384,0.7814083939263097,0.9888463570895002,HNSCC,KMT2D
ABLIM3,-0.030267405475113973,0.893804522193508,0.9948195421073901,HNSCC,KMT2D
ABO,0.7192381879168535,0.010368300346140797,0.717173801671343,HNSCC,KMT2D
ABRACL,-0.151830279925165,0.48128959971830865,0.9584081109612109,HNSCC,KMT2D
ABT1,-0.07818162519522659,0.762538282019433,0.9874200515853031,HNSCC,KMT2D
ABTB2,-0.16856063164228222,0.5804958503714905,0.9654934576186605,HNSCC,KMT2D
ACAA1,-0.16979874058525746,0.45548024841200707,0.9570045316343976,HNSCC,KMT2D
ACAA2,-0.02589923382353898,0.9740745350303872,0.996740621429314,HNSCC,KMT2D
ACACA,0.08562720543796831,0.48609969656875296,0.9587465804539543,HNSCC,KMT2D
ACACB,-0.08634417426931837,0.7929706847567268,0.98972105820515,HNSCC,KMT2D
ACAD10,0.3046488303732538,0.15844782307269056,0.9303822834008844,HNSCC,KMT2D
ACAD11,-0.22614199525964232,0.4734994434629638,0.9570045316343976,HNSCC,KMT2D
ACAD8,-0.04743795530312389,0.8326009400906974,0.994158888056842,HNSCC,KMT2D
ACAD9,0.14482792980723191,0.3871548868604251,0.9546010651473555,HNSCC,KMT2D
ACADM,-0.015106045147440739,0.96320941942204,0.9951903325878707,HNSCC,KMT2D
ACADS,-0.1939607012345037,0.39740005198868866,0.9558195441766666,HNSCC,KMT2D
ACADSB,-0.0584928180433798,0.705918078705636,0.98279474773987,HNSCC,KMT2D
ACADVL,0.10060024737730244,0.4755541808020024,0.9570545302711017,HNSCC,KMT2D
ACAN,0.11551566309959879,0.6113426737243383,0.9731163513183515,HNSCC,KMT2D
ACAP1,-0.17828321885093035,0.16085527958639423,0.9303822834008844,HNSCC,KMT2D
ACAP2,0.02894877643547067,0.5405396919829879,0.9618415695604615,HNSCC,KMT2D
ACAT1,0.037061972129979304,0.6955773031577004,0.9810951050144551,HNSCC,KMT2D
ACAT2,-0.04264377451840484,0.8935201957362864,0.9948195421073901,HNSCC,KMT2D
ACBD3,-0.040042630344227004,0.8938495304848314,0.9948195421073901,HNSCC,KMT2D
ACBD5,0.14864429873300367,0.33460554098740003,0.95059791487642,HNSCC,KMT2D
ACE,0.035651791535883826,0.7317860686159934,0.9853662434454241,HNSCC,KMT2D
ACIN1,-0.16689695540376406,0.43220400024968664,0.9570045316343976,HNSCC,KMT2D
ACLY,0.05808082203789805,0.6833702472398322,0.980610075789851,HNSCC,KMT2D
ACO1,-0.5019978641504367,0.004568389372748678,0.6029560161188763,HNSCC,KMT2D
ACO2,0.06871228468298773,0.6857025501365026,0.980610075789851,HNSCC,KMT2D
ACOT11,0.16105475443145456,0.260939773435384,0.9341776242884359,HNSCC,KMT2D
ACOT13,0.014588329076797468,0.9023954053015016,0.9948195421073901,HNSCC,KMT2D
ACOT7,-0.11651156156268283,0.36820429156306933,0.95457349469875,HNSCC,KMT2D
ACOT8,-0.14739658134099293,0.5233334638656038,0.9618415695604615,HNSCC,KMT2D
ACOT9,-0.19619616401925238,0.30235827033664064,0.9353946429469638,HNSCC,KMT2D
ACOX1,0.14093823896964036,0.40971080219888956,0.9570045316343976,HNSCC,KMT2D
ACOX3,-0.06510961933788667,0.8237887017789922,0.994158888056842,HNSCC,KMT2D
ACP1,0.14085573184396138,0.459350121413436,0.9570045316343976,HNSCC,KMT2D
ACP2,0.17555513676152346,0.14314847749524143,0.9303822834008844,HNSCC,KMT2D
ACP5,0.042698795389510935,0.6362460002492445,0.9755618014349915,HNSCC,KMT2D
ACP6,0.03974196511156891,0.8170064198639738,0.9931836790803773,HNSCC,KMT2D
ACSF2,-0.18097187653663116,0.17970237893501984,0.9303822834008844,HNSCC,KMT2D
ACSF3,-0.15898302367847011,0.4647541165786805,0.9570045316343976,HNSCC,KMT2D
ACSL1,-0.0058244280705801454,0.9406085384249432,0.9948195421073901,HNSCC,KMT2D
ACSL3,-0.0756562971820216,0.7217736135177795,0.9845686655767942,HNSCC,KMT2D
ACSL4,0.0993572955725528,0.27201361969603843,0.9341776242884359,HNSCC,KMT2D
ACSL5,-0.010889366891732366,0.8825113647716271,0.9948195421073901,HNSCC,KMT2D
ACSS1,0.03540181482227611,0.537512927738871,0.9618415695604615,HNSCC,KMT2D
ACSS2,0.017067734158213166,0.7869692516877231,0.989246637319127,HNSCC,KMT2D
ACSS3,0.022701524771305936,0.7406843107658736,0.986011787797946,HNSCC,KMT2D
ACTA1,-0.4270148144778541,0.015847181507164642,0.8173761662442622,HNSCC,KMT2D
ACTA2,0.14616922600364346,0.42573656650369684,0.9570045316343976,HNSCC,KMT2D
ACTB,0.18206796160669608,0.44580965393227034,0.9570045316343976,HNSCC,KMT2D
ACTBL2,-0.03976116952438841,0.884336627563557,0.9948195421073901,HNSCC,KMT2D
ACTG1,0.12355478150865495,0.6300433557010042,0.9738631313865459,HNSCC,KMT2D
ACTL6A,-0.06556754895016281,0.8076052274357703,0.9918350328801907,HNSCC,KMT2D
ACTN1,0.22894072565339008,0.09914357272947223,0.9303822834008844,HNSCC,KMT2D
ACTN2,-0.19087390039489394,0.2673679466621889,0.9341776242884359,HNSCC,KMT2D
ACTN3,-0.22497397260812832,0.3921235522009425,0.9558195441766666,HNSCC,KMT2D
ACTN4,0.0021115883918958467,0.9416973134062924,0.9948195421073901,HNSCC,KMT2D
ACTR10,0.07092060315005316,0.713874157936254,0.9831230035776624,HNSCC,KMT2D
ACTR1A,-0.23447469148237932,0.26684161395095174,0.9341776242884359,HNSCC,KMT2D
ACTR1B,-0.4651772040299539,0.04711440998091445,0.9303822834008844,HNSCC,KMT2D
ACTR2,-0.017962798092898608,0.9574591744238848,0.9951903325878707,HNSCC,KMT2D
ACTR3,0.2169940841732681,0.35964321941464306,0.95457349469875,HNSCC,KMT2D
ACTR3B,0.09882406852075229,0.6927268246824134,0.9808229140558461,HNSCC,KMT2D
ACTR5,-0.10797131116468789,0.6493794118944722,0.9756324601621804,HNSCC,KMT2D
ACTR6,0.05659698078385242,0.7927783123035463,0.98972105820515,HNSCC,KMT2D
ACTR8,0.08699059662986333,0.7031368100466473,0.982377773273907,HNSCC,KMT2D
ACVR1,0.27959425105086966,0.15795980345497596,0.9303822834008844,HNSCC,KMT2D
ACY1,0.27289268980575904,0.27204779015354297,0.9341776242884359,HNSCC,KMT2D
ACYP1,-0.29857184014487387,0.213092914273179,0.9325522826226474,HNSCC,KMT2D
ACYP2,-0.3952959321380374,0.10663002053256265,0.9303822834008844,HNSCC,KMT2D
ADA,0.02840376654687704,0.7115405953735441,0.9831230035776624,HNSCC,KMT2D
ADAL,-0.08314606741573033,0.7256932716066833,0.9853662434454241,HNSCC,KMT2D
ADAM15,-0.2717649785656882,0.1014606149253728,0.9303822834008844,HNSCC,KMT2D
ADAM17,-0.14667437825332563,0.474666598362536,0.9570045316343976,HNSCC,KMT2D
ADAM28,0.14651120244904936,0.4281510274702478,0.9570045316343976,HNSCC,KMT2D
ADAM8,0.22517963707222022,0.2759894346736811,0.9341776242884359,HNSCC,KMT2D
ADAM9,0.03244411807392289,0.6256192324182835,0.9731730192053278,HNSCC,KMT2D
ADAMTS2,0.02853967574763472,0.795450606534273,0.98972105820515,HNSCC,KMT2D
ADAMTS4,-0.02667429160628454,0.9542305963687557,0.9951903325878707,HNSCC,KMT2D
ADAMTS7,0.12062831621941444,0.556382800116138,0.9644192268025856,HNSCC,KMT2D
ADAMTSL1,0.13263546798029552,0.560962002774739,0.9651329616080456,HNSCC,KMT2D
ADAMTSL2,-0.22035782054757388,0.46141148002985843,0.9570045316343976,HNSCC,KMT2D
ADAMTSL4,-0.25384420428772886,0.2111195831708471,0.9325522826226474,HNSCC,KMT2D
ADAMTSL5,-0.02487477484146372,0.9563660323520551,0.9951903325878707,HNSCC,KMT2D
ADAP1,0.10590693205488844,0.5496245257845672,0.9634043575818774,HNSCC,KMT2D
ADAP2,-0.10012368865118715,0.6411909296785554,0.9756324601621804,HNSCC,KMT2D
ADAR,-0.19462574531085033,0.2821898168195761,0.9341776242884359,HNSCC,KMT2D
ADARB1,0.11214206648860703,0.5735056094614124,0.9654934576186605,HNSCC,KMT2D
ADAT1,0.2099397513710221,0.4164728796582756,0.9570045316343976,HNSCC,KMT2D
ADAT2,-0.06942408764527352,0.8266593005072785,0.994158888056842,HNSCC,KMT2D
ADAT3,0.23863028357410376,0.3388617498773253,0.95059791487642,HNSCC,KMT2D
ADCK1,0.5278367826707526,0.048526250109345186,0.9303822834008844,HNSCC,KMT2D
ADCK5,-0.19126241467067243,0.5226875863900474,0.9618415695604615,HNSCC,KMT2D
ADCY3,0.26898993458214177,0.34693739591915085,0.9509826095153145,HNSCC,KMT2D
ADD1,-0.6236226483745007,0.0014767151346167689,0.40238105619702735,HNSCC,KMT2D
ADD2,0.3585619190586665,0.08519432781761387,0.9303822834008844,HNSCC,KMT2D
ADD3,0.22229976073604096,0.10199929707274968,0.9303822834008844,HNSCC,KMT2D
ADH1B,-0.43921326284936923,0.01362968323576312,0.7675328952832737,HNSCC,KMT2D
ADH1C,-0.06716845673619642,0.7938917671221432,0.98972105820515,HNSCC,KMT2D
ADH4,0.21690557646784114,0.36595953546688587,0.95457349469875,HNSCC,KMT2D
ADH5,-0.08100761844108972,0.7402953758908888,0.986011787797946,HNSCC,KMT2D
ADH7,0.03332748465805824,0.7279442847251214,0.9853662434454241,HNSCC,KMT2D
ADI1,-0.2286021882710233,0.22035441959980162,0.9334762664330556,HNSCC,KMT2D
ADIPOQ,-0.8021749363988507,0.00010977321022192814,0.15454238445743784,HNSCC,KMT2D
ADIPOR1,-0.06347756720891048,0.8641312698920817,0.9943369583491171,HNSCC,KMT2D
ADIRF,-0.039224682276131184,0.8649427383477578,0.9943369583491171,HNSCC,KMT2D
ADK,0.12302796749869493,0.24219641654885404,0.9341776242884359,HNSCC,KMT2D
ADNP,0.03814765955511079,0.7349270454415574,0.986011787797946,HNSCC,KMT2D
