Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.2631051526650744,0.25195602224688585,0.9948595407796497,HNSCC,NOTCH1
A2M,-0.18607796559299797,0.4000225694609624,0.9948595407796497,HNSCC,NOTCH1
A2ML1,-0.02409182835176127,0.7811851247416444,0.9965404300112761,HNSCC,NOTCH1
AAAS,0.22658061189985354,0.27428195417272583,0.9948595407796497,HNSCC,NOTCH1
AACS,-0.22218270870068973,0.15483681949659817,0.9892536327173118,HNSCC,NOTCH1
AADAC,-0.25219077068170914,0.271660225732534,0.9948595407796497,HNSCC,NOTCH1
AAGAB,-0.10689887321054548,0.5854565001705987,0.9948595407796497,HNSCC,NOTCH1
AAK1,-0.2377442808198632,0.17397702663544268,0.9892536327173118,HNSCC,NOTCH1
AAMDC,-0.31631549761597283,0.05636718845910176,0.9550708661695949,HNSCC,NOTCH1
AAMP,-0.22002061672940315,0.1449035117708465,0.9892536327173118,HNSCC,NOTCH1
AAR2,-0.005592959365999406,0.9905270723225189,0.9997664703602681,HNSCC,NOTCH1
AARS2,0.0049987017368738895,0.9181730612078407,0.9977108737927384,HNSCC,NOTCH1
AARSD1,0.18795316915704105,0.4856176233626609,0.9948595407796497,HNSCC,NOTCH1
AASDH,-0.37522826387303726,0.14848583831098353,0.9892536327173118,HNSCC,NOTCH1
AASDHPPT,-0.006791768513170537,0.9503180076777233,0.9977108737927384,HNSCC,NOTCH1
AASS,-0.017602281983608803,0.9459991141173071,0.9977108737927384,HNSCC,NOTCH1
AATF,-0.07380873836435362,0.7576033893995185,0.9965404300112761,HNSCC,NOTCH1
ABAT,-0.17189539929110487,0.054684782423431035,0.9550708661695949,HNSCC,NOTCH1
ABCA1,-0.19102879185070964,0.43307153749660265,0.9948595407796497,HNSCC,NOTCH1
ABCA12,-0.09335077504137257,0.2040514264215596,0.9948595407796497,HNSCC,NOTCH1
ABCA6,0.3806829341995921,0.05290953571566695,0.9550708661695949,HNSCC,NOTCH1
