Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.26615541513357865,0.35418539619377454,0.9940551316052106,HNSCC,XIRP2
A2M,-0.19777435610302352,0.4972604513580732,0.9942311866200474,HNSCC,XIRP2
A2ML1,0.030983042713165876,0.41483262313166347,0.9940551316052106,HNSCC,XIRP2
AAAS,0.1119100943848984,0.646475393172262,0.9942311866200474,HNSCC,XIRP2
AACS,-0.03323268277075664,0.9939053126639321,0.9999891862253831,HNSCC,XIRP2
AADAC,-0.3535055591968293,0.2324613221368944,0.9940551316052106,HNSCC,XIRP2
AAGAB,0.1919952807550792,0.35083895507844276,0.9940551316052106,HNSCC,XIRP2
AAK1,-0.06094224924012159,0.8732606015154525,0.9952992592903973,HNSCC,XIRP2
AAMDC,0.151959686450168,0.3944160944670744,0.9940551316052106,HNSCC,XIRP2
AAMP,0.09981402975523923,0.5032075237955391,0.9942311866200474,HNSCC,XIRP2
AAR2,-0.39150535914253715,0.14377904889299015,0.9940551316052106,HNSCC,XIRP2
AARS2,-0.0665673492241241,0.8455134464114933,0.9942311866200474,HNSCC,XIRP2
AASDHPPT,-0.05747280435130386,0.8419738912361119,0.9942311866200474,HNSCC,XIRP2
AASS,-0.0750079987202047,0.7148033756242826,0.9942311866200474,HNSCC,XIRP2
AATF,-0.2316869300911854,0.4316458385078028,0.9940551316052106,HNSCC,XIRP2
ABAT,-0.48330667093265073,6.30219311895973e-05,0.0374350271266208,HNSCC,XIRP2
ABCA12,-0.04579067349224131,0.8622757832463812,0.9942311866200474,HNSCC,XIRP2
ABCA8,-0.07158254679251319,0.8090942252274491,0.9942311866200474,HNSCC,XIRP2
ABCB6,0.047650375939849665,0.5687442617693055,0.9942311866200474,HNSCC,XIRP2
ABCB7,-0.2650715885458327,0.3106090329636134,0.9940551316052106,HNSCC,XIRP2
ABCC1,-0.0020116781314990506,0.8537471863647916,0.9942311866200474,HNSCC,XIRP2
ABCC3,0.19249598715890848,0.4490023878417395,0.9940551316052106,HNSCC,XIRP2
ABCC4,-0.23171092625179973,0.36635282541783143,0.9940551316052106,HNSCC,XIRP2
ABCC5,0.05798672212445999,0.6030807494464493,0.9942311866200474,HNSCC,XIRP2
ABCD1,0.05206366981282995,0.621633769246733,0.9942311866200474,HNSCC,XIRP2
ABCD3,-0.30894656854903213,0.2650445173802659,0.9940551316052106,HNSCC,XIRP2
ABCE1,0.12759558470644694,0.5261511351853156,0.9942311866200474,HNSCC,XIRP2
ABCF1,0.11057630779075345,0.5313687179027828,0.9942311866200474,HNSCC,XIRP2
ABCF3,0.06227203647416413,0.6375987341084801,0.9942311866200474,HNSCC,XIRP2
