Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.1958565078546063,0.38031187203672745,0.9902734319458897,LSCC,SYNE1
A2M,0.013209432462188642,0.9052267127101322,0.9993591129012716,LSCC,SYNE1
A2ML1,-0.001487487604269977,0.8249673593673474,0.9990919695953587,LSCC,SYNE1
A4GALT,-0.30263271228248145,0.17108564621366684,0.9902734319458897,LSCC,SYNE1
AAAS,-0.025664260198764055,0.9264372361055081,0.9993591129012716,LSCC,SYNE1
AACS,0.0711581701271371,0.5756870226078641,0.9953255617198007,LSCC,SYNE1
AADAC,0.17849224071151393,0.21277252639160815,0.9902734319458897,LSCC,SYNE1
AAGAB,-0.14701677456883666,0.43552954660455423,0.9942761635628121,LSCC,SYNE1
AAK1,-0.01577719952566836,0.9555254234339179,0.9995153868293906,LSCC,SYNE1
AAMDC,0.21396524055772737,0.19148196487440206,0.9902734319458897,LSCC,SYNE1
AAMP,0.0526960279410259,0.6129745927155907,0.9953255617198007,LSCC,SYNE1
AAR2,-0.15269204050339213,0.3332116527319894,0.9902734319458897,LSCC,SYNE1
AARS2,0.2220256774666738,0.08281516871629423,0.9902734319458897,LSCC,SYNE1
AARSD1,-0.22708900939811516,0.2280492583922813,0.9902734319458897,LSCC,SYNE1
AASDH,0.16497633345519885,0.43729977996002356,0.9942761635628121,LSCC,SYNE1
AASDHPPT,0.11778044332148052,0.3439502631103185,0.9902734319458897,LSCC,SYNE1
AASS,0.03651090640678223,0.5549734419408022,0.9953255617198007,LSCC,SYNE1
AATF,-0.0654211040082825,0.6864475722477372,0.9982135887885326,LSCC,SYNE1
AATK,0.055129927610796825,0.7637003854985036,0.9990919695953587,LSCC,SYNE1
ABAT,0.010175155591652163,0.7044883935474415,0.9982135887885326,LSCC,SYNE1
ABCA1,-0.09288246461582517,0.3356652866267732,0.9902734319458897,LSCC,SYNE1
ABCA12,-0.10326837824525148,0.3063856311534521,0.9902734319458897,LSCC,SYNE1
ABCA13,-0.17813704221026877,0.5437168585297419,0.9953255617198007,LSCC,SYNE1
ABCA2,-0.007496508068590452,0.9951853979137758,0.9998469672594702,LSCC,SYNE1
ABCA3,0.030253331804985573,0.5731178452003725,0.9953255617198007,LSCC,SYNE1
ABCA6,-0.15580576018509873,0.18799033057946768,0.9902734319458897,LSCC,SYNE1
ABCA8,-0.18433959874343697,0.10552909386931855,0.9902734319458897,LSCC,SYNE1
ABCB1,0.08623048042198711,0.45652420280356476,0.9942761635628121,LSCC,SYNE1
ABCB10,0.23827943187886025,0.09160395095756554,0.9902734319458897,LSCC,SYNE1
ABCB6,-0.05705742807621128,0.5759819909595276,0.9953255617198007,LSCC,SYNE1
ABCB7,0.2354939874335546,0.19370010453000885,0.9902734319458897,LSCC,SYNE1
ABCB8,-0.4686420153957925,0.023973743141502735,0.9902734319458897,LSCC,SYNE1
ABCC1,0.025676191917514912,0.5122329936843291,0.9953255617198007,LSCC,SYNE1
ABCC10,0.011267519740365772,0.8931644106594558,0.9993591129012716,LSCC,SYNE1
ABCC2,0.2857243531662137,0.21033269425821366,0.9902734319458897,LSCC,SYNE1
ABCC3,-0.18994796546858617,0.11182067556923092,0.9902734319458897,LSCC,SYNE1
ABCC4,-0.09909287323538041,0.5296792772864216,0.9953255617198007,LSCC,SYNE1
ABCC5,-0.14785270874490963,0.00013310419876509286,0.16335352216676416,LSCC,SYNE1
ABCC6,0.29741476413303036,0.22079349838995044,0.9902734319458897,LSCC,SYNE1
ABCC9,-0.4588798545855851,0.06218948363136909,0.9902734319458897,LSCC,SYNE1
ABCD1,-0.010125593067610184,0.991012356914826,0.9998469672594702,LSCC,SYNE1
ABCD3,-0.15083278297855673,0.23910792455594576,0.9902734319458897,LSCC,SYNE1
ABCD4,-0.012513262564303795,0.9788061012969407,0.9998469672594702,LSCC,SYNE1
ABCE1,-0.02536800684003626,0.9171471119600644,0.9993591129012716,LSCC,SYNE1
ABCF1,0.09351270411907409,0.3065053026121035,0.9902734319458897,LSCC,SYNE1
ABCF3,-0.07360519227607842,0.3190536887925921,0.9902734319458897,LSCC,SYNE1
ABCG1,0.026313162133905332,0.6597640338110558,0.9976525453358499,LSCC,SYNE1
ABCG2,0.054545428595691614,0.7561164941347955,0.9990919695953587,LSCC,SYNE1
ABHD10,0.2618973513216061,0.0859469077108634,0.9902734319458897,LSCC,SYNE1
ABHD11,0.0264056074590987,0.6852523286449956,0.9982135887885326,LSCC,SYNE1
ABHD12,0.0005637482158511453,0.9376601752248853,0.9993591129012716,LSCC,SYNE1
ABHD13,-0.06336570974220107,0.7548115356611889,0.9990919695953587,LSCC,SYNE1
ABHD14B,-0.0703968346883822,0.6379006144147752,0.9976525453358499,LSCC,SYNE1
ABHD15,-0.0573022832618586,0.7952016565871916,0.9990919695953587,LSCC,SYNE1
ABHD16A,-0.16421583724564537,0.39468813455106677,0.9902734319458897,LSCC,SYNE1
ABHD17A,0.025866130602757803,0.9026677547270536,0.9993591129012716,LSCC,SYNE1
ABHD17B,0.08621916058624912,0.434677328236014,0.9942761635628121,LSCC,SYNE1
ABHD17C,-0.2094259864268031,0.25439274797727907,0.9902734319458897,LSCC,SYNE1
ABHD2,0.26424762846738303,0.2406026072866302,0.9902734319458897,LSCC,SYNE1
ABHD3,0.20073816546866774,0.10812475146031826,0.9902734319458897,LSCC,SYNE1
ABHD4,-0.0017520760170821603,0.930675173822328,0.9993591129012716,LSCC,SYNE1
ABHD5,-0.12088646347527521,0.5356150884682759,0.9953255617198007,LSCC,SYNE1
ABHD6,0.106499003242572,0.30991331714650383,0.9902734319458897,LSCC,SYNE1
