Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.357546274287342,0.15872894192873055,0.9010271601345637,LUAD,CTNNA2
A2M,-0.30991778297339,0.18477798176647264,0.9010271601345637,LUAD,CTNNA2
AAAS,-0.2789807853989246,0.24374800634352123,0.9010271601345637,LUAD,CTNNA2
AACS,0.18157501578993085,0.08373986264237324,0.9010271601345637,LUAD,CTNNA2
AADAC,-0.15316160252703603,0.4970951116781872,0.9224682032919733,LUAD,CTNNA2
AAGAB,0.20692783624239242,0.16440993858171682,0.9010271601345637,LUAD,CTNNA2
AAK1,-0.020222050072293496,0.9966526652616148,0.9995371780161657,LUAD,CTNNA2
AAMDC,0.13132671953823183,0.47445610595733556,0.9195593512316081,LUAD,CTNNA2
AAMP,-0.14386951424331612,0.5572427479716686,0.9319837313380462,LUAD,CTNNA2
AAR2,-0.34563868656653723,0.11628940628802453,0.9010271601345637,LUAD,CTNNA2
AARS2,0.24147688303812498,0.18735783425393926,0.9010271601345637,LUAD,CTNNA2
AARSD1,0.038200650238953915,0.8096260416441551,0.971866642050004,LUAD,CTNNA2
AASDHPPT,-0.016035065788279068,0.9926407877382681,0.9980749526346455,LUAD,CTNNA2
AASS,-0.060644272931387855,0.7733859998373704,0.9684255828743292,LUAD,CTNNA2
AATF,0.007861602541790524,0.9202381574691776,0.9904482156743406,LUAD,CTNNA2
AATK,-0.32614444379150265,0.16643286271423596,0.9010271601345637,LUAD,CTNNA2
ABAT,0.23523168373496028,0.13857591778004644,0.9010271601345637,LUAD,CTNNA2
ABCA1,-0.1284390272396269,0.5111392901964162,0.9253876477586336,LUAD,CTNNA2
ABCA2,-0.6732478048267522,0.007423481284795792,0.9010271601345637,LUAD,CTNNA2
ABCA3,-0.02072194604580091,0.9829676277601944,0.9978111610259576,LUAD,CTNNA2
ABCA6,-0.16111443482102583,0.3899271040779376,0.9086159592703336,LUAD,CTNNA2
ABCA8,0.10141368831125075,0.5542094017273205,0.9317378280677701,LUAD,CTNNA2
ABCB1,-0.1319955625359866,0.6446836406598686,0.9467075992671306,LUAD,CTNNA2
ABCB10,0.12802838550535212,0.45500124352277815,0.9179097782327195,LUAD,CTNNA2
ABCB6,0.3297157418664081,0.09560434696034044,0.9010271601345637,LUAD,CTNNA2
ABCB7,-0.20179094022228633,0.31992138269177484,0.9010271601345637,LUAD,CTNNA2
ABCB8,0.1824872985949751,0.287916510851115,0.9010271601345637,LUAD,CTNNA2
ABCC1,0.17050718767276218,0.31613437013708834,0.9010271601345637,LUAD,CTNNA2
ABCC10,0.1788850000888305,0.42021930697300935,0.9086159592703336,LUAD,CTNNA2
ABCC3,0.11508010039923855,0.388742159288366,0.9086159592703336,LUAD,CTNNA2
ABCC5,0.3396945250946693,0.14694902884429067,0.9010271601345637,LUAD,CTNNA2
ABCD1,-0.16638933561090463,0.306539631797936,0.9010271601345637,LUAD,CTNNA2
ABCD3,0.15707289358385157,0.3062407127637311,0.9010271601345637,LUAD,CTNNA2
ABCD4,-0.03877661344433575,0.8823858755961026,0.9832248239153434,LUAD,CTNNA2
ABCE1,0.18238611614957145,0.1901851518457024,0.9010271601345637,LUAD,CTNNA2
ABCF1,0.026199033855318077,0.6646192051172923,0.950450289907516,LUAD,CTNNA2
ABCF3,0.10782340480132035,0.47407313176330035,0.9195593512316081,LUAD,CTNNA2
ABCG1,-0.08302812696963946,0.6811027256447737,0.9534534246812277,LUAD,CTNNA2
ABCG2,-0.06380114413630147,0.8734959232739885,0.982761912095739,LUAD,CTNNA2
ABHD10,0.3471134343815981,0.07428544211194664,0.9010271601345637,LUAD,CTNNA2
ABHD11,0.23392703181460484,0.12641701157244273,0.9010271601345637,LUAD,CTNNA2
ABHD12,0.10919489182885572,0.5727170550260998,0.9356831675771344,LUAD,CTNNA2
ABHD13,-0.06535795286363821,0.8249253234201455,0.9749768383736299,LUAD,CTNNA2
ABHD14B,0.0387057310393395,0.754982409098417,0.9677039387321528,LUAD,CTNNA2
ABHD15,-0.1144110275689223,0.6712084522762123,0.9534534246812277,LUAD,CTNNA2
ABHD16A,-0.24835357018703547,0.24724884952338666,0.9010271601345637,LUAD,CTNNA2
ABHD17A,0.12471214115438067,0.5217476957605466,0.9276720671012192,LUAD,CTNNA2
ABHD17B,-0.339881569502714,0.13495649309851288,0.9010271601345637,LUAD,CTNNA2
ABHD17C,-0.05434503673305624,0.7521541061489245,0.9676166543365998,LUAD,CTNNA2
