gene,cancer,interaction_coeff,condition_coeff,transcript_coeff,intercept,interaction_pval,condition_pval,transcript_pval,intercept_pval
A1BG,ccrcc,-0.3993099175667234,0.6834264181068452,0.37784904349999976,-0.462140423916276,0.028462981045515482,0.00025058616699090685,0.01453041634855479,0.004968687313368038
A1CF,ccrcc,0.009263703826892369,-0.28258660251146384,0.07321754151842444,-0.5634159438781386,0.46963968690676844,0.007255045152212413,1.2526191890928293e-20,3.169150827335103e-10
A2M,ccrcc,-0.0017381376452615849,1.0597631340869238,0.001775652025285913,-0.8990057811152153,0.09682394918336176,0.00023311065447412902,0.023037624107305518,6.44196820395008e-05
AAAS,ccrcc,-0.005048034503795846,0.2534585738831342,0.008608606122039095,-0.14847570007579655,0.7021617760083432,0.0896843042900125,0.29677095227111977,0.27512645149154874
AACS,ccrcc,-0.04265832882286073,0.31392389956992955,0.10523679916971096,-0.782215711727767,0.06400036251181443,0.09116023525040505,1.4064609156071514e-09,6.938643635403579e-07
AADAT,ccrcc,-0.2529854100876874,-0.6234878909940039,0.43903838887740376,-0.8072218902580282,0.20861284987475656,0.20662821419421437,0.00013367692612031328,0.0421294276032326
AAED1,ccrcc,0.015588435547191075,0.3616212035450963,-0.012779194882309004,-0.08999145633332929,0.8878346141304941,0.34193202793786626,0.8580945493663679,0.7838407605687788
AAGAB,ccrcc,0.013873863978622766,-0.17382191197567604,0.012344751498794987,-0.15419257630406205,0.1882914393549042,0.3461337035911925,0.13989989434010675,0.3699285534909626
AAK1,ccrcc,0.05306218743861783,-0.4553780667562687,0.03298447605512808,-0.009979517548919565,0.005953838788654156,0.00011854618803505655,0.017176759208002577,0.9452945609629938
AAMP,ccrcc,0.01260069889876029,-0.24229875336393836,0.006251006632517589,-0.403301089392441,0.015752401099974462,0.31959509177250767,0.16049327957014364,0.040282538822459836
AAR2,ccrcc,0.010331450943912477,0.13664281734615377,0.016491543831591557,-0.23041247349315705,0.7367297855128325,0.5431314717868847,0.4082213764741018,0.2082856737272809
AARS,ccrcc,-0.00048435436895211245,0.23641462306924343,0.007242841843347731,-0.4144751965763805,0.9535391705130462,0.24395378220903224,0.07889078598381567,0.02076561920693423
AARS2,ccrcc,-0.08384969440873025,0.4583185190672256,0.1525073388458131,-1.035045109931389,0.02407335910352084,0.089707657126641,1.9024639407603311e-07,2.081793958896784e-06
AARSD1,ccrcc,0.02527942780097452,-0.1772574659331169,0.014790226849889364,-0.25078537268148804,0.11056936359877065,0.4650666877810162,0.2585331788085286,0.2106939774827292
AASDH,ccrcc,-0.4743256532873058,3.9609705172621403,0.3277952777027672,-3.2897598589932158,0.11933297815068987,0.09374879563747375,0.15396730011430804,0.10704840123534254
AASDHPPT,ccrcc,-0.01211553507128096,0.20331117944371174,0.033995844997342574,-0.5092576642193274,0.1874529507541752,0.1622212274684718,1.0143091703311099e-07,4.898104950568702e-06
AASS,ccrcc,-0.007695530993634989,-0.8635681586394299,0.02686227047039077,-0.3584009388771153,0.47138392874008483,3.3623234694477262e-06,1.9733449762001178e-11,0.025121698567442525
AATF,ccrcc,-0.01965199957552246,0.6758163908626116,0.03024572785428464,-0.7272194677539078,0.24436960372569747,0.007948773325044914,0.01933963154283281,0.0016825565838155176
ABAT,ccrcc,0.01128977772244626,-1.1219890210544523,0.017788584743182848,-0.5525870065225612,0.2307121849502974,1.9511695231455312e-14,3.537607471362702e-22,1.8307087930701345e-05
ABCA1,ccrcc,-0.004865695148729608,0.4276275798006949,0.01125856108134472,-0.5915796911523794,0.9000308945641196,0.2961995118198358,0.6514242551719245,0.07963919982798488
ABCA12,ccrcc,0.19972968022775056,0.21125972726256292,-0.20668685560889616,-0.09213034638098583,0.7513748909042391,0.29881799126345426,0.6520141530914412,0.5769467417130691
ABCA2,ccrcc,-0.014059502713898544,-0.009385922941476017,0.03554272428116439,-0.07565428207689597,0.6918669486317668,0.9649539655538113,0.09628246326450164,0.6437575891392454
ABCA5,ccrcc,-0.019442445735506277,0.25716571513922465,0.04002708745586227,-0.5529387582645569,0.8268100344483217,0.7696222274393965,0.42726300094086217,0.41438812377655543
