source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0000278,mitotic cell cycle,2.5376517085565965e-10,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]",792,223,56,12414,0.25112107623318386,0.0707070707070707,query_1,['GO:0007049'],"['TRIP13', 'ZWINT', 'PBK', 'MAPRE1', 'KIF11', 'CHEK1', 'NCAPD3', 'TPX2', 'PSMD10', 'KIFC1', 'TYMS', 'PRC1', 'PPP2R2A', 'NDC80', 'CLIP1', 'HSF1', 'KIF2C', 'NCAPG2', 'BLM', 'CUL2', 'TP53', 'ERCC6L', 'ZWILCH', 'EMD', 'TOPBP1', 'SMC2', 'USP16', 'CHEK2', 'GSPT1', 'CENPF', 'FOXA1', 'FBXL17', 'INCENP', 'CARM1', 'ZFP36L2', 'VCP', 'ENSA', 'NOLC1', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'CCNA2', 'MDC1', 'MAD2L1', 'GINS3', 'TUBB3', 'YWHAG', 'ANLN', 'PCNA', 'CDK1', 'RECQL5', 'WDHD1', 'KIF23', 'CCNB1', 'EP300', 'AURKB']","[['IMP'], ['IDA', 'IBA', 'TAS'], ['NAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'NAS'], ['TAS'], ['IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IMP'], ['IMP', 'TAS'], ['IBA', 'TAS'], ['IDA'], ['TAS'], ['IMP', 'TAS'], ['TAS'], ['TAS'], ['TAS'], ['IBA'], ['IDA', 'TAS'], ['IDA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'TAS', 'NAS'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['ISS'], ['IBA'], ['ISS'], ['TAS'], ['IBA', 'NAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA'], ['IBA'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS']]"
GO:BP,GO:1903047,mitotic cell cycle process,5.1742904658484774e-08,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",702,743,106,12414,0.1426648721399731,0.150997150997151,query_1,"['GO:0000278', 'GO:0022402']","['TRIP13', 'ZWINT', 'MAPRE1', 'KIF11', 'CHEK1', 'NCAPD3', 'TPX2', 'PSMD10', 'KIFC1', 'TYMS', 'PRC1', 'PPP2R2A', 'NDC80', 'CLIP1', 'KIF2C', 'NCAPG2', 'BLM', 'CUL2', 'TP53', 'ERCC6L', 'ZWILCH', 'EMD', 'TOPBP1', 'SMC2', 'CHEK2', 'GSPT1', 'CENPF', 'FBXL17', 'INCENP', 'CARM1', 'ZFP36L2', 'VCP', 'ENSA', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'CCNA2', 'MDC1', 'MAD2L1', 'GINS3', 'YWHAG', 'ANLN', 'PCNA', 'CDK1', 'KIF23', 'CCNB1', 'EP300', 'AURKB', 'APPL1', 'EIF4EBP1', 'TFAP4', 'CTDP1', 'PLK1', 'LCMT1', 'ATRX', 'BCCIP', 'HMMR', 'CHMP1B', 'VRK1', 'USP8', 'SPC25', 'NUMA1', 'CKAP2', 'MKI67', 'CUL4A', 'DSCC1', 'CEP55', 'RACGAP1', 'OBSL1', 'FBXL6', 'AKAP8L', 'CDK13', 'PPME1', 'TFDP1', 'GINS1', 'MCM3', 'LATS1', 'RRM2', 'CDK2', 'EIF4G1', 'KIF20A', 'ANKLE2', 'GTSE1', 'BUB1B', 'RASA1', 'DYNC1LI1', 'LEMD2', 'NUSAP1', 'HMGA2', 'MCM4', 'PSMF1', 'LPIN1', 'CHMP7', 'ECT2', 'YWHAE', 'ANXA1', 'MCM2', 'CHMP2A', 'RANBP2', 'POGZ', 'BOD1', 'POLA1', 'SETD2', 'LSM14A', 'RPS6KB1', 'ARID3A']","[['IMP'], ['IDA', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'NAS'], ['TAS'], ['IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IMP', 'TAS'], ['IBA', 'TAS'], ['IDA'], ['TAS'], ['IMP', 'TAS'], ['TAS'], ['TAS'], ['TAS'], ['IBA'], ['IDA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'TAS', 'NAS'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['ISS'], ['IBA'], ['ISS'], ['IBA', 'NAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS'], ['IDA'], ['IMP'], ['IDA'], ['IMP'], ['IDA', 'IMP', 'TAS'], ['IMP', 'TAS'], ['IMP'], ['IMP', 'ISO'], ['TAS'], ['IMP'], ['TAS'], ['IMP'], ['IMP', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA'], ['IGI'], ['IDA'], ['TAS'], ['IMP', 'IBA'], ['IMP', 'IGI', 'IBA'], ['IDA', 'IMP'], ['IMP'], ['IBA'], ['IMP'], ['TAS'], ['TAS'], ['IDA', 'TAS'], ['IBA'], ['IBA'], ['IDA', 'IBA'], ['TAS'], ['IBA', 'TAS', 'NAS'], ['IMP'], ['IMP'], ['IMP', 'TAS'], ['NAS'], ['IBA', 'TAS'], ['ISS'], ['IMP', 'TAS'], ['TAS'], ['IDA', 'IBA'], ['IDA'], ['IBA'], ['TAS'], ['TAS'], ['IMP', 'TAS'], ['IMP', 'IBA'], ['TAS'], ['IBA'], ['IBA'], ['IMP', 'TAS'], ['TAS'], ['IMP'], ['IMP'], ['IBA', 'TAS'], ['IDA'], ['IMP'], ['IMP'], ['TAS']]"
GO:BP,GO:0007049,cell cycle,1.0328199112310176e-06,True,"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",1143,223,64,12414,0.28699551569506726,0.05599300087489064,query_1,['GO:0009987'],"['TRIP13', 'ZWINT', 'PBK', 'MAPRE1', 'KIF11', 'CHEK1', 'NCAPD3', 'TPX2', 'PSMD10', 'KIFC1', 'EZR', 'TYMS', 'PRC1', 'PPP2R2A', 'NDC80', 'CLIP1', 'HSF1', 'TXLNG', 'USP28', 'KIF2C', 'NCAPG2', 'BLM', 'CUL2', 'TP53', 'PRCC', 'TDRKH', 'ERCC6L', 'ZWILCH', 'EMD', 'TOPBP1', 'SMC2', 'USP16', 'IPO7', 'CHEK2', 'GSPT1', 'CENPF', 'CCNT1', 'FOXA1', 'FBXL17', 'INCENP', 'CARM1', 'ZFP36L2', 'VCP', 'RBBP8', 'ENSA', 'NOLC1', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'CCNA2', 'MDC1', 'MAD2L1', 'GINS3', 'TUBB3', 'YWHAG', 'ANLN', 'PCNA', 'CDK1', 'RECQL5', 'WDHD1', 'KIF23', 'CCNB1', 'EP300', 'AURKB']","[['IMP', 'ISS', 'IBA'], ['IDA', 'IBA', 'TAS'], ['NAS'], ['IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IDA', 'TAS'], ['IMP', 'IBA', 'NAS'], ['IMP'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IMP'], ['IMP', 'ISS', 'IBA'], ['IMP', 'IBA'], ['IMP', 'TAS'], ['IBA', 'TAS'], ['IDA', 'IMP', 'TAS'], ['TAS'], ['IMP', 'TAS'], ['IDA'], ['ISS'], ['TAS'], ['TAS'], ['TAS'], ['IBA'], ['IDA', 'TAS'], ['IDA'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['TAS'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['ISS'], ['IBA'], ['TAS'], ['ISS'], ['TAS'], ['IBA', 'NAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA'], ['IBA'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS']]"
GO:BP,GO:0022402,cell cycle process,1.7003063999819935e-06,True,"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",969,746,134,12414,0.17962466487935658,0.13828689370485037,query_1,"['GO:0007049', 'GO:0009987']","['TRIP13', 'ZWINT', 'MAPRE1', 'KIF11', 'CHEK1', 'NCAPD3', 'TPX2', 'PSMD10', 'KIFC1', 'EZR', 'TYMS', 'PRC1', 'PPP2R2A', 'NDC80', 'CLIP1', 'TXLNG', 'USP28', 'KIF2C', 'NCAPG2', 'BLM', 'CUL2', 'TP53', 'TDRKH', 'ERCC6L', 'ZWILCH', 'EMD', 'TOPBP1', 'SMC2', 'CHEK2', 'GSPT1', 'CENPF', 'FBXL17', 'INCENP', 'CARM1', 'ZFP36L2', 'VCP', 'RBBP8', 'ENSA', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'CCNA2', 'MDC1', 'MAD2L1', 'GINS3', 'YWHAG', 'ANLN', 'PCNA', 'CDK1', 'RECQL5', 'KIF23', 'CCNB1', 'EP300', 'AURKB', 'TIPRL', 'APPL1', 'EIF4EBP1', 'TOP2A', 'LIMK2', 'TFAP4', 'RFC1', 'CTDP1', 'PLK1', 'WRN', 'SENP6', 'LCMT1', 'ATRX', 'BCCIP', 'HMMR', 'CHMP1B', 'VRK1', 'USP8', 'SPC25', 'NUMA1', 'PRIM1', 'CKAP2', 'MKI67', 'CUL4A', 'DSCC1', 'CEP55', 'CHORDC1', 'RACGAP1', 'OBSL1', 'FBXL6', 'POLA2', 'AKAP8L', 'HDAC8', 'CDK13', 'PPME1', 'TFDP1', 'GINS1', 'MCM3', 'MCM7', 'LATS1', 'RRM2', 'SMARCAD1', 'RFC5', 'CDK2', 'EIF4G1', 'KIF20A', 'ANKLE2', 'MCM5', 'GTSE1', 'BUB1B', 'RASA1', 'DYNC1LI1', 'LEMD2', 'ALKBH4', 'FOXJ2', 'NUSAP1', 'AKAP8', 'PRKCE', 'HMGA2', 'MCM4', 'PSMF1', 'LPIN1', 'GIPC1', 'CHMP7', 'ECT2', 'YWHAE', 'ANXA1', 'CHTF18', 'MCM2', 'CHMP2A', 'RANBP2', 'ERCC4', 'POGZ', 'BOD1', 'POLA1', 'SETD2', 'LSM14A', 'RPS6KB1', 'ARID3A', 'MSH3']","[['IMP', 'ISS', 'IBA'], ['IDA', 'IBA', 'TAS'], ['IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'NAS'], ['IMP'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IMP'], ['IMP', 'IBA'], ['IMP', 'TAS'], ['IBA', 'TAS'], ['IDA', 'TAS'], ['TAS'], ['IMP', 'TAS'], ['ISS'], ['TAS'], ['TAS'], ['TAS'], ['IBA'], ['IDA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['ISS'], ['IBA'], ['TAS'], ['ISS'], ['IBA', 'NAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA'], ['TAS'], ['IDA', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS'], ['IMP'], ['IDA'], ['IMP'], ['IBA'], ['IDA'], ['IDA'], ['TAS'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IMP', 'IBA'], ['IMP', 'TAS'], ['IMP', 'ISS'], ['IMP', 'ISO'], ['TAS'], ['IMP'], ['TAS'], ['IMP'], ['IMP', 'TAS'], ['IDA', 'IMP', 'ISS', 'IBA'], ['TAS'], ['IGI'], ['IDA'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IGI', 'IBA'], ['IBA'], ['IDA', 'IMP'], ['IMP'], ['IBA'], ['TAS'], ['IMP'], ['IMP'], ['TAS'], ['TAS'], ['IDA', 'TAS'], ['IBA'], ['IBA'], ['IBA'], ['IDA', 'IBA'], ['TAS'], ['IMP'], ['TAS'], ['IMP', 'IBA', 'TAS', 'NAS'], ['IMP'], ['IDA', 'IMP'], ['IMP', 'TAS'], ['IBA'], ['TAS', 'NAS'], ['IBA', 'TAS'], ['ISS'], ['IMP', 'TAS'], ['TAS'], ['IMP'], ['ISS'], ['IDA', 'IBA'], ['IMP'], ['IMP'], ['IDA'], ['IBA'], ['TAS'], ['TAS'], ['IMP'], ['IMP', 'TAS'], ['IDA', 'IMP', 'IBA'], ['TAS'], ['IBA'], ['TAS'], ['IBA'], ['IMP', 'TAS'], ['TAS'], ['IBA'], ['IMP'], ['IMP'], ['IBA', 'TAS'], ['IDA'], ['IMP'], ['IMP'], ['TAS'], ['IBA']]"
GO:BP,GO:0006271,DNA strand elongation involved in DNA replication,3.93227256578584e-06,True,"""The process in which an existing DNA strand is extended by activities including the addition of nucleotides to the 3' end of the strand, complementary to an existing template, as part of DNA replication."" [GOC:mah, ISBN:071673706X, ISBN:0815316194]",18,1575,15,12414,0.009523809523809525,0.8333333333333334,query_1,"['GO:0006261', 'GO:0022616']","['GINS3', 'PCNA', 'GINS1', 'MCM3', 'MCM7', 'MCM4', 'GINS2', 'POLA1', 'LIG1', 'POLD3', 'GINS4', 'POLD2', 'RFC3', 'RFC4', 'LIG3']","[['TAS'], ['IBA'], ['IBA', 'TAS'], ['IBA'], ['IBA'], ['IBA'], ['TAS'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA'], ['TAS'], ['IBA'], ['TAS'], ['TAS'], ['IBA']]"
GO:BP,GO:0007052,mitotic spindle organization,8.815392382994235e-06,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a mitotic cell cycle."" [GOC:go_curators, GOC:mah]",172,223,20,12414,0.08968609865470852,0.11627906976744186,query_1,"['GO:0007051', 'GO:1902850']","['ZWINT', 'MAPRE1', 'KIF11', 'TPX2', 'KIFC1', 'PRC1', 'NDC80', 'CLIP1', 'KIF2C', 'ERCC6L', 'ZWILCH', 'CHEK2', 'CENPF', 'INCENP', 'VCP', 'DLGAP5', 'MAD2L1', 'KIF23', 'CCNB1', 'AURKB']","[['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA'], ['IMP', 'IBA'], ['IBA', 'TAS'], ['IMP', 'TAS'], ['TAS'], ['TAS'], ['TAS'], ['TAS'], ['IMP'], ['TAS'], ['TAS'], ['IBA'], ['IBA'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IMP', 'IBA', 'TAS']]"
GO:BP,GO:0140014,mitotic nuclear division,2.1013780954153833e-05,True,"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]",269,487,39,12414,0.08008213552361396,0.1449814126394052,query_1,"['GO:0000280', 'GO:1903047']","['TRIP13', 'ZWINT', 'KIF11', 'CHEK1', 'NCAPD3', 'TPX2', 'KIFC1', 'PRC1', 'PPP2R2A', 'NDC80', 'KIF2C', 'NCAPG2', 'EMD', 'SMC2', 'CHEK2', 'CENPF', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'MAD2L1', 'ANLN', 'CDK1', 'KIF23', 'CCNB1', 'AURKB', 'CTDP1', 'PLK1', 'LCMT1', 'ATRX', 'BCCIP', 'CHMP1B', 'VRK1', 'NUMA1', 'MKI67', 'DSCC1', 'RACGAP1', 'OBSL1', 'AKAP8L', 'CDK13']","[['IMP'], ['IDA', 'IBA'], ['IDA', 'IMP', 'IBA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IMP', 'IBA', 'NAS'], ['IBA', 'TAS'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IBA', 'TAS'], ['TAS'], ['IDA', 'TAS'], ['IMP'], ['NAS'], ['NAS'], ['IMP', 'IBA', 'TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'TAS'], ['IMP'], ['IDA', 'IMP', 'TAS'], ['IMP'], ['IMP'], ['IMP'], ['IMP'], ['TAS'], ['IMP'], ['IDA'], ['IMP', 'IBA'], ['IDA'], ['IMP'], ['IMP'], ['TAS']]"
GO:BP,GO:0051276,chromosome organization,2.257688079033293e-05,True,"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",823,770,116,12414,0.15064935064935064,0.14094775212636695,query_1,['GO:0006996'],"['DHX36', 'TRIP13', 'ZWINT', 'NSD3', 'RIOX1', 'CHEK1', 'NCAPD3', 'WDR70', 'GATAD2B', 'CHAF1B', 'KIFC1', 'PRC1', 'NDC80', 'KIF2C', 'NCAPG2', 'BLM', 'TP53', 'USP7', 'SMC2', 'ATAD2', 'ASF1B', 'USP16', 'CENPF', 'FOXA1', 'INCENP', 'CARM1', 'DLGAP5', 'UBE2C', 'CSNK2A2', 'CCNA2', 'MAD2L1', 'PCNA', 'CDK1', 'RECQL5', 'KIF23', 'CHAF1A', 'CCNB1', 'EP300', 'AURKB', 'PRMT6', 'SMARCA2', 'GTF2H1', 'ARID1B', 'PARG', 'UHRF1', 'CHD8', 'TOP2A', 'KDM3B', 'RFC1', 'PLK1', 'WRN', 'SETD3', 'SENP6', 'LCMT1', 'CDAN1', 'ATRX', 'COPS7B', 'SFPQ', 'CHMP1B', 'VRK1', 'FAM50A', 'NUMA1', 'PRIM1', 'MKI67', 'SUPT16H', 'CUL4A', 'SRPK1', 'DSCC1', 'ASH2L', 'PAK1', 'RACGAP1', 'FBXO4', 'ARID2', 'POLA2', 'AKAP8L', 'SRCAP', 'HDAC8', 'RAD23B', 'MCM7', 'LATS1', 'SMARCAD1', 'RFC5', 'SUPT6H', 'YLPM1', 'CDK2', 'FMR1', 'BUB1B', 'DYNC1LI1', 'ALKBH4', 'NUSAP1', 'SMYD2', 'ZMIZ1', 'AKAP8', 'HMGA2', 'MCM4', 'CHMP7', 'ANXA1', 'CHTF18', 'TLK1', 'MCM2', 'CHMP2A', 'WAC', 'ERCC4', 'SAFB', 'POGZ', 'BOD1', 'NPM3', 'POLA1', 'TBL1X', 'IPO4', 'SETD2', 'MT3', 'MSH3', 'BAZ2A', 'NTMT1', 'NCAPD2']","[['IDA', 'IMP'], ['IMP', 'ISS'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['ISS', 'IBA'], ['ISS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA'], ['HDA'], ['IDA', 'IBA'], ['IMP', 'NAS'], ['IBA', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IBA', 'TAS'], ['IDA', 'ISS', 'IBA', 'TAS'], ['IDA'], ['ISS', 'TAS'], ['IDA', 'TAS'], ['IBA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS'], ['NAS'], ['ISS'], ['IBA'], ['IDA', 'IMP', 'ISS'], ['IBA', 'NAS'], ['IBA'], ['TAS'], ['IDA'], ['IDA', 'IMP', 'IBA', 'TAS'], ['ISS', 'TAS'], ['TAS'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'ISS', 'TAS'], ['IDA'], ['IBA', 'TAS'], ['TAS'], ['IBA', 'NAS'], ['IBA'], ['IDA', 'ISS', 'IBA'], ['IMP'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['TAS'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS'], ['ISS'], ['IMP', 'IBA'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'ISS', 'TAS'], ['TAS'], ['ISS'], ['IMP'], ['IDA'], ['IBA'], ['IMP'], ['TAS'], ['ISS'], ['IBA', 'TAS'], ['TAS'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['IMP', 'ISO', 'IC'], ['IDA'], ['TAS'], ['IMP'], ['IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'TAS'], ['IBA'], ['IDA'], ['IMP', 'IBA', 'NAS'], ['TAS'], ['IMP', 'IBA'], ['IBA'], ['IDA', 'TAS'], ['IDA'], ['IBA'], ['IMP'], ['ISS'], ['IDA', 'IBA'], ['IBA'], ['IBA'], ['IMP'], ['IDA', 'TAS'], ['IBA'], ['IMP'], ['IBA'], ['TAS'], ['IDA', 'IBA'], ['IBA'], ['IMP'], ['IMP'], ['IDA', 'IMP', 'IGI'], ['TAS'], ['IMP'], ['IMP'], ['IBA'], ['TAS'], ['IBA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['IMP', 'IBA'], ['ISS', 'NAS'], ['IDA'], ['IDA', 'IMP', 'IBA', 'NAS']]"
GO:BP,GO:1902850,microtubule cytoskeleton organization involved in mitosis,3.176893679020097e-05,True,"""Any microtubule cytoskeleton organization that is involved in mitosis."" [GO_REF:0000060, GOC:TermGenie, PMID:18799626]",183,223,20,12414,0.08968609865470852,0.1092896174863388,query_1,"['GO:0000226', 'GO:1903047']","['ZWINT', 'MAPRE1', 'KIF11', 'TPX2', 'KIFC1', 'PRC1', 'NDC80', 'CLIP1', 'KIF2C', 'ERCC6L', 'ZWILCH', 'CHEK2', 'CENPF', 'INCENP', 'VCP', 'DLGAP5', 'MAD2L1', 'KIF23', 'CCNB1', 'AURKB']","[['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'ISS', 'IBA'], ['IMP', 'IBA'], ['IBA', 'TAS'], ['IMP', 'TAS'], ['TAS'], ['TAS'], ['TAS'], ['TAS'], ['IMP'], ['TAS'], ['TAS'], ['IBA'], ['IBA'], ['IMP', 'TAS'], ['IMP', 'IBA', 'TAS'], ['IMP'], ['IMP', 'IBA', 'TAS']]"
GO:BP,GO:0000075,cell cycle checkpoint signaling,3.743447662247303e-05,True,"""A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction."" [GOC:mtg_cell_cycle]",146,230,19,12414,0.08260869565217391,0.13013698630136986,query_1,"['GO:0035556', 'GO:1901988']","['TRIP13', 'ZWINT', 'CHEK1', 'NDC80', 'USP28', 'BLM', 'TP53', 'TOPBP1', 'CHEK2', 'CENPF', 'CARM1', 'MDC1', 'MAD2L1', 'PCNA', 'CDK1', 'CCNB1', 'EP300', 'AURKB', 'TIPRL']","[['IMP', 'IBA'], ['IDA'], ['IDA', 'IMP'], ['IMP'], ['IMP', 'IBA'], ['IDA'], ['IMP', 'TAS'], ['IBA'], ['IBA', 'TAS'], ['NAS'], ['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'TAS'], ['TAS'], ['IBA', 'TAS'], ['IMP', 'TAS'], ['TAS'], ['ISS'], ['IMP']]"
