Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.20625263060263552,0.33751690449388216,0.9017937156313176,LSCC,MUC16
A2M,-0.3635625774944661,0.07269114939458833,0.7692403110813326,LSCC,MUC16
A2ML1,0.015197415963669747,0.48545841674637813,0.9363117597142587,LSCC,MUC16
A4GALT,-0.4376406202493159,0.034545088187005614,0.6896737970181717,LSCC,MUC16
AAAS,-0.25942081682019763,0.1912539424360542,0.8607610280960285,LSCC,MUC16
AACS,0.13394985369802337,0.2955672158436671,0.8923381041673054,LSCC,MUC16
AADAC,0.2161295745506272,0.10988032702922548,0.8166866402809747,LSCC,MUC16
AAGAB,-0.1471998349320331,0.4310046684811253,0.9240887895134574,LSCC,MUC16
AAK1,0.004630346642730543,0.9108434076215549,0.9902681075430285,LSCC,MUC16
AAMDC,-0.019068224270655132,0.9376672783570448,0.9935922176988897,LSCC,MUC16
AAMP,0.012986779349008382,0.8637004332077467,0.9858511564060009,LSCC,MUC16
AAR2,-0.22931842903979133,0.11093569832432155,0.8173378810284555,LSCC,MUC16
AARS,0.09887150942104495,0.1849223503718972,0.8563805281201722,LSCC,MUC16
AARS2,0.06664195084473723,0.5314299682035262,0.9477982287959945,LSCC,MUC16
AARSD1,0.1838021542510706,0.2463025964713328,0.8799239074079257,LSCC,MUC16
AASDHPPT,0.13966305596336548,0.27137016822211657,0.8891852616029237,LSCC,MUC16
AASS,0.023906519804352544,0.633434534100704,0.958803551742554,LSCC,MUC16
AATF,-0.0011100250264337586,0.9537957534040017,0.9960661696151537,LSCC,MUC16
ABAT,0.002476551981195896,0.8683098099204439,0.9872428915535097,LSCC,MUC16
ABCA1,-0.07793910361247824,0.4431005349603644,0.9274109997805815,LSCC,MUC16
ABCA12,-0.06317135549872127,0.806719968923303,0.983676402313157,LSCC,MUC16
ABCA13,0.07679609070152335,0.7456954027691953,0.9755698921493351,LSCC,MUC16
ABCA2,-0.0994049949580957,0.6719266427857832,0.9634207326952471,LSCC,MUC16
ABCA3,-0.09031825027955054,0.5141845640131599,0.9443933670522273,LSCC,MUC16
ABCA6,-0.09065363661469711,0.6669199932417911,0.9632597665069169,LSCC,MUC16
ABCA8,0.03421432972516564,0.8478852609982028,0.9855423497862789,LSCC,MUC16
ABCB1,-0.3764156670039023,0.05138077065518086,0.7242532929985839,LSCC,MUC16
ABCB10,0.2237621614014803,0.11706375634035956,0.8202821673020405,LSCC,MUC16
ABCB5,-0.18176775923999616,0.4199775843808541,0.9216526222487688,LSCC,MUC16
ABCB6,0.04107124926784367,0.5258283723954245,0.9472413604982973,LSCC,MUC16
ABCB7,0.011698811814910892,0.9154244845679518,0.991142180689555,LSCC,MUC16
ABCB8,0.17197125002852556,0.3730900599276282,0.9127753281717418,LSCC,MUC16
ABCC1,-0.06070933584865479,0.3732532555887056,0.9127753281717418,LSCC,MUC16
ABCC10,0.011624150888856821,0.9074412826188469,0.9902319624855798,LSCC,MUC16
ABCC2,0.09106957116110431,0.6324025459634566,0.958803551742554,LSCC,MUC16
ABCC3,0.07197102974188818,0.5875569386322399,0.9558652852984573,LSCC,MUC16
ABCC4,0.08433959501296961,0.5395179401010207,0.9482804906952692,LSCC,MUC16
ABCC5,-0.005076942971679821,0.9026602954342651,0.988499712924317,LSCC,MUC16
ABCC6,0.26558061821219714,0.2872705905288889,0.8910146102653413,LSCC,MUC16
ABCC8,-0.0022154316271963265,0.9959115308208402,0.9995852146742364,LSCC,MUC16
ABCC9,0.29161424419674065,0.311028219640647,0.8954659331275512,LSCC,MUC16
ABCD1,-0.07851290496801333,0.6161710277786548,0.958803551742554,LSCC,MUC16
ABCD2,-0.1136474749050814,0.6273427940126646,0.958803551742554,LSCC,MUC16
ABCD3,0.0683165919930625,0.5418671630323062,0.9482804906952692,LSCC,MUC16
ABCD4,-0.02617166001232679,0.9175315712600991,0.9918361957350653,LSCC,MUC16
ABCE1,0.20872909075695445,0.0872861961819105,0.7871344477118715,LSCC,MUC16
ABCF1,-0.13654047704180516,0.2556025337140244,0.8829678514399146,LSCC,MUC16
ABCF2,-0.04540769426985147,0.6827220618356694,0.9653689954356366,LSCC,MUC16
ABCF3,0.060454906778436235,0.2726606382862766,0.8891852616029237,LSCC,MUC16
ABCG1,-0.020248962002710313,0.9189212010694077,0.9919651662859811,LSCC,MUC16
ABCG2,0.09520123839009292,0.7459247318601493,0.9755698921493351,LSCC,MUC16
ABHD10,0.24417319585276243,0.09464904090680132,0.8009801455682084,LSCC,MUC16
ABHD11,0.1366065030693514,0.13889063454285808,0.8298847405883988,LSCC,MUC16
ABHD12,-0.01611853623251569,0.9607531901594895,0.9964096050705713,LSCC,MUC16
ABHD13,0.32891471295870295,0.08401580744407874,0.7807239187024562,LSCC,MUC16
ABHD14A-ACY1,0.46520741893032913,0.013826336858928152,0.5725834392570381,LSCC,MUC16
ABHD14B,0.0070396116891524585,0.8900212726685548,0.9878214914325144,LSCC,MUC16
ABHD15,0.07434961830999148,0.7195775145012107,0.9703649191137603,LSCC,MUC16
ABHD16A,-0.18805099991632496,0.3110436681664527,0.8954659331275512,LSCC,MUC16
ABHD17A,-0.1790375036327169,0.4127628672579252,0.921521474076543,LSCC,MUC16
ABHD17B,0.06321395016647802,0.5463858518212017,0.9482804906952692,LSCC,MUC16
ABHD17C,0.004088131243789261,0.9519195529644109,0.9960661696151537,LSCC,MUC16
ABHD2,0.20579397210976155,0.45160856051292253,0.9297700132332233,LSCC,MUC16
ABHD3,0.11723885956181568,0.34700228394601185,0.9044643698471132,LSCC,MUC16
ABHD4,-0.052797730885966176,0.6190021605882454,0.958803551742554,LSCC,MUC16
ABHD5,0.221661903736839,0.2537408336232849,0.8829678514399146,LSCC,MUC16
ABHD6,-0.10037545355656807,0.46973927560453377,0.9316730709797488,LSCC,MUC16
ABI1,-0.06313262237182893,0.6418189304359657,0.958803551742554,LSCC,MUC16
ABI2,0.00020614478818803406,0.9374565731605536,0.9935922176988897,LSCC,MUC16
ABI3,-0.09239190710552936,0.3885795921416624,0.9153457518130451,LSCC,MUC16
ABI3BP,-0.04662707597992488,0.8062702975849,0.983676402313157,LSCC,MUC16
ABL1,0.15594130373394738,0.4056908447402022,0.9212759244444784,LSCC,MUC16
ABL2,0.17815273168046963,0.37688246710362605,0.91314070023646,LSCC,MUC16
ABLIM1,0.12968636622883556,0.11176774130821755,0.8173378810284555,LSCC,MUC16
ABLIM2,-0.15352159575843782,0.29859625793659006,0.8923381041673054,LSCC,MUC16
ABLIM3,-0.025204779986446713,0.8547295235488549,0.9857372936528188,LSCC,MUC16
ABO,0.002021739554670887,0.9855286995462555,0.9987313056870584,LSCC,MUC16
ABR,-0.1029068316839215,0.5634192382710241,0.9516903813231762,LSCC,MUC16
ABRACL,-0.06010885357634588,0.6748558803918426,0.963602429581613,LSCC,MUC16
ABRAXAS1,-0.0828524052199309,0.7242317144535031,0.9711437014808203,LSCC,MUC16
ABRAXAS2,0.13222329866137122,0.46532764286615436,0.9303711448680839,LSCC,MUC16
ABT1,-0.04987791112812251,0.804798908270129,0.9833256858812007,LSCC,MUC16
ABTB1,0.08460693895476507,0.6652576950072124,0.9632597665069169,LSCC,MUC16
