Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.04194707796167447,0.8331256271427243,0.9991810637774956,LSCC,RYR2
A2M,0.04645883073416668,0.803030592141351,0.9991810637774956,LSCC,RYR2
A2ML1,0.03383509032191567,0.20718374537523876,0.9735816842479458,LSCC,RYR2
A4GALT,-0.27436387901504183,0.17285168362116332,0.9735816842479458,LSCC,RYR2
AAAS,-0.07298115927944143,0.7030091188910326,0.9991810637774956,LSCC,RYR2
AACS,-0.014164858019616866,0.9502380101377228,0.9991810637774956,LSCC,RYR2
AADAC,0.2482877427280854,0.057775482418720714,0.9695544717971392,LSCC,RYR2
AAGAB,0.02098810993424688,0.8735819192913465,0.9991810637774956,LSCC,RYR2
AAK1,-0.08352248918409444,0.4592213897975914,0.9888306870051979,LSCC,RYR2
AAMDC,0.03665714728522407,0.7549933623251144,0.9991810637774956,LSCC,RYR2
AAMP,0.1420548849061889,0.25606166299831035,0.9778429353075831,LSCC,RYR2
AAR2,-0.1996034591704176,0.13197812692742936,0.9695544717971392,LSCC,RYR2
AARS,0.046273628100842346,0.489365054128891,0.9888306870051979,LSCC,RYR2
AARS2,-0.17064675423284725,0.15920826412195033,0.9735816842479458,LSCC,RYR2
AARSD1,0.018581736118188363,0.8747520423908389,0.9991810637774956,LSCC,RYR2
AASDHPPT,-0.027646098428267707,0.8731308903979667,0.9991810637774956,LSCC,RYR2
AASS,-0.05054222226296479,0.4843776072810907,0.9888306870051979,LSCC,RYR2
AATF,0.06045676713766612,0.6045579492632025,0.9957837514961738,LSCC,RYR2
ABAT,-0.22080799106152038,0.0028426004306528253,0.9695544717971392,LSCC,RYR2
ABCA1,-0.007361404614953493,0.9780679883584353,0.9991810637774956,LSCC,RYR2
ABCA12,0.08312581125907414,0.6268462976459822,0.997646465017374,LSCC,RYR2
ABCA13,-0.3044891709172776,0.21678483496782897,0.975622538274396,LSCC,RYR2
ABCA2,-0.4571851650799019,0.03394569546468431,0.9695544717971392,LSCC,RYR2
