,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,-0.28106380936454767,-0.018040018040361087,0.8729995445417549,0.1396870253629751,-0.2630237913241866,0.23095719241881651,luad,False,False,False
1,A2M,-0.12461415613692682,0.46322588735071485,1.3325956851922247e-05,0.5195317533656816,-0.5878400434876416,0.0036504124196333958,luad,False,False,False
2,AAAS,0.12336987150380313,0.30557937999372986,0.005534482769368148,0.5237430131683145,-0.18220950848992673,0.37546044096552134,luad,False,False,False
3,AACS,0.8235545384752033,0.7875298432564412,2.7831334362652405e-18,4.086361755152021e-08,0.03602469521876217,0.6735961234347976,luad,True,True,False
4,AADAC,0.5431465927561296,0.6989506805710097,7.884358859915828e-13,0.002328983905970457,-0.1558040878148801,0.32295402735061374,luad,False,True,False
5,AADAT,0.6736766158677354,0.4765405071184495,0.013846716544028538,0.011586224979711691,0.19713610874928594,0.4429839843639345,luad,False,False,False
6,AAED1,0.19182434598193637,0.11634995498804325,0.39758984841111455,0.4607816657914961,0.07547439099389312,0.8992973510803456,luad,False,False,False
7,AAGAB,0.768883714913872,0.597299874949665,3.95287006807821e-09,1.102027230567569e-06,0.171583839964207,0.16132325826232763,luad,True,True,False
8,AAMDC,0.5896738579869744,0.6684647924501023,9.177224882796942e-12,0.0007616800843667272,-0.0787909344631279,0.5993788356229719,luad,False,True,False
9,AAMP,0.3988817633188117,0.4716444826235818,8.807430880185964e-06,0.032079123807385854,-0.07276271930477007,0.8125591369835901,luad,False,False,False
10,AAR2,0.700953424369207,0.4695031439585854,9.795945249576386e-06,2.2855000008840145e-05,0.23145028041062166,0.16993894150829714,luad,False,False,False
11,AARS,0.9293199302508027,0.9042651826342621,6.248328200614916e-31,3.390029677030631e-13,0.025054747616540585,0.4795468976210121,luad,True,True,False
12,AARS2,0.6752912513966848,0.584417864962808,1.016324483457855e-08,5.844176490857234e-05,0.09087338643387677,0.5580945058575886,luad,False,True,False
13,AARSD1,0.7221879712623211,0.7622104108206692,1.3956903485010577e-16,9.737864486632402e-06,-0.040022439558348055,0.663932543695881,luad,False,True,False
14,AASDHPPT,0.791124575696356,0.7363528513197727,4.746361185789694e-15,3.2442222109204845e-07,0.054771724376583286,0.5681233658333862,luad,True,True,False
15,AASS,0.5964402903890901,0.7849890894704934,4.220888937884199e-18,0.0006382592562747026,-0.18854879908140332,0.12332582328916282,luad,False,True,False
16,AATF,0.4207085662842513,0.39920995853025354,0.00022268431548003978,0.023052641130977453,0.021498607753997756,0.8938411677152677,luad,False,False,False
17,AATK,0.6062155806695871,0.7964042706436295,6.086343866897068e-11,0.0165909577360734,-0.19018868997404237,0.12184433632836804,luad,False,True,False
18,ABAT,0.8177729671989835,0.8808245484197086,2.246275696017181e-27,6.088609507296239e-08,-0.06305158122072507,0.28989972989877555,luad,True,True,False
