,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.2220102343616635,0.0867421933898633,0.4442246370903783,0.2470730424770087,0.1352680409718002,0.4884078226868449,hnscc,False,False,False
1,A1CF,0.48745219703426274,0.7867825703337903,0.02052312171703532,0.4048953803747378,-0.29933037329952755,0.8493418452962328,hnscc,False,False,False
2,A2M,0.1777144805252618,0.21035391940334547,0.061087005907107056,0.35637418807898064,-0.03263943887808368,0.8598551777751369,hnscc,False,False,False
3,A2ML1,0.882488501233586,0.8547664700165142,6.376213041323147e-24,2.4397125913300777e-10,0.02772203121707184,0.5882452872736994,hnscc,True,True,False
4,A4GALT,0.34974578208912954,0.916214014100931,6.214059297144064e-07,0.4418909341174501,-0.5664682320118014,0.027453328596350794,hnscc,False,True,False
5,AAAS,0.439622604450276,0.1451938688703182,0.19877962955553055,0.01702134147823744,0.2944287355799578,0.14807100841674686,hnscc,False,False,False
6,AACS,0.7964876137955794,0.7311664482424354,1.3519079115291195e-14,2.3631816066353799e-07,0.06532116555314404,0.49791743558705426,hnscc,True,True,False
7,AADAC,0.298000766685944,0.6107050736267509,7.5713221001774e-09,0.12350826493702445,-0.31270430694080686,0.18591550781724353,hnscc,False,True,False
8,AAED1,-0.28247897448710635,0.24131440919345357,0.0787679727622834,0.3076837365893327,-0.5237933836805599,0.08567709124741978,hnscc,False,False,False
9,AAGAB,0.5186176506988714,0.6291853458816563,4.0903341403399283e-10,0.003947473200270479,-0.11056769518278486,0.3965248715956148,hnscc,False,True,False
10,AAK1,0.6154958050473066,0.7293531777321909,1.690777207756247e-14,0.00037963308664782763,-0.11385737268488427,0.4547441293281411,hnscc,False,True,False
11,AAMDC,0.6656635260683262,0.39684342362313546,0.00026794253441566484,8.122163755831005e-05,0.2688201024451908,0.13416229081584322,hnscc,False,False,False
12,AAMP,0.5110854679915879,0.7358895718279936,7.485190942080234e-15,0.004606398457133274,-0.2248041038364057,0.08398893036052377,hnscc,False,True,False
13,AAR2,0.3115525595298892,0.4975938298102312,2.6542593484842297e-06,0.09992813897016438,-0.186041270280342,0.39204609489591624,hnscc,False,True,False
14,AARS,0.7706593036105963,0.7320097368801475,1.2175971245212182e-14,1.0045258232824243e-06,0.03864956673044884,0.6983962544747184,hnscc,True,True,False
15,AARS2,0.7426548953637627,0.5719851107753711,2.9851165904918494e-08,3.965504763639832e-06,0.17066978458839166,0.26572552388895887,hnscc,True,True,False
16,AARSD1,0.37336973054952366,0.6207603964893997,8.127734191614615e-10,0.04604020320251445,-0.24739066593987608,0.12370799718335383,hnscc,False,True,False
17,AASDH,0.48502153487848315,-0.03753635847322848,0.7957895422242972,0.04133423794912926,0.5225578933517117,0.23187566628585932,hnscc,False,False,False
18,AASDHPPT,0.7342302343459516,0.8581899052114211,2.692081773584683e-24,5.796221524443899e-06,-0.12395967086546955,0.15188576960485553,hnscc,False,True,False
19,AASS,0.8307773718727847,0.8323248228402045,1.104613399819371e-21,2.4323441471730976e-08,-0.0015474509674198167,0.9791259204363856,hnscc,True,True,False
20,AATF,-0.1506901544443282,0.262222749300989,0.01878570664055655,0.4352336098362063,-0.4129129037453172,0.1285044903938706,hnscc,False,False,False
21,ABAT,0.7906622877208592,0.8898151826182358,2.6723113001853527e-28,3.3326302184953117e-07,-0.09915289489737655,0.3200357495436915,hnscc,True,True,False
22,ABCA1,0.20611002773158407,0.022905041327741807,0.8432568230541254,0.29268096792621495,0.18320498640384225,0.5004639164400079,hnscc,False,False,False
23,ABCA12,0.7678553023759657,0.8511207281496533,1.559401369446908e-23,1.1623409155057851e-06,-0.08326542577368767,0.20768394493050035,hnscc,True,True,False
24,ABCA2,-0.24697644922487108,-0.14232031792692756,0.48796648195076664,0.3748558963714555,-0.10465613129794352,0.7184079063272648,hnscc,False,False,False
25,ABCA5,-0.4027703298634333,-0.06349912477786808,0.8616543924203365,0.2824674284436068,-0.33927120508556524,0.3344229897970751,hnscc,False,False,False
26,ABCA6,0.35470886663628926,0.18501435973425906,0.1722178061584801,0.08898852294530393,0.1696945069020302,0.46650284148992105,hnscc,False,False,False
27,ABCA8,0.6215134974902243,0.7295143958707191,1.6576060381657595e-14,0.00031994013817518305,-0.10800089838049476,0.2845024360642683,hnscc,False,True,False
28,ABCB1,-0.10376281936115775,0.019517056798849842,0.8773628952098423,0.6294499090294134,-0.12327987616000759,0.6965633604687982,hnscc,False,False,False
29,ABCB10,0.1436966104259119,0.46248254143735645,1.7782250026013914e-05,0.5029366606428325,-0.3187859310114446,0.20576993769548546,hnscc,False,False,False
30,ABCB6,0.694821829815749,0.8140075298548788,4.3490372802148384e-20,2.8850616040750106e-05,-0.11918570003912976,0.27369145253967875,hnscc,False,True,False
31,ABCB7,0.572624334231717,0.5246803102100683,5.857740507452975e-07,0.0011693828920897316,0.04794402402164866,0.7762763211696837,hnscc,False,True,False
