,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.03780213096031556,-0.11795380611869623,0.297388683498512,0.842791956511018,0.15575593707901178,0.43308139475495455,luad,False,False,False
1,A2M,0.15067266953174524,0.4494268835304603,2.8903586251466495e-05,0.4267565887400287,-0.29875421399871505,0.1477559191132098,luad,False,False,False
2,AAAS,0.3704235786462586,0.18590506217384065,0.09872989574324406,0.04390396371635123,0.18451851647241793,0.3558173723527799,luad,False,False,False
3,AACS,0.8362783948245617,0.767141942960866,1.0618230573661932e-16,8.684164267085452e-09,0.06913645186369566,0.4484934473801524,luad,True,True,False
4,AADAC,0.45477753144933986,0.6944275478368643,1.7778741912021765e-12,0.01157216627839904,-0.23965001638752448,0.11028714447959025,luad,False,True,False
5,AADAT,0.70980104216351,0.5117573727736097,0.004544037715919571,0.02147558122072502,0.19804366938990037,0.46742141433085793,luad,False,False,False
6,AAED1,0.24877251339115747,0.0845837044667922,0.539226379009256,0.33562770355158644,0.16418880892436527,0.69700922061065,luad,False,False,False
7,AAGAB,0.7902368033638003,0.5698956331160029,3.438726366200102e-08,2.057552011908328e-07,0.22034117024779742,0.06854418996918217,luad,True,True,False
8,AAMDC,0.5694291751413254,0.6855759370891068,2.284654226494189e-12,0.0010225521475714172,-0.1161467619477814,0.4325785588817309,luad,False,True,False
9,AAMP,0.25554329805323883,0.503135750486172,1.9689494829124544e-06,0.17289833656573228,-0.24759245243293315,0.3007001067055127,luad,False,True,False
10,AAR2,0.6110362425575737,0.5911983475396495,7.75215079379622e-09,0.00033488133431948576,0.019837895017924212,0.8468378122011254,luad,False,True,False
11,AARS,0.8867748692771101,0.907348047945897,4.361797787733447e-31,6.888080197193045e-11,-0.02057317866878683,0.511469847741322,luad,True,True,False
12,AARS2,0.7300255542713391,0.5724116532100925,2.8997944228965464e-08,4.682486084978474e-06,0.15761390106124662,0.30045321136626923,luad,True,True,False
13,AARSD1,0.6476113879383073,0.7659401335856406,1.265826043920727e-16,0.00010944713578232324,-0.11832874564733331,0.19725643122988845,luad,False,True,False
14,AASDHPPT,0.7389001498261858,0.7714333954453286,5.620162282710281e-17,3.116665018933114e-06,-0.032533245619142837,0.863227911138708,luad,True,True,False
15,AASS,0.5177063984482952,0.7655691893969255,1.336101172394552e-16,0.0033884677509793053,-0.24786279094863028,0.03856709562963664,luad,False,True,False
16,AATF,0.23361755604972725,0.40551272236876756,0.00019027101003338018,0.2140577145589802,-0.1718951663190403,0.2958971149894106,luad,False,False,False
17,AATK,0.8414007797960569,0.7349266047756905,9.025606237511767e-09,8.428291826591225e-05,0.10647417502036638,0.4115502989160692,luad,False,True,False
18,ABAT,0.870601791666594,0.8580422030214713,2.7954143675079655e-24,4.026104236290047e-10,0.012559588645122743,0.8807330684754721,luad,True,True,False
19,ABCA1,0.550539622361707,0.667143330777311,1.4084136470842316e-11,0.0016195099843848042,-0.11660370841560408,0.49708161036424126,luad,False,True,False
20,ABCA12,-0.05589806351212158,0.16031726412777692,0.1849216487082272,0.8000165355198571,-0.21621532763989848,0.3379100067520612,luad,False,False,False
21,ABCA13,0.22480251221206093,0.3166991209966231,0.008019182186149148,0.29092048252156405,-0.09189660878456218,0.7066110784973277,luad,False,False,False
22,ABCA2,0.13612180034243462,0.4712069081680948,7.440837768071585e-05,0.5357152183560505,-0.33508510782566014,0.17254742798975797,luad,False,False,False
23,ABCA3,0.7421707606857177,0.678765396831128,4.5427541885375416e-12,2.6715458035914844e-06,0.06340536385458972,0.6151874758515594,luad,True,True,False
24,ABCA6,0.27485615580942196,0.2920040792970833,0.010482654224077976,0.14902017247724147,-0.01714792348766131,0.9203441923551133,luad,False,False,False
25,ABCA7,0.11622632437247973,0.22775382377846334,0.1079734524173657,0.6255703972177822,-0.11152749940598361,0.6765166869484969,luad,False,False,False
26,ABCA8,0.3322420327959935,0.6163388971187798,1.155975545888775e-09,0.07284715452564984,-0.28409686432278625,0.0760677879621751,luad,False,True,False
27,ABCB1,0.4403142501876301,0.659409123974384,2.9095218818683578e-11,0.01488802868619563,-0.2190948737867539,0.5508755346228567,luad,False,True,False
28,ABCB10,0.7304491295678168,0.563848899801957,5.149997065073454e-08,4.594032520087289e-06,0.16660022976585986,0.22777808373714703,luad,True,True,False
29,ABCB5,0.3552566441958138,-0.015763217978924375,0.9191079673968608,0.14797722420571324,0.3710198621747382,0.17209573183994753,luad,False,False,False
30,ABCB6,0.6798812239759376,0.7165047579118857,7.847241728099093e-14,3.58731652709043e-05,-0.03662353393594808,0.8225343493103028,luad,False,True,False
