,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,-0.04369962544809992,0.21939533579330708,0.09500641480764734,0.7705453406397346,-0.263094961241407,0.1766780910837723,lscc,False,False,False
1,A2M,0.39620735071527174,0.31309365575283715,0.014015494538775472,0.005834460046370265,0.08311369496243459,0.6514738986525765,lscc,False,False,False
2,A2ML1,0.8277878355083129,0.8395294519739244,2.855717725615608e-17,7.171637342578261e-13,-0.011741616465611449,0.7886896363820071,lscc,True,True,False
3,A4GALT,0.1653842395342175,0.4081240603558901,0.008075436402708814,0.3912393829002478,-0.2427398208216726,0.15236152550779394,lscc,False,False,False
4,AAAS,0.1755789095940774,0.32315341115740626,0.011077318822947203,0.23780428714309407,-0.14757450156332885,0.39378881755349515,lscc,False,False,False
5,AACS,0.725241078557443,0.6166709043773608,1.2116875071020257e-07,8.128255497112384e-09,0.10857017418008219,0.44927896162858993,lscc,True,True,False
6,AADAC,0.6526110239630305,0.7383049035154459,1.1203820650117611e-11,6.664496532299865e-07,-0.08569387955241536,0.5152520183839726,lscc,True,True,False
7,AAGAB,0.4458112062440772,0.5141445314787951,2.251584278095901e-05,0.0016864088386054318,-0.06833332523471791,0.6764295591017863,lscc,False,False,False
8,AAK1,0.6583478839515776,0.6905445921909594,7.369074902359958e-10,4.914103684761003e-07,-0.03219670823938181,0.7419866443798226,lscc,True,True,False
9,AAMDC,0.5074031570342371,0.6405391727578963,2.7054934020609948e-08,0.0002724205478587353,-0.13313601572365918,0.2542588104065837,lscc,False,True,False
10,AAMP,0.7080575303624368,0.6393132759798893,2.9312953690402683e-08,2.597647708338441e-08,0.0687442543825475,0.5537777680344789,lscc,True,True,False
11,AAR2,0.5384787699296901,0.6015313476971886,2.9448093242470684e-07,9.447077501782191e-05,-0.06305257776749851,0.5844864830195677,lscc,False,True,False
12,AARS,0.8508913593415535,0.8331176837849952,8.24331828640215e-17,3.626390435157887e-14,0.017773675556558288,0.7696822577751186,lscc,True,True,False
13,AARS2,0.6210834678634367,0.7032360376369086,2.626066759346635e-10,3.191119757160463e-06,-0.08215256977347185,0.42639918286134937,lscc,True,True,False
14,AARSD1,0.5862727562590435,0.5106636931489107,2.6128022102062816e-05,1.4900513134570514e-05,0.07560906311013282,0.6160942076495142,lscc,False,False,False
15,AASDHPPT,0.6402335029582613,0.6812341358342043,1.520376684276651e-09,1.2588678869188125e-06,-0.04100063287594302,0.6892845453897408,lscc,True,True,False
16,AASS,0.8516312629604166,0.7666503929753837,5.920603588206038e-13,3.2689980710010334e-14,0.08498086998503285,0.23531807295515417,lscc,True,True,False
17,AATF,0.5725455527913066,0.5868569195933652,6.672862673857905e-07,2.608654510530736e-05,-0.014311366802058578,0.911276274767937,lscc,False,True,False
18,ABAT,0.7569672676147622,0.8699213432349534,9.136937671513767e-20,7.444590994172232e-10,-0.11295407562019122,0.04346035202262487,lscc,True,True,False
19,ABCA1,0.6546959556515165,0.689011337962257,8.317889751155173e-10,5.970368071776484e-07,-0.034315382310740494,0.672049136699689,lscc,True,True,False
20,ABCA12,0.3819822565444181,0.6115834611149256,1.8637374588865824e-06,0.012550135228220821,-0.22960120457050748,0.2513371895803449,lscc,False,True,False
21,ABCA13,0.00955373555728377,0.3925457446285514,0.005785854048077348,0.9565613951267969,-0.3829920090712676,0.06942775948597973,lscc,False,False,False
22,ABCA2,-0.22271377918212798,-0.009810591181144985,0.9444159353416646,0.16718047171527764,-0.21290318800098298,0.30049389660637105,lscc,False,False,False
23,ABCA3,0.684729667283377,0.7342349792486866,1.6569713296017048e-11,1.1086057847586158e-07,-0.049505311965309606,0.5823110084570575,lscc,True,True,False
24,ABCA6,0.48929519742998206,0.3782670109891969,0.0031371583110669705,0.0006473992394632121,0.11102818644078516,0.4665317454544893,lscc,False,False,False
25,ABCA8,0.2623576346378399,0.500480942809136,4.000776309769289e-05,0.07482209976842932,-0.23812330817129612,0.19098418419866514,lscc,False,False,False
26,ABCB1,0.46098346423352016,0.3975613832801329,0.001510323551179681,0.0011102360649483777,0.06342208095338725,0.7400726426726996,lscc,False,False,False
27,ABCB10,0.5762958093926237,0.6379155817731196,3.210433839306162e-08,2.244164115780257e-05,-0.061619772380495874,0.5681294864381807,lscc,False,True,False
28,ABCB5,0.10737243194235871,0.04461619436800354,0.7608212479216533,0.509600581843888,0.06275623757435517,0.768663830673228,lscc,False,False,False
