,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,-0.1001305535454804,-0.050070037955716094,0.6874038774628285,0.5229136555839557,-0.0500605155897643,0.8156414859400827,luad,False,False,False
1,A2M,0.399468952015355,0.3541122944323008,0.0032833044568346048,0.007959152130526621,0.04535665758305418,0.7737709071044608,luad,False,False,False
2,AAAS,0.3199260203238695,0.2013656809157269,0.10225546215206902,0.036492781639234945,0.11856033940814262,0.5147788998569822,luad,False,False,False
3,AACS,0.7959206190009619,0.7842646017474241,4.171126286984308e-15,1.778817136345388e-10,0.01165601725353782,0.8819864908085896,luad,True,True,False
4,AADAC,0.5462459145085048,0.717523857977506,1.7538150033872332e-11,0.00015111233053071156,-0.17127794346900116,0.1800905196917333,luad,False,True,False
5,AADAT,0.7413502508697194,0.4820420556427504,0.014681578564826145,0.0024103338177764526,0.259308195226969,0.33843677058981136,luad,False,False,False
6,AAED1,0.11412228507607146,0.12403126078669677,0.4338706385696314,0.5481861863289096,-0.009908975710625309,0.9532967747344705,luad,False,False,False
7,AAGAB,0.7008796454973762,0.5678935019076107,5.386709853501806e-07,1.6633644954086773e-07,0.13298614358976557,0.21279401562220268,luad,True,True,False
8,AAMDC,0.7605640277570465,0.6002141095722355,7.940276223401054e-08,3.2653093795488117e-09,0.16034991818481092,0.25208997547570444,luad,True,True,False
9,AAMP,0.2874871372551561,0.504465818520132,1.3442959138594075e-05,0.06158019133774926,-0.21697868126497583,0.30077784542920893,luad,False,False,False
10,AAR2,0.6162899331436426,0.5638328487084432,6.754667217243199e-07,1.0829559034737384e-05,0.052457084435199364,0.7127076104234168,luad,False,True,False
11,AARS,0.9016733465955924,0.9020743760471401,2.070732265381595e-25,1.6128872955878217e-16,-0.00040102945154774083,0.9748142099079561,luad,True,True,False
12,AARS2,0.6412227812048149,0.5956020435427541,1.0570509136312495e-07,3.6080279451770143e-06,0.04562073766206076,0.7458155780106565,luad,True,True,False
13,AARSD1,0.7978199476369545,0.725337173603107,3.8637922719651625e-12,1.497377793906399e-10,0.07248277403384751,0.3609302432524074,luad,True,True,False
14,AASDHPPT,0.7444509178099113,0.7616217281518608,7.258149319582294e-14,1.048336884555431e-08,-0.01717081034194945,0.8992363736949562,luad,True,True,False
15,AASS,0.6691899032556925,0.7611214132291809,7.703375849271718e-14,9.29784326913555e-07,-0.09193150997348842,0.3870375481092061,luad,True,True,False
16,AATF,0.4374791501727915,0.30951278055259346,0.010812112541793664,0.003350213532489516,0.12796636962019803,0.4128612080427494,luad,False,False,False
17,AATK,0.6217744977177534,0.8451143627297625,6.961197769732859e-12,0.0034242280994711354,-0.2233398650120091,0.04003486847382002,luad,False,True,False
18,ABAT,0.8635225808300642,0.8774169854751606,2.0577782859203856e-22,9.201342323577601e-14,-0.013894404645096392,0.7927072424757498,luad,True,True,False
19,ABCA1,0.5598385536003382,0.6650211141829225,8.362836667099154e-10,9.486184227395524e-05,-0.10518256058258435,0.46136192149735744,luad,False,True,False
20,ABCA12,0.3067484278971578,0.030217656949210657,0.8202745293890084,0.07763922718072858,0.27653077094794715,0.2734088858390672,luad,False,False,False
21,ABCA13,0.4304655879633784,0.17728496902732574,0.1911655794988281,0.00782634863100444,0.2531806189360527,0.1861433944571086,luad,False,False,False
22,ABCA2,0.5309572006839607,0.3023065015050883,0.024881280545179265,0.0014774377031720378,0.22865069917887237,0.315704361640917,luad,False,False,False
23,ABCA3,0.5899586852934614,0.7442761933368685,5.273045064325743e-13,3.134617437363207e-05,-0.15431750804340705,0.1507580251370108,luad,False,True,False
24,ABCA6,0.2968946668016339,0.269510745457215,0.03127043907239347,0.05942803671759128,0.027383921344418916,0.8706028838050106,luad,False,False,False
25,ABCA7,0.23034610957487478,0.16658924076989018,0.2978754750299173,0.22072684776287255,0.0637568688049846,0.7699074099496589,luad,False,False,False
26,ABCA8,0.3892830129827564,0.6242732371596712,1.6541349967549845e-08,0.009875865882801128,-0.23499022417691479,0.11424743811211875,luad,False,True,False
27,ABCB1,0.5758870336203342,0.6418259140769877,4.828009969343161e-09,5.3300608644842284e-05,-0.06593888045665353,0.8699080767109708,luad,False,True,False
28,ABCB10,0.6660307889887133,0.5481113791080094,1.5777605234406249e-06,1.091437863515451e-06,0.11791940988070382,0.34137805091456797,luad,True,True,False
29,ABCB5,0.008285485655785843,0.19777485779289705,0.24065111257851085,0.9686455996122261,-0.1894893721371112,0.4443767390273655,luad,False,False,False
30,ABCB6,0.7110137955850867,0.7215694295940819,5.631202667165333e-12,9.14757012140342e-08,-0.010555634008995174,0.9453530072341713,luad,True,True,False
31,ABCB7,0.4373292384746545,0.6909220416799879,9.744865829100622e-11,0.0033623234183162323,-0.25359280320533345,0.022762859051401147,luad,False,True,False
32,ABCB8,0.5294346989213831,0.45427496631652037,0.00011272049550753448,0.00026162979232890446,0.0751597326048627,0.5590248338249155,luad,False,False,False
33,ABCC1,0.7204496377103955,0.3006579116056415,0.013429655564987248,5.122313229627629e-08,0.419791726104754,0.0716828111277558,luad,True,False,False
34,ABCC10,0.35557430438443743,0.0722578124911859,0.5898694525547833,0.03903901431023179,0.28331649189325153,0.2575578036452483,luad,False,False,False
35,ABCC2,0.73306776000229,0.6520233423090257,1.6455076056671683e-05,4.608563942739507e-05,0.08104441769326431,0.6768736843946783,luad,False,False,False
36,ABCC3,0.8192884069724995,0.8218570154867035,1.55830461566048e-17,1.8656866646475085e-11,-0.0025686085142040405,0.9526982142129211,luad,True,True,False
