Tissue	Gene	m	b
Normal	AACS	22.2948762616768	-59.13644831974835
Normal	AADAC	2.396066191388924	-3.123955595009062
Normal	AADAT	148.10037629137034	-223.8540432382632
Normal	AAGAB	64.47099967020574	-242.57058387701298
Normal	AAMDC	14.475629364003048	-52.41864018748974
Normal	AAMP	137.70059396288897	-694.494776383464
Normal	AARS	4.025057092758922	-20.48909321380678
Normal	AARS2	141.99233607412555	-366.8199746423018
Normal	AARSD1	22.123258967555426	-79.88405237548949
Normal	AASDHPPT	8.340368540815579	-29.014172573506453
Normal	AASS	10.119575251831673	-47.818888667787235
Normal	AATF	131.7020577335807	-561.6044573679937
Normal	AATK	36.56005770207417	-96.73934852999233
Normal	ABAT	3.9522546202237367	-7.766708740293398
Normal	ABCA1	6.234458945450278	-31.902470991512697
Normal	ABCA12	154.47934728978552	452.62763143918284
Normal	ABCA3	4.397023683804753	-25.43073447947744
Normal	ABCB10	178.71154402789077	-527.1298996228938
Normal	ABCB6	34.265281358546446	-63.27402516123538
Normal	ABCB7	104.94574997642518	-397.32763013234774
Normal	ABCB8	61.37547502501499	-127.94712845823138
Normal	ABCC2	208.46443435375255	210.75707975393428
Normal	ABCC3	147.79615545872628	-391.397878224844
Normal	ABCC4	27.69799496760585	-113.4455291133746
Normal	ABCC5	62.33367960037103	-176.53927793270105
Normal	ABCC6	63.405153706719304	-149.30041396833366
Normal	ABCD1	5.251636946249611	-7.5780367894257035
Normal	ABCD3	11.040428088911725	-51.63552852262569
Normal	ABCD4	157.0896127246524	-528.9784033543128
Normal	ABCE1	38.30158650114583	-153.15668793943632
Normal	ABCF1	130.04888975493304	-549.5255139593038
Normal	ABCF2	194.5829999067023	-675.2127392829084
Normal	ABCF3	82.37903778728521	-328.9976392436799
Normal	ABHD10	13.907887408485028	-46.43376145121505
Normal	ABHD11	15.95444869220565	-48.97869786988288
Normal	ABHD13	120.91320323711905	-342.42311348936556
Normal	ABHD14B	7.428703616681608	-27.09449303622731
Normal	ABHD16A	19.896671943054884	-84.36179254250615
Normal	ABHD17A	131.82176220309236	-546.6624974813138
Normal	ABHD17B	118.82869377882481	-334.467549879058
Normal	ABHD17C	171.87976650708868	-530.4550058632984
Normal	ABHD4	15.489832157211985	-39.36386995731457
Normal	ABHD6	4.489169619333963	-12.429677215271768
Normal	ABI1	130.28272662615214	-611.8102525328628
Normal	ABI3	2.2296762609800904	-5.717108356335801
Normal	ABL2	81.23616832602632	-269.3345082372086
Normal	ABLIM1	12.897029033006502	-66.3644268869372
Normal	ABLIM3	6.356022596892244	-16.1282833917712
Normal	ABT1	153.2871132050678	-463.16985234446054
Normal	ABTB1	197.79120305393712	-704.2268015777947
Normal	ACAA2	9.556767169473858	-39.31245381992744
Normal	ACACA	3.50071272445155	-14.547201759133353
Normal	ACAD10	197.34325756843884	-508.8317677824204
Normal	ACAD8	13.450016837179264	-47.10606015614849
Normal	ACAD9	134.69608664166998	-550.4622704042165
Normal	ACADL	33.689395544908116	-148.30290838300792
Normal	ACADM	24.863928774627613	-94.62362483061389
Normal	ACADS	13.774858765639587	-43.752790147817024
Normal	ACADSB	4.893636601006913	-15.05844203035045
Normal	ACADVL	46.845476952680976	-298.8716783943267
Normal	ACAP2	34.41681632536532	-151.92145278338552
Normal	ACAP3	146.07599868890642	-406.956729510865
Normal	ACAT1	11.923163700326079	-54.83549620942746
Normal	ACBD3	12.55537113307162	-59.10996432405101
Normal	ACBD5	21.419801781739082	-78.31135381234841
Normal	ACBD6	131.9836075896342	-545.386356068553
Normal	ACBD7	3.546698046583383	3.2520689202187674
Normal	ACE2	48.956105262055594	-9.496580955515956
Normal	ACHE	64.48122489263989	64.61864136943097
Normal	ACLY	41.47167971697328	-203.79080689446437
Normal	ACO1	4.66119273216851	-17.791591135464305
Normal	ACOT1	1.4060962493216256	0.0022829938985131464
Normal	ACOT11	29.322403858511898	-34.02896208462211
Normal	ACOT13	19.11050792005388	-57.19986021720074
Normal	ACOT7	2.410031055282353	-6.036390715167914
Normal	ACOT8	162.19724176665522	-608.8502020360323
Normal	ACOT9	148.31311444830084	-554.1020476888722
Normal	ACOX2	14.819177565953588	-37.065309886638204
Normal	ACOX3	121.45627865890226	-380.07997638255415
Normal	ACP1	135.38852208714317	-611.6537954248815
