,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.3766584585045391,0.3890670972491965,0.0014860718611807637,0.036745066775778046,-0.012408638744657419,0.9417741700739747,en,False,False,False
1,A2M,0.27283278454260823,-0.08343721797105275,0.512154681776855,0.13754843383754958,0.356270002513661,0.18140564850305474,en,False,False,False
2,A2ML1,0.7548013782739935,0.8638108987006471,1.040894296703849e-17,5.384830615748484e-06,-0.10900952042665357,0.24546474343011293,en,False,True,False
3,A4GALT,0.5694943224742054,0.5030578437062371,0.00042817375707772257,0.0045613908512639485,0.06643647876796832,0.7842515524766216,en,False,False,False
4,AAAS,0.3770226116836573,0.36168056687275124,0.0033190709022072476,0.03654886697837356,0.015342044810906064,0.9460255804980517,en,False,False,False
5,AACS,0.850258418868666,0.8324670410582815,1.5201900838549136e-17,1.4111032428061231e-09,0.017791377810384534,0.8054791443891076,en,True,True,False
6,AADAT,0.49510527200378596,0.526364743159738,1.3180817941460769e-05,0.00632026963758718,-0.03125947115595207,0.8998272837328399,en,False,False,False
7,AAED1,0.044989538390504395,0.45956239684086075,0.00022093141243062874,0.8201723395947185,-0.41457285845035635,0.10139537940535212,en,False,False,False
8,AAGAB,0.6826031506714639,0.6752536175909941,9.357004858736516e-10,2.333135164901781e-05,0.007349533080469817,0.926747881123527,en,False,True,False
9,AAK1,0.6507040923918077,0.7437350086550423,1.916520260886415e-12,7.390852307390667e-05,-0.09303091626323456,0.39780009966713914,en,False,True,False
10,AAMDC,0.5717586304984718,0.5861035858509891,3.6123903223855127e-07,0.0007789913406725698,-0.014344955352517341,0.8518830958861984,en,False,True,False
11,AAMP,0.5247161641007483,0.6669032633700476,1.7812669235703668e-09,0.002441777094471925,-0.1421870992692993,0.5794007251452338,en,False,True,False
12,AAR2,0.2298199149330913,0.39144467505907105,0.0013813931162916524,0.21359948730953213,-0.16162476012597973,0.5595179257216673,en,False,False,False
13,AARS,0.7473300246885366,0.8908308482279724,6.453284318071083e-23,1.3629099691443143e-06,-0.14350082353943583,0.11926623591500934,en,True,True,False
14,AARS2,0.45837354049763895,0.4644831587306897,0.00011047318334512265,0.009505634541802465,-0.006109618233050729,0.976423400352125,en,False,False,False
15,AARSD1,0.37458413714581257,0.12127252999300639,0.3397860353407135,0.03787893776907597,0.2533116071528062,0.5978121550393802,en,False,False,False
16,AASDHPPT,0.6194357652675727,0.595508611240273,2.0968582791075004e-07,0.00020263498666723016,0.023927154027299724,0.8517470542920187,en,False,True,False
17,AASS,0.8483926442436264,0.8862090810511349,2.17391034756409e-22,1.6674688996546427e-09,-0.03781643680750857,0.477400775326125,en,True,True,False
18,AATF,0.2865668735012981,0.5568442654176106,1.7664704774560939e-06,0.11806345892726114,-0.27027739191631245,0.25132450520271643,en,False,True,False
19,ABAT,0.626188123644888,0.7284288912736893,8.98211729644452e-12,0.00016448064076144984,-0.1022407676288013,0.5834930328541432,en,False,True,False
20,ABCA8,0.43424687594482775,0.5701295598873882,1.9831523831651004e-06,0.018584696776285978,-0.13588268394256048,0.4109910565686815,en,False,True,False
21,ABCB1,0.6433611631879103,0.6761866466571086,8.696300405575795e-10,9.460667487393936e-05,-0.032825483469198335,0.8375789120580753,en,False,True,False
22,ABCB10,0.2668520152646689,0.43388070845194837,0.0003412810743578983,0.14673002496113477,-0.16702869318727948,0.3810370391125467,en,False,False,False
23,ABCB6,0.5594852810567492,0.6684836978235624,1.5794128764388146e-09,0.0010667389179806939,-0.10899841676681321,0.5851422344900757,en,False,True,False
24,ABCB7,0.307622238708189,0.14876759759911962,0.24070509810689394,0.09228119385857017,0.15885464110906938,0.49489311172988015,en,False,False,False
25,ABCB8,0.5237550586501774,0.21005512490059097,0.0957204853558109,0.0024952540504637796,0.3136999337495864,0.1612439586615909,en,False,False,False
26,ABCC1,0.06689344409013792,0.398507728246878,0.0011083831635506228,0.7206857924719691,-0.3316142841567401,0.12098523421645241,en,False,False,False
27,ABCC10,-0.023122611625208456,-0.07959155187840805,0.5455081108453586,0.9070261974003062,0.056468940253199595,0.7709651075682347,en,False,False,False
28,ABCC3,0.7343320960563434,0.7335425286209774,5.4244352316803126e-12,2.5713188904434916e-06,0.0007895674353660675,0.9861523260607589,en,True,True,False
29,ABCC4,0.8278605821587637,0.6274825041963503,2.877683827441064e-08,9.146522104258144e-09,0.20037807796241336,0.1299749045603353,en,True,True,False
30,ABCD1,0.39914856508875446,0.704768018953885,8.053879067767598e-11,0.026120730510859492,-0.3056194538651305,0.20712622255931346,en,False,True,False
31,ABCD3,0.2752635722250077,0.3511196350324473,0.004444275228561252,0.1339392383284461,-0.07585606280743962,0.7513723215837456,en,False,False,False
32,ABCD4,0.3371524085602124,0.25699314616733965,0.040364987701166505,0.06362912982627562,0.08015926239287274,0.7455596186626392,en,False,False,False
33,ABCE1,0.5529243724792852,0.5783922320795085,5.571745662200839e-07,0.0012557713554753255,-0.025467859600223353,0.9098419698228142,en,False,True,False
34,ABCF1,0.700517164138337,0.6644004104983248,2.151833614194902e-09,1.1451160000438608e-05,0.03611675364001221,0.7537861298773658,en,False,True,False
35,ABCF2,0.8075730718617611,0.8239259090215865,6.204862078624669e-17,4.002828855067208e-08,-0.016352837159825384,0.8121908381024022,en,True,True,False
36,ABCF3,0.27185816401136803,0.7355769942737571,4.424045180039246e-12,0.1390153009734957,-0.4637188302623891,0.01747306666680964,en,False,True,False
37,ABCG1,0.7216950012059556,0.7998146946840045,2.2579759732254463e-15,4.607501066290029e-06,-0.07811969347804881,0.5135049167533932,en,True,True,False
38,ABHD10,0.18782328077470506,0.37973877975721465,0.0019690892304848125,0.3116228838036518,-0.1919154989825096,0.3666698078876015,en,False,False,False
39,ABHD11,0.7961953130765242,0.6709771529809861,1.3044973784684878e-09,8.510288428282579e-08,0.1252181600955381,0.34191802425980633,en,True,True,False
40,ABHD12,0.310128832745765,0.39927001865963985,0.0010820409529712595,0.08952301284565306,-0.08914118591387482,0.6486684458201335,en,False,False,False
41,ABHD13,0.06261415039596564,0.00014116252304933625,0.9991459141568724,0.7469433954592161,0.06247298787291631,0.8181862787136762,en,False,False,False
42,ABHD14A,0.239502529218658,0.25501917578375854,0.2402477575600273,0.5051203810589868,-0.015516646565100545,0.9984516281952603,en,False,False,False
43,ABHD14A-ACY1,0.32510090108380446,0.13263581658269347,0.29611630303400327,0.07433709641319892,0.192465084501111,0.4879429003818999,en,False,False,False
44,ABHD14B,0.6653021979767135,0.5377305644528407,4.603702393080155e-06,4.4348424051362224e-05,0.1275716335238728,0.47770295568168164,en,False,True,False
45,ABHD16A,0.5528367410084651,0.5505716653203081,2.4348221078120685e-06,0.0012584824068534637,0.0022650756881570366,0.9943379987627199,en,False,True,False
46,ABHD17A,0.19581143402026685,0.06352738373019247,0.7297811438633,0.4843024190606581,0.1322840502900744,0.587384795913104,en,False,False,False
47,ABHD17B,0.3288617216596824,0.4196002408490413,0.0009391016745731892,0.07599015394907493,-0.09073851918935888,0.6848958996152039,en,False,False,False
48,ABHD17C,0.642247292986007,0.5620335800918526,0.0010003320041245898,0.005436871929750997,0.08021371289415447,0.6363712966132038,en,False,False,False
49,ABHD2,0.8505937468895074,0.6298246292294231,0.008929546082193039,0.00022848145514236306,0.22076911766008434,0.5762028138694542,en,False,False,False
50,ABHD3,0.5302159384850675,0.38705185465537034,0.0026868244820335433,0.00533271953378548,0.1431640838296972,0.520541900007804,en,False,False,False
51,ABHD4,0.3464225431789278,0.49502964913323994,3.205172614133433e-05,0.05624558556581053,-0.14860710595431215,0.4897142184712764,en,False,False,False
52,ABHD5,0.5353708434515583,0.40354259832382,0.0013875939260425316,0.0027647749298918157,0.13182824512773827,0.4432734093938818,en,False,False,False
53,ABHD6,0.7595481054057216,0.8663835885505252,2.3266871341313514e-20,7.242808010783166e-07,-0.10683548314480362,0.32684963708654957,en,True,True,False
54,ABI1,0.43728637326909325,0.5820732426581212,4.536911155974502e-07,0.013896141754537164,-0.14478686938902796,0.4668533647575127,en,False,True,False
55,ABI2,0.5010309819688405,0.6512757926882774,5.633766745067833e-09,0.004091113192493152,-0.15024481071943685,0.25805039717472367,en,False,True,False
56,ABI3,0.7286593711930426,0.7863571489003796,1.3665789515448035e-14,3.3541291448607634e-06,-0.05769777770733697,0.5598665453475391,en,True,True,False
57,ABI3BP,0.5980997445860166,0.6913533844356308,2.545287367881407e-10,0.00037999912391027793,-0.09325363984961421,0.4626533020531889,en,False,True,False
58,ABL1,0.2912924605055675,0.5353578586785843,5.164004785152691e-06,0.1118579004668639,-0.2440653981730168,0.261571031191016,en,False,False,False
59,ABL2,0.3029020884845048,0.5526966964855881,2.1856055612653687e-06,0.09764994161073226,-0.24979460800108327,0.22863282753319636,en,False,True,False
60,ABLIM1,0.8679176811863096,0.6234219720952037,3.749602606767097e-08,2.5761639430250834e-10,0.24449570909110596,0.04180918221452332,en,True,True,False
