,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.3481243947326663,0.38797991567773343,0.0026186431585370853,0.03473565921603968,-0.03985552094506711,0.8211037672991848,en,False,False,False
1,A2M,0.200616921019155,-0.0637906602017386,0.6342705790380144,0.23382177534154935,0.2644075812208936,0.3115953536221763,en,False,False,False
2,A2ML1,0.8668589499901819,0.8176132749927767,4.5526155313936614e-14,1.1958516047602948e-09,0.049245674997405176,0.5568855512207361,en,True,True,False
3,A4GALT,0.5799636182575134,0.44043249479113394,0.003953451928583761,0.001519869795837359,0.13953112346637947,0.5737783514464077,en,False,False,False
4,AAAS,0.4250200352082282,0.3684302004958304,0.004432152707681942,0.008736311312945527,0.05658983471239776,0.707058701101395,en,False,False,False
5,AACS,0.883757674208866,0.7350199232293181,5.057571737384336e-11,4.3057633871056997e-13,0.1487377509795479,0.12310875025689481,en,True,True,False
6,AADAT,0.6413079686099048,0.40466042308294975,0.0021814679654453125,3.307973807474735e-05,0.23664754552695505,0.23348636597901495,en,False,False,False
7,AAED1,0.2892261431436663,0.34872811853053415,0.01214320892993913,0.08252222628999599,-0.059501975386867856,0.791555234961687,en,False,False,False
8,AAGAB,0.590810836236792,0.7128658199434459,3.439960523983734e-10,0.00011819714620141586,-0.12205498370665391,0.2814177027734379,en,False,True,False
9,AAK1,0.6540109759133863,0.7245703243312939,1.2783658751766878e-10,1.1341874864913135e-05,-0.07055934841790756,0.48696942984890523,en,False,True,False
10,AAMDC,0.5683504316417425,0.6620696707109521,1.5177898212415855e-08,0.00024282600222638923,-0.09371923906920965,0.40537641625558807,en,False,True,False
11,AAMP,0.30689200408592837,0.6930198193179501,1.6558482294811228e-09,0.06466810958709734,-0.3861278152320217,0.06847383652297805,en,False,True,False
12,AAR2,0.10736328353999434,0.43764422010277587,0.0005915188140321396,0.5270714324439536,-0.3302809365627815,0.18424916638231714,en,False,False,False
13,AARS,0.8594377659107006,0.8550328000597684,1.320105463718024e-17,9.781517334900089e-12,0.0044049658509321965,0.920265463333406,en,True,True,False
14,AARS2,0.5745149105733792,0.4351346681918382,0.0006412424241450585,0.000200321377292236,0.139380242381541,0.4105192095383303,en,False,False,False
15,AARSD1,0.3809240873348355,0.09076549555888754,0.49802377086307925,0.02001815734793809,0.290158591775948,0.5081394213028825,en,False,False,False
16,AASDHPPT,0.5440898413053533,0.6392098448807425,6.651338447788487e-08,0.0004997083274093629,-0.09512000357538919,0.5161257305147922,en,False,True,False
17,AASS,0.8460647162418931,0.882075825066623,5.92937767758082e-20,4.291334422266535e-11,-0.03601110882472991,0.47085294469870387,en,True,True,False
