,gene,mutated_correlation,non_mutated_correlation,non_mutated_p_vals,mutated_p_vals,delta_correlation,delta_correlation_pval,cancer,sig_mut_pvals,sig_wt_pvals,sig_delta_corr_pval
0,A1BG,0.0826415900369286,0.13722395699925113,0.24039600948592804,0.6585053874405615,-0.054582366962322534,0.8107772564176059,lscc,False,False,False
1,A2M,0.39773655553728104,0.3281811409250023,0.004047115906128725,0.021893528115920387,0.06955541461227877,0.715260040751182,lscc,False,False,False
2,A2ML1,0.8246262967737512,0.8376354734335659,7.442188768628491e-21,3.6320053321419923e-09,-0.013009176659814714,0.7586709828530823,lscc,True,True,False
3,A4GALT,0.42132696698979993,0.26043891422334975,0.07705205668454387,0.04525726874298844,0.16088805276645018,0.40378678811458346,lscc,False,False,False
4,AAAS,0.35192362034933833,0.20674000225579206,0.07513664335137749,0.04459406262387573,0.14518361809354627,0.4503123589999771,lscc,False,False,False
5,AACS,0.5439616083770933,0.7336750133093481,7.051912891340973e-14,0.0010674431201177826,-0.18971340493225486,0.22555044615765918,lscc,False,True,False
6,AADAC,0.8180326812453808,0.6164994021534187,3.893455319057575e-09,6.1293975838189385e-09,0.20153327909196206,0.13927769313019248,lscc,True,True,False
7,AAGAB,0.6677921917350262,0.38605514251558376,0.000624320277087886,2.1780027866608277e-05,0.2817370492194425,0.10293884387172962,lscc,False,False,False
8,AAK1,0.7198703394315776,0.6387852649313097,6.980590044919385e-10,2.3347234737162894e-06,0.08108507450026792,0.419362319863532,lscc,True,True,False
9,AAMDC,0.5675344589581577,0.5834570287844407,3.939171478754101e-08,0.000572077518705419,-0.01592256982628304,0.9005430141312265,lscc,False,True,False
10,AAMP,0.7396930803871216,0.6145496298488929,4.49655548054151e-09,8.724559183575435e-07,0.12514345053822862,0.3072466472283798,lscc,True,True,False
11,AAR2,0.4676893805474408,0.6260582526256012,1.8941617871144556e-09,0.006060825228495772,-0.15836887207816042,0.204349323760744,lscc,False,True,False
12,AARS,0.8423303933415606,0.8287278233937557,4.4237080033762724e-20,7.949231661952154e-10,0.013602569947804843,0.8269054758145057,lscc,True,True,False
13,AARS2,0.5968148683346974,0.7221943278140099,2.621342075942529e-13,0.00024625145009581664,-0.1253794594793125,0.2597590023905675,lscc,False,True,False
14,AARSD1,0.5201301447939943,0.5549913949905946,2.376007012035848e-07,0.0019179139251900487,-0.034861250196600246,0.8620465237638257,lscc,False,True,False
15,AASDHPPT,0.543521815322806,0.6754406972628761,2.9887802518293934e-11,0.001079472891594271,-0.13191888194007018,0.2375347122552075,lscc,False,True,False
16,AASS,0.7888099988939581,0.8094772530081553,1.5008556061922565e-18,4.95786424404e-08,-0.02066725411419723,0.7096332422438537,lscc,True,True,False
17,AATF,0.6156129131930721,0.5768848701204122,6.056216465379586e-08,0.00013712065010233507,0.03872804307265987,0.7535649893764556,lscc,False,True,False
18,ABAT,0.8061229733068656,0.8319138564919237,2.3665831480143532e-20,1.498851559726689e-08,-0.025790883185058178,0.6976805558829885,lscc,True,True,False
19,ABCA1,0.6326975114757034,0.7273559184453138,1.4646162046668065e-13,7.789548232755177e-05,-0.09465840696961036,0.27626129527285603,lscc,False,True,False
20,ABCA12,0.765781703755918,0.4328978278057502,0.0002830240804284501,3.2416497501946844e-06,0.33288387595016783,0.14292031624428483,lscc,True,False,False
21,ABCA13,0.205226423586786,0.21666405413686526,0.10548353305145076,0.3145380277657678,-0.011437630550079264,0.975405063196734,lscc,False,False,False
22,ABCA2,-0.014754137638312686,-0.11530437328175845,0.36425576353874956,0.9394489538940127,0.10055023564344577,0.6410507449059111,lscc,False,False,False
23,ABCA3,0.6595283959147585,0.729419316080784,1.1562520102317921e-13,2.9839655729478857e-05,-0.0698909201660255,0.4684850764771147,lscc,False,True,False
24,ABCA6,0.489747826133733,0.3883257014339573,0.0007497590038070948,0.004440054982912478,0.10142212469977574,0.5266743496215334,lscc,False,False,False
