Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.16649736042233243,0.5841274219231636,0.97653380783353,CCRCC,SETD2
A1CF,-0.03675611902095666,0.9041035903981994,0.9946603784547045,CCRCC,SETD2
A2M,-0.2679531274996001,0.3348257653888468,0.9695926166232783,CCRCC,SETD2
AAAS,-0.0050291953287474045,0.9960645144086282,0.9996339908493357,CCRCC,SETD2
AACS,0.16867901135818275,0.35334854160811935,0.9695926166232783,CCRCC,SETD2
AAGAB,-0.13033914573668215,0.601195129559525,0.97653380783353,CCRCC,SETD2
AAK1,-0.19499280115181572,0.3704774010532459,0.9695926166232783,CCRCC,SETD2
AAMP,-0.030293153095504732,0.9922945622857754,0.9996339908493357,CCRCC,SETD2
AAR2,0.2387278035514318,0.3157477779751173,0.9695926166232783,CCRCC,SETD2
AARS,0.03444448888177887,0.6240918895121368,0.97653380783353,CCRCC,SETD2
AARS2,-0.0662054071348584,0.8493087482305957,0.9946603784547045,CCRCC,SETD2
AARSD1,-0.1159154535274356,0.62949182051555,0.97653380783353,CCRCC,SETD2
AASDHPPT,0.054061350183970514,0.7018276118461695,0.9849168676775295,CCRCC,SETD2
AASS,0.04640257558790595,0.7942833186856334,0.9943504028798699,CCRCC,SETD2
AATF,-0.15225363941769315,0.6152636782299639,0.97653380783353,CCRCC,SETD2
ABAT,-0.2131139017757159,0.4777267178411949,0.973029975926025,CCRCC,SETD2
ABCA1,-0.06937298867932387,0.8376578498207737,0.9943504028798699,CCRCC,SETD2
ABCA2,0.046989340247767186,0.8399638075150428,0.9943504028798699,CCRCC,SETD2
ABCB1,0.16152415613501836,0.22010764193445942,0.9695926166232783,CCRCC,SETD2
ABCB10,-0.06104023356263,0.8519451068537356,0.9946603784547045,CCRCC,SETD2
ABCB6,-0.06847504399296112,0.8288767549206579,0.9943504028798699,CCRCC,SETD2
ABCB8,0.17505599104143332,0.3042364904848742,0.9695926166232783,CCRCC,SETD2
ABCC1,0.2504499280115182,0.22396684627180485,0.9695926166232783,CCRCC,SETD2
ABCC2,-0.28634418493041114,0.1330824448549706,0.9695926166232783,CCRCC,SETD2
ABCC3,0.025897856342985137,0.7290727760674036,0.9910738747194856,CCRCC,SETD2
ABCC4,-0.1903975363941769,0.4708125334417843,0.973029975926025,CCRCC,SETD2
ABCC6,-0.019314909614461695,0.9778128950413844,0.9996339908493357,CCRCC,SETD2
ABCD1,-0.028291473364261743,0.9738664341500972,0.9996339908493357,CCRCC,SETD2
ABCD3,-0.006726923692209286,0.93593957095317,0.9987553126807193,CCRCC,SETD2
ABCE1,-0.30511918093105106,0.24672029360149839,0.9695926166232783,CCRCC,SETD2
ABCF1,0.13850183970564706,0.5601482709691284,0.97653380783353,CCRCC,SETD2
ABCF2,0.03151695728683407,0.8360458213019974,0.9943504028798699,CCRCC,SETD2
ABCF3,-0.32429411294192934,0.21393634422670238,0.9695926166232783,CCRCC,SETD2
ABHD10,0.29600663893776996,0.21406859619895335,0.9695926166232783,CCRCC,SETD2
ABHD11,-0.06457166853303475,0.8692344605018352,0.9946603784547045,CCRCC,SETD2
ABHD12,-0.185456326987682,0.43951634624885205,0.973029975926025,CCRCC,SETD2
ABHD14B,-0.0724484082546793,0.8372997696727549,0.9943504028798699,CCRCC,SETD2
ABHD4,0.16797912334026555,0.4193026125587168,0.9704406108960759,CCRCC,SETD2
ABHD5,0.15850815065400659,0.5503727576283913,0.97653380783353,CCRCC,SETD2
ABHD6,0.0657274836026236,0.5728055586202083,0.97653380783353,CCRCC,SETD2
ABI2,-0.026825707886738104,0.9838292340328804,0.9996339908493357,CCRCC,SETD2
ABI3,0.01952687569988798,0.8031117325387543,0.9943504028798699,CCRCC,SETD2
ABL1,-0.4788693808990561,0.027864733495252876,0.9695926166232783,CCRCC,SETD2
ABLIM1,0.14627645805048695,0.3474884604449009,0.9695926166232783,CCRCC,SETD2
ABLIM3,-0.2999180314175497,0.06399943080178379,0.9695926166232783,CCRCC,SETD2
