Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
ABLIM1,-0.0546980434365093,0.8195198340415502,0.9985853877554204,CCRCC,TTN
ABLIM3,-0.14695764320140287,0.5051715252695526,0.9545009698543546,CCRCC,TTN
ABR,0.22873933998117613,0.33595281563886636,0.9545009698543546,CCRCC,TTN
ACAN,0.11607846820881274,0.4058495516241576,0.9545009698543546,CCRCC,TTN
ACLY,0.10838139456404716,0.4830532643036305,0.9545009698543546,CCRCC,TTN
ACOT9,-0.021349581737081277,0.9498052731007148,0.9985853877554204,CCRCC,TTN
ACOX1,0.25511259608808357,0.2223441514968605,0.9545009698543546,CCRCC,TTN
ACP1,-0.05177631938861171,0.8328547040025012,0.9985853877554204,CCRCC,TTN
ACSL1,0.0791204375158015,0.6762283843213646,0.9545009698543546,CCRCC,TTN
ACTN1,-0.2594982765239914,0.21313696293415685,0.9545009698543546,CCRCC,TTN
ACTN4,0.06650919316025455,0.7168419380162956,0.9715573474637103,CCRCC,TTN
ACY1,0.17580310039773936,0.3924932136789754,0.9545009698543546,CCRCC,TTN
ADAR,-0.05253826043158055,0.8656616308786163,0.9985853877554204,CCRCC,TTN
ADD1,-0.09048287188154694,0.7139523574579497,0.9715573474637103,CCRCC,TTN
ADD3,0.15322152159041474,0.40774266303919515,0.9545009698543546,CCRCC,TTN
AFDN,0.23789214312903328,0.3112702392380936,0.9545009698543546,CCRCC,TTN
AHCYL2,0.16461263776783897,0.4533079660719306,0.9545009698543546,CCRCC,TTN
AHSG,0.4855599385583982,0.060886092494399885,0.8963425421653048,CCRCC,TTN
ALDH18A1,0.05408401926385109,0.678355971538402,0.9545009698543546,CCRCC,TTN
AMDHD2,-0.046730083826088786,0.9066650111517232,0.9985853877554204,CCRCC,TTN
ANK2,0.06846542927676924,0.5843150634249927,0.9545009698543546,CCRCC,TTN
ANK3,0.18697231151622856,0.4289648747300686,0.9545009698543546,CCRCC,TTN
ANXA6,-0.004420946621336741,0.9197161341963325,0.9985853877554204,CCRCC,TTN
AP1B1,0.20091303334710364,0.3291275669949303,0.9545009698543546,CCRCC,TTN
AP2A2,-0.31798487505538175,0.1539335573015138,0.9545009698543546,CCRCC,TTN
ARFIP1,-0.060883894438127806,0.803445672851139,0.9985853877554204,CCRCC,TTN
ARHGAP12,-0.036993120747935315,0.9448269086590608,0.9985853877554204,CCRCC,TTN
ARHGAP24,-0.08706649943895481,0.7314201567696869,0.9863089992803352,CCRCC,TTN
ARHGDIA,-0.2662285510122548,0.34183158120001433,0.9545009698543546,CCRCC,TTN
ARL6IP4,0.0785420632610612,0.7067312532169945,0.9676781774817309,CCRCC,TTN
