Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,-0.15870504724402912,0.4386855243793645,0.9686894774943845,Endometrial,KRAS
A2M,0.44193473670312455,0.05595572979094689,0.8936861155320289,Endometrial,KRAS
A2ML1,-0.1024887143136044,0.4465133168523844,0.9693905579063048,Endometrial,KRAS
A4GALT,0.12423713530325659,0.5775839748208693,0.9810310561989622,Endometrial,KRAS
AAAS,0.16275687091551622,0.3706770280158479,0.9563297035478427,Endometrial,KRAS
AACS,0.061072691596198436,0.4955142003384575,0.9713650617480764,Endometrial,KRAS
AADAT,-0.05765862081884798,0.7801160834424601,0.9918823349886211,Endometrial,KRAS
AAED1,-0.46031756919208977,0.052786834082191536,0.8936861155320289,Endometrial,KRAS
AAGAB,-0.01772317143986346,0.9578132099063167,0.9980947255745618,Endometrial,KRAS
AAK1,-0.10481204245778286,0.42884609622620673,0.9646115165536959,Endometrial,KRAS
AAMDC,-0.04810690751405955,0.7862633109815944,0.9918823349886211,Endometrial,KRAS
AAMP,0.06795079790649866,0.6905673766804392,0.9864241413015405,Endometrial,KRAS
AAR2,-0.03491624584052347,0.8997757854018227,0.9918823349886211,Endometrial,KRAS
AARS,-0.19440725600763054,0.04033950712162728,0.8936861155320289,Endometrial,KRAS
AARS2,0.07411550334784872,0.6036741191014005,0.9810585966888723,Endometrial,KRAS
AARSD1,0.037221694931649785,0.8422726205424969,0.9918823349886211,Endometrial,KRAS
AASDHPPT,-0.023373630762095976,0.9236211818109866,0.993350532847809,Endometrial,KRAS
AASS,-0.07857210951207039,0.3200849958905718,0.9547644759830449,Endometrial,KRAS
AATF,-0.10860450524633075,0.610292296660293,0.9810585966888723,Endometrial,KRAS
ABAT,-0.13527709239512264,0.3718992588417329,0.9563297035478427,Endometrial,KRAS
ABCA8,-0.2508170413482662,0.2164684053952729,0.9439326391976554,Endometrial,KRAS
ABCB1,4.4772885119948036e-05,0.9558132483670451,0.9980947255745618,Endometrial,KRAS
ABCB10,-0.24601423632749053,0.24068342227245465,0.9519489561544469,Endometrial,KRAS
ABCB6,-0.24817851781508005,0.23115891576720293,0.9513465809857121,Endometrial,KRAS
ABCB7,0.23018815467452355,0.3289739373943137,0.9547644759830449,Endometrial,KRAS
ABCB8,0.09753107905493752,0.6257867753465016,0.9810585966888723,Endometrial,KRAS
ABCC1,-0.224232284451655,0.2845048788158905,0.9523507971171372,Endometrial,KRAS
ABCC10,0.16985205848652365,0.4716794985421283,0.9693905579063048,Endometrial,KRAS
ABCC3,0.03786397249712414,0.7285663363522876,0.9907796771749219,Endometrial,KRAS
ABCC4,0.19606292235417577,0.1742110931723022,0.9250264090675286,Endometrial,KRAS
ABCD1,-0.1930735326964697,0.33962813195341945,0.9547644759830449,Endometrial,KRAS
ABCD3,-0.13940449548396022,0.5487546950983562,0.9799547030495618,Endometrial,KRAS
ABCD4,-0.07887470097070826,0.6937184995811043,0.9864241413015405,Endometrial,KRAS
ABCE1,-0.057115802400390825,0.7796736833647745,0.9918823349886211,Endometrial,KRAS
ABCF1,-0.013581846791687058,0.9823699929259965,0.9980947255745618,Endometrial,KRAS
ABCF2,-0.06389405184992514,0.5384586682889466,0.9778580311258168,Endometrial,KRAS
ABCF3,-0.3574866644133144,0.05200095684821162,0.8936861155320289,Endometrial,KRAS
ABCG1,-0.08913473849098685,0.5075789892989582,0.9713650617480764,Endometrial,KRAS
ABHD10,-0.22357052744508865,0.29526005870610894,0.9523507971171372,Endometrial,KRAS
ABHD11,-0.01798119359870154,0.9388630838378389,0.9946610076826969,Endometrial,KRAS
ABHD12,-0.17155942587968265,0.4061218582917434,0.9609903223862083,Endometrial,KRAS
ABHD13,0.1587369769757399,0.5082435641902663,0.9713650617480764,Endometrial,KRAS
ABHD14A,0.03458498023715412,0.9103977080794918,0.9918823349886211,Endometrial,KRAS
ABHD14A-ACY1,0.059823836622590165,0.7836320511405863,0.9918823349886211,Endometrial,KRAS
ABHD14B,-0.04623960972433061,0.8170512912955934,0.9918823349886211,Endometrial,KRAS
ABHD16A,0.03772645865828994,0.786037958523025,0.9918823349886211,Endometrial,KRAS
ABHD17A,0.09147216794808138,0.754486334304965,0.9912375741893582,Endometrial,KRAS
ABHD17B,-0.10982568641031287,0.605823375016538,0.9810585966888723,Endometrial,KRAS
ABHD17C,-0.008364186745523083,0.9681920905734741,0.9980947255745618,Endometrial,KRAS
ABHD2,0.7304460245636716,0.0757643516056574,0.8936861155320289,Endometrial,KRAS
ABHD3,-0.0031778308120661847,0.9755610129047123,0.9980947255745618,Endometrial,KRAS
ABHD4,-0.16115828466691462,0.37929359374923854,0.956752249963385,Endometrial,KRAS
ABHD5,0.08681902465108798,0.5883188019014162,0.9810310561989622,Endometrial,KRAS
ABHD6,0.06012830314674189,0.5059458819651923,0.9713650617480764,Endometrial,KRAS
ABI1,-0.223057211029286,0.2272595681857743,0.9512246279311385,Endometrial,KRAS
ABI2,-0.17237969504498596,0.23007735750557134,0.9513465809857121,Endometrial,KRAS
ABI3,-0.044025103457185355,0.7575736744550106,0.9912375741893582,Endometrial,KRAS
ABI3BP,-0.08172356912824386,0.5939624650964636,0.9810310561989622,Endometrial,KRAS
ABL1,-0.12724798208333366,0.5439433893144081,0.9784272333528216,Endometrial,KRAS
ABL2,-0.03935876969634855,0.8737539422218412,0.9918823349886211,Endometrial,KRAS
ABLIM1,0.18188855423738037,0.1363441198298451,0.9207156145865484,Endometrial,KRAS
ABLIM2,-0.013825119137388153,0.9688127016364894,0.9980947255745618,Endometrial,KRAS
ABLIM3,0.19033863332928758,0.2878001452818374,0.9523507971171372,Endometrial,KRAS
ABR,0.17512124259986683,0.2288075049807431,0.9512246279311385,Endometrial,KRAS
ABRACL,-0.12920112180599913,0.42277249955604235,0.9611954748371004,Endometrial,KRAS
ABRAXAS1,-0.11292620867052616,0.5755027864453981,0.9810310561989622,Endometrial,KRAS
ABRAXAS2,0.12249823395365816,0.4687161565838296,0.9693905579063048,Endometrial,KRAS
ABT1,0.04999638630261616,0.7408582819586791,0.9912375741893582,Endometrial,KRAS
