Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.014969409836530445,0.9408374353923817,0.9986604215524215,Endometrial,PIK3CA
A2M,-0.11894553180276081,0.5834417480443176,0.9909214811694427,Endometrial,PIK3CA
A2ML1,0.19832965453142004,0.08252584253937967,0.9909214811694427,Endometrial,PIK3CA
A4GALT,0.04750118935050551,0.8339452242522181,0.9956915338995689,Endometrial,PIK3CA
AAAS,0.09688968294979927,0.5809892660246119,0.9909214811694427,Endometrial,PIK3CA
AACS,0.027370362491427214,0.7611831681017455,0.9916134096269252,Endometrial,PIK3CA
AADAT,0.19881588647455967,0.2432813376230396,0.9909214811694427,Endometrial,PIK3CA
AAED1,0.03190396280844571,0.8651380104631178,0.9976640770805695,Endometrial,PIK3CA
AAGAB,0.17656079451979956,0.11399634407309168,0.9909214811694427,Endometrial,PIK3CA
AAK1,0.25589999562125454,0.022438193266552674,0.9909214811694427,Endometrial,PIK3CA
AAMDC,-0.13234894296243072,0.3046631975026409,0.9909214811694427,Endometrial,PIK3CA
AAMP,-0.036613941036494235,0.8442899393985291,0.9967515587341901,Endometrial,PIK3CA
AAR2,-0.3684983351769843,0.07669633874597569,0.9909214811694427,Endometrial,PIK3CA
AARS,0.015287246943123,0.8594711271278216,0.9976640770805695,Endometrial,PIK3CA
AARS2,-0.2898260590446578,0.04776508644496718,0.9909214811694427,Endometrial,PIK3CA
AARSD1,0.05230211619381536,0.7681672046235042,0.9916134096269252,Endometrial,PIK3CA
AASDHPPT,-0.07348577117568955,0.6207010247859586,0.9909214811694427,Endometrial,PIK3CA
AASS,-0.07740352791101657,0.23727646154178073,0.9909214811694427,Endometrial,PIK3CA
AATF,0.011722477781035578,0.9636474338593175,0.999186375511081,Endometrial,PIK3CA
ABAT,-0.026556669639338448,0.8409313093717758,0.9967515587341901,Endometrial,PIK3CA
ABCA8,0.011408852091265298,0.9434093491131356,0.9986604215524215,Endometrial,PIK3CA
ABCB1,-0.1519107261302548,0.2564585680863003,0.9909214811694427,Endometrial,PIK3CA
ABCB10,-0.378491921824356,0.050991125797408665,0.9909214811694427,Endometrial,PIK3CA
ABCB6,-0.1748421586797017,0.34655016824388896,0.9909214811694427,Endometrial,PIK3CA
ABCB7,0.12786180573334222,0.5595866667022547,0.9909214811694427,Endometrial,PIK3CA
ABCB8,0.17833997379386274,0.3508930160324857,0.9909214811694427,Endometrial,PIK3CA
ABCC1,-0.35346572060792586,0.0676761313408056,0.9909214811694427,Endometrial,PIK3CA
ABCC10,0.12157698959559456,0.5717211674290232,0.9909214811694427,Endometrial,PIK3CA
ABCC3,-0.006862272934302749,0.9519185562336447,0.9987592965986263,Endometrial,PIK3CA
ABCC4,-0.10087121587418424,0.4691128836798917,0.9909214811694427,Endometrial,PIK3CA
ABCD1,-0.051033194903644774,0.7836781109789894,0.9916134096269252,Endometrial,PIK3CA
ABCD3,0.04113338469821193,0.8421408648650754,0.9967515587341901,Endometrial,PIK3CA
ABCD4,-0.16932557997289083,0.3656594766245338,0.9909214811694427,Endometrial,PIK3CA
ABCE1,0.02990828288140368,0.8457724515337292,0.9967515587341901,Endometrial,PIK3CA
ABCF1,0.00012579242883670183,0.9908621665216485,0.9994070109207087,Endometrial,PIK3CA
ABCF2,-0.0015902548478203826,0.9883983886985882,0.9994070109207087,Endometrial,PIK3CA
ABCF3,0.0068550996349094895,0.9685561623985622,0.999270703017536,Endometrial,PIK3CA
ABCG1,-0.038993945149959464,0.7210172265333783,0.9909214811694427,Endometrial,PIK3CA
ABHD10,0.28574339546756256,0.1364119974647329,0.9909214811694427,Endometrial,PIK3CA
ABHD11,-0.05056286439325963,0.6671013860892725,0.9909214811694427,Endometrial,PIK3CA
ABHD12,0.06402166821048305,0.729249870667672,0.9909214811694427,Endometrial,PIK3CA
ABHD13,0.14828255854054934,0.509224354075936,0.9909214811694427,Endometrial,PIK3CA
ABHD14A,-0.14235171435952398,0.6847574638845135,0.9909214811694427,Endometrial,PIK3CA
ABHD14A-ACY1,-0.03995605762740495,0.831339505341959,0.9956271457532772,Endometrial,PIK3CA
ABHD14B,0.05782462917264242,0.6979524077107195,0.9909214811694427,Endometrial,PIK3CA
ABHD16A,0.044305813035269814,0.7673159860407412,0.9916134096269252,Endometrial,PIK3CA
ABHD17A,0.16910628595044588,0.5403704451803816,0.9909214811694427,Endometrial,PIK3CA
ABHD17B,-0.061902111422516726,0.7388205050617167,0.9909214811694427,Endometrial,PIK3CA
ABHD17C,-0.2928447925081247,0.09607641105842395,0.9909214811694427,Endometrial,PIK3CA
ABHD2,0.03578774167009463,0.904616749096911,0.9976640770805695,Endometrial,PIK3CA
ABHD3,0.055037628364300206,0.7530460009732594,0.9916134096269252,Endometrial,PIK3CA
ABHD4,0.059732091056922454,0.7346068916149893,0.9909214811694427,Endometrial,PIK3CA
ABHD5,0.10286750173384762,0.5154579568189412,0.9909214811694427,Endometrial,PIK3CA
ABHD6,0.12604375314505667,0.19271868798463276,0.9909214811694427,Endometrial,PIK3CA
ABI1,-0.18186223420238595,0.28047558122242666,0.9909214811694427,Endometrial,PIK3CA
ABI2,0.012114207875243754,0.922992219052943,0.9976640770805695,Endometrial,PIK3CA
ABI3,-0.031680312307498126,0.7696090693672968,0.9916134096269252,Endometrial,PIK3CA
ABI3BP,0.10155150190872142,0.4327425761999091,0.9909214811694427,Endometrial,PIK3CA
ABL1,-0.12144195566968058,0.5335485210127678,0.9909214811694427,Endometrial,PIK3CA
ABL2,-0.24924551219050894,0.17365162078066343,0.9909214811694427,Endometrial,PIK3CA
ABLIM1,0.06818359288384268,0.5666581907374917,0.9909214811694427,Endometrial,PIK3CA
ABLIM2,-0.004760739289565219,0.9800839089439093,0.9994070109207087,Endometrial,PIK3CA
ABLIM3,0.1709017935532422,0.33116946754751053,0.9909214811694427,Endometrial,PIK3CA
ABR,-0.046503077132851844,0.7364345531575722,0.9909214811694427,Endometrial,PIK3CA
ABRACL,-0.03281171344771627,0.7998667271477322,0.9925791252061678,Endometrial,PIK3CA
ABRAXAS1,-0.0878846783545057,0.6213844126470132,0.9909214811694427,Endometrial,PIK3CA
ABRAXAS2,-0.03037350621315782,0.8656607497515683,0.9976640770805695,Endometrial,PIK3CA
ABT1,-0.04981998933714182,0.756674559541116,0.9916134096269252,Endometrial,PIK3CA
ABTB2,0.10387507219029046,0.5982244691824437,0.9909214811694427,Endometrial,PIK3CA
ACAA1,0.1456064621008668,0.3909183614870523,0.9909214811694427,Endometrial,PIK3CA
ACAA2,0.021949970287410636,0.7252031372123369,0.9909214811694427,Endometrial,PIK3CA
ACACA,-0.07274885873656411,0.2752145756190818,0.9909214811694427,Endometrial,PIK3CA
ACACB,-0.5225924031488297,0.206702353293427,0.9909214811694427,Endometrial,PIK3CA
ACAD10,-0.17778036430921867,0.24791506056691692,0.9909214811694427,Endometrial,PIK3CA
ACAD11,0.1168509129473771,0.5612565652632131,0.9909214811694427,Endometrial,PIK3CA
ACAD8,0.193388335131378,0.23905743804379487,0.9909214811694427,Endometrial,PIK3CA
ACAD9,-0.26430630819708995,0.11550884609706835,0.9909214811694427,Endometrial,PIK3CA
ACADL,0.23435600495491604,0.08986441819456487,0.9909214811694427,Endometrial,PIK3CA
ACADM,0.19765517158245272,0.09026971286655704,0.9909214811694427,Endometrial,PIK3CA
ACADS,-0.24547542900387181,0.0501021154365103,0.9909214811694427,Endometrial,PIK3CA
ACADSB,-0.4620866580101568,0.0066122778394790485,0.9909214811694427,Endometrial,PIK3CA
ACADVL,0.10820025789422022,0.5413426182664198,0.9909214811694427,Endometrial,PIK3CA
ACAP1,-0.01627724320849211,0.9042439950016768,0.9976640770805695,Endometrial,PIK3CA
ACAP2,0.04300016622215941,0.7776461248640886,0.9916134096269252,Endometrial,PIK3CA
ACAP3,-0.16125138397293745,0.5763376489050362,0.9909214811694427,Endometrial,PIK3CA
ACAT1,0.36346096508870646,0.017994793632234156,0.9909214811694427,Endometrial,PIK3CA
ACAT2,-0.050075522056513666,0.6418695863125727,0.9909214811694427,Endometrial,PIK3CA
ACBD3,0.14412122905324376,0.2621456454415213,0.9909214811694427,Endometrial,PIK3CA
ACBD5,0.06182921447356848,0.7468073597258997,0.9914413334709277,Endometrial,PIK3CA
ACBD6,-0.2064678823044786,0.18930042944397418,0.9909214811694427,Endometrial,PIK3CA
ACBD7,0.11409837460552386,0.2807570091032753,0.9909214811694427,Endometrial,PIK3CA
ACD,-0.07832828587565745,0.7157144234501678,0.9909214811694427,Endometrial,PIK3CA
ACE,0.04999141122357997,0.6869976145951497,0.9909214811694427,Endometrial,PIK3CA
ACIN1,0.07144926167034932,0.7183588143592512,0.9909214811694427,Endometrial,PIK3CA
ACLY,0.07293363854655532,0.49043034268423347,0.9909214811694427,Endometrial,PIK3CA
ACO1,-0.09452273795762844,0.3150415953420761,0.9909214811694427,Endometrial,PIK3CA
ACO2,-0.04179161254981445,0.8175671010187903,0.9943665516318376,Endometrial,PIK3CA
ACOT1,0.3197622324221293,0.0626174386029748,0.9909214811694427,Endometrial,PIK3CA
ACOT11,-0.20309288674198156,0.051785076428026995,0.9909214811694427,Endometrial,PIK3CA
ACOT13,-0.07500147725736184,0.5869422829694486,0.9909214811694427,Endometrial,PIK3CA
ACOT4,0.267666043781529,0.19195159839664677,0.9909214811694427,Endometrial,PIK3CA
ACOT7,0.02867800164271883,0.4441303715622731,0.9909214811694427,Endometrial,PIK3CA
ACOT8,-0.049327082122991195,0.7177160113139014,0.9909214811694427,Endometrial,PIK3CA
ACOT9,-0.09234600766037726,0.5661076818124178,0.9909214811694427,Endometrial,PIK3CA
ACOX1,0.03511819488743817,0.8499040986301176,0.9967515587341901,Endometrial,PIK3CA
ACOX2,-0.3559484912874012,0.09409942914484201,0.9909214811694427,Endometrial,PIK3CA
ACOX3,-0.2013598793305641,0.0545204209514199,0.9909214811694427,Endometrial,PIK3CA
ACP1,0.11541787412305692,0.554844218672377,0.9909214811694427,Endometrial,PIK3CA
ACP2,0.2035099046890395,0.13742933723164197,0.9909214811694427,Endometrial,PIK3CA
ACP5,0.062265962837911526,0.5041691290219245,0.9909214811694427,Endometrial,PIK3CA
ACP6,0.0637242640324428,0.5916329960257314,0.9909214811694427,Endometrial,PIK3CA
ACPP,-0.08937537714076549,0.4604823030660703,0.9909214811694427,Endometrial,PIK3CA
ACSF2,-0.010693668598830142,0.8740505222206278,0.9976640770805695,Endometrial,PIK3CA
ACSF3,-0.13286738435400247,0.3921986781809469,0.9909214811694427,Endometrial,PIK3CA
ACSL1,-0.0042197812843173255,0.9649062204531422,0.999186375511081,Endometrial,PIK3CA
ACSL3,0.17198255583198557,0.3690278392076586,0.9909214811694427,Endometrial,PIK3CA
ACSL4,-0.0804880497284971,0.18320263124051195,0.9909214811694427,Endometrial,PIK3CA
ACSL5,0.009921671129176857,0.8760732242500491,0.9976640770805695,Endometrial,PIK3CA
ACSM3,0.004259146991482221,0.9248482233793144,0.9976640770805695,Endometrial,PIK3CA
ACSS1,-0.01866598724349855,0.7427302501707729,0.9909214811694427,Endometrial,PIK3CA
ACSS2,0.026746140737366253,0.7647159323539074,0.9916134096269252,Endometrial,PIK3CA
ACSS3,0.1028087831737291,0.04905873345256671,0.9909214811694427,Endometrial,PIK3CA
ACTA1,0.05245966901298771,0.7904893879568351,0.9916134096269252,Endometrial,PIK3CA
ACTA2,-0.07886765516090188,0.4280184222114497,0.9909214811694427,Endometrial,PIK3CA
ACTB,-0.28854819732900844,0.16108868026759715,0.9909214811694427,Endometrial,PIK3CA
ACTBL2,0.05155258495287003,0.8016371396318847,0.9925791252061678,Endometrial,PIK3CA
ACTG1,-0.34258555348652686,0.09054718712439883,0.9909214811694427,Endometrial,PIK3CA
ACTG2,0.02610544969926809,0.8100887004513617,0.9931483282372328,Endometrial,PIK3CA
ACTL6A,0.13368886412564135,0.5397375876297361,0.9909214811694427,Endometrial,PIK3CA
ACTL8,0.039052141341757274,0.9434665678803711,0.9986604215524215,Endometrial,PIK3CA
ACTN1,0.07677110266062193,0.4920939063122619,0.9909214811694427,Endometrial,PIK3CA
ACTN2,0.008290245606023816,0.954695935559033,0.9989775778759453,Endometrial,PIK3CA
ACTN3,0.4923319526668004,0.2414697732768467,0.9909214811694427,Endometrial,PIK3CA
ACTN4,-0.1274966028803033,0.40473907478322424,0.9909214811694427,Endometrial,PIK3CA
ACTR10,0.0337009423048354,0.8801858206879603,0.9976640770805695,Endometrial,PIK3CA
ACTR1A,-0.029759590874588793,0.8671833514490082,0.9976640770805695,Endometrial,PIK3CA
ACTR1B,-0.019906718275270657,0.9153315283608967,0.9976640770805695,Endometrial,PIK3CA
ACTR2,0.24678133461503252,0.1906807783039305,0.9909214811694427,Endometrial,PIK3CA
ACTR3,-0.032474188348420946,0.9002023259871311,0.9976640770805695,Endometrial,PIK3CA
ACTR3B,0.01756528663624557,0.8874357321659136,0.9976640770805695,Endometrial,PIK3CA
ACTR5,0.17411097791573488,0.3381400620540387,0.9909214811694427,Endometrial,PIK3CA
ACTR6,-0.24320217489911913,0.2105912313279379,0.9909214811694427,Endometrial,PIK3CA
ACTR8,0.07207358818505138,0.6965870418496984,0.9909214811694427,Endometrial,PIK3CA
ACVR1,-0.48343424700554055,0.015436836377889698,0.9909214811694427,Endometrial,PIK3CA
ACY3,0.1120656532479074,0.06995659620110006,0.9909214811694427,Endometrial,PIK3CA
ACYP1,0.1516423782692139,0.23636809973426465,0.9909214811694427,Endometrial,PIK3CA
ACYP2,-0.2588247458484833,0.16223873241266218,0.9909214811694427,Endometrial,PIK3CA
ADA,-0.04534717177761849,0.47917253267281346,0.9909214811694427,Endometrial,PIK3CA
ADA2,0.18233526028332125,0.20399996551064925,0.9909214811694427,Endometrial,PIK3CA
ADAL,-0.17774212156056507,0.30365275662929914,0.9909214811694427,Endometrial,PIK3CA
ADAM10,0.3531315095606255,0.07851954960421727,0.9909214811694427,Endometrial,PIK3CA
ADAM15,-0.30084885131509814,0.09337974169661054,0.9909214811694427,Endometrial,PIK3CA
ADAM17,-0.047214028564598776,0.7989904207599909,0.9925791252061678,Endometrial,PIK3CA
ADAM28,0.0359780123717941,0.647738898350893,0.9909214811694427,Endometrial,PIK3CA
ADAM9,0.14187331138940634,0.45914538144772965,0.9909214811694427,Endometrial,PIK3CA
ADAMDEC1,0.2272033074654599,0.25332759982904685,0.9909214811694427,Endometrial,PIK3CA
ADAMTS1,0.05005399206888961,0.6903068112545383,0.9909214811694427,Endometrial,PIK3CA
ADAMTS15,-0.3025626995901708,0.05859763506654144,0.9909214811694427,Endometrial,PIK3CA
ADAMTS2,0.07938191288776886,0.5963671243825359,0.9909214811694427,Endometrial,PIK3CA
ADAMTS5,0.15699580921697925,0.546828076732452,0.9909214811694427,Endometrial,PIK3CA
ADAMTS8,-0.24569549799311158,0.45398808093967924,0.9909214811694427,Endometrial,PIK3CA
ADAMTS9,-0.18813571605056917,0.4597552104629691,0.9909214811694427,Endometrial,PIK3CA
ADAMTSL1,0.05283403739906389,0.70907712186105,0.9909214811694427,Endometrial,PIK3CA
ADAMTSL2,0.28342996156841677,0.0695019762073667,0.9909214811694427,Endometrial,PIK3CA
ADAMTSL3,0.17766721700489563,0.15044955027664803,0.9909214811694427,Endometrial,PIK3CA
ADAMTSL4,0.17711798821811237,0.33836628758086196,0.9909214811694427,Endometrial,PIK3CA
ADAMTSL5,-0.007538593353949352,0.9682210476672577,0.999270703017536,Endometrial,PIK3CA
ADAP1,-0.16986885839581434,0.18801257882248634,0.9909214811694427,Endometrial,PIK3CA
ADAP2,-0.005150501672240737,0.9696862348160917,0.999270703017536,Endometrial,PIK3CA
ADAR,0.06486422657941138,0.6040977125556009,0.9909214811694427,Endometrial,PIK3CA
ADARB1,0.1972119576036483,0.2276495646507034,0.9909214811694427,Endometrial,PIK3CA
ADAT1,-0.19247326558367156,0.18904380830356438,0.9909214811694427,Endometrial,PIK3CA
ADAT2,-0.022039511034686154,0.8756250774114437,0.9976640770805695,Endometrial,PIK3CA
