Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.2695862709460614,0.21343481640018924,0.9844077218749815,LSCC,SYNE1
A2M,0.09294049185690051,0.6329890211554696,0.9928103802189623,LSCC,SYNE1
A2ML1,0.0039529213987418155,0.7127845157424844,0.9928103802189623,LSCC,SYNE1
A4GALT,-0.18757566184368485,0.41720577576167894,0.9888949752002295,LSCC,SYNE1
AAAS,-0.00330892812316963,0.9989974903048968,0.9996842026949514,LSCC,SYNE1
AACS,0.05265958523423642,0.6476967321901266,0.9928103802189623,LSCC,SYNE1
AADAC,0.29679560858353427,0.030119211420007872,0.978385146338868,LSCC,SYNE1
AAGAB,-0.05772025543697373,0.7782202818389358,0.9928103802189623,LSCC,SYNE1
AAK1,0.061715622884353505,0.5242105613658912,0.9907524658154717,LSCC,SYNE1
AAMDC,0.14451089285316276,0.2900520891489271,0.9877848103530084,LSCC,SYNE1
AAMP,0.013044724290854348,0.8631060169417345,0.995687560100648,LSCC,SYNE1
AAR2,-0.06872186846061623,0.6559091858310995,0.9928103802189623,LSCC,SYNE1
AARS,0.012900898365294622,0.7860531918399268,0.9928103802189623,LSCC,SYNE1
AARS2,0.07334863571705685,0.5029162532696021,0.9907524658154717,LSCC,SYNE1
AARSD1,-0.104114223990385,0.5684487210555886,0.9928103802189623,LSCC,SYNE1
AASDHPPT,0.07510546854200106,0.5355734908650527,0.9907524658154717,LSCC,SYNE1
AASS,0.007643768874418977,0.8024662379550564,0.9928103802189623,LSCC,SYNE1
AATF,0.03156114741254057,0.7607107280969398,0.9928103802189623,LSCC,SYNE1
ABAT,-0.11425034801195788,0.17880337065871055,0.978385146338868,LSCC,SYNE1
ABCA1,-0.11170136009919296,0.25100493601843854,0.9844077218749815,LSCC,SYNE1
ABCA12,-0.1670970791660446,0.407210768977197,0.9888949752002295,LSCC,SYNE1
ABCA13,-0.21746440693809113,0.38852502670644495,0.9888949752002295,LSCC,SYNE1
ABCA2,-0.12682006121865647,0.5852045583194341,0.9928103802189623,LSCC,SYNE1
ABCA3,0.13339718623774355,0.25432841524112626,0.9844077218749815,LSCC,SYNE1
ABCA6,0.013264683644118924,0.9186328441858822,0.9981872367864298,LSCC,SYNE1
ABCA8,-0.038194407466853264,0.8896191776106407,0.9981260786230358,LSCC,SYNE1
ABCB1,-0.012278546489072784,0.9759333556216487,0.9987885394219591,LSCC,SYNE1
ABCB10,0.2358397737732103,0.10340806264811563,0.978385146338868,LSCC,SYNE1
ABCB5,0.16168161117923147,0.46576188445699385,0.9896479954967871,LSCC,SYNE1
ABCB6,-0.12368466693544089,0.16404127463857066,0.978385146338868,LSCC,SYNE1
ABCB7,0.05298073192810032,0.7545002649027654,0.9928103802189623,LSCC,SYNE1
ABCB8,-0.26822458752025313,0.1974035545890528,0.9824253943695205,LSCC,SYNE1
ABCC1,0.019289390009204266,0.6209062771991443,0.9928103802189623,LSCC,SYNE1
ABCC10,0.09485461467659617,0.5379361145412196,0.9907524658154717,LSCC,SYNE1
ABCC2,0.23579055526553477,0.24524410191178359,0.9844077218749815,LSCC,SYNE1
ABCC3,0.04782773978594412,0.7249767111628643,0.9928103802189623,LSCC,SYNE1
ABCC4,-0.20940482348377082,0.18509948505108376,0.978385146338868,LSCC,SYNE1
ABCC5,-0.06312221754223013,0.07051830487071392,0.978385146338868,LSCC,SYNE1
ABCC6,-0.162505209675021,0.5097374063026858,0.9907524658154717,LSCC,SYNE1
ABCC8,-0.07166925200980928,0.822982228216209,0.9944721764561921,LSCC,SYNE1
ABCC9,0.13029871977240398,0.6423980497563689,0.9928103802189623,LSCC,SYNE1
ABCD1,-0.028615673089357307,0.8880721912762671,0.9981260786230358,LSCC,SYNE1
ABCD2,-0.27607095087672223,0.22021245561318614,0.9844077218749815,LSCC,SYNE1
ABCD3,-0.017460972861366608,0.9447515884701664,0.9981872367864298,LSCC,SYNE1
ABCD4,-0.04969142939731175,0.8132211831177957,0.9944721764561921,LSCC,SYNE1
ABCE1,-0.08377427526034342,0.5712929999499492,0.9928103802189623,LSCC,SYNE1
ABCF1,-0.007071259511899464,0.9854746936209059,0.9996842026949514,LSCC,SYNE1
ABCF2,-0.11186665689698361,0.2402246709251067,0.9844077218749815,LSCC,SYNE1
ABCF3,-0.030219780010801722,0.7377881219368254,0.9928103802189623,LSCC,SYNE1
ABCG1,-0.14215978853825106,0.11300376126695427,0.978385146338868,LSCC,SYNE1
ABHD10,0.29194091783875065,0.04524029060349825,0.978385146338868,LSCC,SYNE1
ABHD11,-0.044751960657533396,0.7283482383546245,0.9928103802189623,LSCC,SYNE1
ABHD12,-0.10528850293438591,0.4989647912997365,0.9907524658154717,LSCC,SYNE1
ABHD13,0.03601869469282876,0.8414992317867098,0.9944721764561921,LSCC,SYNE1
ABHD14A-ACY1,-0.02894183446041032,0.9025138105470721,0.9981872367864298,LSCC,SYNE1
ABHD14B,-0.04675101360859868,0.7788727813889608,0.9928103802189623,LSCC,SYNE1
ABHD15,0.010462662107780907,0.9401495130395363,0.9981872367864298,LSCC,SYNE1
ABHD16A,-0.1919222555464235,0.29506972931779585,0.9877848103530084,LSCC,SYNE1
ABHD17A,0.17106885161301927,0.43721056680192316,0.9888949752002295,LSCC,SYNE1
ABHD17B,-0.05056604787064001,0.7360731374641876,0.9928103802189623,LSCC,SYNE1
ABHD17C,-0.3427538331674499,0.05600645570037219,0.978385146338868,LSCC,SYNE1
ABHD3,0.23880263704432803,0.07058186199904459,0.978385146338868,LSCC,SYNE1
ABHD4,-0.08120239082313385,0.42034465528221465,0.9888949752002295,LSCC,SYNE1
ABHD5,0.08831422967942631,0.6403238196233854,0.9928103802189623,LSCC,SYNE1
ABHD6,-0.020852743399183082,0.9288231908529938,0.9981872367864298,LSCC,SYNE1
ABI1,-0.1622475853878965,0.2279769458393155,0.9844077218749815,LSCC,SYNE1
ABI2,-0.09318261689778717,0.5335045058361039,0.9907524658154717,LSCC,SYNE1
ABI3,-0.08139491940575527,0.44543991419970697,0.9888990781192738,LSCC,SYNE1
ABI3BP,-0.1643034165097706,0.3196262624577665,0.9886119726739898,LSCC,SYNE1
ABL1,0.03834220727804272,0.809847030622319,0.9935440400073816,LSCC,SYNE1
ABL2,0.03905964506583698,0.8200351316357347,0.9944721764561921,LSCC,SYNE1
ABLIM1,-0.15450832476441434,0.07942590030884028,0.978385146338868,LSCC,SYNE1
ABLIM2,-0.2665980975346301,0.059212483565292774,0.978385146338868,LSCC,SYNE1
ABLIM3,-0.09468530131435954,0.4622995399820904,0.9896479954967871,LSCC,SYNE1
ABO,-0.2265660809778457,0.4819684907390721,0.9907524658154717,LSCC,SYNE1
ABR,-0.09677936802549808,0.5997668672619716,0.9928103802189623,LSCC,SYNE1
