Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.14497816722476511,0.4536304663029188,0.9669880980013927,LUAD,LRP1B
A2M,-0.10641630815005429,0.6180993024011204,0.9836184779197585,LUAD,LRP1B
AAAS,-0.02562988632041377,0.9136281054834914,0.997241750408479,LUAD,LRP1B
AACS,0.21379598729443927,0.007770691319536934,0.8334279920734118,LUAD,LRP1B
AADAC,-0.2934447098378987,0.09351493970453818,0.9636821498884863,LUAD,LRP1B
AAED1,0.21971003923220758,0.4163263395982918,0.9654589358921258,LUAD,LRP1B
AAGAB,0.22760511738047784,0.08610298587702896,0.9636821498884863,LUAD,LRP1B
AAMDC,-0.3237698524385831,0.0237838841700417,0.9636821498884863,LUAD,LRP1B
AAMP,-0.1911093241124201,0.3571559439984472,0.9636821498884863,LUAD,LRP1B
AAR2,0.4180740621607495,0.024266607702839792,0.9636821498884863,LUAD,LRP1B
AARS,-0.006089019339793333,0.9460218696413195,0.997241750408479,LUAD,LRP1B
AARS2,0.017983997426721965,0.8652621278169834,0.997241750408479,LUAD,LRP1B
AARSD1,-0.10059587471352172,0.2946096845218742,0.9636821498884863,LUAD,LRP1B
AASDHPPT,0.10450564914961202,0.32428484598558804,0.9636821498884863,LUAD,LRP1B
AASS,-0.04559848819910739,0.797119862128049,0.9950539221709636,LUAD,LRP1B
AATF,0.13913875598086123,0.3928540202251878,0.9636821498884863,LUAD,LRP1B
AATK,0.031145303971390925,0.6472315702888234,0.9836184779197585,LUAD,LRP1B
ABAT,-0.025290498974709585,0.7297904534424084,0.9895089238082305,LUAD,LRP1B
ABCA1,-0.1553150255317438,0.3354141597124244,0.9636821498884863,LUAD,LRP1B
ABCA12,0.1671708059767761,0.4510543118607081,0.9669880980013927,LUAD,LRP1B
ABCA13,-0.02661293821202812,0.9194240490721469,0.997241750408479,LUAD,LRP1B
ABCA2,-0.3240585667343996,0.14916930358873778,0.9636821498884863,LUAD,LRP1B
ABCA3,0.07664830525511646,0.43368271894315324,0.9655976412397629,LUAD,LRP1B
ABCA6,0.11096382214857775,0.5506364050402268,0.9836184779197585,LUAD,LRP1B
ABCA7,-0.11145876881685923,0.6634702932833192,0.9836184779197585,LUAD,LRP1B
ABCA8,0.01908729041855972,0.8703705282445944,0.997241750408479,LUAD,LRP1B
ABCB1,0.08161473201720881,0.6454824397819732,0.9836184779197585,LUAD,LRP1B
ABCB10,0.0750796402855547,0.5705880582281662,0.9836184779197585,LUAD,LRP1B
ABCB5,0.1369179600886918,0.6002676273955458,0.9836184779197585,LUAD,LRP1B
ABCB6,0.012496481846327012,0.8790460019935896,0.997241750408479,LUAD,LRP1B
ABCB7,0.06826005539060187,0.5849188148114464,0.9836184779197585,LUAD,LRP1B
ABCB8,0.06484178360339349,0.6600730357243265,0.9836184779197585,LUAD,LRP1B
ABCC1,0.1483832576092638,0.38628220944887603,0.9636821498884863,LUAD,LRP1B
ABCC10,0.03385780885780887,0.8725455376762857,0.997241750408479,LUAD,LRP1B
ABCC2,-0.12401736047435669,0.6406125531194097,0.9836184779197585,LUAD,LRP1B
ABCC3,-0.04055807969120662,0.6654072207482358,0.9836184779197585,LUAD,LRP1B
ABCC4,-0.12927890377985762,0.007603574181744781,0.824565377931434,LUAD,LRP1B
ABCC5,-0.15255470336115495,0.4397624503392158,0.9655976412397629,LUAD,LRP1B
ABCC6,-0.298287585530543,0.0593857147995067,0.9636821498884863,LUAD,LRP1B
ABCC8,-0.01638655462184874,0.9729239013572952,0.9981025445219205,LUAD,LRP1B
ABCD1,0.006015808228284403,0.8979961642795184,0.997241750408479,LUAD,LRP1B
ABCD3,0.07572835832897751,0.5246349513654889,0.9811777392981057,LUAD,LRP1B
ABCD4,-0.2917984801576133,0.16128600399680304,0.9636821498884863,LUAD,LRP1B
ABCE1,0.08011097261871258,0.40163499658849144,0.9636821498884863,LUAD,LRP1B
