Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.21964081231107738,0.2285341700707617,0.8115745108316229,LUAD,TP53
A2M,0.05315480613861334,0.791019715339628,0.9782559668920868,LUAD,TP53
AAAS,0.0704653991157368,0.6967327599260669,0.9642557342393029,LUAD,TP53
AACS,0.07166421160920422,0.3529340735329849,0.8733545578678873,LUAD,TP53
AADAC,-0.3724437314376364,0.015985131022509792,0.4931474040220971,LUAD,TP53
AADAT,0.40100250626566414,0.17585418527223695,0.7822698348778024,LUAD,TP53
AAED1,0.014437923106653733,0.9499024467625097,0.9932443695524175,LUAD,TP53
AAGAB,0.02962460099806674,0.8187897179825531,0.9835117894081357,LUAD,TP53
AAMDC,-0.013577887028569435,0.9094139929587987,0.9932443695524175,LUAD,TP53
AAMP,-0.014917951715146316,0.9275638466720537,0.9932443695524175,LUAD,TP53
AAR2,0.2886966212036879,0.09251349526206941,0.6993423594584728,LUAD,TP53
AARS,-0.03528438557008029,0.3330655099182329,0.8646053395452229,LUAD,TP53
AARS2,0.20807217604480988,0.13628356638656455,0.7478646560909713,LUAD,TP53
AARSD1,0.07226241699305269,0.37840578539325453,0.8854536123955322,LUAD,TP53
AASDHPPT,0.010249252243270224,0.9463640968605865,0.9932443695524175,LUAD,TP53
AASS,0.13945976394424153,0.29124925289703785,0.8424487337562221,LUAD,TP53
AATF,-0.1592891352467795,0.322447627581407,0.8612372182638701,LUAD,TP53
AATK,0.009967548791078196,0.8768679451551646,0.9900175297357474,LUAD,TP53
ABAT,0.006996411296614213,0.8903744627451242,0.9915128139853137,LUAD,TP53
ABCA1,-0.09665994060259542,0.4818356790706516,0.9210255328873007,LUAD,TP53
ABCA12,0.16857447418713783,0.3996173497164227,0.8955150998571335,LUAD,TP53
ABCA13,0.2884262739418839,0.1616336235810898,0.7715110774810371,LUAD,TP53
ABCA2,0.15650904538669957,0.4209914298927625,0.9012394096818701,LUAD,TP53
ABCA3,-0.21756930799114593,0.026498511108736196,0.5323187144272297,LUAD,TP53
ABCA6,-0.126514012303486,0.47090176968704656,0.9178085872627294,LUAD,TP53
ABCA7,0.03047921871451284,0.8898876184875472,0.9915128139853137,LUAD,TP53
ABCA8,-0.24604437186684874,0.11627479888533525,0.7295788007802101,LUAD,TP53
ABCB1,-0.04069965170800599,0.8059601755771877,0.9817523377862726,LUAD,TP53
ABCB10,0.007993365227943361,0.970807610698685,0.9967697794205053,LUAD,TP53
ABCB5,-0.09072757308051427,0.6970782428415736,0.9642557342393029,LUAD,TP53
ABCB6,0.0011502362937712007,0.9986495265486965,0.9996028122155894,LUAD,TP53
ABCB7,-0.14264935679452606,0.2619514255966886,0.8282257882122428,LUAD,TP53
ABCB8,0.2785504494474137,0.07346249761379028,0.6645744698730058,LUAD,TP53
ABCC1,0.2623115269575888,0.10814281880121349,0.7125973923566704,LUAD,TP53
ABCC10,0.43801769729528267,0.049950065715365,0.6162304623056329,LUAD,TP53
ABCC2,0.061239881734876156,0.7772290054269068,0.9752370377836176,LUAD,TP53
ABCC3,-0.053045161597435775,0.4304484173280725,0.9046753514838521,LUAD,TP53
ABCC4,-0.18256056520501818,9.964388436729933e-06,0.019944719894958635,LUAD,TP53
ABCC5,0.20645264369049532,0.2557668376466796,0.824119288849958,LUAD,TP53
ABCC6,-0.03867595818815339,0.7941365160456656,0.9790127270041381,LUAD,TP53
ABCC8,0.13240522595844934,0.6332729590715087,0.9545048116216548,LUAD,TP53
ABCD1,0.03393485326513823,0.7562233771153836,0.973520406924458,LUAD,TP53
ABCD3,0.06546762894340852,0.598976589023261,0.9504035494775482,LUAD,TP53
ABCD4,0.03146364619668843,0.881407757667127,0.9912915220762579,LUAD,TP53
ABCE1,0.09754492208877952,0.3207664994869114,0.8594799488113489,LUAD,TP53
ABCF1,0.04675617709206592,0.5097185562729822,0.9248624422979771,LUAD,TP53
ABCF2,0.029338088975290777,0.74663744297161,0.9723280485895145,LUAD,TP53
ABCF3,0.20322650086874655,0.16059074192645872,0.7715110774810371,LUAD,TP53
ABCG1,-0.11486977980659274,0.4598800210186711,0.9137342168661625,LUAD,TP53
ABHD10,0.1652902301054397,0.24726470169904535,0.8189555426097895,LUAD,TP53
ABHD11,0.15994663225178574,0.07422502701683062,0.6680252431514756,LUAD,TP53
ABHD12,0.04679076827871825,0.7887887903827134,0.9780941908252008,LUAD,TP53
ABHD13,-0.07585112037891628,0.6897308188051345,0.9638208673110931,LUAD,TP53
ABHD14B,-0.024646810612454773,0.7481239044048348,0.9723280485895145,LUAD,TP53
ABHD16A,0.23403434259555556,0.12099983842162901,0.7352365964220249,LUAD,TP53
ABHD17A,-0.20066390192440614,0.28013796617725195,0.8424487337562221,LUAD,TP53
ABHD17B,-0.07560072846389165,0.6622220814013616,0.9572974821057002,LUAD,TP53
ABHD17C,0.03160349191153322,0.5660780416104101,0.9414203165502084,LUAD,TP53
ABHD3,0.18250690485984603,0.5272349141623645,0.9325183568245734,LUAD,TP53
ABHD4,0.02611360570793886,0.8567542682386566,0.9884354679224617,LUAD,TP53
ABHD5,0.03202440424085834,0.8320515887899851,0.984813807720668,LUAD,TP53
ABHD6,-0.09580478345184229,0.5167466426747844,0.9269798482814213,LUAD,TP53
ABI1,-0.12395699015716172,0.43952141270429945,0.9094129883208945,LUAD,TP53
ABI2,0.3778509564145759,0.008872254609444756,0.44924294699738887,LUAD,TP53
ABI3,-0.04314974142084915,0.6180566358886378,0.9535576955486833,LUAD,TP53
ABI3BP,-0.1157800121395971,0.31316992095734675,0.8556387029596304,LUAD,TP53
ABL2,-0.2144722331678704,0.1284128766312418,0.7448835087704694,LUAD,TP53
ABLIM1,0.01801182296865922,0.8252799882355559,0.9835117894081357,LUAD,TP53
ABLIM2,0.039434270133895444,0.7712694303201164,0.9752370377836176,LUAD,TP53
ABLIM3,-0.02847425892085015,0.8441222115398461,0.9865968584099499,LUAD,TP53
ABO,-0.05737935717651743,0.7482747145511621,0.9723280485895145,LUAD,TP53
ABR,-0.18139687039676727,0.2437085870326201,0.8182076144031414,LUAD,TP53
ABRACL,-0.1525004117776081,0.24256365412825642,0.8178620942028029,LUAD,TP53
ABT1,0.004422647177829864,0.9613576854381637,0.9949357161625515,LUAD,TP53
ABTB1,-0.10219268361683226,0.6105109376715694,0.950869478915101,LUAD,TP53
ABTB2,0.24406284252831567,0.3065985050018223,0.8502819355833587,LUAD,TP53
ACAA1,0.08733751001636991,0.5855120547868233,0.9471129048564454,LUAD,TP53
ACAA2,0.13071930098299267,0.21078551780283017,0.7991550664177157,LUAD,TP53
ACACA,-0.0701809101169445,0.5472610779167961,0.9357782591027978,LUAD,TP53
ACAD10,0.017169527106056903,0.8552064421916765,0.9882122241605241,LUAD,TP53
ACAD11,0.24816730879934912,0.2035229996440161,0.7937872877775967,LUAD,TP53
ACAD8,0.03838399919604585,0.6384628168662898,0.9545048116216548,LUAD,TP53
ACAD9,0.2526999373233086,0.12465526587352135,0.740416388079848,LUAD,TP53
ACADL,0.09427970729720653,0.5469515920954667,0.9357782591027978,LUAD,TP53
ACADM,-0.14593921154308964,0.338839777478138,0.8690693216302422,LUAD,TP53
ACADS,-0.06179213125279931,0.6443963566371731,0.9545048116216548,LUAD,TP53
ACADSB,-0.11283819628647207,0.13380582580698702,0.74756226336911,LUAD,TP53
ACADVL,0.09496655755240069,0.3475045572246862,0.871333489124485,LUAD,TP53
ACAN,-0.21106725954656302,0.16901302642113192,0.7812636241590208,LUAD,TP53
ACAP1,-0.07323853373566303,0.5084773197620358,0.9248624422979771,LUAD,TP53
ACAP2,0.08217998524320935,0.4427942485528048,0.9108140898833506,LUAD,TP53
ACAP3,0.15317277936084808,0.4239423958548616,0.9018976867220749,LUAD,TP53
ACAT1,-0.0417210001152416,0.6965522974482838,0.9642557342393029,LUAD,TP53
ACAT2,-0.0445983870518446,0.5949772950846215,0.9504035494775482,LUAD,TP53
ACBD3,-0.29888586647549775,0.03586041294981591,0.5643578292633631,LUAD,TP53
ACBD5,-0.04644887340382098,0.621280068508546,0.9541142395500278,LUAD,TP53
ACBD6,-0.011346065701864083,0.9510590758000852,0.9932443695524175,LUAD,TP53
ACBD7,0.26858949246720143,0.022824205689061447,0.51679785189169,LUAD,TP53
