Gene,Delta_Correlation,P_Value,FDR,Cancer,Mutated_Gene
A1BG,0.1968743002179535,0.301478104075638,0.9613450896056912,LUAD,TTN
A2M,0.034280295332926924,0.8443782037987051,0.9983105083662831,LUAD,TTN
AAAS,0.058846241199182414,0.7433915459764373,0.9888207241485633,LUAD,TTN
AACS,0.10865598017300804,0.15650592772111127,0.9358494207821266,LUAD,TTN
AADAC,-0.3576851399575009,0.03774917420674398,0.9355749976312904,LUAD,TTN
AADAT,0.28859567542431996,0.33379685455643826,0.9613450896056912,LUAD,TTN
AAED1,0.18780874405098008,0.45704125788447303,0.9736725689498743,LUAD,TTN
AAGAB,0.17073325505893377,0.19018412768304993,0.9358494207821266,LUAD,TTN
AAMDC,0.09004657908682678,0.4740089474913267,0.978903376958507,LUAD,TTN
AAMP,0.06222631300030684,0.7375441739735058,0.9888207241485633,LUAD,TTN
AAR2,-0.026084448003952654,0.9275158739311044,0.9985820919675303,LUAD,TTN
AARS,-0.0047073964721023875,0.9484464301328773,0.9985820919675303,LUAD,TTN
AARS2,-0.04383797331165762,0.8009326812749783,0.9947775473430702,LUAD,TTN
AARSD1,-0.0683035091703823,0.4926780790340145,0.9791430970180419,LUAD,TTN
AASDHPPT,0.1254234154543752,0.23392931487551283,0.9427680649886996,LUAD,TTN
AASS,-0.09261221416020171,0.5381117997128153,0.9832636307664631,LUAD,TTN
AATF,-0.04336437277613753,0.8201615568311839,0.9964751444356078,LUAD,TTN
AATK,0.06650679230910295,0.45195273480546416,0.9734606820330362,LUAD,TTN
ABAT,-0.009882815145973,0.9772607426515943,0.9988383029142615,LUAD,TTN
ABCA1,0.04389710364942567,0.7300121158219357,0.9888207241485633,LUAD,TTN
ABCA12,0.09651509353001889,0.6558755761721184,0.9858203657438256,LUAD,TTN
ABCA13,-0.12103772910534344,0.5986272715060543,0.984770595087346,LUAD,TTN
ABCA2,-0.02330389469920563,0.942218034584308,0.9985820919675303,LUAD,TTN
ABCA3,0.014953042383382908,0.8294385986678654,0.9964751444356078,LUAD,TTN
ABCA6,0.2149675385424391,0.26946721423372055,0.954809378889111,LUAD,TTN
ABCA7,0.1367387318764195,0.5715586332971702,0.984770595087346,LUAD,TTN
ABCA8,-0.024599631133763733,0.90884567612691,0.9985820919675303,LUAD,TTN
ABCB1,0.07650700678564454,0.6626368212279587,0.9858203657438256,LUAD,TTN
ABCB10,0.030955076461387177,0.78104390104756,0.9926828282720082,LUAD,TTN
ABCB5,0.058331972937185964,0.8153127287285888,0.9957011501802279,LUAD,TTN
ABCB6,0.11453968785238133,0.38131530830051097,0.9618660161776018,LUAD,TTN
ABCB7,0.02438512816221794,0.8201991654650793,0.9964751444356078,LUAD,TTN
ABCB8,0.024420909188711037,0.847254793329051,0.9983105083662831,LUAD,TTN
ABCC1,0.25877499790812486,0.12975848392515732,0.9355749976312904,LUAD,TTN
ABCC10,0.30299133702118775,0.2140220799091198,0.9399531955599216,LUAD,TTN
ABCC3,0.008310681313777324,0.8305702998477174,0.9964751444356078,LUAD,TTN
ABCC4,-0.08262216064729755,0.09706224563108778,0.9355749976312904,LUAD,TTN
ABCC5,-0.06032032483645389,0.789764707060564,0.9938255374968389,LUAD,TTN
ABCC6,-0.24499815973500183,0.11847264660850852,0.9355749976312904,LUAD,TTN
ABCD1,0.16178830187364723,0.14785203150504897,0.9358494207821266,LUAD,TTN
ABCD3,0.026274350422957227,0.7984577455766363,0.9947620434233068,LUAD,TTN
ABCD4,-0.10608930912336487,0.6042912024497193,0.984770595087346,LUAD,TTN
ABCE1,0.12368982870530854,0.2130437167168886,0.9388171375612733,LUAD,TTN
ABCF1,0.10803439441210339,0.1184049165976183,0.9355749976312904,LUAD,TTN
ABCF2,0.139523786194665,0.1257220079169897,0.9355749976312904,LUAD,TTN
ABCF3,0.05315637018001507,0.6815192045587177,0.986029546252547,LUAD,TTN
ABCG1,-0.06298575768335501,0.7264947374820143,0.9888207241485633,LUAD,TTN
ABHD10,-0.01435632005291454,0.961522602797637,0.9985820919675303,LUAD,TTN
ABHD11,-0.07211972698040803,0.5204457303835381,0.9824596908053163,LUAD,TTN
ABHD12,0.1811222810603616,0.29558159344896295,0.9609919790858892,LUAD,TTN
ABHD13,-0.08745121946360335,0.6875769163209462,0.986029546252547,LUAD,TTN
ABHD14B,-0.07177220566031217,0.49871289158857013,0.9795726774345924,LUAD,TTN
